作者,URL链接
曹雪芹,https://book.douban.com/author/4508611/
余华,https://book.douban.com/author/4503668/
加西亚·马尔克斯,https://book.douban.com/author/1039386/
乔治·奥威尔,https://book.douban.com/author/4512435/
玛格丽特·米切尔,https://book.douban.com/author/4587509/
刘慈欣,https://book.douban.com/author/4561353/
罗贯中,https://book.douban.com/author/4507174/
东野圭吾,https://book.douban.com/author/4537266/
圣埃克苏佩里,https://book.douban.com/author/570248/
阿·柯南道尔,https://book.douban.com/author/4508516/
林奕含,https://book.douban.com/author/4604358/
乔治·奥威尔,https://book.douban.com/author/4512435/
三毛,https://book.douban.com/author/4530739/
金庸,https://book.douban.com/author/4508301/
安徒生,https://book.douban.com/author/4504173/
路遥,https://book.douban.com/author/4513024/
钱锺书,https://book.douban.com/author/4502389/
加西亚·马尔克斯,https://book.douban.com/author/1039386/
阿尔贝·加缪,https://book.douban.com/author/4513690/
当年明月,https://book.douban.com/author/314036/
卡勒德·胡赛尼,https://book.douban.com/author/997810/
王小波,https://book.douban.com/author/4538422/
尤瓦尔·赫拉利,https://book.douban.com/author/1168901/
J.K.罗琳,https://book.douban.com/author/4505071/
毛姆,https://book.douban.com/author/4576950/
斯蒂芬·金,https://book.douban.com/author/4530287/
大仲马,https://book.douban.com/author/4503594/
乔治·R.,https://book.douban.com/author/101143/
金庸,https://book.douban.com/author/4508301/
鲁迅,https://book.douban.com/author/4502506/
东野圭吾,https://book.douban.com/author/4537266/
黄仁宇,https://book.douban.com/author/4534365/
哈珀·李,https://book.douban.com/author/1344262/
阿加莎·克里斯蒂,https://book.douban.com/author/4543693/
钱穆,https://book.douban.com/author/4505209/
奥斯丁,https://book.douban.com/author/3742047/
埃莱娜·费兰特,https://book.douban.com/author/2081294/
彼得·海斯勒,https://book.douban.com/author/1091380/
彼得·海斯勒,https://book.douban.com/author/1091380/
埃莱娜·费兰特,https://book.douban.com/author/2081294/
金庸,https://book.douban.com/author/4508301/
王小波,https://book.douban.com/author/4538422/
格林兄弟,https://book.douban.com/author/4502048/
阿加莎・克里斯蒂,https://book.douban.com/author/1792678/
毛姆,https://book.douban.com/author/4576950/
林海音,https://book.douban.com/author/4519645/
费孝通,https://book.douban.com/author/4522533/
柴静,https://book.douban.com/author/129636/
史铁生,https://book.douban.com/author/4505977/
林达,https://book.douban.com/author/4507047/
金庸,https://book.douban.com/author/4508301/
陈忠实,https://book.douban.com/author/150460/
余华,https://book.douban.com/author/4503668/
卡勒德·胡赛尼,https://book.douban.com/author/997810/
鲁迅,https://book.douban.com/author/4502506/
三毛,https://book.douban.com/author/4530739/
雨果,https://book.douban.com/author/229363/
鲁迅,https://book.douban.com/author/4502506/
鲁迅,https://book.douban.com/author/4502506/
司马迁,https://book.douban.com/author/4510589/
黑柳彻子,https://book.douban.com/author/4541852/
木心,https://book.douban.com/author/238461/
吴军,https://book.douban.com/author/4552153/
傅高义,https://book.douban.com/author/240598/
杨绛,https://book.douban.com/author/4503676/
吴承恩,https://book.douban.com/author/4502127/
