书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1003479/,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,中国历代政治得失, ,9.2,56365人,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,《中国历代政治得失》为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政府组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要勾玄的概观... ,钱穆,历史&钱穆&中国历史&政治&中国历代政治得失&中国&经典&国学,生活·读书·新知三联书店
https://book.douban.com/subject/3674537/,https://img9.doubanio.com/view/subject/s/public/s3745215.jpg,明朝那些事儿（1-9）,限量版,9.1,130623人,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,《明朝那些事儿》讲述从1344年到1644年，明朝三百年间的历史。作品以史料为基础，以年代和具体人物为主线，运用小说的笔法，对明朝十七帝和其他王公权贵和小人... ,当年明月,历史&明朝那些事儿&明朝&当年明月&中国历史&历史小说&中国文学&明史,中国海关出版社
https://book.douban.com/subject/1041482/,https://img9.doubanio.com/view/subject/s/public/s1800355.jpg,万历十五年, ,8.9,172658人,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,万历十五年，亦即公元1587年，在西欧历史上为西班牙舰队全部出动征英的前一年；而在中国，这平平淡淡的一年中，发生了若干为历史学家所易于忽视的事件。这些事件，... ,黄仁宇,历史&黄仁宇&万历十五年&明朝&中国历史&明史&大历史&中国,生活·读书·新知三联书店
https://book.douban.com/subject/25912076/,https://img2.doubanio.com/view/subject/s/public/s28118682.jpg,叫魂,1768年中国妖术大恐慌,9.2,9729人,[美] 孔飞力 / 陈兼、刘昶 / 生活·读书·新知三联书店 上海三联书店 / 2014-6 / 38.00元,本书讲述的是一个关于“盛世妖术”的故事。在中国的千年帝制时代，乾隆皇帝可谓是空前绝后的一人。他建立并巩固起来的大清帝国达到了权力与威望的顶端。然而整个大清的... ,孔飞力,历史&孔飞力&中国历史&社会学&清史&海外中国研究&社会史&中国,生活·读书·新知三联书店 上海三联书店
https://book.douban.com/subject/35519560/,https://img9.doubanio.com/view/subject/s/public/s33957074.jpg,祥瑞,王莽和他的时代,8.8,1610人,张向荣 / 上海人民出版社 / 2021-8 / 79.80元,暂无,张向荣,历史&中国历史&秦汉史&中国史&儒家&秦汉&中国&汉学,上海人民出版社
https://book.douban.com/subject/35356472/,https://img2.doubanio.com/view/subject/s/public/s33912621.jpg,秦制两千年,封建帝王的权力规则,8.3,2438人,谌旭彬 / 浙江人民出版社 / 2021-7 / 88.00,暂无,谌旭彬,历史&中国历史&秦汉史&政治&政治学&中国&社会&中国史,浙江人民出版社
https://book.douban.com/subject/25935941/,https://img9.doubanio.com/view/subject/s/public/s27685036.jpg,天朝的崩溃（修订版）,鸦片战争再研究,9.4,6837人,茅海建 / 生活·读书·新知三联书店 / 2014-10 / 59.00元,本书大量使用中国第一历史档案馆所藏清朝奏折，和英国所藏中英交涉文件、日本学者汇编资料集等等，详尽考订并重建了与战争相关的大量基本史实。作者抓住几个主要人物为... ,茅海建,历史&中国近代史&鸦片战争&近代史&茅海建&中国历史&中国&学术,生活·读书·新知三联书店
https://book.douban.com/subject/10758290/,https://img9.doubanio.com/view/subject/s/public/s10206185.jpg,东晋门阀政治, ,9.5,7331人,田余庆 / 北京大学出版社 / 2012-5 / 49.00元,本书以丰富的史料和周密的考证分析，对中国中古历史中的门阀政治问题作了再探索，认为中外学者习称的魏晋南北朝门阀政治，实际上只存在于东晋一朝；门阀政治是皇权政治... ,田余庆,历史&魏晋南北朝&田余庆&門閥政治&中国古代史&中国历史&魏晋&魏晋南北朝史,北京大学出版社
https://book.douban.com/subject/35638809/,https://img3.doubanio.com/view/subject/s/public/s34032670.jpg,资治通鉴熊逸版第1辑, ,9.5,218人,熊逸 / 新星出版社·得到图书 / 2021-11 / 399.00元,暂无,熊逸,资治通鉴&历史&中国历史&熊逸&传统文化&中国&国学&2021,新星出版社
https://book.douban.com/subject/30414743/,https://img2.doubanio.com/view/subject/s/public/s29960161.jpg,显微镜下的大明, ,8.7,22844人,马伯庸 / 湖南文艺出版社 / 2019-1 / 52.00元,暂无,马伯庸,马伯庸&历史&明史&历史纪实&明朝历史&明朝&明代档案&中国历史,湖南文艺出版社
https://book.douban.com/subject/3580750/,https://img9.doubanio.com/view/subject/s/public/s8873145.jpg,潜规则（修订版）,中国历史中的真实游戏,8.2,9800人,吴思 / 复旦大学出版社 / 2009-2 / 28.00,这部以历史为解读对象的著作中，作者以亦雅亦俗、亦庄亦谐的写作方式，叙述了历史上值得人们思考的大大小小的无数案例，在生动、有趣地讲述官场故事的同时，作者透过历... ,吴思,历史&潜规则&吴思&社会&政治&中国历史&社会学&中国,复旦大学出版社
https://book.douban.com/subject/7163250/,https://img1.doubanio.com/view/subject/s/public/s7024988.jpg,明朝那些事儿, ,9.2,28382人,当年明月 / 浙江人民出版社 / 2011-12-1 / 208.60,《明朝那些事儿》这篇文主要讲述的是从1344年到1644年这三百年间关于明朝的一些事情，以史料为基础，以年代和具体人物为主线，并加入了小说的笔法，对明朝十七... ,当年明月,历史&明朝那些事儿&明史&当年明月&中国历史&有趣&明朝&小说,浙江人民出版社
https://book.douban.com/subject/27591495/,https://img9.doubanio.com/view/subject/s/public/s29620814.jpg,万古江河,中国历史文化的转折与开展,8.6,4435人,许倬云 / 理想国|湖南人民出版社 / 2017-12-1 / 68.00,暂无,许倬云,历史&中国历史&许倬云&大历史&中国&人文&文化&中国史,理想国|湖南人民出版社
https://book.douban.com/subject/35635631/,https://img1.doubanio.com/view/subject/s/public/s34027357.jpg,匏瓜,读《史记·孔子世家》,8.8,528人,刘勃 / 百花文艺出版社 / 2021-10-22 / 42,本书是历史写作者刘勃所著的一部孔子传记，也是对《史记·孔子世家》的一次精读。刘勃参照《论语》和《左传》等相关历史资料进行信息比对，将孔子的人生际遇放置在春秋... ,刘勃,历史&刘勃&传记&中国历史&读库&中国古代史&随笔&传记与回忆,百花文艺出版社
https://book.douban.com/subject/35336328/,https://img2.doubanio.com/view/subject/s/public/s33809803.jpg,隳三都,蒙古灭金围城史,8.6,1247人,周思成 / 山西人民出版社 / 2021-1 / 68.00元,暂无,周思成,历史&蒙元史&中国历史&蒙古&中国&历史思考&中国史&2021,山西人民出版社
https://book.douban.com/subject/6533042/,https://img2.doubanio.com/view/subject/s/public/s6862023.jpg,南明史, ,9.3,4163人,顾诚 / 光明日报出版社 / 2011-8-26 / 88.00元,本书特点是基本上以大顺军、大西军余部及郑成功等民众抗清斗争为主线；贯串全书的脉络是强调历时二十年的抗清斗争失败的主要原因是抗清势力内部矛盾重重，严重分散，抵... ,顾诚,历史&南明史&顾诚&中国历史&明史&明清史&南明&中国,光明日报出版社
https://book.douban.com/subject/11229072/,https://img1.doubanio.com/view/subject/s/public/s11313518.jpg,中国历代政治得失, ,9.4,7441人,钱穆 / 生活·读书·新知三联书店 / 2012-7 / 24.00元,本书为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政治组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要钩玄的概观与比照，叙述因革... ,钱穆,历史&钱穆&政治制度史&政治&中国历史&中国古代史&中国&经典,生活·读书·新知三联书店
https://book.douban.com/subject/10434849/,https://img2.doubanio.com/view/subject/s/public/s33877903.jpg,中国历代政治得失, ,9.3,9755人,钱穆 / 九州出版社 / 2012-2-1 / 16.00元,1952年春，钱穆先生应有关方面之邀，以“中国历代政治得失”为题进行了五次讲演。《中国历代政治得失)》即是先生根据讲义整理而成，分别从“政府的组织”、“考试... ,钱穆,历史&钱穆&中国历史&政治&制度&中国&文化&经典,九州出版社
https://book.douban.com/subject/34431806/,https://img9.doubanio.com/view/subject/s/public/s33298116.jpg,失败者的春秋, ,8.9,3857人,刘勃 / 百花文艺出版社 / 2019-6 / 38.00,暂无,刘勃,历史&春秋史&春秋战国&刘勃&中国历史&先秦&读库&政治,百花文艺出版社
https://book.douban.com/subject/35230273/,https://img9.doubanio.com/view/subject/s/public/s33742504.jpg,司马迁的记忆之野, ,8.7,3275人,刘勃 / 百花文艺出版社 / 2020-11 / 38.00元,暂无,刘勃,历史&司马迁&中国历史&刘勃&史记&中国史&人物研究,百花文艺出版社
https://book.douban.com/subject/1077847/,https://img9.doubanio.com/view/subject/s/public/s1953384.jpg,史记（全十册）, ,9.5,21033人,司马迁、张守节 / （索引）司马贞，（正义）张守节 / 中华书局 / 1982-11 / 125.00,史记是我国第一部通史。在史记之前，有以年代为次的“编年史”如春秋，有以地域为限的“国别史”如国语、战国策，有以文告档卷形式保存下来的“政治史”如尚书，可是没... ,司马迁&张守节,历史&史记&司马迁&中国历史&经典&古籍&国学&中国文学,中华书局
https://book.douban.com/subject/20440053/,https://img3.doubanio.com/view/subject/s/public/s24511860.jpg,南京大屠杀,第二次世界大战中被遗忘的大浩劫,9.5,7859人,[美] 张纯如 / 谭春霞、焦国林 / 中信出版社 / 2013-1 / 49.00元,暂无,张纯如,南京大屠杀&历史&张纯如&纪实&中国历史&二战&战争&中国,中信出版社
https://book.douban.com/subject/1675478/,https://img2.doubanio.com/view/subject/s/public/s1681072.jpg,天朝的崩溃,鸦片战争再研究,9.1,12979人,茅海建 / 生活·读书·新知三联书店 / 2005-7 / 32.00元,《天朝的崩溃》是作者系统研究鸦片战争十余年所得的成果。作者详尽考订了与战争相关的一系列重要史实，力图以当时的道德观念、思维方式与行为规范去理解历史，使许多在... ,茅海建,历史&鸦片战争&中国近代史&近代史&茅海建&中国历史&天朝的崩溃&晚清,生活·读书·新知三联书店
https://book.douban.com/subject/33436921/,https://img1.doubanio.com/view/subject/s/public/s32312678.jpg,战国歧途, ,8.7,3767人,刘勃 / 百花文艺出版社 / 2019-5-1 / 32,本书所述自韩、赵、魏三家分晋到秦始皇统一六国的战国历史。作者以《史记》《资治通鉴》《战国策》等史籍为底本，并结合新近考古资料，以年代为经，以国别为纬，考察了... ,刘勃,历史&中国历史&刘勃&战国&春秋战国&先秦史&读库&中国,百花文艺出版社
https://book.douban.com/subject/1046492/,https://img9.doubanio.com/view/subject/s/public/s6795555.jpg,國史大綱（上下）, ,9.3,14073人,錢穆 / 商务印书馆 / 2013-8 / 76.00元,這是一部中國通史，因用大學教科書體例寫成，不得不力求簡要，僅舉大納，刪其瑣節。內容於學術思想，政治制度，社會風氣，國際形勢，兼有顧及，惟但求其通為一體，明其... ,錢穆,历史&钱穆&国史大纲&中国历史&国学&中国史&经典&中国,商务印书馆
https://book.douban.com/subject/35669190/,https://img9.doubanio.com/view/subject/s/public/s34046724.jpg,帝制时代的中国,中国历史文化简史,8.4,28人,[美]贺凯 / 赵婧 / 理想国丨海南出版社 / 2021-11 / 88,暂无,贺凯,历史&中国历史&中国史&海外中国研究&中国古代史&理想国&通史&美国,理想国丨海南出版社
https://book.douban.com/subject/27007549/,https://img1.doubanio.com/view/subject/s/public/s29486177.jpg,中央帝国的财政密码, ,8.3,8425人,郭建龙 / 鹭江出版社 / 2017-4 / 68.00元,暂无,郭建龙,历史&财政&经济&经济史&中国&经济学&社会学&中国历史,鹭江出版社
