书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35379215/,https://img9.doubanio.com/view/subject/s/public/s33840745.jpg,她来自马里乌波尔, ,9.1,2032人,[德]娜塔莎·沃丁 / [德]祁沁雯 / 新星出版社 / 2021-3 / 58.00元,暂无,娜塔莎·沃丁,女性&纪实文学&二战&东欧&纪实&非虚构&德国&战争,新星出版社
https://book.douban.com/subject/26545308/,https://img9.doubanio.com/view/subject/s/public/s28297426.jpg,南京大屠杀,第二次世界大战中被遗忘的大浩劫,9.6,5276人,[美]张纯如（Iris Chang） / 谭春霞、焦国林 / 中信出版社 / 2015-8 / 49.00元,暂无,张纯如,南京大屠杀&历史&张纯如&二战&中国近现代史&中国&抗战&近代史,中信出版社
https://book.douban.com/subject/26861418/,https://img2.doubanio.com/view/subject/s/public/s29000481.jpg,奥斯维辛,一部历史,9.5,5810人,[英] 劳伦斯·里斯 / 刘爽 / 广西师范大学出版社 / 2016-9 / 64.00元,暂无,劳伦斯·里斯,历史&二战&奥斯维辛&理想国译丛&德国&理想国&政治&英国,广西师范大学出版社
https://book.douban.com/subject/35611194/,https://img1.doubanio.com/view/subject/s/public/s34005947.jpg,夜莺, ,9.1,279人,[美]克莉丝汀·汉娜 / 施清真 / 北京联合出版公司 / 2021-11-1 / 68.00元,暂无,克莉丝汀·汉娜,女性&二战&小说&外国文学&成长&长篇小说&文学&家庭,北京联合出版公司
https://book.douban.com/subject/34928222/,https://img2.doubanio.com/view/subject/s/public/s33578801.jpg,第三帝国的到来,第三帝国三部曲01,9.4,2653人,[英] 理查德·J. 埃文斯 / 赖丽薇 / 九州出版社 / 2020-2 / 145.00元,德国在一战前曾是欧洲最富裕、最强大的经济体，反犹主义在政治中明显处于边缘地位。然而，起初只是一群极端分子和恶棍的纳粹党人，在数年之中就把德国变成了一党独裁的... ,理查德·J. 埃文斯,历史&德国&二战&欧洲史&政治&历史文化&理想国译丛&社会,九州出版社
https://book.douban.com/subject/35659142/,https://img9.doubanio.com/view/subject/s/public/s34039825.jpg,法西斯谎言简史, ,7.4,150人,[阿根廷]费德里科·芬切尔斯坦 / 张见微 / 一頁丨辽宁人民出版社、广西师范大学出版社 / 2021-11 / 54,暂无,费德里科·芬切尔斯坦,历史&政治学&二战&政治&世界史&传播学&近代史&历史思考,一頁丨辽宁人民出版社
https://book.douban.com/subject/35620036/,https://img2.doubanio.com/view/subject/s/public/s34012511.jpg,诸神的黄昏,1944—1945，从莱特湾战役到日本投降,9.2,90人,[美]伊恩·托尔 / 谭星 / 中信出版集团 / 2021-12 / 158,暂无,伊恩·托尔,二战&历史&太平洋战争&军事&战争史&日本&美国&近代史,中信出版集团
https://book.douban.com/subject/34988830/,https://img2.doubanio.com/view/subject/s/public/s33714263.jpg,燃烧的大洋,1941—1942，从突袭珍珠港到中途岛战役,9.1,335人,[美]伊恩·托尔 / 徐彬、王斌、王晓 / 中信出版集团 / 2020-9 / 98,暂无,伊恩·托尔,二战&太平洋战争&历史&军事&军事史&美国&日本&中信,中信出版集团
https://book.douban.com/subject/35568308/,https://img9.doubanio.com/view/subject/s/public/s33973196.jpg,伦敦日记,苏联驻伦敦大使二战回忆,9.1,124人,[苏联]伊万·迈斯基 著、[英]加布里埃尔·戈罗德茨基 编 / 全克林、赵文焕 / 广西师范大学出版社 / 2021-8 / 158.00元,暂无,伊万·迈斯基 著&加布里埃尔·戈罗德茨基 编,二战&历史&苏联&政治&史料&英国&传记&苏俄,广西师范大学出版社
https://book.douban.com/subject/26354440/,https://img1.doubanio.com/view/subject/s/public/s28106827.jpg,野蛮大陆,第二次世界大战后的欧洲,9.0,3562人,[英] 基思·罗威 / 黎英亮 / 社会科学文献出版社 / 2015-7 / 72.00元,暂无,基思·罗威,历史&二战后的欧洲&二战&欧洲史&欧洲&社会史&甲骨文&甲骨文丛书,社会科学文献出版社
https://book.douban.com/subject/26834183/,https://img1.doubanio.com/view/subject/s/public/s29227219.jpg,艾希曼在耶路撒冷,一份关于平庸的恶的报告,8.6,3824人,[美] 汉娜·阿伦特 / 安尼 / 译林出版社 / 2017-1 / 59,暂无,汉娜·阿伦特,汉娜·阿伦特&二战&历史&社会学&政治哲学&极权主义、威权主义政权&政治学&德国,译林出版社
https://book.douban.com/subject/20440053/,https://img3.doubanio.com/view/subject/s/public/s24511860.jpg,南京大屠杀,第二次世界大战中被遗忘的大浩劫,9.5,7895人,[美] 张纯如 / 谭春霞、焦国林 / 中信出版社 / 2013-1 / 49.00元,暂无,张纯如,南京大屠杀&历史&张纯如&纪实&中国历史&二战&战争&中国,中信出版社
https://book.douban.com/subject/27156016/,https://img3.doubanio.com/view/subject/s/public/s29610160.jpg,失焦, ,8.9,1972人,[匈]罗伯特·卡帕 / 徐振锋 / 广西师范大学出版社 / 2017-10-1 / 52.00,暂无,罗伯特·卡帕,摄影&二战&纪实&卡帕&传记&战争&历史&理想国,广西师范大学出版社
https://book.douban.com/subject/35100338/,https://img3.doubanio.com/view/subject/s/public/s33714270.jpg,征服的怒潮,1942—1944，从瓜岛战役到菲律宾海战役,8.9,194人,[美]伊恩·托尔 / 徐彬、曹军、王小琛 / 中信出版集团 / 2020-9 / 118,暂无,伊恩·托尔,二战&太平洋战争&历史&军事&美国&军事史&日本&历史文化,中信出版集团
https://book.douban.com/subject/26957760/,https://img1.doubanio.com/view/subject/s/public/s29331058.jpg,世界的凛冬,世纪三部曲 2,8.8,23705人,[英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-3-1 / 132.00（全三册）,暂无,肯·福莱特,世纪三部曲&二战&历史&小说&世界的凛冬&肯·福莱特&肯.福莱特&英国文学,江苏凤凰文艺出版社
https://book.douban.com/subject/34925415/,https://img3.doubanio.com/view/subject/s/public/s33578800.jpg,当权的第三帝国,第三帝国三部曲02,9.3,1574人,[英] 理查德·J. 埃文斯 / 哲理庐 / 九州出版社 / 2020-2 / 179.00元,和平的纳粹德国是一个怎样的国家？在纳粹党当权之初，没有人认为它会掀起又一场战争浩劫。在短短的六年间，它实行了一系列铁腕政策，镇压政治运动，整顿就业市场，刺激... ,理查德·J. 埃文斯,历史&德国&二战&理想国译丛&政治&德国研究&欧洲史&理想国,九州出版社
https://book.douban.com/subject/35587343/,https://img3.doubanio.com/view/subject/s/public/s33987260.jpg,第二次世界大战史, ,9.3,44人,(英)利德尔·哈特 / 小小冰人 / 民主与建设出版社 / 2021-9-1 / 199.8,暂无,利德尔·哈特,二战&历史&世界史&军事&战争&苏德&科普&战争史,民主与建设出版社
https://book.douban.com/subject/26897187/,https://img1.doubanio.com/view/subject/s/public/s29229789.jpg,活着回来的男人,一个普通日本兵的二战及战后生命史,8.5,2992人,[日] 小熊英二 / 黄耀进 / 广西师范大学出版社 / 2017-1 / 62.00元,暂无,小熊英二,二战&日本&历史&理想国译丛&传记&日本研究&理想国&社会,广西师范大学出版社
https://book.douban.com/subject/26418529/,https://img1.doubanio.com/view/subject/s/public/s28314198.jpg,拥抱战败,第二次世界大战后的日本,9.1,1522人,[美] 约翰·W·道尔 / 胡博 / 生活·读书·新知三联书店 / 2015-8 / 70.00元,本书是作者对第二次世界大战后结束后的日本的杰出研究。书中大量引用日文材料，并有数十幅精心挑选的档案照片。它是关于长达六年之久的美国对日占领最完整、最重要的历... ,约翰·W·道尔,日本&历史&二战&日本史&美国&政治&日本文化&生活·读书·新知三联书店,生活·读书·新知三联书店
https://book.douban.com/subject/35048542/,https://img1.doubanio.com/view/subject/s/public/s33859918.jpg,风的女儿,二战德国女飞行员的交错人生,9.3,153人,[英]克莱尔•马利（Clare Mulley） / 姜洁 / 生活·读书·新知三联书店 / 2021-5-1 / 78,暂无,克莱尔•马利,女性&二战&传记&德国&历史&空军&近代史&航空,生活·读书·新知三联书店
https://book.douban.com/subject/35226760/,https://img2.doubanio.com/view/subject/s/public/s33849861.jpg,欧洲争夺战, ,9.2,17人,[澳]切斯特·威尔莫特（Chester Wilmot） / 钮先钟 / 新华出版社 / 2021-3 / 168.00元,本书是关于第二次世界大战欧洲战史备受推崇的著作。这部耗费了作者 6 年时间的经典之作，详细记录了从英军敦刻尔克大撤退到诺曼底登陆发起反攻，再到盟军解放欧洲的... ,切斯特·威尔莫特,二战&历史&军事&军事史&欧洲史&世界史&欧洲研究&政治学,新华出版社
https://book.douban.com/subject/26431326/,https://img3.doubanio.com/view/subject/s/public/s28260540.jpg,所有我们看不见的光, ,8.9,3810人,[美] 安东尼·多尔 / 高环宇 / 中信出版集团 / 2015-8 / 42.00元,法国少女玛丽洛尔生活在巴黎，幼年失明后，父亲保护她、训练她，鼓励她勇敢生活下去。1940年，德国 入侵，她被迫离家，不久又与父亲骨肉分离，以瘦削的肩膀抵抗纳... ,安东尼·多尔,二战&小说&外国文学&温暖&普利策&文学&美国文学&美国,中信出版集团
https://book.douban.com/subject/35660743/,https://img1.doubanio.com/view/subject/s/public/s34051137.jpg,第三帝国的生与死, ,9.1,27人,[美] 彼得·弗里切 / 扈喜林 / 社会科学文献出版社 / 2021-12 / 79.00,暂无,彼得·弗里切,历史&德国&二战&德国研究&政治学&甲骨文&历史文化&历史与记忆,社会科学文献出版社
https://book.douban.com/subject/35286294/,https://img1.doubanio.com/view/subject/s/public/s34030997.jpg,巴黎图书馆, ,8.3,98人,[美] 珍妮特·斯凯斯琳·查尔斯 / 张文跃 / 中信出版社 / 2021-10 / 59.00元,20世纪30年代末，生活在巴黎中产阶级家庭、热爱阅读的女孩奥黛尔，怀着对图书的热爱，应聘到巴黎亚米利加图书馆当图书管理员。虽然有来自生活和成长的现实烦恼，但... ,珍妮特·斯凯斯琳·查尔斯,图书馆&外国文学&治愈&读书&小说&二战&文学&长篇小说,中信出版社
