书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/25985021/,https://img2.doubanio.com/view/subject/s/public/s27814883.jpg,人类简史,从动物到上帝,9.1,168050人,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,暂无,尤瓦尔·赫拉利,历史&人类简史&人类学&人类&科普&哲学&思维&社会学,中信出版社
https://book.douban.com/subject/3410718/,https://img2.doubanio.com/view/subject/s/public/s3893343.jpg,美的历程, ,9.2,24234人,李泽厚 / 生活·读书·新知三联书店 / 2009-7 / 43.00元,本书是中国美学的经典之作。凝聚了作者李泽厚先生多年研究，他把中国人古往今来对美的感觉玲珑剔透地展现在大家眼前，如斯感性，如斯亲切。今配以精美的插图，本书就更... ,李泽厚,美学&李泽厚&艺术&哲学&美的历程&人文&中国&艺术史,生活·读书·新知三联书店
https://book.douban.com/subject/35571487/,https://img1.doubanio.com/view/subject/s/public/s33992869.jpg,世纪敦煌,跨越百年的莫高窟影像,9.0,225人,孙志军 / 中信出版社 / 2021-9 / 238.00元,公元366年，乐僔开始开凿莫高窟的第一个洞窟。此后的1500多年，莫高窟身处东西方文明的交汇之地，各民族和宗教的交叉点，兴荣交替直至被人彻底遗忘了几百年。从... ,孙志军,敦煌&艺术&历史&摄影&壁画&人文&美术史&雕塑,中信出版社
https://book.douban.com/subject/27591495/,https://img9.doubanio.com/view/subject/s/public/s29620814.jpg,万古江河,中国历史文化的转折与开展,8.6,4463人,许倬云 / 理想国|湖南人民出版社 / 2017-12-1 / 68.00,暂无,许倬云,历史&中国历史&许倬云&大历史&中国&人文&文化&中国史,理想国|湖南人民出版社
https://book.douban.com/subject/34835320/,https://img9.doubanio.com/view/subject/s/public/s33501396.jpg,这里是中国, ,8.2,6921人,星球研究所、中国青藏高原研究会 / 中信出版集团 / 2019-9 / 168.00元,暂无,星球研究所&中国青藏高原研究会,地理&中国&摄影&科普&自然&人文&地图&风光,中信出版集团
https://book.douban.com/subject/20440644/,https://img1.doubanio.com/view/subject/s/public/s24611679.jpg,文学回忆录,1989—1994,9.1,39812人,木心 口述、陈丹青 笔录 / 广西师范大学出版社 / 2013-1-10 / 98.00元,暂无,木心 口述&陈丹青 笔录,木心&文学&文学回忆录&陈丹青&文学史&中国文学&文化&人文,广西师范大学出版社
https://book.douban.com/subject/1022238/,https://img9.doubanio.com/view/subject/s/public/s1074166.jpg,菊与刀,日本文化的类型,8.2,63666人,（美）鲁思・本尼迪克特 / 吕万和、熊达云、王智新 / 商务印书馆 / 1990-6 / 16.00,“菊”本是日本皇室家徽，“刀”是武士道文化的象征。美国人类学家鲁思・本尼迪克特用《菊与刀》来揭示日本人的矛盾性格亦即日本文化的双重性(如爱美而黩武、尚礼而好... ,鲁思・本尼迪克特,日本文化&日本&社会学&菊与刀&人类学&文化&历史&社会,商务印书馆
https://book.douban.com/subject/26943161/,https://img2.doubanio.com/view/subject/s/public/s29287103.jpg,未来简史, ,8.4,49201人,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2 / 68.00元,进入21世纪后，曾经长期威胁人类生存、发展的瘟疫、饥荒和战争已经被攻克，智人面临着新的待办议题：永生不老、幸福快乐和成为具有“神性”的人类。在解决这些新问题... ,尤瓦尔·赫拉利,未来&社会学&尤瓦尔·赫拉利&人类史&人类学&思维&科普&历史,中信出版集团
https://book.douban.com/subject/6712255/,https://img1.doubanio.com/view/subject/s/public/s6643217.jpg,天真的人类学家,小泥屋笔记&amp;重返多瓦悠兰,8.8,10468人,[英] 奈吉尔·巴利 / 何颖怡 / 广西师范大学出版社 / 2011-7 / 35.00元,本书诚实但又不失风趣地记录了作为人类学家的作者在非洲喀麦隆多瓦悠人村落两次进行田野工作的经历，将人类学家如何克服乏味、灾难、生病与敌意的真实田野生活拍案叫绝... ,奈吉尔·巴利,人类学&田野调查&社会学&英国&人文&文化&社会&旅行,广西师范大学出版社
https://book.douban.com/subject/30122152/,https://img1.doubanio.com/view/subject/s/public/s29673788.jpg,小镇喧嚣,一个乡镇政治运作的演绎与阐释,8.9,1177人,吴毅 / 生活·读书·新知三联书店 / 2018-2 / 68.00元,基层迎检、开发纷争、征收税费、产业调整、征地“种房”、维权争利……“喧嚣”一词，释尽乡镇日常政治种种人事与结构交织碰撞的众声嘈杂。本书以后现代叙事策略，围绕... ,吴毅,社会学&政治学&中国&社会&文化研究&人文&三联&好书，值得一读,生活·读书·新知三联书店
https://book.douban.com/subject/4131380/,https://img1.doubanio.com/view/subject/s/public/s4083008.jpg,忧郁的热带, ,9.1,3004人,[法]克洛德·列维-斯特劳斯 / 王志明 / 中国人民大学出版社 / 2009-09 / 45.00,《忧郁的热带》是结构人类学宗师列维-斯特劳斯的著名的思想自传，更是人类学历史上的经典著作之一。青年时代，列维-斯特劳斯亲访亚马逊河流域和巴西高地森林，在丛林... ,克洛德·列维-斯特劳斯,人类学&列维-斯特劳斯&社会学&法国&游记&哲学&人文&文学,中国人民大学出版社
https://book.douban.com/subject/2101774/,https://img9.doubanio.com/view/subject/s/public/s3559585.jpg,金枝,巫术与宗教之研究,9.0,2655人,（英）弗雷泽 / 徐育新、汪培基等 / 大众文艺出版社 / 1998-01 / 78.00元,准确地说，《金枝》是现代人类学的奠基之作。自它问世以来，就受到了来自各方的质疑，但它出色地经受了时间的考验。时至今日，它仍是一部阐述巫术和宗教起源的权威之作... ,弗雷泽,人类学&宗教&文化&神话&历史&神秘&社会学&人文,大众文艺出版社
https://book.douban.com/subject/35347335/,https://img2.doubanio.com/view/subject/s/public/s33817691.jpg,圈外编辑, ,8.1,582人,都筑响一 / 黄鸿砚 / 理想国·广西师范大学出版社 / 2021-3 / 69.00,探寻世界各地古怪珍奇景点；收集死刑犯临刑前写下的诗句；报道日本本地嘻哈歌手；走访上百个东京普通人狭小公寓诠释“Japanese Style”；拍摄每个日本人... ,都筑响一,日本&编辑出版&随笔&文化&理想国&日本文学&趣味&人文,理想国·广西师范大学出版社
https://book.douban.com/subject/1083762/,https://img9.doubanio.com/view/subject/s/public/s1134166.jpg,人类的群星闪耀时, ,8.7,27454人,[奥] 斯蒂芬·茨威格 / 舒昌善 / 广西师范大学出版社 / 2004-8 / 18.00元,《人类群星闪耀时》由奥地利著名小说家创作。《人类群星闪耀时》内容：涌动着匪徒、探险家、叛乱者兼英雄血液的巴尔沃亚成为第一个看到太平洋的欧洲人；仅仅一秒钟的优... ,斯蒂芬·茨威格,茨威格&历史&传记&人物传记&外国文学&奥地利&文学&人物,广西师范大学出版社
https://book.douban.com/subject/35658692/,https://img2.doubanio.com/view/subject/s/public/s34039232.jpg,当今为什么还要研读马克思, ,8.7,122人,[英]乔纳森·沃尔夫 / 段忠桥 / 广西师范大学出版社 / 2021-11 / 38.00元,暂无,乔纳森·沃尔夫,马克思主义&哲学&西方马克思主义&政治哲学&政治学&人文&政治经济学&西马,广西师范大学出版社
https://book.douban.com/subject/34449288/,https://img9.doubanio.com/view/subject/s/public/s34028006.jpg,20世纪思想史,从弗洛伊德到互联网,9.2,1115人,[英] 彼得·沃森 / 张凤、杨阳 / 译林出版社 / 2019-10 / 248.00元,暂无,彼得·沃森,思想史&哲学&思想&历史&人文&社科&文化&简史,译林出版社
https://book.douban.com/subject/35592650/,https://img9.doubanio.com/view/subject/s/public/s34005295.jpg,感知艺术,第11版 增值全彩版,9.1,76人,【美】丹尼斯·J.斯波勒 / 史梦阳 译 / 中国广播影视出版社 / 2021-10-1 / 99,单纯、真实、直接的观察与聆听，让艺术触手可及！超美的艺术入门经典图书，艺术理论、鉴赏与素养通识读本，绘画、雕塑、建筑、音乐、文学、戏剧、电影、舞蹈8大艺术门... ,丹尼斯·J.斯波勒,艺术&美学&人文&生活&艺术理论&艺术史&入门&工具书,中国广播影视出版社
https://book.douban.com/subject/34799573/,https://img9.doubanio.com/view/subject/s/public/s33475194.jpg,我心归处是敦煌,樊锦诗口述自传,8.0,4728人,樊锦诗 口述、顾春芳 撰写 / 译林出版社 / 2019-10 / 68.00元,暂无,樊锦诗 口述&顾春芳 撰写,敦煌&传记&樊锦诗&女性&人文&自述&艺术史&文物,译林出版社
https://book.douban.com/subject/25845647/,https://img1.doubanio.com/view/subject/s/public/s27259778.jpg,天空的另一半,普利策新闻奖得主讲述女性的绝望与希望,8.8,10586人,[美] 尼可拉斯·D.克里斯多夫、[美]雪莉·邓恩 / 吴茵茵 / 浙江人民出版社 / 2014-5 / 39.80元,暂无,尼可拉斯·D.克里斯多夫&雪莉·邓恩,女性&女性主义&社会学&纪实&社会&生存现状&普利策&人文,浙江人民出版社
https://book.douban.com/subject/26435510/,https://img2.doubanio.com/view/subject/s/public/s28622011.jpg,雕刻时光, ,9.5,5861人,[苏] 安德烈·塔可夫斯基 / 张晓东 / 南海出版公司 / 2016-5 / 45.00元,暂无,安德烈·塔可夫斯基,电影&艺术&安德烈·塔可夫斯基&塔可夫斯基&美学&俄罗斯&雕刻时光&关于电影,南海出版公司
https://book.douban.com/subject/35425350/,https://img9.doubanio.com/view/subject/s/public/s33916745.jpg,元代文人群体的地理分布与文学格局, ,9.5,49人,邱江宁 / 中华书局 / 2021-4 / 398.00,本书以元代文人群体的分布与文学格局研究为核心，从整体上讨论元代文人群体的地理分布与文学格局演变，由绪言和正文、附录三个部分组成。第一部分探讨蒙元时期文人群体... ,邱江宁,古代文学&人文&元代&蒙元史&历史&传统文化&哲学&宗教,中华书局
https://book.douban.com/subject/35413789/,https://img9.doubanio.com/view/subject/s/public/s33971324.jpg,印度青年狂想曲, ,8.0,384人,[印度]司妮达·普拉姆 / 于果果 / 上海人民出版社 / 2021-9 / 59.00,暂无,司妮达·普拉姆,印度&纪实&社会学&非虚构&人文&社科&外国文学&历史思考,上海人民出版社
https://book.douban.com/subject/34670250/,https://img9.doubanio.com/view/subject/s/public/s33440676.jpg,中国文化课, ,8.3,1145人,余秋雨 / 中国青年出版社 / 2019-8 / 128.00元,暂无,余秋雨,余秋雨&中国文化&文化史&文化&中国历史&人文&中国&好书，值得一读,中国青年出版社
