书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/20424526/,https://img1.doubanio.com/view/subject/s/public/s24516687.jpg,邓小平时代, ,9.2,45032人,[美] 傅高义 / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元,暂无,傅高义,邓小平&传记&历史&政治&傅高义&中国&人物传记&现当代史,生活·读书·新知三联书店
https://book.douban.com/subject/26287433/,https://img9.doubanio.com/view/subject/s/public/s29111376.jpg,心若菩提, ,9.1,3202人,曹德旺 / 人民出版社 / 2015-1 / 49.00,曹德旺1946年出生于福建福清高山，9岁上学，14岁辍学，卖过烟丝、贩过水果、修过板车。1983年承包高山异型玻璃厂。1985年将主业迅速转向汽车玻璃，彻底... ,曹德旺,传记&人物传记&商业&人物&智慧&人生&管理学&好书，值得一读,人民出版社
https://book.douban.com/subject/35009826/,https://img1.doubanio.com/view/subject/s/public/s33843649.jpg,一生的旅程,迪士尼CEO自述,8.7,8944人,[美] 罗伯特·艾格、[美] 乔尔·洛弗尔 / 靳婷婷 / 文汇出版社 / 2020-5 / 88.00元,作为迪士尼的董事长兼首席执行官，罗伯特·艾格在书中回顾了自己45年的职业生涯，分享了《复仇者联盟》《星球大战》《黑豹》等超级IP的诞生过程，记录了他与乔布斯... ,罗伯特·艾格&乔尔·洛弗尔,人物传记&传记&商业&迪士尼&领导力&个人管理&皮克斯&漫威,文汇出版社
https://book.douban.com/subject/35666094/,https://img9.doubanio.com/view/subject/s/public/s34046395.jpg,科学与忠诚,钱学森的人生答卷,8.2,18人,吕成冬 / 人民邮电出版社 / 2021-12 / 89.00,暂无,吕成冬,钱学森&人物传记&科学家&传记&文学&历史&航天&坚持,人民邮电出版社
https://book.douban.com/subject/34434342/,https://img1.doubanio.com/view/subject/s/public/s33300419.jpg,人类群星闪耀时,十四篇历史特写,8.3,8999人,[奥]斯蒂芬·茨威格 / 姜乙 / 上海文艺出版社 / 2019-7 / 49.00元,暂无,斯蒂芬·茨威格,历史&人物传记&斯蒂芬·茨威格&茨威格&外国文学&文学&有意思的书&纪实,上海文艺出版社
https://book.douban.com/subject/26759508/,https://img9.doubanio.com/view/subject/s/public/s28571694.jpg,硅谷钢铁侠,埃隆·马斯克的冒险人生,8.0,11606人,[美] 阿什利·万斯 / 周恒星 / 中信出版集团 / 2016-4 / 68.00元,暂无,阿什利·万斯,传记&马斯克&人物传记&科技&商业&创业&互联网&美国,中信出版集团
https://book.douban.com/subject/30377678/,https://img1.doubanio.com/view/subject/s/public/s33678368.jpg,曾国藩传, ,8.6,10036人,张宏杰 / 民主与建设出版社 / 2019-1 / 68.00元,曾国藩，没有显赫的家世，天赋堪称晚清同时代大人物当中最差，却官至两江总督、直隶总督、武英殿大学士，在复杂的时代变局中超越众人，成就最大，被誉为大清“中兴第一... ,张宏杰,曾国藩&传记&人物传记&历史&晚清&张宏杰&奋斗&经典,民主与建设出版社
https://book.douban.com/subject/35666096/,https://img9.doubanio.com/view/subject/s/public/s34045244.jpg,科学与忠诚（精装版）,钱学森的人生答卷,,14人,吕成冬 / 人民邮电出版社 / 2021-11 / 149.00,暂无,吕成冬,人物传记&科学家&成长&自我提升&社会学&励志&影响力&文学,人民邮电出版社
https://book.douban.com/subject/6798611/,https://img2.doubanio.com/view/subject/s/public/s6974202.jpg,史蒂夫·乔布斯传, ,8.7,55257人,[美] 沃尔特·艾萨克森 / 管延圻、魏群、余倩、赵萌萌、汤崧 / 中信出版社 / 2011-10-24 / 68.00元,这本乔布斯唯一授权的官方传记，在2011年上半年由美国出版商西蒙舒斯特对外发布出版消息以来，备受全球媒体和业界瞩目，这本书的全球出版日期最终确定为2011年... ,沃尔特·艾萨克森,传记&史蒂夫·乔布斯&苹果&乔布斯&SteveJobs&人物传记&互联网&美国,中信出版社
https://book.douban.com/subject/25810506/,https://img2.doubanio.com/view/subject/s/public/s27207923.jpg,史蒂夫·乔布斯传（修订版）, ,9.1,6236人,[美] 沃尔特·艾萨克森 / 管延圻、魏群、余倩、赵萌萌、汤崧 / 中信出版社 / 2014-1 / 68.00元,暂无,沃尔特·艾萨克森,传记&史蒂夫·乔布斯&人物传记&苹果&乔布斯&商业&美国&经典,中信出版社
