书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/26980487/,https://img1.doubanio.com/view/subject/s/public/s29396368.jpg,悉达多,一首印度的诗,9.4,22784人,[德] 赫尔曼·黑塞 / 姜乙 / 天津人民出版社 / 2017-1 / 32.00元,暂无,赫尔曼·黑塞,哲学&赫尔曼·黑塞&生命&黑塞&宗教&佛教&德国文学&外国文学,天津人民出版社
https://book.douban.com/subject/3406401/,https://img1.doubanio.com/view/subject/s/public/s6790238.jpg,悉达多, ,9.0,38717人,[德] 赫尔曼·黑塞 / 杨玉功 译、丁君君 校 / 上海人民出版社 / 2009-3 / 20.00,古印度贵族青年悉达多英俊聪慧，拥有人们羡慕的一切。为了追求心灵的安宁，他孤身一人展开了求道之旅。他在舍卫城聆听佛陀乔答摩宣讲教义，在繁华的大城中结识了名妓伽... ,赫尔曼·黑塞,赫尔曼·黑塞&宗教&黑塞&小说&哲学&德国&佛教&外国文学,上海人民出版社
https://book.douban.com/subject/5450660/,https://img9.doubanio.com/view/subject/s/public/s29347294.jpg,次第花开, ,8.5,4608人,希阿荣博堪布 / 海南出版社 / 2017-1 / 39.80元,暂无,希阿荣博堪布,心灵修行&佛学&哲学&希阿荣博堪布&藏传佛教&心灵&佛教&宗教,海南出版社
https://book.douban.com/subject/25819842/,https://img3.doubanio.com/view/subject/s/public/s27222380.jpg,佛陀传,全世界影响力最大的佛陀传记,8.9,2134人,一行禅师 / 何蕙仪 / 河南文艺出版社 / 2014-3-1 / 48.00元,暂无,一行禅师,佛陀&佛学&一行禅师&宗教&传记&佛教&身心灵&哲学,河南文艺出版社
https://book.douban.com/subject/5990251/,https://img1.doubanio.com/view/subject/s/public/s6312278.jpg,西藏生死书, ,8.4,14665人,索甲仁波切 / 郑振煌 / 浙江大学出版社 / 2011-4 / 39.80元,暂无,索甲仁波切,西藏&宗教&佛学&生死&索甲仁波切&佛教&身心灵&文化,浙江大学出版社
https://book.douban.com/subject/25978763/,https://img1.doubanio.com/view/subject/s/public/s27874357.jpg,僧侣与哲学家, ,8.7,2512人,让-弗朗索瓦•何维勒、马修•理查德 / 赖声川 / 华东师范大学出版社 / 2014-9-1 / CNY 39.00,暂无,让-弗朗索瓦•何维勒&马修•理查德,哲学&宗教&佛学&佛教&赖声川&思想&西藏&社会学,华东师范大学出版社
https://book.douban.com/subject/30240081/,https://img1.doubanio.com/view/subject/s/public/s29857359.jpg,印度佛教史, ,9.4,459人,[日] 平川彰 / 庄昆木 / 后浪丨北京联合出版公司 / 2018-9 / 128.00元,暂无,平川彰,佛教&宗教&历史&印度&日本&学术&思想史&后浪,后浪丨北京联合出版公司
https://book.douban.com/subject/2083981/,https://img9.doubanio.com/view/subject/s/public/s2499834.jpg,了凡四训, ,8.6,7348人,(明)袁了凡、净庐主人 译 / 净庐主人 / 百花文艺出版社 / 2007 / 16.00元,《了凡四训》为明代袁了凡所著训子善书，阐明“命自我立，福自己求”的思想，指出一切祸福休咎皆自当人掌握，行善则积福，作恶则招祸；并现身说法，结合儒释道三家思想... ,袁了凡&净庐主人 译,了凡四训&哲学&佛学&命运&国学&人生&宗教&励志,百花文艺出版社
https://book.douban.com/subject/27136747/,https://img3.doubanio.com/view/subject/s/public/s29661360.jpg,正见, ,8.9,1651人,宗萨蒋扬钦哲仁波切 / 姚仁喜 / 新星出版社 / 2017-9 / 45,暂无,宗萨蒋扬钦哲仁波切,佛学&哲学&佛教&宗萨蒋扬钦哲仁波切&修行&智慧&宗教&藏传佛教,新星出版社
https://book.douban.com/subject/35658971/,https://img2.doubanio.com/view/subject/s/public/s34045183.jpg,齐梁皇室的佛教信仰与撰述, ,8.4,23人,李猛 / 中华书局 / 2021-12 / 68,兰陵萧氏作为齐梁皇室，在南朝的政治史、佛教史以及文学史上都有独特的位置，历来都是南北朝文学、史学乃至哲学研究的热点话题。《齐梁皇室的佛教信仰与撰述》一书不拘... ,李猛,魏晋南北朝&魏晋南北朝史&佛教&佛教史&中古史&历史&宗教&宗教史,中华书局
https://book.douban.com/subject/25928708/,https://img2.doubanio.com/view/subject/s/public/s28941243.jpg,佛祖都说了些什么?, ,8.6,4233人,林欣浩 / 北京时代华文书局 / 2014-7-1 / 42,《佛祖都说了些什么》用轻松易懂的写法，介绍了汉传佛教的历史。六道轮回是否存在？罗汉和菩萨谁的级别更高？坏人到庙里捐钱能否获得福报？为什么有的佛经像绕口令？…... ,林欣浩,宗教&哲学&佛教&佛学&科普&林欣浩&通俗&思想,北京时代华文书局
https://book.douban.com/subject/27608078/,https://img1.doubanio.com/view/subject/s/public/s29643787.jpg,图说敦煌二五四窟, ,9.4,2065人,陈海涛、陈琦 / 生活·读书·新知三联书店 / 2017-11 / 96.00元,暂无,陈海涛&陈琦,艺术&敦煌&敦煌学&艺术史&文化&考古&佛教史&中国,生活·读书·新知三联书店
