书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1088022/,https://img1.doubanio.com/view/subject/s/public/s9950828.jpg,亮剑, ,8.9,25776人,都梁 / 解放军文艺出版社 / 2005-3 / 28.00元,李云龙是一个叱咤风云、百战沙场的职业军人，是一个一生都在血与火中搏斗的名将。他的人生信条是：面对强大的对手，明知不敌，也要毅然亮剑，即使倒下，也要成为一座山... ,都梁,小说&亮剑&战争&军事&都梁&历史&文革&李云龙,解放军文艺出版社
https://book.douban.com/subject/35612591/,https://img2.doubanio.com/view/subject/s/public/s34099852.jpg,冬与狮, ,8.4,1088人,兰晓龙 / 人民文学出版社 / 2021-10 / 39,暂无,兰晓龙,兰晓龙&朝鲜战争&小说&军事&战争&中国&历史&文学,人民文学出版社
https://book.douban.com/subject/6879356/,https://img2.doubanio.com/view/subject/s/public/s27269441.jpg,孙子兵法, ,9.5,1769人,孙武 / 陈曦  译注 / 中华书局 / 2011-9 / 18.00元,《孙子兵法》十三篇涉及军事理论、实践各个方面，内容博大精深，思想深邃富瞻，逻辑缜密严谨，既是我国古代军事文化遗产中的瑰宝，又是我国优秀传统文化的重要组成部分... ,孙武,孙子兵法&军事&兵法&哲学&经典&国学&思想&中国,中华书局
https://book.douban.com/subject/35620036/,https://img2.doubanio.com/view/subject/s/public/s34012511.jpg,诸神的黄昏,1944—1945，从莱特湾战役到日本投降,9.2,90人,[美]伊恩·托尔 / 谭星 / 中信出版集团 / 2021-12 / 158,暂无,伊恩·托尔,二战&历史&太平洋战争&军事&战争史&日本&美国&近代史,中信出版集团
https://book.douban.com/subject/1207500/,https://img3.doubanio.com/view/subject/s/public/s1436840.jpg,布局天下,中国古代军事地理大势,8.8,1018人,饶胜文 / 解放军出版社 / 2002-1-1 / 19.80元,"放在读者面前的这本书《布局天下——中国古代军事地理大势》，是一本历史军事地理著作。什么是历史军事地理?著名历史地理学家谭其骧先生认为：""军事地理学研究军事与... ",饶胜文,军事&历史&地理&历史地理&中国&中国历史&兵法,解放军出版社
https://book.douban.com/subject/1009105/,https://img2.doubanio.com/view/subject/s/public/s1778631.jpg,战争论, ,8.8,1147人,[德] 克劳塞维茨 / 中国人民解放军军事科学院 / 解放军出版社 / 2005-1-1 / 79.00元,《战争论》是克劳塞维茨在总结以往战争特别是拿破仑战争的基础上写成的，全书共8篇124章；另有说明、作者自序，及作者在1810年至1812年为普鲁士王太子讲授... ,克劳塞维茨,军事&战略&战争&克劳塞维茨&谋略&哲学&历史&经典,解放军出版社
https://book.douban.com/subject/20287804/,https://img9.doubanio.com/view/subject/s/public/s29329896.jpg,军地两用人才之友, ,9.0,75人,沈阳军区政治部研究室 / 沈阳出版社 / 1990,八十年代应对官兵军地转型的内部指导书，前面的为军事，打飞机、伏击坦克、识别地雷等等，后面则五花八门，从农业水利、车工钳工电工，总之当时各行工作都有介绍。 ,沈阳军区政治部研究室,工具书&野外生存&科普&军事&中国&中国研究&军事史&历史,沈阳出版社
https://book.douban.com/subject/34988830/,https://img2.doubanio.com/view/subject/s/public/s33714263.jpg,燃烧的大洋,1941—1942，从突袭珍珠港到中途岛战役,9.1,335人,[美]伊恩·托尔 / 徐彬、王斌、王晓 / 中信出版集团 / 2020-9 / 98,暂无,伊恩·托尔,二战&太平洋战争&历史&军事&军事史&美国&日本&中信,中信出版集团
https://book.douban.com/subject/30197313/,https://img9.doubanio.com/view/subject/s/public/s29742895.jpg,士兵突击, ,9.2,600人,兰晓龙 / 人民文学出版社 / 2018-1 / 59.00元,暂无,兰晓龙,成长&兰晓龙&士兵突击&军事&小说&人生&中国&2018,人民文学出版社
https://book.douban.com/subject/35709382/,https://img1.doubanio.com/view/subject/s/public/s34074289.jpg,军事里的中国史, ,,43人,冷兵器研究所 / 新世界出版社 / 2022-2-1 / 59.80元,暂无,冷兵器研究所,中国史&历史&军事&通俗历史&好书，值得一读&军事史&随笔&历史思考,新世界出版社
https://book.douban.com/subject/6751173/,https://img2.doubanio.com/view/subject/s/public/s6913992.jpg,朝鲜战争,（套装上下册）（修订版）（大字版）,9.2,168人,王树增 / 人民文学出版社 / 2009-4-1 / 80.00元,"《朝鲜战争:大字版(修订版)(套装共2册)》内容简介：全景、翔实、生动地再现那场为了和平和尊严而进行的战争,一部撕开创伤，抒写战争惨烈与悲壮、胜利与辉煌的杰... ",王树增,朝鲜战争&历史&军事&中国现代史&战争&近代史,人民文学出版社
