书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35325887/,https://img1.doubanio.com/view/subject/s/public/s33836089.jpg,切尔诺贝利的午夜, ,9.1,1376人,[英] 亚当·希金博特姆 / 鲁伊 / 广西师范大学出版社 / 2021-3 / 78.00元,暂无,亚当·希金博特姆,切尔诺贝利&历史&灾难&历史思考&苏联&非虚构&苏联史&近代史,广西师范大学出版社
https://book.douban.com/subject/25985021/,https://img2.doubanio.com/view/subject/s/public/s27814883.jpg,人类简史,从动物到上帝,9.1,167251人,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,暂无,尤瓦尔·赫拉利,历史&人类简史&人类学&人类&科普&哲学&思维&社会学,中信出版社
https://book.douban.com/subject/1003479/,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,中国历代政治得失, ,9.2,56254人,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,《中国历代政治得失》为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政府组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要勾玄的概观... ,钱穆,历史&钱穆&中国历史&政治&中国历代政治得失&中国&经典&国学,生活·读书·新知三联书店
https://book.douban.com/subject/1041482/,https://img9.doubanio.com/view/subject/s/public/s1800355.jpg,万历十五年, ,8.9,172411人,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,万历十五年，亦即公元1587年，在西欧历史上为西班牙舰队全部出动征英的前一年；而在中国，这平平淡淡的一年中，发生了若干为历史学家所易于忽视的事件。这些事件，... ,黄仁宇,历史&黄仁宇&万历十五年&明朝&中国历史&明史&大历史&中国,生活·读书·新知三联书店
https://book.douban.com/subject/3674537/,https://img9.doubanio.com/view/subject/s/public/s3745215.jpg,明朝那些事儿（1-9）,限量版,9.1,130276人,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,《明朝那些事儿》讲述从1344年到1644年，明朝三百年间的历史。作品以史料为基础，以年代和具体人物为主线，运用小说的笔法，对明朝十七帝和其他王公权贵和小人... ,当年明月,历史&明朝那些事儿&明朝&当年明月&中国历史&历史小说&中国文学&明史,中国海关出版社
https://book.douban.com/subject/35230281/,https://img2.doubanio.com/view/subject/s/public/s33792562.jpg,下沉年代, ,8.6,3485人,[美] 乔治·帕克 (George Packer) / 刘冉 / 文汇出版社 / 2021-1 / 108,暂无,乔治·帕克,社会学&美国&美国史&社会&非虚构&历史&2020&奥巴马,文汇出版社
https://book.douban.com/subject/35519560/,https://img9.doubanio.com/view/subject/s/public/s33957074.jpg,祥瑞,王莽和他的时代,8.8,1520人,张向荣 / 上海人民出版社 / 2021-8 / 79.80元,暂无,张向荣,历史&中国历史&秦汉史&中国史&儒家&秦汉&中国&汉学,上海人民出版社
https://book.douban.com/subject/20424526/,https://img1.doubanio.com/view/subject/s/public/s24516687.jpg,邓小平时代, ,9.2,44592人,[美] 傅高义 / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元,暂无,傅高义,邓小平&传记&历史&政治&傅高义&中国&人物传记&现当代史,生活·读书·新知三联书店
https://book.douban.com/subject/25912076/,https://img2.doubanio.com/view/subject/s/public/s28118682.jpg,叫魂,1768年中国妖术大恐慌,9.2,9639人,[美] 孔飞力 / 陈兼、刘昶 / 生活·读书·新知三联书店 上海三联书店 / 2014-6 / 38.00元,本书讲述的是一个关于“盛世妖术”的故事。在中国的千年帝制时代，乾隆皇帝可谓是空前绝后的一人。他建立并巩固起来的大清帝国达到了权力与威望的顶端。然而整个大清的... ,孔飞力,历史&孔飞力&中国历史&社会学&清史&海外中国研究&社会史&中国,生活·读书·新知三联书店 上海三联书店
https://book.douban.com/subject/35356472/,https://img2.doubanio.com/view/subject/s/public/s33912621.jpg,秦制两千年,封建帝王的权力规则,8.3,2350人,谌旭彬 / 浙江人民出版社 / 2021-7 / 88.00,暂无,谌旭彬,历史&中国历史&秦汉史&政治&政治学&中国&社会&中国史,浙江人民出版社
