书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35313227/,https://img2.doubanio.com/view/subject/s/public/s33802981.jpg,刘擎西方现代思想讲义, ,9.1,13823人,刘擎 / 新星出版社 / 2021-1 / 79.00元,暂无,刘擎,哲学&西方哲学&思想史&刘擎&政治哲学&我想读这本书&2021&好书，值得一读,新星出版社
https://book.douban.com/subject/26369699/,https://img1.doubanio.com/view/subject/s/public/s29237648.jpg,被讨厌的勇气,“自我启发之父”阿德勒的哲学课,8.6,80270人,岸见一郎、古贺史健 / 渠海霞 / 机械工业出版社 / 2015-3-1 / 39.8,暂无,岸见一郎&古贺史健,心理学&心灵成长&阿德勒&心理&哲学&成长&思考&人生,机械工业出版社
https://book.douban.com/subject/26980487/,https://img1.doubanio.com/view/subject/s/public/s29396368.jpg,悉达多,一首印度的诗,9.4,21878人,[德] 赫尔曼·黑塞 / 姜乙 / 天津人民出版社 / 2017-1 / 32.00元,暂无,赫尔曼·黑塞,哲学&赫尔曼·黑塞&生命&黑塞&宗教&佛教&德国文学&外国文学,天津人民出版社
https://book.douban.com/subject/35481512/,https://img2.doubanio.com/view/subject/s/public/s33944153.jpg,也许你该找个人聊聊, ,8.9,10637人,[美]洛莉·戈特利布 / 张含笑 / 果麦文化/上海文化出版社 / 2021-7-28 / 68.00元,这是一位心理治疗师的回忆录，讲述了发生在诊室中的故事。在这个小小的密闭空间里，人们会展现出最真实、最脆弱的一面；也是在这里，人们获得了陪伴和倾听，也获得了宝... ,洛莉·戈特利布,心理学&心理&心理治疗&心理咨询&治愈&自我完善&成长&哲学,上海文化出版社
https://book.douban.com/subject/1322455/,https://img1.doubanio.com/view/subject/s/public/s3073167.jpg,遥远的救世主, ,8.7,24538人,豆豆 / 作家出版社 / 2005-05-01 / 28.00,暂无,豆豆,遥远的救世主&文化属性&天道&小说&智慧&哲学&人生&豆豆,作家出版社
https://book.douban.com/subject/1084336/,https://img2.doubanio.com/view/subject/s/public/s1103152.jpg,小王子, ,9.0,671251人,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行... ,圣埃克苏佩里,小王子&童话&经典&成长&圣埃克苏佩里&哲学&外国文学&法国,人民文学出版社
https://book.douban.com/subject/3410718/,https://img2.doubanio.com/view/subject/s/public/s3893343.jpg,美的历程, ,9.2,24026人,李泽厚 / 生活·读书·新知三联书店 / 2009-1-1 / 43.00元,本书是中国美学的经典之作。凝聚了作者李泽厚先生多年研究，他把中国人古往今来对美的感觉玲珑剔透地展现在大家眼前，如斯感性，如斯亲切。今配以精美的插图，本书就更... ,李泽厚,美学&李泽厚&艺术&哲学&美的历程&人文&中国&艺术史,生活·读书·新知三联书店
https://book.douban.com/subject/35593780/,https://img9.doubanio.com/view/subject/s/public/s34008354.jpg,工作、消费主义和新穷人, ,8.3,3603人,[英]齐格蒙特·鲍曼 / 郭楠 / 上海社会科学院出版社 / 2021-9 / 45.00元,在生产者和普遍就业的社会中，贫穷是一回事。在消费者社会中，穷人是另一回事。在后者社会中，生活项目围绕消费者的选择而建立，而不是围绕工作、专业技能而建立。“贫... ,齐格蒙特·鲍曼,社会学&消费主义&经济&贫穷&文化理论&哲学&鲍曼&2021,上海社会科学院出版社
https://book.douban.com/subject/4908885/,https://img9.doubanio.com/view/subject/s/public/s4468484.jpg,局外人, ,9.0,185198人,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元,《局外人》是法国作家加缪的成名作，同时也是存在主义文学的杰出作品之一，该书以一种客观记录式的“零度风格”，粗线条地描述了主人公默尔索在荒谬的世界中经历的种种... ,阿尔贝·加缪,加缪&存在主义&阿尔贝·加缪&局外人&小说&法国文学&哲学&法国,上海译文出版社
https://book.douban.com/subject/35534519/,https://img2.doubanio.com/view/subject/s/public/s33956462.jpg,素食者, ,8.0,14411人,[韩] 韩江 / 胡椒筒 / 四川文艺出版社 / 2021-9 / 48,暂无,韩江,女性&韩国文学&韩国&心理&小说&文学&奇怪的东西&外国文学,四川文艺出版社
