书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/33440205/,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg,你当像鸟飞往你的山, ,8.7,131562人,[美] 塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10 / 59.00元,人们只看到我的与众不同：一个十七岁前从未踏入教室的大山女孩，却戴上一顶学历的高帽，熠熠生辉。只有我知道自己的真面目：我来自一个极少有人能想象的家庭。我的童年... ,塔拉·韦斯特弗,教育与女性&教育&励志&传记&女性&回忆录&文学&美国文学,南海出版公司
https://book.douban.com/subject/1023045/,https://img2.doubanio.com/view/subject/s/public/s1015872.jpg,我们仨, ,8.7,279906人,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨... ,杨绛,杨绛&回忆录&我们仨&亲情&钱钟书&回忆&随笔&散文,生活·读书·新知三联书店
https://book.douban.com/subject/34998019/,https://img3.doubanio.com/view/subject/s/public/s33640730.jpg,秋园, ,8.9,21233人,杨本芬 / 北京联合出版公司 / 2020-6 / 38.00元,暂无,杨本芬,女性&回忆录&个人传记&中国&历史&口述史&20世纪&小说,北京联合出版公司
https://book.douban.com/subject/35479662/,https://img9.doubanio.com/view/subject/s/public/s33921954.jpg,浮木, ,8.5,2407人,杨本芬 / 北京联合出版公司 / 2021-7-2 / 39.80,《浮木》是《秋园》的续集。一位八旬奶奶讲述她和妈妈，以及中南腹地那些家人、亲戚、乡亲们的故事，在那样的年代里，人们像水中的浮木般起起伏伏、随波逐流、挣扎求生... ,杨本芬,女性&回忆录&中国文学&中国&文学&口述史&传记&小说,北京联合出版公司
https://book.douban.com/subject/27615361/,https://img9.doubanio.com/view/subject/s/public/s29786716.jpg,昨日的世界,一个欧洲人的回忆,9.4,5011人,[奥]茨威格 / 徐友敬等 / 上海译文出版社 / 2018-7 / 49.00元,"《昨日的世界》是奥地利作家斯特凡•茨威格创作的自传体文学作品,写于1939年至1941年间，是茨威格在临终前被迫流亡的日子里完成的。在茨威格离世以后，于19... ",茨威格,茨威格&回忆录&传记&欧洲史&历史&奥地利&文学&外国文学,上海译文出版社
https://book.douban.com/subject/23008971/,https://img9.doubanio.com/view/subject/s/public/s26543835.jpg,平如美棠,我俩的故事,9.1,24048人,饶平如 / 广西师范大学出版社 / 2013-5 / CNY 49.80,暂无,饶平如,爱情&平如美棠&人生&回忆录&绘本&生活&饶平如&我俩的故事,广西师范大学出版社
https://book.douban.com/subject/30125030/,https://img2.doubanio.com/view/subject/s/public/s29675003.jpg,天生有罪,特雷弗·诺亚的变色人生,9.1,12629人,[南非] 特雷弗·诺亚 / 董帅 / 北京联合出版公司 / 2018-2-1 / 58.00,暂无,特雷弗·诺亚,传记&特雷弗·诺亚&自传&种族&南非&人物&回忆录&脱口秀,北京联合出版公司
https://book.douban.com/subject/1091203/,https://img1.doubanio.com/view/subject/s/public/s24399718.jpg,少年凯歌, ,9.2,8426人,陈凯歌 / 人民文学出版社 / 2001-6 / 10.00元,在成为著名电影导演之前，他曾有过怎样的人生？陈凯歌亲自执笔，直面他的少年时代。他敢于面对，勇于审视自己，并承认曾经犯过的错误。他的回忆与思考，既富于自省和批... ,陈凯歌,陈凯歌&传记&自传&文革&人物传记&回忆录&成长&中国,人民文学出版社
https://book.douban.com/subject/5277994/,https://img2.doubanio.com/view/subject/s/public/s7632302.jpg,宫女谈往录, ,8.6,2476人,金易、沈义羚 / 故宫出版社 / 2010-7 / 38.00元,金易，曾是北京二中的语文老师，《宫女谈往录》是他与夫人、原北京二十五中、六十一中中学语文教师沈义羚老师合著的书。本书以生动的笔触，记述了一位随侍慈禧前后达八... ,金易&沈义羚,历史&回忆录&清朝&宫廷&宫女谈往录&中国历史&慈禧&纪实文学,故宫出版社
https://book.douban.com/subject/34873403/,https://img2.doubanio.com/view/subject/s/public/s33509932.jpg,我的前半生, ,8.1,366人,爱新觉罗·溥仪 / 人民文学出版社 / 2019-10 / 63.00元,《我的前半生》是我国末代皇帝爱新觉罗·溥仪的回忆录。周恩来总理接见溥仪时曾说：“你的东西基本上是要与旧社会宣战，彻底暴露……历史上还找不出这样的例子，你创造... ,爱新觉罗·溥仪,溥仪&回忆录&历史&传记&近代史&我的前半生&中国&人民文学出版社,人民文学出版社
