书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1003479/,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,中国历代政治得失, ,9.2,56572人,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,《中国历代政治得失》为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政府组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要勾玄的概观... ,钱穆,历史&钱穆&中国历史&政治&中国历代政治得失&中国&经典&国学,生活·读书·新知三联书店
https://book.douban.com/subject/26021455/,https://img2.doubanio.com/view/subject/s/public/s27506982.jpg,中国古代文化常识,插图修订第4版,9.3,3464人,王力 主编、马汉麟 等执笔、姜亮夫 叶圣陶 等审校、刘乐园 修订 / 北京联合出版公司 / 2014-11 / 60.00元,暂无,王力 主编&马汉麟 等执笔&姜亮夫 叶圣陶 等审校&刘乐园 修订,历史&文化&古代中国&中国&王力&国学&科普&语言学,北京联合出版公司
https://book.douban.com/subject/1203426/,https://img9.doubanio.com/view/subject/s/public/s1146614.jpg,人间词话, ,9.0,48508人,王国维 / 上海古籍出版社 / 1998-12 / 9.80元,《人间词话》一书乃是王氏接受了西洋美学思想之洗礼后，以崭新的眼光对中国旧文学所作的评论，具有划时代的意义，向来极受学术界重视。本书并约请当今著名专家黄霖为之... ,王国维,王国维&人间词话&诗词&国学&文学&古文诗词&古典&经典,上海古籍出版社
https://book.douban.com/subject/35638809/,https://img3.doubanio.com/view/subject/s/public/s34032670.jpg,资治通鉴熊逸版第1辑, ,9.1,222人,熊逸 / 新星出版社·得到图书 / 2021-11 / 399.00元,暂无,熊逸,资治通鉴&历史&中国历史&熊逸&传统文化&中国&国学&2021,新星出版社
https://book.douban.com/subject/1964774/,https://img9.doubanio.com/view/subject/s/public/s5804746.jpg,论语, ,9.1,19091人,刘胜利 / 中华书局 / 2006-12 / 9.80元,《论语》是一部语录体思想散文集。早在春秋后期孔子设坛讲学时期，其主体内容就已初始创成；孔子去世以后，他的辫子和再传弟子代代传授他的言论，并逐渐将这些口头记诵... ,刘胜利,国学&孔子&论语&哲学&经典&古典文学&思想&中国文学,中华书局
https://book.douban.com/subject/34783406/,https://img2.doubanio.com/view/subject/s/public/s33583023.jpg,菜根谭, ,9.3,169人,洪应明 / 郭瑞祥 / 岳麓书社 / 2019 / 39.00,《菜根谭》集儒、道、释思想于一体，蕴含着丰富的哲理，加上优美的语言，问世之后就受到追捧。由于书中各个条目内容之间没有紧密的逻辑联系，因此格局开放包容，后人陆... ,洪应明,国学&哲理&深刻&中哲&唯美&人际关系&好书，值得一读&交际,岳麓书社
https://book.douban.com/subject/6790302/,https://img1.doubanio.com/view/subject/s/public/s29327698.jpg,资治通鉴, ,9.8,1620人,司马光 / 中华书局 / 2011-8 / 498.00元,《资治通鉴（繁体竖排版）（套装全20册）》是中国古代著名的编年体史书，记载了战国至五代期间1300多年的历史，向为史学界所推崇，在收集史料、考订事实、编排年... ,司马光,历史&资治通鉴&中华书局&中国历史&古籍&中国史&正史&国学,中华书局
https://book.douban.com/subject/27102950/,https://img9.doubanio.com/view/subject/s/public/s29539556.jpg,了凡四训, ,8.3,2073人,[明] 袁了凡 / 费勇 / 三秦出版社 / 2017-9 / 32.00,费勇教授评价袁了凡的《了凡四训》：“因为是写给后代，就格外诚恳，拼着一切法子想把自己毕生的经验教训、一切的人生感悟教给孩子，希望他们过上好的生活。”明代思想... ,袁了凡,修身&哲学&国学&经典&中国&随笔,三秦出版社
https://book.douban.com/subject/1317554/,https://img2.doubanio.com/view/subject/s/public/s10265273.jpg,易经,易经,9.7,113人,绍南文化 / 厦门大学出版社 / 2000-11-1 / 21.00元,“经典”是民族智慧的结晶，所载为常理常道，其价值历久而弥新，任何一个文化系统皆有其永恒不朽之经典作为源头活水。“经典”不仅构成民族之传统，而且提供给全人类以... ,绍南文化,国学&古典文学&文化&道教&算命,厦门大学出版社
https://book.douban.com/subject/3007268/,https://img3.doubanio.com/view/subject/s/public/s3451090.jpg,传习录, ,9.3,3005人,[明] 王阳明撰 / 于自力、孔薇、杨骅骁 / 中州古籍出版社 / 2008-1 / 32.00元,《传习录》是王阳明的问答语录和论学书信集。是一部儒家简明而有代表性的哲学著作。包含了王阳明的主要哲学思想，是研究王阳明思想及心学发展的重要资料。《传习录》不... ,王阳明撰,王阳明&哲学&心学&中国哲学&国学&传习录&王守仁&古典,中州古籍出版社
