书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/26980487/,https://img1.doubanio.com/view/subject/s/public/s29396368.jpg,悉达多,一首印度的诗,9.4,22137人,[德] 赫尔曼·黑塞 / 姜乙 / 天津人民出版社 / 2017-1 / 32.00元,暂无,赫尔曼·黑塞,哲学&赫尔曼·黑塞&生命&黑塞&宗教&佛教&德国文学&外国文学,天津人民出版社
https://book.douban.com/subject/2101774/,https://img9.doubanio.com/view/subject/s/public/s3559585.jpg,金枝,巫术与宗教之研究,9.0,2647人,（英）弗雷泽 / 徐育新、汪培基等 / 大众文艺出版社 / 1998-01 / 78.00元,准确地说，《金枝》是现代人类学的奠基之作。自它问世以来，就受到了来自各方的质疑，但它出色地经受了时间的考验。时至今日，它仍是一部阐述巫术和宗教起源的权威之作... ,弗雷泽,人类学&宗教&文化&神话&历史&神秘&社会学&人文,大众文艺出版社
https://book.douban.com/subject/1856494/,https://img2.doubanio.com/view/subject/s/public/s2059791.jpg,卡拉马佐夫兄弟, ,9.4,23456人,[俄] 费奥多尔·陀思妥耶夫斯基 / 荣如德 / 上海译文出版社 / 2006-8 / 25.00元,老卡拉马佐夫贪婪好色，独占妻子留给儿子们的遗产，并与长子德米特里为一个风流女子争风吃醋。一天黑夜，德米特里疑心自己的情人去跟老头儿幽会，便闯入家园，一怒之下... ,费奥多尔·陀思妥耶夫斯基,陀思妥耶夫斯基&俄国文学&小说&卡拉马佐夫兄弟&俄罗斯&厚重的现实主义&外国文学&文学,上海译文出版社
https://book.douban.com/subject/30331835/,https://img2.doubanio.com/view/subject/s/public/s29915013.jpg,窄门, ,7.9,7693人,[法] 安德烈·纪德、顾琪静 译者 / 顾琪静 / 天津人民出版社 / 2018-10 / 45.00,暂无,安德烈·纪德&顾琪静 译者,爱情&法国文学&纪德&宗教&信仰&小说&法国&文学,天津人民出版社
https://book.douban.com/subject/3406401/,https://img1.doubanio.com/view/subject/s/public/s6790238.jpg,悉达多, ,9.0,38549人,[德] 赫尔曼·黑塞 / 杨玉功 译、丁君君 校 / 上海人民出版社 / 2009-3 / 20.00,古印度贵族青年悉达多英俊聪慧，拥有人们羡慕的一切。为了追求心灵的安宁，他孤身一人展开了求道之旅。他在舍卫城聆听佛陀乔答摩宣讲教义，在繁华的大城中结识了名妓伽... ,赫尔曼·黑塞,赫尔曼·黑塞&宗教&黑塞&小说&哲学&德国&佛教&外国文学,上海人民出版社
https://book.douban.com/subject/1082334/,https://img2.doubanio.com/view/subject/s/public/s1790771.jpg,穆斯林的葬礼, ,8.1,153962人,霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00,暂无,霍达,穆斯林的葬礼&宗教&小说&爱情&中国文学&霍达&穆斯林&经典,北京十月文艺出版社
https://book.douban.com/subject/3649782/,https://img1.doubanio.com/view/subject/s/public/s3709449.jpg,达·芬奇密码, ,8.6,22706人,[美] 丹·布朗 / 朱振武、吴晟、周元晓 / 人民文学出版社 / 2009-4 / 26.00元,暂无,丹·布朗,悬疑&宗教&推理&丹·布朗&小说&外国文学&美国&知识悬疑,人民文学出版社
https://book.douban.com/subject/27083202/,https://img9.doubanio.com/view/subject/s/public/s29681476.jpg,新教伦理与资本主义精神, ,9.2,1576人,[德] 马克斯·韦伯 / 阎克文 / 上海人民出版社 / 2018-3 / 65.00元,《新教伦理与资本主义精神》是马克斯·韦伯著名的作品。在这部作品中，韦伯提出了一个知名的论点：新教教徒的思想影响了资本主义的发展。宗教教徒往往排斥世俗的事务，... ,马克斯·韦伯,社会学&马克斯·韦伯&资本主义&宗教社会学&哲学&社会理论&宗教&韦伯,上海人民出版社
https://book.douban.com/subject/5450660/,https://img9.doubanio.com/view/subject/s/public/s29347294.jpg,次第花开, ,8.5,4548人,希阿荣博堪布 / 海南出版社 / 2017-1 / 39.80元,暂无,希阿荣博堪布,心灵修行&佛学&哲学&希阿荣博堪布&藏传佛教&心灵&佛教&宗教,海南出版社
https://book.douban.com/subject/35623897/,https://img9.doubanio.com/view/subject/s/public/s34015836.jpg,众神的植物,神圣、具疗效和致幻力量的植物,8.2,46人,[美]理查德·伊文斯·舒尔兹、[瑞士]艾伯特·霍夫曼、[德]克里斯汀·拉奇 / 金恒镳 / 商务印书馆 / 2021-9 / 98.00,暂无,理查德·伊文斯·舒尔兹&艾伯特·霍夫曼&克里斯汀·拉奇,植物&博物学&科普&宗教&自然&神话学&科学&植物学,商务印书馆
