书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/34974775/,https://img2.doubanio.com/view/subject/s/public/s33613612.jpg,认识建筑, ,9.0,617人,[美] 罗伯特·麦卡特、[芬] 尤哈尼·帕拉斯玛 / 宋明波 / 后浪 | 湖南美术出版社 / 2020-6 / 198.00元,暂无,罗伯特·麦卡特&尤哈尼·帕拉斯玛,建筑&艺术&科普&文化&入门&后浪&美国&旅行,后浪 | 湖南美术出版社
https://book.douban.com/subject/35075069/,https://img2.doubanio.com/view/subject/s/public/s34067362.jpg,筑业中国,1914—1935亨利·茂飞在华二十年,8.9,29人,[美] 郭伟杰 / 卢伟 / 文化发展出版社 / 2022-1 / 88,暂无,郭伟杰,建筑&海外中国研究&历史&近现代史&近代中国&中国史&建筑师&很期待,文化发展出版社
https://book.douban.com/subject/33476150/,https://img3.doubanio.com/view/subject/s/public/s33532000.jpg,建筑的故事, ,8.9,975人,[英] 帕特里克·狄龙 著、[英] 斯蒂芬·比斯蒂 绘 / 姜南菲、吴婧 / 后浪丨北京联合出版公司 / 2020-1 / 168.00元,暂无,帕特里克·狄龙 著&斯蒂芬·比斯蒂 绘,建筑&建筑史&艺术&科普&手绘&人文&后浪&英国,后浪丨北京联合出版公司
https://book.douban.com/subject/35629391/,https://img1.doubanio.com/view/subject/s/public/s34019649.jpg,建筑的故事, ,8.6,26人,[英] 帕特里克·纳特金斯 / 杨惠君 / 后浪丨湖南美术出版社 / 2021-11 / 298.00元,暂无,帕特里克·纳特金斯,建筑&建筑史&艺术&建筑学&历史&文化&艺术史&后浪,后浪丨湖南美术出版社
https://book.douban.com/subject/35616112/,https://img1.doubanio.com/view/subject/s/public/s34009229.jpg,紫禁城宫殿, ,8.4,41人,于倬云 / 广西师范大学出版社 / 2021-11-1 / 138,《紫禁城宫殿》是“故宫三书”中的一本。这是一本几乎囊括中国所有古建筑形式（坛庙、园林、住宅及其建筑外部和内部装饰）的建筑百科全书。紫禁城堪称中国传统建筑技术... ,于倬云,建筑&故宫&紫禁城&广西师范大学出版社&历史&中国古建筑&博物馆&艺术,广西师范大学出版社
https://book.douban.com/subject/4082434/,https://img2.doubanio.com/view/subject/s/public/s4030091.jpg,穿墙透壁,剖视中国经典古建筑,9.3,2206人,李乾朗 / 广西师范大学出版社 / 2009-10 / 118.00元,暂无,李乾朗,建筑&中國古建築&古建筑&建筑史&中国&文化&艺术&人文,广西师范大学出版社
https://book.douban.com/subject/26848051/,https://img9.doubanio.com/view/subject/s/public/s28944485.jpg,造房子, ,8.3,5265人,王澍 / 浦睿文化/湖南美术出版社 / 2016-8 / 78.00,本书是世界建筑最高奖普利兹克奖得主、著名建筑大师王澍的建筑文化随笔集。本书从建筑出发，却不止于建筑，更是一本探讨中国传统文化当代性的著作。传统文化的当代性一... ,王澍,建筑&王澍&设计&艺术&美学&传统文化&中国&随笔,湖南美术出版社
https://book.douban.com/subject/35635583/,https://img1.doubanio.com/view/subject/s/public/s34034547.jpg,编木拱桥,技术与社会史,9.9,44人,刘妍 / 清华大学出版社 / 2021-9 / 168,征讨日尔曼人的罗马皇帝、天才军事工程师达芬奇、偷渡加州的日本船匠、中国宋代狱卒和《清明上河图》的绘者、闽浙山民、挪威木匠、武汉长江大桥的设计师……他们之间会... ,刘妍,建筑&建筑史&技术史&古建筑&建筑学&历史&建筑师&清华大学出版社,清华大学出版社
https://book.douban.com/subject/35166636/,https://img2.doubanio.com/view/subject/s/public/s33823301.jpg,贝聿铭全集, ,9.4,204人,[美] 菲利普·朱迪狄欧、[美] 珍妮特·亚当斯·斯特朗 / 黄萌 / 北京联合出版公司 / 2021-1 / 238.00元,暂无,菲利普·朱迪狄欧&珍妮特·亚当斯·斯特朗,建筑&贝聿铭&设计&传记&艺术史&美国&历史&后浪,北京联合出版公司
https://book.douban.com/subject/34998348/,https://img1.doubanio.com/view/subject/s/public/s33816308.jpg,建筑也可以很好玩：欧洲篇,从古希腊到文艺复兴,7.9,349人,密小斯 / 机械工业出版社 / 59.80,本书用活泼的语言、漫画的形式，结合历史故事，使读者从整体上可以快速了解整个欧洲建筑的发展历史，包括西方建筑的老祖宗为什么在古希腊，罗马角斗场是否是帝国的维稳... ,密小斯,建筑&科普&艺术&历史&欧洲&中国&2020&城市规划,机械工业出版社
