书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35143790/,https://img1.doubanio.com/view/subject/s/public/s33941998.jpg,蛤蟆先生去看心理医生, ,8.5,69121人,[英] 罗伯特·戴博德 / 陈赢 / 天津人民出版社 / 2020-8-1 / 38.00元,蛤蟆先生一向爱笑爱闹，如今却一反常态地郁郁寡欢，他一个人躲在屋里，连起床梳洗的力气都没有。朋友们非常担心他，建议他去做心理咨询。在10次心理咨询中，蛤蟆在咨... ,罗伯特·戴博德,心理学&治愈&心理咨询类入门图书&心理咨询&情绪&抑郁&童年&英国,天津人民出版社
https://book.douban.com/subject/35481512/,https://img2.doubanio.com/view/subject/s/public/s33944153.jpg,也许你该找个人聊聊, ,8.9,10571人,[美]洛莉·戈特利布 / 张含笑 / 果麦文化/上海文化出版社 / 2021-7-28 / 68.00元,这是一位心理治疗师的回忆录，讲述了发生在诊室中的故事。在这个小小的密闭空间里，人们会展现出最真实、最脆弱的一面；也是在这里，人们获得了陪伴和倾听，也获得了宝... ,洛莉·戈特利布,心理学&心理&心理治疗&心理咨询&治愈&自我完善&成长&哲学,上海文化出版社
https://book.douban.com/subject/26369699/,https://img1.doubanio.com/view/subject/s/public/s29237648.jpg,被讨厌的勇气,“自我启发之父”阿德勒的哲学课,8.6,80206人,岸见一郎、古贺史健 / 渠海霞 / 机械工业出版社 / 2015-3-1 / 39.8,暂无,岸见一郎&古贺史健,心理学&心灵成长&阿德勒&心理&哲学&成长&思考&人生,机械工业出版社
https://book.douban.com/subject/34978658/,https://img9.doubanio.com/view/subject/s/public/s33660425.jpg,煤气灯效应,如何认清并摆脱别人对你生活的隐性控制,7.2,3713人,[美]罗宾·斯特恩 / 刘彦 / 中信出版集团 / 2020-6 / 58,暂无,罗宾·斯特恩,心理学&PUA&心理&社会学&社会&2020&没有完美~&新书记,中信出版集团
https://book.douban.com/subject/26585065/,https://img3.doubanio.com/view/subject/s/public/s29497110.jpg,亲密关系, ,9.3,12505人,[美]罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 / 人民邮电出版社 / 2015-6 / 138.00元,亲密关系与泛泛之交有什么区别；大丈夫与小女子真的般配吗；吸引力的秘密是什么；男人与女人真的是不同的动物吗；同性恋真的是由基因决定的吗；单亲家庭的孩子长大后更... ,罗兰·米勒,心理学&亲密关系&人际关系&社会心理学&情感&心理&两性&爱情,人民邮电出版社
https://book.douban.com/subject/35545272/,https://img3.doubanio.com/view/subject/s/public/s33973820.jpg,贪婪的多巴胺, ,8.0,1764人,(美) 丹尼尔·利伯曼、(美) 迈克尔·E.朗 / 郑李垚 / 中信出版社 / 2021-9-5 / 59,为什么曾经浪漫的感情也会变淡？为什么成功人士通常不会觉得自己很成功？为什么几乎所有的节食计划后来都功亏一篑？为什么聪明的人经常会做出糟糕透顶、灾难性的决定？... ,丹尼尔·利伯曼&迈克尔·E.朗,心理学&科普&心理&神经科学&认知精进&医学&情感&美国,中信出版社
https://book.douban.com/subject/26362836/,https://img3.doubanio.com/view/subject/s/public/s28050760.jpg,献给阿尔吉侬的花束, ,9.1,45989人,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,声称能改造智能的科学实验在白老鼠阿尔吉侬身上获得了突破性的进展，下一步急需进行人体实验。个性和善、学习态度积极的心智障碍者查理·高登成为最佳人选。手术成功后... ,丹尼尔·凯斯,人性&科幻&心理&科幻小说&小说&丹尼尔·凯斯&心理学&外国文学,广西师范大学出版社
https://book.douban.com/subject/25836270/,https://img1.doubanio.com/view/subject/s/public/s33797467.jpg,厌女,日本的女性嫌恶,9.0,28448人,(日) 上野千鹤子 / 王兰 / 上海三联书店 / 2015-1 / 28.00元,《厌女》不是一部纯理论性著作，而是运用女性主义理论针对日本当代的各种社会现象的实践性分析。《厌女》处理了广泛的日本题材，其中既有文学性的，比如谈到小说家吉行... ,上野千鹤子,女性主义&女性研究&社会学&女权主义&女性&上野千鹤子&日本&心理学,上海三联书店
https://book.douban.com/subject/1775691/,https://img2.doubanio.com/view/subject/s/public/s2144391.jpg,少有人走的路,心智成熟的旅程,8.3,92295人,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,这本书处处透露出沟通与理解的意味，它跨越时代限制，帮助我们探索爱的本质，引导我们过上崭新，宁静而丰富的生活；它帮助我们学习爱，也学习独立；它教诲我们成为更称... ,M·斯科特·派克,心理学&成长&少有人走的路&心理&心智&励志&人生&爱,吉林文史出版社
https://book.douban.com/subject/3026879/,https://img9.doubanio.com/view/subject/s/public/s2990934.jpg,爱的艺术, ,8.8,38389人,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,《爱的艺术》是德裔美籍心理学家和哲学家、法兰克福学派重要成员艾里希-弗洛姆最著名的作品，自1956年出版至今已被翻译成32种文字，在全世界畅销不衰，被誉为当... ,艾·弗洛姆,心理学&爱的艺术&弗洛姆&爱情&哲学&心理&情感&爱,上海译文出版社
