书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1139360/,https://img2.doubanio.com/view/subject/s/public/s1106951.jpg,毛泽东选集 第一卷, ,9.4,17418人,毛泽东 / 人民出版社 / 1991-5 / 40.00元,《毛泽东选集》第一卷包括了毛泽东同志在中国革命各个时期中的重要著作。几年前各地方曾经出过几种不同版本的《毛泽东选集》，都是没有经过著者审查的，体例颇为杂乱，... ,毛泽东,毛泽东&毛泽东选集&哲学&政治&毛选&思想&经典&革命,人民出版社
https://book.douban.com/subject/1054685/,https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,沉默的大多数,王小波杂文随笔全编,9.1,128656人,王小波 / 中国青年出版社 / 1997-10 / 27.00元,这本杂文随笔集包括思想文化方面的文章，涉及知识分子的处境及思考，社会道德伦理，文化论争，国学与新儒家，民族主义等问题；包括从日常生活中发掘出来的各种真知灼见... ,王小波,王小波&杂文&沉默的大多数&思想&随笔&中国文学&文学&中国,中国青年出版社
https://book.douban.com/subject/3261600/,https://img9.doubanio.com/view/subject/s/public/s4619775.jpg,人生的智慧, ,9.2,25593人,(德)叔本华 / 韦启昌 / 上海人民 / 2008-10-01 / 28.00元,他于1850年写了《附录和补遗》一书，《人生的智慧》是该书中的一部分。在书中，他以优雅的文体，格言式的笔触阐述了自己对人生的看法。《人生的智慧》使沉寂多年的... ,叔本华,哲学&叔本华&人生的智慧&西方哲学&人生&思想&心理学&成长,上海人民
https://book.douban.com/subject/1003479/,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,中国历代政治得失, ,9.2,56546人,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,《中国历代政治得失》为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政府组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要勾玄的概观... ,钱穆,历史&钱穆&中国历史&政治&中国历代政治得失&中国&经典&国学,生活·读书·新知三联书店
https://book.douban.com/subject/30394154/,https://img1.doubanio.com/view/subject/s/public/s30020978.jpg,山月记, ,8.4,11146人,[日] 中岛敦 / 徐建雄 / 三秦出版社 / 2019-3 / 45.00元,暂无,中岛敦,日本文学&中岛敦&日本&文学&小说&思想&虚无主义&历史小说,三秦出版社
https://book.douban.com/subject/1159967/,https://img9.doubanio.com/view/subject/s/public/s3915746.jpg,第二性, ,8.7,7002人,[法] 西蒙﹒波伏娃(Simone de Beauvoir) / 舒小菲 / 西苑出版社 / 2009 / 21.80元,相同ISBN的还有2004年西苑出版社出版李强选译的《第二性》版本，从属于《西方哲理精译文丛》。 ,西蒙﹒波伏娃,女性主义&波伏娃&女性&哲学&女性文学&女权&第二性&法国,西苑出版社
https://book.douban.com/subject/20501147/,https://img1.doubanio.com/view/subject/s/public/s24586939.jpg,中国哲学简史,（软精经典版）,9.3,10419人,冯友兰 / 涂又光 / 北京大学出版社 / 2013-1-1 / 38.00元,暂无,冯友兰,中国哲学&哲学&冯友兰&哲学史&思想&中国&大师作品&文化,北京大学出版社
https://book.douban.com/subject/34449288/,https://img9.doubanio.com/view/subject/s/public/s34028006.jpg,20世纪思想史,从弗洛伊德到互联网,9.2,1114人,[英] 彼得·沃森 / 张凤、杨阳 / 译林出版社 / 2019-10 / 248.00元,暂无,彼得·沃森,思想史&哲学&思想&历史&人文&社科&文化&简史,译林出版社
https://book.douban.com/subject/1012307/,https://img1.doubanio.com/view/subject/s/public/s2522397.jpg,规训与惩罚,监狱的诞生,9.2,8602人,[法] 米歇尔·福柯 / 刘北成、杨远婴 / 生活·读书·新知三联书店 / 2003-1 / 21.80元,本书旨在论述关于现代灵魂与一种新的审判权力之间相互关系的历史，论述现行的科学—法律综合体的系谱。在这种综合体中，惩罚权力获得了自身的基础、证明和规则，扩大了... ,米歇尔·福柯,福柯&社会学&哲学&规训与惩罚&西方哲学&法国&思想&监狱,生活·读书·新知三联书店
https://book.douban.com/subject/35023259/,https://img2.doubanio.com/view/subject/s/public/s33617061.jpg,这才是心理学(第11版),看穿伪科学的批判性思维,9.1,1223人,[加] 基思·斯坦诺维奇 / 窦东徽、刘肖岑 / 人民邮电出版社 / 2020-4 / 78.00元,在今天的大众媒体和图书市场上，到处充斥着关于潜能提升、心理操控、色彩星座、催眠读心等伪装成心理学的主题，更有一些伪心理学家、所谓的心理治疗师打着心理学的旗号... ,基思·斯坦诺维奇,心理学&批判性思维&心理&思维&科学&成长&思想,人民邮电出版社
https://book.douban.com/subject/20366368/,https://img1.doubanio.com/view/subject/s/public/s33914747.jpg,公正,该如何做是好？,9.1,4049人,[美] 迈克尔·桑德尔 / 朱慧玲 / 中信出版社 / 2012-11-30 / 59.00元,暂无,迈克尔·桑德尔,哲学&社会学&政治哲学&迈克尔·桑德尔&伦理学&公正&法律&思想,中信出版社
https://book.douban.com/subject/26363926/,https://img9.doubanio.com/view/subject/s/public/s28051506.jpg,何为良好生活,行之于途而应于心,8.7,5512人,陈嘉映 / 上海文艺出版社 / 2015-4 / 39.00元,本书探讨伦理学中的几个论题。读过几本书的人知道，天下的道理差不多早都被前人讲过。其中有些，我有自己的体会、思考，尝试用当代中国普通读者比较易懂的方式把这些道... ,陈嘉映,哲学&陈嘉映&伦理学&生活&社会学&随笔&思想&文化,上海文艺出版社
https://book.douban.com/subject/2359052/,https://img9.doubanio.com/view/subject/s/public/s2857294.jpg,查拉图斯特拉如是说, ,8.9,10453人,[德] 尼采 / 钱春绮 / 生活·读书·新知三联书店 / 2007-12 / 27.00元,《查拉图斯特拉如是说》是尼采假借查拉图斯特拉之名说出他自己的哲学思想，也可以说是一本查拉图斯特拉的说教集或者说是查拉图斯特拉的行藏录，又有点像圣者传一类的书... ,尼采,尼采&哲学&查拉图斯特拉如是说&西方哲学&德国&经典&思想&生活·读书·新知三联书店,生活·读书·新知三联书店
https://book.douban.com/subject/25961458/,https://img3.doubanio.com/view/subject/s/public/s29144990.jpg,大问题,简明哲学导论,9.3,7016人,[美] 罗伯特·所罗门、凯思林•希金斯 / 张卜天 / 广西师范大学出版社 / 2014-12 / 65.00,本书的目的就是引导读者进入真正思考的大门。罗伯特•所罗门教授尤以擅长授课和写作清晰晓畅著称，他不像一般哲学导论著作那样按照事件发生的顺序罗列哲学史上的一些观... ,罗伯特·所罗门&凯思林•希金斯,哲学&哲学入门&哲學&罗伯特·所罗门&入门&思维&经典&思想,广西师范大学出版社
https://book.douban.com/subject/1036541/,https://img1.doubanio.com/view/subject/s/public/s2522399.jpg,疯癫与文明,理性时代的疯癫史,8.8,8405人,米歇尔・福柯 / 刘北成、杨远婴 / 生活·读书·新知三联书店 / 2003-01 / 18.0,这部著作是对知识的清洗和质疑。 它把“自然”的一个片断交还给历史，改造了疯癫，即把我们当作医学现象的东西变成了一种文明现象。……实际上，福柯从未界定疯癫；疯... ,米歇尔・福柯,福柯&哲学&疯癫与文明&社会学&西方哲学&法国&文化理论&思想,生活·读书·新知三联书店
https://book.douban.com/subject/27013716/,https://img1.doubanio.com/view/subject/s/public/s29419068.jpg,沉默的大多数, ,8.9,15775人,王小波 / 北京十月文艺出版社 / 2017-4 / 35.00元,本书收录了王小波的杂文代表作，他以卓越的文采，众醉独醒的姿态对社会道德伦理、国学与新儒家、个体尊严以及小说、艺术等方面进行了酣畅淋漓的剖析，表达了有理有趣的... ,王小波,王小波&杂文&思想&自由主义&随笔&理性&中国文学&中国,北京十月文艺出版社
https://book.douban.com/subject/1004699/,https://img2.doubanio.com/view/subject/s/public/s1406661.jpg,作为意志和表象的世界, ,9.0,8148人,[德] 叔本华 / 石冲白 / 商务印书馆 / 1982-11 / 48.00元,叔本华（1788—1860），德国著名哲学家，哲学史上第一个公开反对理性主义哲学的人，唯意志论的创始人。叔本华认为世界是我的表象，但以意志取代康德哲学中不可... ,叔本华,叔本华&哲学&作为意志和表象的世界&西方哲学&德国&悲观主义&经典&思想,商务印书馆
https://book.douban.com/subject/1964774/,https://img9.doubanio.com/view/subject/s/public/s5804746.jpg,论语, ,9.1,19085人,刘胜利 / 中华书局 / 2006-12 / 9.80元,《论语》是一部语录体思想散文集。早在春秋后期孔子设坛讲学时期，其主体内容就已初始创成；孔子去世以后，他的辫子和再传弟子代代传授他的言论，并逐渐将这些口头记诵... ,刘胜利,国学&孔子&论语&哲学&经典&古典文学&思想&中国文学,中华书局
https://book.douban.com/subject/6879356/,https://img2.doubanio.com/view/subject/s/public/s27269441.jpg,孙子兵法, ,9.5,1762人,孙武 / 陈曦  译注 / 中华书局 / 2011-9 / 18.00元,《孙子兵法》十三篇涉及军事理论、实践各个方面，内容博大精深，思想深邃富瞻，逻辑缜密严谨，既是我国古代军事文化遗产中的瑰宝，又是我国优秀传统文化的重要组成部分... ,孙武,孙子兵法&军事&兵法&哲学&经典&国学&思想&中国,中华书局
https://book.douban.com/subject/14439405/,https://img9.doubanio.com/view/subject/s/public/s24589846.jpg,哲学的故事, ,8.9,5015人,[美] 威尔·杜兰特 / 蒋剑峰、张程程 / 新星出版社 / 2013-3 / 49.00元,暂无,威尔·杜兰特,哲学&哲学入门&威尔·杜兰特&西方哲学&哲学史&思想&杜兰特&经典,新星出版社
https://book.douban.com/subject/35313227/,https://img2.doubanio.com/view/subject/s/public/s33802981.jpg,刘擎西方现代思想讲义, ,9.1,14454人,刘擎 / 新星出版社 / 2021-1 / 79.00元,暂无,刘擎,哲学&西方哲学&思想史&刘擎&政治哲学&我想读这本书&2021&好书，值得一读,新星出版社
https://book.douban.com/subject/1767945/,https://img2.doubanio.com/view/subject/s/public/s1670642.jpg,一只特立独行的猪, ,8.8,71006人,王小波 / 北方文艺出版社 / 2006-4 / 18.80元,这本书里除了文化杂文，还有给其他书写的序言与跋语。这些序言与跋语也表明了我的一些态度。除此之外，还有一些轻松的随笔。不管什么书，我都不希望它太严肃，这一本也... ,王小波,王小波&一只特立独行的猪&杂文&思想&中国文学&随笔&特立独行&文学,北方文艺出版社
https://book.douban.com/subject/26107897/,https://img2.doubanio.com/view/subject/s/public/s28351633.jpg,存在与虚无, ,9.1,972人,让·保罗·萨特 / 陈宣良 等译、杜小真 校 / 生活·读书·新知三联书店 / 2014-9-1 / CNY 68.00,1943年《存在与虚无》一书的出版则宣告了作为哲学家的萨特的诞生，他开始运用自己独立的思想观点和哲学词语述说对世界的理解：人即自为的存在，具有超越的特性，他... ,让·保罗·萨特,存在主义&哲学&萨特&西方哲学&法国&存在&法国文学&思想,生活·读书·新知三联书店
https://book.douban.com/subject/1269900/,https://img2.doubanio.com/view/subject/s/public/s1265183.jpg,活法, ,8.1,12075人,（日）稻盛和夫 / 周庆玲 / 东方出版社 / 2005-03 / 24.00元,《活法》，作者稻盛和夫是日本战后经济的传奇，除每一个人的人生活法之外，企业和国家，甚至社会、全人类的生存之道也包括在《活法》所阐述的范围之内。为什么这样说呢... ,稻盛和夫,稻盛和夫&哲学&哲学人生&励志&管理&人生&日本&活法,东方出版社
https://book.douban.com/subject/26674343/,https://img1.doubanio.com/view/subject/s/public/s28350437.jpg,容忍与自由, ,8.6,4355人,胡适 / 云南人民出版社 / 2015-10-1 / 25.00,《容忍与自由》是一部杂文选集，收录了18篇胡适先生的经典杂文，行文流畅，说理深致，对于我们今天的生活仍有启发。 ,胡适,胡适&思想&随笔&人文社科&民国&哲学&文学&中国,云南人民出版社
https://book.douban.com/subject/3633588/,https://img2.doubanio.com/view/subject/s/public/s6005012.jpg,幸福之路, ,8.9,3660人,[英] 罗素 / 吴默朗、金剑 / 中央编译出版社 / 2009-4 / 24.80元,《幸福之路》作者罗素在书中的论述是最为精彩纷呈和实用有效的。亚里士多德论述过哲学家纯粹思辨的幸福；帕斯卡尔描述过圣者皈依洞见的幸福。至于最大多数人如何把握日... ,罗素,罗素&哲学&心理学&幸福之路&人生&心理&思想&成长,中央编译出版社
