书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35406212/,https://img2.doubanio.com/view/subject/s/public/s33855392.jpg,代价, ,9.1,461人,[美] 阿瑟·米勒 / 麦熙雯 / 上海译文出版社 / 2021-4-1 / 49.00,暂无,阿瑟·米勒,戏剧&阿瑟·米勒&文学&美国&上海译文出版社&2021&剧本&美国文学,上海译文出版社
https://book.douban.com/subject/26649304/,https://img9.doubanio.com/view/subject/s/public/s29214626.jpg,一个无政府主义者的意外死亡, ,8.9,4219人,[意] 达里奥·福 / 吕同六 / 上海译文出版社 / 2016-3 / 30.00,暂无,达里奥·福,戏剧&荒诞&达里奥·福&讽刺&意大利&意大利文学&诺贝尔文学奖&外国文学,上海译文出版社
https://book.douban.com/subject/34393003/,https://img9.doubanio.com/view/subject/s/public/s33438764.jpg,如梦之梦, ,9.2,2307人,赖声川 / 中信出版社 / 2019-7 / 69.80元,故事从2000年的一间台北病房里濒死的五号病人讲起。他得了一种怪病，不停地发烧，快要死了，这种来自命运的躲不掉的“消耗”的感觉促使他从台北到巴黎，从巴黎到上... ,赖声川,赖声川&戏剧&剧本&艺术&文学&中国&戲劇&*北京·中信出版社*,中信出版社
https://book.douban.com/subject/35629247/,https://img2.doubanio.com/view/subject/s/public/s34019401.jpg,我是月亮, ,8.3,425人,朱宜 / 译林出版社 / 2021-10 / 52.00元,暂无,朱宜,戏剧&文学&中国文学&中国&温暖&2021&剧本&大陆,译林出版社
https://book.douban.com/subject/1013416/,https://img1.doubanio.com/view/subject/s/public/s23579217.jpg,雷雨, ,8.6,70441人,曹禺 / 人民文学出版社 / 1999-05 / 9.20,《雷雨》所展示的是一幕人生大悲剧，是命运对人残忍的作弄。专制、伪善的家长，热情、单纯的青年，被情爱烧疯了心的魅惑的女人，痛悔着罪孽却又不自知地犯下更大罪孽的... ,曹禺,曹禺&戏剧&中国文学&话剧&雷雨&经典&文学&中国,人民文学出版社
https://book.douban.com/subject/1036613/,https://img3.doubanio.com/view/subject/s/public/s33516550.jpg,茶馆, ,9.0,23039人,老舍 / 人民文学出版社 / 2002-1 / 9.80元,三幕话剧《茶馆》以北京一家大茶馆为背景，描写了清末、民初、抗战胜利以后三个历史时期的北京生活风貌，深刻地写出了王利发等人的真实命运。 ,老舍,老舍&戏剧&中国文学&话剧&经典&茶馆&中国&现代文学,人民文学出版社
https://book.douban.com/subject/35316194/,https://img1.doubanio.com/view/subject/s/public/s33832299.jpg,鹿鸣馆, ,8.3,574人,[日]三岛由纪夫 / 陈德文 / 一頁folio | 辽宁人民出版社 / 2021-3 / 28.00,暂无,三岛由纪夫,三岛由纪夫&戏剧&日本文学&日本&剧本&陈德文&外国文学&2021,一頁folio | 辽宁人民出版社
https://book.douban.com/subject/25773575/,https://img9.doubanio.com/view/subject/s/public/s28016836.jpg,哈姆雷特,莎士比亚悲剧·哈姆雷特,9.2,6243人,[英] 威廉·莎士比亚 / 朱生豪 / 译林出版社 / 2013-12-1 / 22.00元,《哈姆雷特》是莎士比亚悲剧中的代表作品，这部作品创作于1602年。在思想内容上达到了前所未有的深度和广度，深刻的揭示出封建末期社会的罪恶与本质特征。其中如父... ,威廉·莎士比亚,莎士比亚&哈姆雷特&悲剧&戏剧&经典&外国文学&文学&朱生豪,译林出版社
https://book.douban.com/subject/35699633/,https://img9.doubanio.com/view/subject/s/public/s34066974.jpg,一切为戏剧,央华戏剧制作人工作方法论,7.5,51人,王可然、牛萌 / 广西师范大学出版社 / 2022-1 / 78.00,暂无,王可然&牛萌,戏剧&随笔&入门&2022&职业&新民说&话剧,广西师范大学出版社
https://book.douban.com/subject/25912106/,https://img3.doubanio.com/view/subject/s/public/s27714600.jpg,万尼亚舅舅·三姊妹·樱桃园, ,9.3,2582人,[俄] 契诃夫 / 焦菊隐 / 上海译文出版社 / 2014-9 / 42.00,本卷包含契诃夫经典名剧《万尼亚舅舅》《三姊妹》和《樱桃园》，按创作时间排序，并收录焦菊隐写于1943年的《&lt;樱桃园&gt;译后记》。这三个剧本，虽然故事不同，所表... ,契诃夫,契诃夫&戏剧&俄罗斯文学&俄罗斯&俄国文学&文学&俄国&剧本,上海译文出版社
