书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35546622/,https://img1.doubanio.com/view/subject/s/public/s33956867.jpg,置身事内,中国政府与经济发展,8.9,10049人,兰小欢 / 上海人民出版社 / 2021-8 / 65.00元,暂无,兰小欢,中国经济&政治经济学&经济学&经济&中国&中国研究&政治&政治学,上海人民出版社
https://book.douban.com/subject/4820710/,https://img1.doubanio.com/view/subject/s/public/s4371408.jpg,1984, ,9.4,202446人,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,暂无,乔治·奥威尔,反乌托邦&乔治·奥威尔&政治寓言&政治&1984&外国文学&小说&英国,北京十月文艺出版社
https://book.douban.com/subject/1003479/,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,中国历代政治得失, ,9.2,56304人,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,《中国历代政治得失》为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政府组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要勾玄的概观... ,钱穆,历史&钱穆&中国历史&政治&中国历代政治得失&中国&经典&国学,生活·读书·新知三联书店
https://book.douban.com/subject/20424526/,https://img1.doubanio.com/view/subject/s/public/s24516687.jpg,邓小平时代, ,9.2,44675人,[美] 傅高义 / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元,暂无,傅高义,邓小平&传记&历史&政治&傅高义&中国&人物传记&现当代史,生活·读书·新知三联书店
https://book.douban.com/subject/2035179/,https://img3.doubanio.com/view/subject/s/public/s2347590.jpg,动物农场, ,9.3,125120人,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,暂无,乔治·奥威尔,乔治·奥威尔&政治寓言&反乌托邦&极权主义&小说&政治&外国文学&动物农场,上海译文出版社
https://book.douban.com/subject/1139360/,https://img2.doubanio.com/view/subject/s/public/s1106951.jpg,毛泽东选集 第一卷, ,9.4,17251人,毛泽东 / 人民出版社 / 1991-5 / 40.00元,《毛泽东选集》第一卷包括了毛泽东同志在中国革命各个时期中的重要著作。几年前各地方曾经出过几种不同版本的《毛泽东选集》，都是没有经过著者审查的，体例颇为杂乱，... ,毛泽东,毛泽东&毛泽东选集&哲学&政治&毛选&思想&经典&革命,人民出版社
https://book.douban.com/subject/1041482/,https://img9.doubanio.com/view/subject/s/public/s1800355.jpg,万历十五年, ,8.9,172537人,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,万历十五年，亦即公元1587年，在西欧历史上为西班牙舰队全部出动征英的前一年；而在中国，这平平淡淡的一年中，发生了若干为历史学家所易于忽视的事件。这些事件，... ,黄仁宇,历史&黄仁宇&万历十五年&明朝&中国历史&明史&大历史&中国,生活·读书·新知三联书店
https://book.douban.com/subject/4908879/,https://img9.doubanio.com/view/subject/s/public/s4468486.jpg,动物农场, ,9.4,24632人,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2010-9 / 22.00元,《动物农场》是奥威尔最优秀的作品之一，是一则入木三分的反乌托的政治讽喻寓言。农场的一群动物成功地进行了一场“革命”，将压榨他们的人类东家赶出农场，建立起一个... ,乔治·奥威尔,乔治·奥威尔&反乌托邦&政治&小说&外国文学&英国&社会&英国文学,上海译文出版社
https://book.douban.com/subject/27194805/,https://img2.doubanio.com/view/subject/s/public/s33576263.jpg,家庭、私有制和国家的起源, ,9.5,1192人,[德] 弗里德里希·恩格斯 / 中共中央马克思恩格斯列宁斯大林著作编译局 / 人民出版社 / 2018-12 / 30.00,書影代用民國四十三年（1954）10月人民出版社版「家庭、私有制和国家的起源」封面書影。原書號1001.188，有民國四十六年（1957）2月北平6印本。 ,弗里德里希·恩格斯,恩格斯&马克思主义&社会学&政治哲学&社会&政治,人民出版社
https://book.douban.com/subject/35604961/,https://img2.doubanio.com/view/subject/s/public/s34001352.jpg,身份政治,对尊严与认同的渴求,7.9,531人,[美] 弗朗西斯·福山 / 刘芳 / 理想国｜中译出版社 / 2021-10 / 68.00元,暂无,弗朗西斯·福山,福山&政治学&社会学&政治哲学&理想国译丛&政治&美国&理想国,理想国｜中译出版社
https://book.douban.com/subject/34896921/,https://img9.doubanio.com/view/subject/s/public/s33723475.jpg,父权制与资本主义, ,9.2,7181人,[日] 上野千鹤子 / 邹韵、薛梅 / 浙江大学出版社 / 2020-3 / 58.00元,暂无,上野千鹤子,女性主义&女权主义&社会学&性别研究&女性&上野千鹤子&社会&日本,浙江大学出版社
https://book.douban.com/subject/3815131/,https://img2.doubanio.com/view/subject/s/public/s3864641.jpg,一九八四, ,9.4,26160人,[英]乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2009-7 / 29.00元,《一九八四》（1949）是奥威尔的传世之作，堪称世界文坛最著名的反乌托邦、反极权的政治讽喻小说。他在小说中创造的“老大哥”、“双重思想”、“新话”等词汇都已... ,乔治·奥威尔,乔治·奥威尔&反乌托邦&小说&一九八四&极权主义&经典&政治&英国,上海译文出版社
https://book.douban.com/subject/35317149/,https://img2.doubanio.com/view/subject/s/public/s33945521.jpg,在峡江的转弯处,陈行甲人生笔记,9.2,2922人,陈行甲 / 人民日报出版社 / 2021-1-10 / 48.00元,《在峡江的转弯处：陈行甲人生笔记》是陈行甲的自传体随笔，从童年岁月写起，写母亲，写爱人；写了从大学毕业到基层工作九年多的生活经历；回顾了作者在巴东任县委书记... ,陈行甲,传记&随笔&思考&真诚&官场&政治&励志&非虚构,人民日报出版社
https://book.douban.com/subject/35356472/,https://img2.doubanio.com/view/subject/s/public/s33912621.jpg,秦制两千年,封建帝王的权力规则,8.3,2390人,谌旭彬 / 浙江人民出版社 / 2021-7 / 88.00,暂无,谌旭彬,历史&中国历史&秦汉史&政治&政治学&中国&社会&中国史,浙江人民出版社
https://book.douban.com/subject/26171466/,https://img1.doubanio.com/view/subject/s/public/s28987089.jpg,筚路维艰,中国社会主义路径的五次选择,9.6,2803人,萧冬连 / 社会科学文献出版社 / 2014-10-1 / 45.00元,本书以简明清晰的文字对当代中国的历史轨迹做了逻辑梳理。作者认为，从执政党的建国方略、发展模式和基本政策角度考察，中国社会主义的实践路径经历了从实行新民主主义... ,萧冬连,中共党史&历史&当代中国史&社会主义&政治&中国近代史&共和国史&中国,社会科学文献出版社
https://book.douban.com/subject/10758290/,https://img9.doubanio.com/view/subject/s/public/s10206185.jpg,东晋门阀政治, ,9.5,7307人,田余庆 / 北京大学出版社 / 2012-5 / 49.00元,本书以丰富的史料和周密的考证分析，对中国中古历史中的门阀政治问题作了再探索，认为中外学者习称的魏晋南北朝门阀政治，实际上只存在于东晋一朝；门阀政治是皇权政治... ,田余庆,历史&魏晋南北朝&田余庆&門閥政治&中国古代史&中国历史&魏晋&魏晋南北朝史,北京大学出版社
https://book.douban.com/subject/26413154/,https://img2.doubanio.com/view/subject/s/public/s28095832.jpg,李光耀观天下, ,9.2,7186人,李光耀 / 北京大学出版社 / 2015-6 / 58.00元,暂无,李光耀,李光耀&政治&传记&新加坡&人物&社会&历史&智慧,北京大学出版社
https://book.douban.com/subject/26658395/,https://img9.doubanio.com/view/subject/s/public/s29122796.jpg,政治学通识, ,9.2,4114人,包刚升 / 北京大学出版社 / 2015-11 / 49.00元,本书是作者在复旦大学政治学课程讲义的基础上修改润色而成的。本书力求成为一部通俗易懂、深入浅出的政治学普及入门读物。这部书正是为那些对政治和公共事务感兴趣的读... ,包刚升,政治学&政治&入门&通识&社会科学&政治科学&政治哲学&社科,北京大学出版社
https://book.douban.com/subject/25935941/,https://img9.doubanio.com/view/subject/s/public/s27685036.jpg,天朝的崩溃（修订版）,鸦片战争再研究,9.4,6807人,茅海建 / 生活·读书·新知三联书店 / 2014-10 / 59.00元,本书大量使用中国第一历史档案馆所藏清朝奏折，和英国所藏中英交涉文件、日本学者汇编资料集等等，详尽考订并重建了与战争相关的大量基本史实。作者抓住几个主要人物为... ,茅海建,历史&中国近代史&鸦片战争&近代史&茅海建&中国历史&中国&学术,生活·读书·新知三联书店
https://book.douban.com/subject/34928222/,https://img2.doubanio.com/view/subject/s/public/s33578801.jpg,第三帝国的到来,第三帝国三部曲01,9.4,2628人,[英] 理查德·J. 埃文斯 / 赖丽薇 / 九州出版社 / 2020-2 / 145.00元,德国在一战前曾是欧洲最富裕、最强大的经济体，反犹主义在政治中明显处于边缘地位。然而，起初只是一群极端分子和恶棍的纳粹党人，在数年之中就把德国变成了一党独裁的... ,理查德·J. 埃文斯,历史&德国&二战&欧洲史&政治&历史文化&理想国译丛&社会,九州出版社
https://book.douban.com/subject/3580750/,https://img9.doubanio.com/view/subject/s/public/s8873145.jpg,潜规则（修订版）,中国历史中的真实游戏,8.2,9777人,吴思 / 复旦大学出版社 / 2009-2 / 28.00,这部以历史为解读对象的著作中，作者以亦雅亦俗、亦庄亦谐的写作方式，叙述了历史上值得人们思考的大大小小的无数案例，在生动、有趣地讲述官场故事的同时，作者透过历... ,吴思,历史&潜规则&吴思&社会&政治&中国历史&社会学&中国,复旦大学出版社
https://book.douban.com/subject/35659142/,https://img9.doubanio.com/view/subject/s/public/s34039825.jpg,法西斯谎言简史, ,7.5,139人,[阿根廷]费德里科·芬切尔斯坦 / 张见微 / 一頁丨辽宁人民出版社、广西师范大学出版社 / 2021-11 / 54,暂无,费德里科·芬切尔斯坦,历史&政治学&二战&政治&世界史&传播学&近代史&历史思考,一頁丨辽宁人民出版社
https://book.douban.com/subject/35541211/,https://img1.doubanio.com/view/subject/s/public/s33952528.jpg,共产党宣言, ,9.1,1101人,[德] 卡尔·马克思、[德] 弗里德里希·恩格斯 / 陈望道 / 湖南人民出版社 / 2021-7 / 35.00,《共产党宣言》是科学社会主义的第一个纲领性文献，其发表标志着马克思主义的诞生。1920年陈望道完成《宣言》首个中文全译本的翻译，对中国共产党的成立和马克思主... ,卡尔·马克思&弗里德里希·恩格斯,马克思主义&哲学&政治&社会科学&信仰&社会学&理论&宪法学,湖南人民出版社
https://book.douban.com/subject/5372471/,https://img3.doubanio.com/view/subject/s/public/s4630880.jpg,党员、党权与党争,1924-1949年中国国民党的组织形态,9.2,3553人,王奇生 / 华文出版社 / 2010-11 / 48.00元,《党员、党权与党争:1924—1949年中国国民党的组织形态》中讲述了国民党政权是中国历史上出现的第一个党治政权。它的建立，标志着中国政治形态在漫长的王朝帝... ,王奇生,国民党&中国近代史&历史&政治&王奇生&民国史&政治学&民国,华文出版社
https://book.douban.com/subject/30246943/,https://img9.doubanio.com/view/subject/s/public/s34044216.jpg,苏联解体亲历记, ,8.9,136人,[美] 小杰克·F. 马特洛克 / 张敏谦 等 / 上海三联书店 / 2021-12 / 158.00元,暂无,小杰克·F. 马特洛克,历史&苏联&苏联史&苏联研究&世界史&当代史&苏俄&俄罗斯,上海三联书店
https://book.douban.com/subject/26901114/,https://img2.doubanio.com/view/subject/s/public/s29399593.jpg,中国国家治理的制度逻辑,一个组织学研究,9.2,7028人,周雪光 / 生活·读书·新知三联书店 / 2017-3-1 / 45.00元,关于中国国家的治理逻辑，本书主要沿着两条脉络进行探讨：一是中央权威与地方政府之间的关系，这体现在各级政府体制的制度设施和行为方式；一是国家与民众之间的关系，... ,周雪光,中国政治&社会学&政治学&国家治理&中国研究&政治&周雪光&制度主义,生活·读书·新知三联书店
https://book.douban.com/subject/26607419/,https://img1.doubanio.com/view/subject/s/public/s34067257.jpg,论中国, ,9.0,3589人,[美] 亨利·基辛格 / 胡利平 / 中信出版社 / 2015-7 / 68.00元,《论中国》是美国前国务卿、“政坛常青树”亨利·基辛格一部中国问题专著。他以一位资深外交家和思想家的独特视角，分析和梳理了中国自鸦片战争以来的外交传统，从围棋... ,亨利·基辛格,国际关系&基辛格&政治&中国&中美关系&历史&外交&政治学,中信出版社
https://book.douban.com/subject/1027191/,https://img9.doubanio.com/view/subject/s/public/s1768916.jpg,历史深处的忧虑,近距离看美国之一,9.0,41193人,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,美国的面积和中国差不多。和大多数留学生及新移民一样，当我们一脚踏上这块广袤的陌生土地时，最初落脚点的选择是十分偶然的。我们落在了一个普通的地方，居住的环境平... ,林达,美国&林达&政治&历史&文化&社会&民主&随笔,生活·读书·新知三联书店
https://book.douban.com/subject/10434849/,https://img2.doubanio.com/view/subject/s/public/s33877903.jpg,中国历代政治得失, ,9.3,9717人,钱穆 / 九州出版社 / 2012-2-1 / 16.00元,1952年春，钱穆先生应有关方面之邀，以“中国历代政治得失”为题进行了五次讲演。《中国历代政治得失)》即是先生根据讲义整理而成，分别从“政府的组织”、“考试... ,钱穆,历史&钱穆&中国历史&政治&制度&中国&文化&经典,九州出版社
https://book.douban.com/subject/1060774/,https://img2.doubanio.com/view/subject/s/public/s1291183.jpg,君主论, ,8.7,17375人,[意]尼科洛·马基雅维里 / 潘汉典 / 商务印书馆 / 2005-10 / 9.00,作者马基雅维里（1469—1527），近代政治思想的主要奠基人。在中世纪后期的政治思想家中，马基雅维里第一个明显地摆脱了神学和伦理学的束缚，为政治学和法学开... ,尼科洛·马基雅维里,马基雅维利&政治学&政治&君主论&哲学&历史&意大利&政治哲学,商务印书馆
https://book.douban.com/subject/1418776/,https://img1.doubanio.com/view/subject/s/public/s33686288.jpg,美国反对美国, ,8.9,1844人,王沪宁 / 上海文艺出版社 / 1991-1 / 5.00元,"本书作者以一个观察者去研究和看待美国社会,主要探讨美国社会的政治和社会管理过程,书中具体描绘和事实纪录多于抽象推理,主要是用事实的美国对想象中的美国。 ",王沪宁,王沪宁&政治&政治学&美国&美国研究&美国政治&比较政治,上海文艺出版社
https://book.douban.com/subject/27120243/,https://img2.doubanio.com/view/subject/s/public/s29533231.jpg,转型中的地方政府（第二版）,官员激励与治理（第二版）,9.3,1322人,周黎安 / 格致出版社  上海三联书店   上海人民出版社 / 2017-8 / 78.00元,中国在过去30年取得了经济增长的奇迹，其中，有些学者从政府的角度来解析经济发展之谜，尤其是关注于地方政府在发展中充当的角色以及地方政府与中央政府的博弈过程。... ,周黎安,中国政治&政治经济学&政治学&社会学&政治&中国&经济学&社会科学,格致出版社
https://book.douban.com/subject/3808982/,https://img2.doubanio.com/view/subject/s/public/s3858411.jpg,动物庄园, ,9.3,32688人,乔治•奥威尔 (George Orwell) / 隗静秋 / 上海三联书店 / 2009-6-1 / 16.00元,《动物庄园(买中文版送英文版)》内容为：小说不属于人们所熟悉的蕴含教训的传统寓言，而是对现代政治神话的一种寓言式解构。“它是一部革命史，但它误入歧途，而且第... ,乔治•奥威尔,乔治·奥威尔&政治寓言&反乌托邦&讽刺&政治&小说&外国文学&英国,上海三联书店
https://book.douban.com/subject/27012117/,https://img2.doubanio.com/view/subject/s/public/s29602841.jpg,政治的逻辑,马克思主义政治原理,8.6,245人,王沪宁、林尚立、孙关宏 / 上海人民出版社 / 2016-10 / 98.00元,《政治的逻辑》是高校社会科学尤其是政治学、行政学学科研究人士的重要参考书，是党政干部的首选学习马克思主义原理的必备参考书。《政治的逻辑》不仅仅是一本政治学著... ,王沪宁&林尚立&孙关宏,政治学&马克思主义&政治&王沪宁&政治经济学&马克思&社会学&中国,上海人民出版社
https://book.douban.com/subject/35314182/,https://img1.doubanio.com/view/subject/s/public/s33834098.jpg,全球化与国家竞争,新兴七国比较研究,9.1,563人,温铁军 等 / 东方出版社 / 2020-12 / 78元,进入21世纪以来的这20年，金融全球化不断深入，每一个国家都是身处其中的参与者。对于发展中国家来说，金融全球化究竟是机遇还是陷阱？为什么发达国家可以强者恒强... ,温铁军 等,温铁军&政治经济学&国际关系&全球化&经济学&经济&中国&政治,东方出版社
https://book.douban.com/subject/35605802/,https://img1.doubanio.com/view/subject/s/public/s34027437.jpg,帝国的技艺,统治不可统治之地,8.7,87人,郑非 / 一頁folio | 广西师范大学出版社 / 2021-11-1 / 79,暂无,郑非,历史&世界史&政治学&帝国&政治史&历史与记忆&权力&政治,一頁folio | 广西师范大学出版社
https://book.douban.com/subject/30348068/,https://img9.doubanio.com/view/subject/s/public/s29923214.jpg,无规则游戏,阿富汗屡被中断的历史,8.5,3277人,[美] 塔米姆·安萨利 / 钟鹰翔 / 浙江人民出版社 / 2018-11 / 79.00元,塔米姆·安萨利是一位阿富汗裔美国人，他出生和成长在喀布尔，于1964年移居美国，兼有阿富汗和美国两国血统。他讲述的阿富汗故事饱含对故国家园的深切关怀，从局内... ,塔米姆·安萨利,阿富汗&历史&中东&世界史&政治&历史文化&社科&历史学,浙江人民出版社
https://book.douban.com/subject/5246800/,https://img1.doubanio.com/view/subject/s/public/s33937457.jpg,毛泽东传, ,8.3,9644人,[美] 罗斯·特里尔 / 何宇光、刘加英 / 中国人民大学出版社 / 2010-8 / 58.00元,应该怎样认识毛泽东？毫无疑问，这是中国乃至世界历史上一位独一无二的军事家、战略家、政治家、革命家、思想家，也是一位颇有文采的诗人。我们承认人无完人，但在一味... ,罗斯·特里尔,毛泽东&传记&人物传记&历史&政治&中国近代史&人物&中国,中国人民大学出版社
https://book.douban.com/subject/25881102/,https://img9.doubanio.com/view/subject/s/public/s27293486.jpg,独裁者手册,为什么坏行为几乎总是好政治,8.8,6717人,[美] 布鲁诺·德·梅斯奎塔、[美] 阿拉斯泰尔·史密斯 / 骆伟阳 / 江苏文艺出版社 / 2014-5 / CNY 42.00,为什么同样一个人可以在一个国家推行善政却在另一个国家施行最残暴的独裁？在这里，与其说制度是答案还不如说是问题本身。为什么比利时的制度越来越民主，而同一时期，... ,布鲁诺·德·梅斯奎塔&阿拉斯泰尔·史密斯,政治学&政治&社会学&独裁&民主&社会&政治哲学&美国,江苏文艺出版社
