书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35546622/,https://img1.doubanio.com/view/subject/s/public/s33956867.jpg,置身事内,中国政府与经济发展,8.9,10342人,兰小欢 / 上海人民出版社 / 2021-8 / 65.00元,暂无,兰小欢,中国经济&政治经济学&经济学&经济&中国&中国研究&政治&政治学,上海人民出版社
https://book.douban.com/subject/35604961/,https://img2.doubanio.com/view/subject/s/public/s34001352.jpg,身份政治,对尊严与认同的渴求,7.9,542人,[美] 弗朗西斯·福山 / 刘芳 / 理想国｜中译出版社 / 2021-10 / 68.00元,暂无,弗朗西斯·福山,福山&政治学&社会学&政治哲学&理想国译丛&政治&美国&理想国,理想国｜中译出版社
https://book.douban.com/subject/34896921/,https://img9.doubanio.com/view/subject/s/public/s33723475.jpg,父权制与资本主义, ,9.1,7221人,[日] 上野千鹤子 / 邹韵、薛梅 / 浙江大学出版社 / 2020-3 / 58.00元,暂无,上野千鹤子,女性主义&女权主义&社会学&性别研究&女性&上野千鹤子&社会&日本,浙江大学出版社
https://book.douban.com/subject/26658395/,https://img9.doubanio.com/view/subject/s/public/s29122796.jpg,政治学通识, ,9.2,4123人,包刚升 / 北京大学出版社 / 2015-11 / 49.00元,本书是作者在复旦大学政治学课程讲义的基础上修改润色而成的。本书力求成为一部通俗易懂、深入浅出的政治学普及入门读物。这部书正是为那些对政治和公共事务感兴趣的读... ,包刚升,政治学&政治&入门&通识&社会科学&政治科学&政治哲学&社科,北京大学出版社
https://book.douban.com/subject/35659142/,https://img9.doubanio.com/view/subject/s/public/s34039825.jpg,法西斯谎言简史, ,7.5,140人,[阿根廷]费德里科·芬切尔斯坦 / 张见微 / 一頁丨辽宁人民出版社、广西师范大学出版社 / 2021-11 / 54,暂无,费德里科·芬切尔斯坦,历史&政治学&二战&政治&世界史&传播学&近代史&历史思考,一頁丨辽宁人民出版社
https://book.douban.com/subject/35356472/,https://img2.doubanio.com/view/subject/s/public/s33912621.jpg,秦制两千年,封建帝王的权力规则,8.3,2431人,谌旭彬 / 浙江人民出版社 / 2021-7 / 88.00,暂无,谌旭彬,历史&中国历史&秦汉史&政治&政治学&中国&社会&中国史,浙江人民出版社
https://book.douban.com/subject/35605802/,https://img1.doubanio.com/view/subject/s/public/s34027437.jpg,帝国的技艺,统治不可统治之地,8.7,88人,郑非 / 一頁folio | 广西师范大学出版社 / 2021-11-1 / 79,暂无,郑非,历史&世界史&政治学&帝国&政治史&历史与记忆&权力&政治,一頁folio | 广西师范大学出版社
https://book.douban.com/subject/26901114/,https://img2.doubanio.com/view/subject/s/public/s29399593.jpg,中国国家治理的制度逻辑,一个组织学研究,9.2,7037人,周雪光 / 生活·读书·新知三联书店 / 2017-3-1 / 45.00元,关于中国国家的治理逻辑，本书主要沿着两条脉络进行探讨：一是中央权威与地方政府之间的关系，这体现在各级政府体制的制度设施和行为方式；一是国家与民众之间的关系，... ,周雪光,中国政治&社会学&政治学&国家治理&中国研究&政治&周雪光&制度主义,生活·读书·新知三联书店
https://book.douban.com/subject/1004821/,https://img9.doubanio.com/view/subject/s/public/s1068535.jpg,理想国, ,8.8,29241人,[古希腊] 柏拉图 / 郭斌和、张竹明 / 商务印书馆 / 1986-8 / 28.00元,暂无,柏拉图,哲学&柏拉图&理想国&西方哲学&古希腊&经典&政治哲学&政治学,商务印书馆
https://book.douban.com/subject/30122152/,https://img1.doubanio.com/view/subject/s/public/s29673788.jpg,小镇喧嚣,一个乡镇政治运作的演绎与阐释,8.9,1147人,吴毅 / 生活·读书·新知三联书店 / 2018-2 / 68.00元,基层迎检、开发纷争、征收税费、产业调整、征地“种房”、维权争利……“喧嚣”一词，释尽乡镇日常政治种种人事与结构交织碰撞的众声嘈杂。本书以后现代叙事策略，围绕... ,吴毅,社会学&政治学&中国&社会&文化研究&人文&三联&好书，值得一读,生活·读书·新知三联书店
