书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35426737/,https://img3.doubanio.com/view/subject/s/public/s33879350.jpg,吴军数学通识讲义,原来数学可以这样用,8.8,619人,吴军 / 新星出版社 / 2021-4 / 99.00元,如何一眼识破庞氏骗局、做好理财、投资？如何在购房贷款时做出最优选择？如何增加简历通过初筛的几率？如何规划公司的发展曲线？更重要的是，如何提升自己的认知水平？... ,吴军,数学&科普&通识教育&吴军&教育&我想读这本书&文化&科技,新星出版社
https://book.douban.com/subject/35292688/,https://img1.doubanio.com/view/subject/s/public/s33823248.jpg,微积分的力量, ,8.7,987人,[美] 史蒂夫·斯托加茨 / 任烨 / 中信出版集团 / 2021-1 / 69.00元,微积分是人类历史上的伟大思想成就之一，也是数学领域不可或缺的一个重要分支。除此之外，我们更应该关注的事实是：如果没有微积分，人类就不可能发明电视、微波炉、移... ,史蒂夫·斯托加茨,数学&科普&微积分&数学文化&自然科学&科学文化&自然科学相关&物理,中信出版集团
https://book.douban.com/subject/35627828/,https://img1.doubanio.com/view/subject/s/public/s34018707.jpg,尖叫的数学,令人惊叹的数学之美,7.6,58人,[意]翁贝托·博塔兹尼 / 余婷婷 / 湖南科学技术出版社 / 2021-10 / 54.80元,暂无,翁贝托·博塔兹尼,数学&科普&数学史&科学&博物&2021&未知&新书记,湖南科学技术出版社
https://book.douban.com/subject/35653750/,https://img9.doubanio.com/view/subject/s/public/s34037166.jpg,穿过一条街道的方法,无穷大简史,8.8,42人,[美] 大卫•福斯特·华莱士 / 胡凯衡 / 广东人民出版社 / 2021-11-15 / 78元,暂无,大卫•福斯特·华莱士,数学&科普&数学史&方法论&历史&小说&美国&外国文学,广东人民出版社
https://book.douban.com/subject/10750155/,https://img9.doubanio.com/view/subject/s/public/s9114855.jpg,数学之美, ,8.7,12035人,吴军 / 人民邮电出版社 / 2012-5-1 / 45.00元,几年前，“数学之美”系列文章原刊载于谷歌黑板报，获得上百万次点击，得到读者高度评价。读者说，读了“数学之美”，才发现大学时学的数学知识，比如马尔可夫链、矩阵... ,吴军,数学&计算机&科普&吴军&计算机科学&互联网&科学&思维,人民邮电出版社
https://book.douban.com/subject/1320282/,https://img3.doubanio.com/view/subject/s/public/s1802550.jpg,什么是数学,对思想和方法的基本研究,9.1,3820人,[美] R·柯朗 H·罗宾 著、I·斯图尔特 修订 / 左平、张饴慈 / 复旦大学出版社 / 2005-5 / 37.00元,《什么是数学》既是为初学者也是为专家，既是为学生也是为教师，既是为哲学家也是为工程师而写的。它是一本世界著名的数学科普读物。书中搜集了许多经典的数学珍品，给... ,R·柯朗 H·罗宾 著&I·斯图尔特 修订,数学&科普&思维&什么是数学&方法论&科学&自然科学&本质,复旦大学出版社
https://book.douban.com/subject/1291204/,https://img1.doubanio.com/view/subject/s/public/s1789059.jpg,哥德尔、艾舍尔、巴赫,集异璧之大成,9.4,7396人,[美] 侯世达 / 严勇、刘皓明、莫大伟 / 商务印书馆 / 1997-5 / 88.00元,集异璧－GEB，是数学家哥德尔、版画家艾舍尔、音乐家巴赫三个名字的前缀。《哥德尔、艾舍尔、巴赫书：集异璧之大成》是在英语世界中有极高评价的科普著作，曾获得普... ,侯世达,哲学&科普&逻辑&数学&人工智能&科学&计算机&哥德尔,商务印书馆
https://book.douban.com/subject/35568328/,https://img9.doubanio.com/view/subject/s/public/s33991224.jpg,刘嘉概率论通识讲义, ,8.3,295人,刘嘉 / 新星出版社 / 2021-9 / 69.00元,概率论是数学学科里很基础、很年轻、应用很广泛的一门学科，它不仅和我们日常生活息息相关，更是当今大火的大数据和人工智能技术的基础。不学概率论，就没法看懂前沿科... ,刘嘉,概率&数学&科普&统计学&通识&统计&社科&研究方法,新星出版社
https://book.douban.com/subject/35033507/,https://img2.doubanio.com/view/subject/s/public/s33621061.jpg,数学之美（第三版）, ,8.8,658人,吴军 / 人民邮电出版社 / 2020-4 / 69.00元,八年前，“数学之美”系列文章原刊载于谷歌黑板报，获得上百万次点击，得到读者高度评价。读者说，读了“数学之美”，才发现大学时学的数学知识，比如马尔可夫链、矩阵... ,吴军,数学&科普&数学文化&计算机&吴军&科学&数据分析&信息,人民邮电出版社
https://book.douban.com/subject/34466299/,https://img2.doubanio.com/view/subject/s/public/s33517451.jpg,天才基本法, ,8.5,10609人,长洱 / 江苏凤凰文艺出版社 / 2019-7 / 78.00元,暂无,长洱,成长&励志&数学&小说&学习&亲情&天才&长洱,江苏凤凰文艺出版社
