书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35682943/,https://img9.doubanio.com/view/subject/s/public/s34055744.jpg,迷影,创发一种观看的方法，书写一段文化的历史 1944—1968,9.2,40人,[法]安托万·德巴克 / 蔡文晟 / 武汉大学出版社 / 2021-12 / 78.00元,暂无,安托万·德巴克,电影&法国&艺术&影评&社会史&2021&社科&外国,武汉大学出版社
https://book.douban.com/subject/25976544/,https://img1.doubanio.com/view/subject/s/public/s27598249.jpg,故事,材质、结构、风格和银幕剧作的原理,9.2,14990人,[美] 罗伯特·麦基 / 周铁东 / 天津人民出版社 / 2014-9-1 / 68.00元,自1997年初版以来，《故事》一直是全世界编剧的第一必读经典，至今，仍属于美国亚马逊最畅销图书中的Top 1%。集结了罗伯特•麦基30年的授课经验，本书在对... ,罗伯特·麦基,写作&编剧&创作&电影&故事&文学&罗伯特∙麦基&电影理论,天津人民出版社
https://book.douban.com/subject/35459568/,https://img9.doubanio.com/view/subject/s/public/s33895524.jpg,认识电影（修订第14版）, ,9.5,341人,[美] 路易斯·贾内梯 / 焦雄屏 / 浙江文艺出版社 / 2021-5 / 158.00元,"◆ 长销40年的经典电影入门书，自20世纪70年代问世以来，被北京电影学院、北京大学、哈佛大学、MIT、纽约大学等知名院校指定为影视课程教材,备受电影人、学... ",路易斯·贾内梯,电影&艺术&认识电影&科普&经典&人文&学习方法&我想读这本书,浙江文艺出版社
https://book.douban.com/subject/34922269/,https://img2.doubanio.com/view/subject/s/public/s33546871.jpg,Mondo电影海报艺术典藏, ,9.5,2175人,[美]Mondo公司 / 江汇、孙宝库 / 四川美术出版社 / 2019-12 / 398.00元,暂无,Mondo公司,艺术&电影&海报&设计&画册&画集&后浪&美国,四川美术出版社
https://book.douban.com/subject/35660669/,https://img1.doubanio.com/view/subject/s/public/s34048929.jpg,电影中的东京, ,8.3,51人,[日] 佐藤忠男 / 沈念 / 上海人民出版社 / 2021-12-20 / 72,现代日本的首都——东京之中，凝缩了日本人各种各样的生活。本书的特色是将东京置于历史之中去探讨。佐藤先生的电影论好就好在，他很重视人的活法，以及这些活法所带来... ,佐藤忠男,电影&日本&日本研究&东京&艺术&城市&历史&城市研究,上海人民出版社
https://book.douban.com/subject/26435510/,https://img2.doubanio.com/view/subject/s/public/s28622011.jpg,雕刻时光, ,9.5,5823人,[苏] 安德烈·塔可夫斯基 / 张晓东 / 南海出版公司 / 2016-5 / 45.00元,暂无,安德烈·塔可夫斯基,电影&艺术&安德烈·塔可夫斯基&塔可夫斯基&美学&俄罗斯&雕刻时光&关于电影,南海出版公司
https://book.douban.com/subject/2326403/,https://img2.doubanio.com/view/subject/s/public/s28274132.jpg,认识电影,插图第11版,8.9,16621人,[美] 路易斯·贾内梯、[瑞典] 英格玛·伯格曼 [日] 黑泽明 等供图 / 焦雄屏 / 世界图书出版公司 / 2007-11 / 68.00元,《认识电影》作为电影入门书中的经典之作，用深入浅出的笔触，告诉我们影视传播的手法，并逐项解析其复杂的语言系统与要素。问世几十年以来，此书始终是世界各地影视从... ,路易斯·贾内梯&英格玛·伯格曼 [日] 黑泽明 等供图,电影&电影理论&认识电影（插图第11版）&电影分析&艺术&认识电影&经典&焦雄屏,世界图书出版公司
https://book.douban.com/subject/35561015/,https://img2.doubanio.com/view/subject/s/public/s34032893.jpg,一个故事的99种讲法, ,8.1,453人,[美] 马特·马登 / 黄远帆 / 湖南美术出版社 / 2021-11 / 56.00元,暂无,马特·马登,漫画&写作技巧&写作&叙事&故事&编剧&电影理论&美国,湖南美术出版社
https://book.douban.com/subject/34690053/,https://img1.doubanio.com/view/subject/s/public/s34046089.jpg,空想电影地图, ,9.3,36人,[英] 安德鲁·德格拉夫 绘、[英] A.D.詹姆森 著 / 闫烁 / 四川美术出版社 / 2021-12 / 138.00元,暂无,安德鲁·德格拉夫 绘&A.D.詹姆森 著,电影&画册&艺术&后浪&绘本&设计&图鉴绘本&海报,四川美术出版社
https://book.douban.com/subject/34954799/,https://img1.doubanio.com/view/subject/s/public/s33815468.jpg,王家卫的电影世界, ,8.0,727人,[马来]张建德 / 苏涛 / 北京大学出版社 / 2021-3 / 60.00,《王家卫的电影世界》是系统论述香港导演王家卫的开先河之作，作者在回顾王家卫职业生涯的同时，又深入分析了其迄今为止的电影创作。此外，作者还将王家卫拍摄的广告、... ,张建德,王家卫&电影&电影研究&影视&香港&马来西亚&*北京大学出版社*&2021,北京大学出版社
https://book.douban.com/subject/27062726/,https://img9.doubanio.com/view/subject/s/public/s29486755.jpg,贾想 I,贾樟柯电影手记1996—2008,9.0,9972人,贾樟柯、万佳欢 编 / 理想国|台海出版社 / 2017-6-1 / 49.00元,★ 刚才有年轻人问：“谁能救救我们？”我的回答可能会让年轻人不舒服：这是奴才的思维。永远不要等着谁来救我们。我们都得一步一步救自己，我靠的是一笔一笔地画画，... ,贾樟柯&万佳欢 编,贾樟柯&电影&随笔&电影研究&艺术&文化&理想国&中国,理想国|台海出版社
https://book.douban.com/subject/25712811/,https://img1.doubanio.com/view/subject/s/public/s27181129.jpg,世界电影史（第二版）, ,9.4,2794人,[美]大卫·波德维尔、克里斯汀·汤普森 / 范倍 / 北京大学出版社 / 2014-2-1 / 198.00元,暂无,大卫·波德维尔&克里斯汀·汤普森,电影&电影史&电影理论&艺术&影视艺术&大卫·波德维尔&历史&美国,北京大学出版社
https://book.douban.com/subject/1091203/,https://img1.doubanio.com/view/subject/s/public/s24399718.jpg,少年凯歌, ,9.2,8364人,陈凯歌 / 人民文学出版社 / 2001-6 / 10.00元,在成为著名电影导演之前，他曾有过怎样的人生？陈凯歌亲自执笔，直面他的少年时代。他敢于面对，勇于审视自己，并承认曾经犯过的错误。他的回忆与思考，既富于自省和批... ,陈凯歌,陈凯歌&传记&自传&文革&人物传记&回忆录&成长&中国,人民文学出版社
https://book.douban.com/subject/26848740/,https://img1.doubanio.com/view/subject/s/public/s28946557.jpg,认识电影：全彩插图第12版, ,9.2,3709人,[美] 路易斯·贾内梯 / 焦雄屏 / 北京联合出版公司·后浪出版公司 / 2016-9 / 280.00元,暂无,路易斯·贾内梯,电影&电影理论&艺术&电影学院&文化研究&科普&经典&后浪,北京联合出版公司·后浪出版公司
https://book.douban.com/subject/35133889/,https://img2.doubanio.com/view/subject/s/public/s34036603.jpg,寄生虫：电影分镜, ,9.5,66人,[韩] 奉俊昊 / 李娜 / 海峡文艺出版社 / 2022-1 / 138.00元,暂无,奉俊昊,电影&分镜&韩国&美术&教材&导演&韩语&近代史,海峡文艺出版社
https://book.douban.com/subject/30441551/,https://img1.doubanio.com/view/subject/s/public/s33642427.jpg,烧纸, ,8.6,11588人,[韩] 李沧东 / 金冉 / 武汉大学出版社 / 2020-5 / 58.00,暂无,李沧东,李沧东&韩国文学&韩国&短篇小说&小说&外国文学&电影&导演,武汉大学出版社
https://book.douban.com/subject/21361157/,https://img1.doubanio.com/view/subject/s/public/s26262207.jpg,十年一觉电影梦,李安传,8.7,7107人,张靓蓓 / 中信出版社 / 2013-4 / 49.80元,《十年一觉电影梦》是导演李安以第一人称口述的方式，讲述自己电影生涯第一个十年的追梦历程。这不仅是一个坚持“理想不死”的电影人的成长告白，更是一部探究“如何面... ,张靓蓓,李安&传记&电影&人物传记&成长&梦想&中国&奥斯卡,中信出版社
https://book.douban.com/subject/35239380/,https://img2.doubanio.com/view/subject/s/public/s33764911.jpg,绿眼睛,杜拉斯与电影,8.6,304人,[法] 玛格丽特·杜拉斯 / 陆一琛 / 后浪丨民主与建设出版社 / 2021-1 / 111.00元,暂无,玛格丽特·杜拉斯,玛格丽特·杜拉斯&电影&法国&文学&访谈录&随笔&非虚构&电影学院,后浪丨民主与建设出版社
https://book.douban.com/subject/35148941/,https://img2.doubanio.com/view/subject/s/public/s33864732.jpg,布达佩斯大饭店,韦斯·安德森作品典藏,9.6,515人,[德] 马特·佐勒·塞茨、Matt Zoller Seitz / 邹艾旸 / 后浪丨九州出版社 / 2021-5 / 198.00元,暂无,马特·佐勒·塞茨&Matt Zoller Seitz,电影&艺术&绘本&后浪电影学院&德国&后浪&文化研究&长篇小说,后浪丨九州出版社
https://book.douban.com/subject/35553460/,https://img3.doubanio.com/view/subject/s/public/s34000480.jpg,什么才是真正的恐怖, ,6.9,124人,[日] 小中千昭 / 谢鹰 / 后浪丨中国友谊出版公司 / 2021-10 / 68.00元,暂无,小中千昭,电影&日本&恐怖&编剧&文学评论&文化&2021&非虚构,后浪丨中国友谊出版公司
https://book.douban.com/subject/26286364/,https://img1.doubanio.com/view/subject/s/public/s27968687.jpg,剪辑之道,对话沃尔特·默奇,9.0,773人,[加拿大] 迈克尔·翁达杰 / 夏彤 / 北京联合出版公司 / 2015-2 / 45.00元,暂无,迈克尔·翁达杰,剪辑&电影&电影理论&电影研究&艺术&电影学院&后浪&艺术设计,北京联合出版公司
https://book.douban.com/subject/30368115/,https://img2.doubanio.com/view/subject/s/public/s29912071.jpg,在观众灵魂深处编码,——电影编剧实操手册,8.5,268人,刘立春 / 清华大学出版社 北京交通大学出版社 / 2018-9 / 198.00,本书以观众为核心，讲述了如何从高概念到具体动作对于观众的意识与潜意识进行制码、编码，建立有效的观影动力与观影反应，从而对观众的观影过程实施高度具体而精密的操... ,刘立春,编剧&剧本&电影&方法论&导演&制片&剪辑&摄影,清华大学出版社
https://book.douban.com/subject/27091427/,https://img1.doubanio.com/view/subject/s/public/s29529538.jpg,樱桃的滋味,阿巴斯谈电影,9.4,2404人,[伊朗] 阿巴斯·基阿鲁斯达米 / btr / 中信出版集团 / 2017-9 / 48.00元,阿巴斯是伊朗新浪潮电影开创者、诗意电影大师，一生拍摄了22部电影，受到黑泽明、戈达尔等电影巨匠的一致推崇。1997年，阿巴斯凭借《樱桃的滋味》获得戛纳电影节... ,阿巴斯·基阿鲁斯达米,电影&阿巴斯&艺术&电影书&伊朗&文学&我想读这本书&小说,中信出版集团
https://book.douban.com/subject/35239668/,https://img1.doubanio.com/view/subject/s/public/s33750289.jpg,电影海报艺术史, ,8.6,131人,伊恩·海顿·史密斯、Ian Haydn Smith / 杜盈 / 中国画报出版社 / 2020-12 / 198.00元,《电影海报艺术史》以110个专题和579幅图片从创意和商业的角度介绍了海报的设计、风格的发展、政治和意识形态的影响，以及商业在电影海报发展中的作用等，按照时... ,伊恩·海顿·史密斯&Ian Haydn Smith,电影&海报&设计&艺术&艺术史&历史,中国画报出版社
https://book.douban.com/subject/35665818/,https://img9.doubanio.com/view/subject/s/public/s34048454.jpg,明亮的时刻,单读28,8.4,209人,吴琦（主编） / 上海文艺出版社 / 2021-11 / 65,本辑《单读》继续关注当代青年创作者，与山一国际女性电影展合作，发表5位当代青年女导演的电影剧本和创作谈。这是单读首次用电影剧本的形式，呈现变化中的当代生活—... ,吴琦,单读&电影&女性主义&剧本&文学&性别研究&非虚构&2021,上海文艺出版社
https://book.douban.com/subject/1080370/,https://img9.doubanio.com/view/subject/s/public/s1127135.jpg,情书, ,8.6,98488人,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,日本神户，渡边博子在未婚夫藤井树的三周年祭日上又一次陷入到悲痛和思念之中。博子在藤井树的中学同学录里找到了他在小樽市读书时的地址。由于抑制不住对爱人的怀念，... ,岩井俊二,岩井俊二&情书&爱情&日本&日本文学&小说&青春&纯爱,天津人民出版社
https://book.douban.com/subject/10739689/,https://img9.doubanio.com/view/subject/s/public/s9100236.jpg,伟大的电影, ,8.6,3030人,[美] 罗杰·伊伯特 / 殷宴、周博群 / 广西师范大学出版社 / 2012-5 / 68.00元,暂无,罗杰·伊伯特,电影&影评&罗杰·伊伯特&影视艺术&艺术&美国&电影书&电影理论,广西师范大学出版社
https://book.douban.com/subject/35479534/,https://img9.doubanio.com/view/subject/s/public/s34056335.jpg,日本电影的黄金时代,仲代达矢访谈录,8.9,14人,[日]春日太一 / 吴伟丽 / 上海人民出版社 / 2022-1 / 58.00元,暂无,春日太一,电影&日本&日本电影&访谈录&艺术&传记与回忆&日本研究&新书记,上海人民出版社
https://book.douban.com/subject/1155722/,https://img1.doubanio.com/view/subject/s/public/s1591259.jpg,电影批评, ,8.9,3076人,戴锦华 / 北京大学出版社 / 2004-3 / 18.00元,《电影批评》是“教育部人才培养模式和开放教育试点教材”之一种。作者从具体电影的批评方法入手来进行《电影批评》写作，具有文学案例研究的方式。在进入具体的文本分... ,戴锦华,戴锦华&电影&电影批评&电影理论&电影评论&文化研究&电影解读&艺术,北京大学出版社
https://book.douban.com/subject/30304849/,https://img1.doubanio.com/view/subject/s/public/s29864848.jpg,拍电影时我在想的事, ,8.9,6165人,[日] 是枝裕和 / 褚方叶 / 南海出版公司 / 2018-9 / 88.00元,暂无,是枝裕和,是枝裕和&电影&日本&电影人&随笔&日本文学&电影理论&传记,南海出版公司
https://book.douban.com/subject/35625594/,https://img9.doubanio.com/view/subject/s/public/s34017356.jpg,追逐那声音,莫里康内口述自传,8.6,56人,[意] 埃尼奥·莫里康内、[意] 亚历山德罗·德罗萨 / 邵思宁 / 后浪丨中国友谊出版公司 / 2021-9 / 90.00元,暂无,埃尼奥·莫里康内&亚历山德罗·德罗萨,音乐&传记&电影&艺术&意大利&后浪&随笔,后浪丨中国友谊出版公司
https://book.douban.com/subject/35133891/,https://img2.doubanio.com/view/subject/s/public/s34036602.jpg,寄生虫：原创剧本, ,8.6,74人,[韩] 奉俊昊、[韩] 韩珍元 / 李娜 / 海峡文艺出版社 / 2022-1 / 60.00元,暂无,奉俊昊&韩珍元,剧本&电影&韩国&惊悚&韩语&后浪&2021&东亚,海峡文艺出版社
https://book.douban.com/subject/11601218/,https://img1.doubanio.com/view/subject/s/public/s11184017.jpg,眨眼之间,电影剪辑的奥秘（第2版）,8.1,3018人,[美] 沃尔特·默奇 / 夏彤 / 北京联合出版公司 / 2012-8 / 26.00元,本书汇集了著名剪辑师沃尔特·默奇极具创造性的、多层面的思考，可以说这对过去的剪辑观念形成了一定的挑战。开篇他便提出了一个最基本的问题：为什么剪接可以被接受？... ,沃尔特·默奇,剪辑&电影&电影理论&艺术&電影&美国&心理学&摄影,北京联合出版公司
https://book.douban.com/subject/27174130/,https://img1.doubanio.com/view/subject/s/public/s29660257.jpg,北野武的小酒馆, ,8.0,33927人,[日] 北野武 / 姜向明 / 新星出版社 / 2017-12 / 45.00,暂无,北野武,北野武&随笔&日本&日本文学&文学&电影&我想读这本书&雅众文化,新星出版社
https://book.douban.com/subject/35316407/,https://img3.doubanio.com/view/subject/s/public/s33796280.jpg,救猫咪：电影编剧指南, ,7.8,796人,[美] 布莱克·斯奈德 / 孟影 / 浙江文艺出版社 / 2021-1 / 49.8,暂无,布莱克·斯奈德,编剧&电影&文化&小说&推理&奇怪的东西&写作&译本,浙江文艺出版社
https://book.douban.com/subject/35602267/,https://img9.doubanio.com/view/subject/s/public/s33998605.jpg,色,彩书一种——1993年6月,8.5,146人,[英] 德里克·贾曼 / 江文宇 / 一頁folio | 广西师范大学出版社 / 2021-10 / 68.00元,暂无,德里克·贾曼,艺术&色彩&随笔&英国文学&英国&电影&奇怪的东西&非虚构,一頁folio | 广西师范大学出版社
https://book.douban.com/subject/30301599/,https://img9.doubanio.com/view/subject/s/public/s29846936.jpg,电影的秘密,形式与意义（插图第6版）,9.0,1000人,[美] 斯蒂芬·普林斯 / 王彤 / 文化发展出版社 / 2018-11 / 110.00元,暂无,斯蒂芬·普林斯,电影&电影理论&电影艺术&艺术&文化研究&美国&导演&后浪,文化发展出版社
https://book.douban.com/subject/26717137/,https://img1.doubanio.com/view/subject/s/public/s28446099.jpg,故事,材质、结构、风格和银幕剧作的原理,9.3,3958人,罗伯特・麦基 / 周铁东 / 天津人民出版社 / 2016-1 / 49.00元,暂无,罗伯特・麦基,写作&编剧&电影理论&电影&罗伯特·麦基&文学&故事&文学理论,天津人民出版社
https://book.douban.com/subject/35638367/,https://img1.doubanio.com/view/subject/s/public/s34026677.jpg,希区柯克传, ,7.6,84人,[英] 彼得·阿克罗伊德 / 孙微纳 / 后浪丨北京联合出版公司 / 2021-11 / 74.00,暂无,彼得·阿克罗伊德,希区柯克&传记&电影&人物传记&导演&经典&后浪&历史,后浪丨北京联合出版公司
https://book.douban.com/subject/30159631/,https://img2.doubanio.com/view/subject/s/public/s33588513.jpg,看电影的艺术（第8版）, ,9.1,154人,[美] 丹尼斯·W. 皮特里、[美] 约瑟夫·M·博格斯 / 郭侃俊、张菁 / 北京大学出版社 / 2020-3 / 128.00元,《看电影的艺术》为美国热门电影教材，被加州大学伯克利分校等四百余所高校采用，现推出全彩的第8版，更新了179个电影案例。全书分15章，深入浅出地讲解了电影在... ,丹尼斯·W. 皮特里&约瑟夫·M·博格斯,电影&电影理论&艺术&电影评论&美国&理论&北京大学出版社&2020,北京大学出版社
https://book.douban.com/subject/35231518/,https://img2.doubanio.com/view/subject/s/public/s33788132.jpg,贾樟柯的世界, ,7.8,612人,[法] 让-米歇尔·付东（Jean-Michel Frodon） / 孔潜 / 广西师范大学出版社 / 2021-1 / 68.00,暂无,让-米歇尔·付东,贾樟柯&电影&传记&纪实&文学评论&理想国&法国&影视,广西师范大学出版社
https://book.douban.com/subject/27600198/,https://img1.doubanio.com/view/subject/s/public/s29633249.jpg,贾想II,贾樟柯电影手记2008—2016,8.4,6764人,贾樟柯、万佳欢 编 / 理想国 | 台海出版社 / 2018-1 / 49.00,暂无,贾樟柯&万佳欢 编,贾樟柯&电影&随笔&艺术&电影人&传记&理想国&中国,理想国 | 台海出版社
https://book.douban.com/subject/27091035/,https://img2.doubanio.com/view/subject/s/public/s29498931.jpg,魔灯,英格玛·伯格曼自传,9.0,2351人,[瑞典] 英格玛·伯格曼 / 张红军 / 广西师范大学出版社 / 2017-8 / 88.00元,《魔灯》是世界电影巨匠英格玛•伯格曼唯一的生平自述，写于作者拍摄完《芬妮与亚历山大》，宣布结束自己的电影生涯的五年之后。与他的影片同样，本书充满了生动的细节... ,英格玛·伯格曼,传记&英格玛·伯格曼&电影&伯格曼&瑞典&外国文学&理想国&2017,广西师范大学出版社
https://book.douban.com/subject/26416255/,https://img9.doubanio.com/view/subject/s/public/s28100265.jpg,电影艺术 : 形式与风格（插图修订第8版）, ,9.1,692人,[美]大卫·波德维尔（David Bordwell）、克里斯汀·汤普森（Kristin Thompson） / 曾伟祯 / 北京联合出版公司·后浪出版公司 / 2015-7 / 88.00元,暂无,大卫·波德维尔&克里斯汀·汤普森,电影&电影理论&艺术&大卫·波德维尔&后浪&美国&电影学院,北京联合出版公司·后浪出版公司
https://book.douban.com/subject/34896033/,https://img2.doubanio.com/view/subject/s/public/s33576031.jpg,映画术,如此导戏何以抓住人心,8.5,530人,[日] 盐田明彦 / 伯劳、伍楚 / 后浪丨贵州人民出版社 / 2020-2 / 68.00元,暂无,盐田明彦,电影&日本&导演&后浪&表演&活着,后浪丨贵州人民出版社
