书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/4913064/,https://img9.doubanio.com/view/subject/s/public/s27279654.jpg,活着, ,9.4,658655人,余华 / 作家出版社 / 2012-8-1 / 20.00元,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵... ,余华,余华&人性&人生&活着&中国文学&社会&经典&小说,作家出版社
https://book.douban.com/subject/35517022/,https://img2.doubanio.com/view/subject/s/public/s33968312.jpg,鹿川有许多粪, ,9.1,4301人,李沧东 / 春喜 / 武汉大学出版社 / 2021-8 / 58.00元,暂无,李沧东,李沧东&韩国文学&韩国&小说&韩国小说&社会&短篇小说集&文学,武汉大学出版社
https://book.douban.com/subject/35230281/,https://img2.doubanio.com/view/subject/s/public/s33792562.jpg,下沉年代, ,8.6,3508人,[美] 乔治·帕克 (George Packer) / 刘冉 / 文汇出版社 / 2021-1 / 108,暂无,乔治·帕克,社会学&美国&美国史&社会&非虚构&历史&2020&奥巴马,文汇出版社
https://book.douban.com/subject/25836270/,https://img1.doubanio.com/view/subject/s/public/s33797467.jpg,厌女,日本的女性嫌恶,9.0,28660人,(日) 上野千鹤子 / 王兰 / 上海三联书店 / 2015-1 / 28.00元,《厌女》不是一部纯理论性著作，而是运用女性主义理论针对日本当代的各种社会现象的实践性分析。《厌女》处理了广泛的日本题材，其中既有文学性的，比如谈到小说家吉行... ,上野千鹤子,女性主义&女性研究&社会学&女权主义&女性&上野千鹤子&日本&心理学,上海三联书店
https://book.douban.com/subject/35317169/,https://img1.doubanio.com/view/subject/s/public/s33841958.jpg,成为波伏瓦, ,9.0,4826人,[英]凯特·柯克帕特里克 / 刘海平 / 中信出版社 / 2021-3 / 78.00,暂无,凯特·柯克帕特里克,女性主义&波伏娃&女性&传记&女权主义&外国文学&文学&社会,中信出版社
https://book.douban.com/subject/34978658/,https://img9.doubanio.com/view/subject/s/public/s33660425.jpg,煤气灯效应,如何认清并摆脱别人对你生活的隐性控制,7.2,3760人,[美]罗宾·斯特恩 / 刘彦 / 中信出版集团 / 2020-6 / 58,暂无,罗宾·斯特恩,心理学&PUA&心理&社会学&社会&2020&没有完美~&新书记,中信出版集团
https://book.douban.com/subject/20427187/,https://img1.doubanio.com/view/subject/s/public/s24514758.jpg,看见, ,8.8,310346人,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,《看见》是知名记者和主持人柴静讲述央视十年历程的自传性作品，既是柴静个人的成长告白书，某种程度上亦可视作中国社会十年变迁的备忘录。十年前她被选择成为国家电视... ,柴静,柴静&纪实&随笔&中国&看见&社会学&社会&传记,广西师范大学出版社
https://book.douban.com/subject/34896921/,https://img9.doubanio.com/view/subject/s/public/s33723475.jpg,父权制与资本主义, ,9.2,7177人,[日] 上野千鹤子 / 邹韵、薛梅 / 浙江大学出版社 / 2020-3 / 58.00元,暂无,上野千鹤子,女性主义&女权主义&社会学&性别研究&女性&上野千鹤子&社会&日本,浙江大学出版社
https://book.douban.com/subject/35253765/,https://img9.doubanio.com/view/subject/s/public/s33760846.jpg,十三邀3 “我们都在给大问题做注脚”, ,9.0,870人,许知远 / 一頁folio | 广西师范大学出版社 / 2020-12-1 / 58.00,暂无,许知远,访谈录&许知远&访谈&知识分子&社会&中国&文化&许倬云,一頁folio | 广西师范大学出版社
https://book.douban.com/subject/27002046/,https://img9.doubanio.com/view/subject/s/public/s29477615.jpg,美丽新世界, ,9.1,31065人,[英] 赫胥黎 / 陈超 / 上海译文出版社 / 2017-6 / 45.00元,出版于一九三二年的《美丽新世界》是奥尔德斯•赫胥黎最杰出的代表作，是二十世纪最著名的反乌托邦文学经典之一，与奥威尔的《一九八四》、扎米亚京的《我们》并称为“... ,赫胥黎,反乌托邦&奥尔德斯·赫胥黎&社会&赫胥黎&小说&英国文学&外国文学&经典,上海译文出版社
https://book.douban.com/subject/35623209/,https://img2.doubanio.com/view/subject/s/public/s34019721.jpg,张医生与王医生, ,8.2,1124人,伊险峰、杨樱 / 文汇出版社 / 2021-11 / 68.00元,暂无,伊险峰&杨樱,非虚构&纪实文学&东北&社会学&纪实&社会&中国&文学,文汇出版社
https://book.douban.com/subject/26576861/,https://img1.doubanio.com/view/subject/s/public/s28260907.jpg,最好的告别,关于衰老与死亡，你必须知道的常识,9.0,37803人,[美] 阿图·葛文德（Atul Gawande） / 王一方 主编、彭小华 / 浙江人民出版社 / 2015-7-31 / 54.90元,当独立、自助的生活不能再维持时，我们该怎么办？在生命临近终点的时刻，我们该和医生谈些什么？应该如何优雅地跨越生命的终点？对于这些问题，大多数人缺少清晰的观念... ,阿图·葛文德,死亡&医学&社会学&伦理&社会&老龄化&养老&阿图·葛文德,浙江人民出版社
https://book.douban.com/subject/27194805/,https://img2.doubanio.com/view/subject/s/public/s33576263.jpg,家庭、私有制和国家的起源, ,9.5,1189人,[德] 弗里德里希·恩格斯 / 中共中央马克思恩格斯列宁斯大林著作编译局 / 人民出版社 / 2018-12 / 30.00,書影代用民國四十三年（1954）10月人民出版社版「家庭、私有制和国家的起源」封面書影。原書號1001.188，有民國四十六年（1957）2月北平6印本。 ,弗里德里希·恩格斯,恩格斯&马克思主义&社会学&政治哲学&社会&政治,人民出版社
https://book.douban.com/subject/1795079/,https://img3.doubanio.com/view/subject/s/public/s1762210.jpg,乡土中国, ,9.2,60661人,费孝通 / 上海人民出版社 / 2006-04-01 / 38.00,著名社会学家费孝通教授，一生行行重行行，实地调查和考察总结中国农村经济发展的各种模式，写下了诸多不朽篇章。本书推出的是学界共认的中国乡土社会传统文化和社会结... ,费孝通,社会学&费孝通&乡土中国&中国社会&社会学　中国农村&文化&中国&社会,上海人民出版社
