书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35593780/,https://img9.doubanio.com/view/subject/s/public/s34008354.jpg,工作、消费主义和新穷人, ,8.3,3651人,[英]齐格蒙特·鲍曼 / 郭楠 / 上海社会科学院出版社 / 2021-9 / 45.00元,在生产者和普遍就业的社会中，贫穷是一回事。在消费者社会中，穷人是另一回事。在后者社会中，生活项目围绕消费者的选择而建立，而不是围绕工作、专业技能而建立。“贫... ,齐格蒙特·鲍曼,社会学&消费主义&经济&贫穷&文化理论&哲学&鲍曼&美国,上海社会科学院出版社
https://book.douban.com/subject/35523099/,https://img2.doubanio.com/view/subject/s/public/s33984963.jpg,从零开始的女性主义, ,8.8,10745人,[日] 上野千鹤子、[日] 田房永子 / 吕灵芝 / 北京联合出版公司 / 2021-9 / 52.00元,暂无,上野千鹤子&田房永子,女性主义&女性&上野千鹤子&社会学&女权&日本&文化&非虚构,北京联合出版公司
https://book.douban.com/subject/25836270/,https://img1.doubanio.com/view/subject/s/public/s33797467.jpg,厌女,日本的女性嫌恶,9.0,28592人,(日) 上野千鹤子 / 王兰 / 上海三联书店 / 2015-1 / 28.00元,《厌女》不是一部纯理论性著作，而是运用女性主义理论针对日本当代的各种社会现象的实践性分析。《厌女》处理了广泛的日本题材，其中既有文学性的，比如谈到小说家吉行... ,上野千鹤子,女性主义&女性研究&社会学&女权主义&女性&上野千鹤子&日本&心理学,上海三联书店
https://book.douban.com/subject/35230281/,https://img2.doubanio.com/view/subject/s/public/s33792562.jpg,下沉年代, ,8.6,3500人,[美] 乔治·帕克 (George Packer) / 刘冉 / 文汇出版社 / 2021-1 / 108,暂无,乔治·帕克,社会学&美国&美国史&社会&非虚构&历史&2020&奥巴马,文汇出版社
https://book.douban.com/subject/34978658/,https://img9.doubanio.com/view/subject/s/public/s33660425.jpg,煤气灯效应,如何认清并摆脱别人对你生活的隐性控制,7.2,3741人,[美]罗宾·斯特恩 / 刘彦 / 中信出版集团 / 2020-6 / 58,暂无,罗宾·斯特恩,心理学&PUA&心理&社会学&社会&2020&没有完美~&新书记,中信出版集团
https://book.douban.com/subject/34933208/,https://img9.doubanio.com/view/subject/s/public/s33939696.jpg,东京贫困女子, ,8.3,4455人,[日]中村淳彦 / 傅栩 / 人民文学出版社 / 2021-8 / 59.00元,暂无,中村淳彦,女性&纪实&日本&社会学&女性主义&日本文学&非虚构&文学,人民文学出版社
https://book.douban.com/subject/35639819/,https://img2.doubanio.com/view/subject/s/public/s34027843.jpg,米拉的猜想, ,8.1,222人,[英] 安格斯·班克罗夫特、[英] 拉尔夫·费弗尔 / 金芳旭 / 上海文化出版社 / 2021-12 / 56.00元,暂无,安格斯·班克罗夫特&拉尔夫·费弗尔,社会学&社会学与人类学&科普&人类学&社會學&英国&文学&外国文学,上海文化出版社
https://book.douban.com/subject/34896921/,https://img9.doubanio.com/view/subject/s/public/s33723475.jpg,父权制与资本主义, ,9.2,7166人,[日] 上野千鹤子 / 邹韵、薛梅 / 浙江大学出版社 / 2020-3 / 58.00元,暂无,上野千鹤子,女性主义&女权主义&社会学&性别研究&女性&上野千鹤子&社会&日本,浙江大学出版社
https://book.douban.com/subject/35434553/,https://img9.doubanio.com/view/subject/s/public/s33890944.jpg,惊呆了！原来这就是社会学, ,8.7,1625人,［日］田中正人、［日］香月孝史 / 刘晓晓 / 南海出版公司 / 2021-5-1 / 59.00元,暂无,田中正人&香月孝史,社会学&社会学理论&科普&入门&日本&社会&社会理论&文化研究,南海出版公司
https://book.douban.com/subject/1795079/,https://img3.doubanio.com/view/subject/s/public/s1762210.jpg,乡土中国, ,9.2,60633人,费孝通 / 上海人民出版社 / 2006-04-01 / 38.00,著名社会学家费孝通教授，一生行行重行行，实地调查和考察总结中国农村经济发展的各种模式，写下了诸多不朽篇章。本书推出的是学界共认的中国乡土社会传统文化和社会结... ,费孝通,社会学&费孝通&乡土中国&中国社会&社会学　中国农村&文化&中国&社会,上海人民出版社
https://book.douban.com/subject/27194805/,https://img2.doubanio.com/view/subject/s/public/s33576263.jpg,家庭、私有制和国家的起源, ,9.5,1182人,[德] 弗里德里希·恩格斯 / 中共中央马克思恩格斯列宁斯大林著作编译局 / 人民出版社 / 2018-12 / 30.00,書影代用民國四十三年（1954）10月人民出版社版「家庭、私有制和国家的起源」封面書影。原書號1001.188，有民國四十六年（1957）2月北平6印本。 ,弗里德里希·恩格斯,恩格斯&马克思主义&社会学&政治哲学&社会&政治,人民出版社
https://book.douban.com/subject/25985021/,https://img2.doubanio.com/view/subject/s/public/s27814883.jpg,人类简史,从动物到上帝,9.1,167324人,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,暂无,尤瓦尔·赫拉利,历史&人类简史&人类学&人类&科普&哲学&思维&社会学,中信出版社
https://book.douban.com/subject/35635630/,https://img2.doubanio.com/view/subject/s/public/s34024123.jpg,社会学（第八版）, ,9.7,86人,[英] 安东尼·吉登斯、[英] 菲利普·萨顿 / 李康 / 北京大学出版社 / 2021-11 / 249.00元,暂无,安东尼·吉登斯&菲利普·萨顿,社会学&社会学理论&吉登斯&通识类&教材&社会&教科书&Sociology,北京大学出版社
https://book.douban.com/subject/26585065/,https://img3.doubanio.com/view/subject/s/public/s29497110.jpg,亲密关系, ,9.3,12542人,[美]罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 / 人民邮电出版社 / 2015-6 / 138.00元,亲密关系与泛泛之交有什么区别；大丈夫与小女子真的般配吗；吸引力的秘密是什么；男人与女人真的是不同的动物吗；同性恋真的是由基因决定的吗；单亲家庭的孩子长大后更... ,罗兰·米勒,心理学&亲密关系&人际关系&社会心理学&情感&心理&两性&爱情,人民邮电出版社
https://book.douban.com/subject/35623209/,https://img2.doubanio.com/view/subject/s/public/s34019721.jpg,张医生与王医生, ,8.2,1111人,伊险峰、杨樱 / 文汇出版社 / 2021-11 / 68.00元,暂无,伊险峰&杨樱,非虚构&纪实文学&东北&社会学&纪实&社会&中国&文学,文汇出版社
https://book.douban.com/subject/35596074/,https://img3.doubanio.com/view/subject/s/public/s34025140.jpg,社会理论二十讲, ,9.5,167人,[德] 汉斯·约阿斯、[德] 沃尔夫冈·克诺伯 / 郑作彧 / 上海人民出版社 / 2021-9-1 / 128,本书由作者多年在芝加哥大学、爱尔兰根－纽伦堡大学、柏林自由大学、哥廷根大学等美国及欧洲各大学教授社会学课程的讲稿整理成册，全面介绍了第二次世界大战结束后，德... ,汉斯·约阿斯&沃尔夫冈·克诺伯,社会学&社会理论&社会&社會學&人文与社会译丛&通识类&教材&文化,上海人民出版社
