书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35088492/,https://img2.doubanio.com/view/subject/s/public/s33662063.jpg,生活蒙太奇, ,8.9,8803人,天然 / 湖南文艺出版社 / 2020-7 / 128.00元,《生活蒙太奇》是一部充满奇妙质感的绘本作品，每天都有无数年轻人转发或评论它的精彩画面或动图。#生活蒙太奇#在全球社交媒体上有超过1345万以上的话题阅读（包... ,天然,绘本&治愈&温暖&漫画&生活&美好&绘画&中国,湖南文艺出版社
https://book.douban.com/subject/35623894/,https://img2.doubanio.com/view/subject/s/public/s34016862.jpg,旅行箱里的四季, ,8.9,307人,卤猫 / 浦睿文化·湖南美术出版社 / 2021-11-1 / 128.00元,暂无,卤猫,绘本&艺术&卤猫&画册&绘画&自然&漫画&植物,浦睿文化·湖南美术出版社
https://book.douban.com/subject/35473103/,https://img2.doubanio.com/view/subject/s/public/s33906363.jpg,夏天只是西瓜做的一个梦, ,8.3,416人,曾仁臻（鱼山饭宽） / 北京联合出版公司 / 2021-6 / 69,暂无,曾仁臻,绘本&画集&绘画&古诗词&随笔&中国&亲子&2021,北京联合出版公司
https://book.douban.com/subject/35334622/,https://img1.doubanio.com/view/subject/s/public/s33858059.jpg,对立之美,西方艺术 500 年,8.5,937人,严伯钧 / 中信出版社 / 2021-4-1 / 168.00元,《对立之美：西方艺术 500 年》把以往深奥、晦涩的西方艺术史 “ 翻译 ” 成人人都能听得懂、记得住、用得上的知识资产。把艺术家、艺术品所处年代的社会背景... ,严伯钧,西方美术史&艺术&艺术史&绘画&戏剧&雕塑&舞蹈&2021,中信出版社
https://book.douban.com/subject/26666533/,https://img1.doubanio.com/view/subject/s/public/s28342657.jpg,梵高手稿,梵高书信、画作、珍贵手稿,9.4,4887人,[荷] 文森特•梵高、[美]  H. 安娜•苏 / 编 / 57°N艺术小组 / 北京联合出版公司 / 2015-12 / 88.00元,梵高一生中写过很多信，大多数都是寄给弟弟提奥的，也有不少是写给家人和其他艺术家的，如保罗•高更与埃米尔•伯纳德。梵高一生中也画了很多画，而基本上每一幅都被他... ,文森特•梵高&H. 安娜•苏,梵高&艺术&手稿&传记&艺术家&书信&绘画&画集,北京联合出版公司
https://book.douban.com/subject/26975767/,https://img9.doubanio.com/view/subject/s/public/s29347355.jpg,画家之眼, ,8.7,1024人,[美]安德鲁·路米斯 / 陈琇玲 / 北京联合出版公司 / 2016-12-1 / 39.80元,本书展示了天才的艺术家如何思考，高明的画家如何观察世界。同时也启示普通人如何获取灵感。这不仅是一本教你怎么绘画的书，更是一本怎么从不一样的角度去观察和思考世... ,安德鲁·路米斯,绘画&艺术&美术&设计&美术史&艺术与音乐&平面设计&外国,北京联合出版公司
https://book.douban.com/subject/35571387/,https://img9.doubanio.com/view/subject/s/public/s34004174.jpg,观看绘画, ,7.3,78人,[英]肯尼斯·克拉克（Kenneth Clark） / 高薪 / 译林出版社 / 2021-11 / 75.00元,暂无,肯尼斯·克拉克,艺术&艺术史&绘画&译林出版社&英国&视觉文化&藝術史&纸书,译林出版社
https://book.douban.com/subject/35637850/,https://img9.doubanio.com/view/subject/s/public/s34029074.jpg,水彩慢行记,小布老虎钢笔淡彩画集,9.6,34人,小布老虎有点忙 / 金城出版社 / 2021-11 / 72.00,暂无,小布老虎有点忙,水彩&绘画&艺术&生活&旅行&风景&旅游&梦想,金城出版社
https://book.douban.com/subject/35652906/,https://img1.doubanio.com/view/subject/s/public/s34046309.jpg,王羲之放鹅记, ,8.2,150人,叶行一 / 北京联合出版社 / 2021-12-28 / 45,“没有艺术，只有艺术家”。贡布里希的这句名言，对于中国古代艺术似乎尤其适合。中国古代艺术与中国哲学一样，首先关乎的是人，人心的，人性的。所以，古代书画的欣赏... ,叶行一,艺术&文学&中国&小说&随笔&书画&绘画&中国文学,北京联合出版社
https://book.douban.com/subject/35590958/,https://img2.doubanio.com/view/subject/s/public/s34037051.jpg,艺用动态解剖,一看就会的肌肉结构说明书,9.8,28人,[韩] 金乐熹 / 王子衿 / 北京科学技术出版社 / 2021-10 / 259.00元,本书介绍了一种描绘人体动态结构的绘画方法——人体图形化，这种绘画方法以人体解剖学理论和人体运动理论为基础，通过简单的图形表现复杂的人体动态结构。通过本书，你... ,金乐熹,绘画&艺术&人体&设计&工具书&2021&趣味&画画,北京科学技术出版社
https://book.douban.com/subject/30303814/,https://img3.doubanio.com/view/subject/s/public/s33685370.jpg,周末速写,一位《纽约客》视觉设计师的疯狂灵感图集,8.9,315人,[德] 克里斯托弗·尼曼 / 曾子婷 / 上海人民美术出版社 / 2018-8-1 / 158.00元,半部天马行空，半部现实人生。德国鬼才插画家克里斯托弗·尼曼在日常物体上涂鸦寥寥数笔，创作出令人捧腹的趣味画面，发掘寻常生活中的细微意趣；另一面，他将插画与文... ,克里斯托弗·尼曼,设计&插画&创意&艺术&灵感&绘本&绘画&生活,上海人民美术出版社
https://book.douban.com/subject/4011322/,https://img3.doubanio.com/view/subject/s/public/s4134450.jpg,重屏,中国绘画中的媒材与再现,9.0,1598人,（美）巫鸿 / 上海人民出版社 / 2010-1 / 58.00元,画家挥洒翰墨，手卷随手慢慢展开；雅集的士人聚在园林，正赏玩着竹杖挑起的一幅立轴；帝王在画屏前驻足，随后在屏背题诗一首。对于理解中国绘画来说，这些具体的绘画形... ,巫鸿,巫鸿&艺术史&艺术&美术史&中国艺术史&美学&海外中国研究&绘画,上海人民出版社
