书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35216533/,https://img2.doubanio.com/view/subject/s/public/s33766852.jpg,局部：伟大的工匠, ,9.2,485人,陈丹青 / 理想国 | 北京日报出版社 / 2020-12 / 138.00,暂无,陈丹青,陈丹青&艺术&艺术史&美术&理想国&意大利&2020&书架,理想国 | 北京日报出版社
https://book.douban.com/subject/26975767/,https://img9.doubanio.com/view/subject/s/public/s29347355.jpg,画家之眼, ,8.7,1027人,[美]安德鲁·路米斯 / 陈琇玲 / 北京联合出版公司 / 2016-12-1 / 39.80元,本书展示了天才的艺术家如何思考，高明的画家如何观察世界。同时也启示普通人如何获取灵感。这不仅是一本教你怎么绘画的书，更是一本怎么从不一样的角度去观察和思考世... ,安德鲁·路米斯,绘画&艺术&美术&设计&美术史&艺术与音乐&平面设计&外国,北京联合出版公司
https://book.douban.com/subject/26417490/,https://img2.doubanio.com/view/subject/s/public/s28101992.jpg,写给大家的西方美术史, ,8.2,11416人,蒋勋 / 湖南美术出版社 / 2015-7-1 / CNY 68.00,以时间为纬线，以各个艺术流派的艺术家及其代表性的作品为经线，回到历史现场，从史前时期的一把燧石手斧开始，围绕地中海这一世界西方美术的血脉初源，带你一路走过神... ,蒋勋,艺术&西方美术史&蒋勋&艺术史&美学&美术史&绘画&历史,湖南美术出版社
https://book.douban.com/subject/27000443/,https://img2.doubanio.com/view/subject/s/public/s29405411.jpg,世界美术名作二十讲, ,8.5,2461人,傅雷 / 江苏凤凰文艺出版社 / 2017-4-1 / CNY 68.00,书中围绕文艺复兴以来西方近二十位艺术大师及其名作展开讨论，着重介绍了文艺复兴初期自乔托以来，经过“三杰”（达•芬奇米开朗琪罗、拉斐尔），十七世纪的伦勃朗、鲁... ,傅雷,艺术&傅雷&西方美术史&艺术史&美术史&美术&文化&好书，值得一读,江苏凤凰文艺出版社
https://book.douban.com/subject/34923012/,https://img2.doubanio.com/view/subject/s/public/s33800161.jpg,众神的样子,希腊神话与西方艺术,8.9,1014人,江逐浪 / 化学工业出版社 / 2020-1 / 78,看不懂世界名画、读不懂西方文学，是因为你还不够了解希腊神话故事。江逐浪老师一边为你希腊神话故事，一边带你欣赏西方美术作品。本书以希腊神话十二主神为线索，通过... ,江逐浪,希腊神话&西方艺术&艺术&神话&西方文化&希腊&美术&很值得推荐的一本书,化学工业出版社
https://book.douban.com/subject/35133889/,https://img2.doubanio.com/view/subject/s/public/s34036603.jpg,寄生虫：电影分镜, ,9.4,70人,[韩] 奉俊昊 / 李娜 / 海峡文艺出版社 / 2022-1 / 138.00元,暂无,奉俊昊,电影&分镜&韩国&美术&教材&导演&韩语&近代史,海峡文艺出版社
https://book.douban.com/subject/26354318/,https://img1.doubanio.com/view/subject/s/public/s28354107.jpg,梵高传, ,9.2,2386人,[美] 史蒂芬·奈菲、[美] 格雷高里·怀特·史密斯 / 沈语冰、宋倩、何卫华、匡骁 / 译林出版社 / 2015-11 / 128.00,留传世间的《向日葵》和《星夜》是怎么诞生的？真的是他亲手结束了热烈的一生吗？依托梵高博物馆档案和学术研究，取材自数千封书信和海量文献，《梵高传》收录了近20... ,史蒂芬·奈菲&格雷高里·怀特·史密斯,梵高&传记&艺术&人物传记&梵高传&美术&人物&外国文学,译林出版社
https://book.douban.com/subject/35216531/,https://img3.doubanio.com/view/subject/s/public/s33766850.jpg,局部：我的大学, ,8.8,449人,陈丹青 / 理想国 | 北京日报出版社 / 2020-12 / 118.00,暂无,陈丹青,陈丹青&艺术&艺术史&理想国&美术&文化&2020&非虚构,理想国 | 北京日报出版社
https://book.douban.com/subject/27156515/,https://img1.doubanio.com/view/subject/s/public/s29561878.jpg,美术馆里聊怪咖, ,8.0,3901人,[日] 山田五郎、[日] 古山淳子 / 汪婷 / 湖南美术出版社 / 2017-12 / 68.00元,暂无,山田五郎&古山淳子,艺术&艺术史&西方美术&美术&日本&文化&历史&美学,湖南美术出版社
https://book.douban.com/subject/35546313/,https://img1.doubanio.com/view/subject/s/public/s34015159.jpg,小王子, ,9.7,521人,[法]圣·埃克苏佩里、李彬[绘] / 李彬 / 新世纪出版社 / 2021-8-20 / 69.8元,暂无,圣·埃克苏佩里&李彬,小王子&绘本&美术&成长&文学&漫画&法国&欧洲文学,新世纪出版社
