书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35637632/,https://img9.doubanio.com/view/subject/s/public/s34026065.jpg,穿越亚洲腹地（上卷）,向着拉萨漂流前行,9.6,71人,[瑞典] 斯文·赫定 / 林晓云 / 后浪丨广东旅游出版社 / 2021-11 / 110.00,暂无,斯文·赫定,旅行文学&亚洲研究&考古&历史&旅游文学&文学&后浪&外国文学,后浪丨广东旅游出版社
https://book.douban.com/subject/35653494/,https://img1.doubanio.com/view/subject/s/public/s34056597.jpg,考古中国,15位考古学家说上下五千年,8.3,66人,许宏、魏兴涛、唐际根、雷雨、刘瑞、王宁远、孙周勇、赵海涛、蒋文孝、全洪、齐东方、李岩、杨军、郑建明、于春雷 / 中信出版集团•大方 / 2022-1-1 / 168.00元,《考古中国：15位考古学家说上下五千年》是一本以考古视角呈现5000年中华文明的通识读本。精选15个代表中华文明的大遗址，包括殷墟、三星堆、良渚、秦始皇帝陵... ,许宏&魏兴涛&唐际根&雷雨&刘瑞&王宁远&孙周勇&赵海涛&蒋文孝&全洪&齐东方&李岩&杨军&郑建明&于春雷,考古&历史&中国历史&中国&中信出版社&2022&微信读书&文化,中信出版集团•大方
https://book.douban.com/subject/35658871/,https://img2.doubanio.com/view/subject/s/public/s34039401.jpg,岳南大中华史（全两册）,从北京猿人、三星堆到清东陵,7.9,52人,岳南 / 河南文艺出版社 / 2021-12-1 / 188,100年前，大多数中国人对自己历史的认知还停留在：把神话里的三皇五帝作为历史的开端，历史就是帝王将相的历史，中原以外都是蛮夷之地。然而自1921年现代考古诞... ,岳南,考古&历史&中国历史&岳南&好书，值得一读&2021,河南文艺出版社
https://book.douban.com/subject/35482178/,https://img1.doubanio.com/view/subject/s/public/s33914679.jpg,阿富汗访古行记, ,7.8,576人,刘拓 / 北京大学出版社 / 2021-6-30 / 88.00,阿富汗是丝绸之路上东西方文明汇聚之地。此书记录了作者于2014年和2017年两次独自踏寻阿富汗诸多古代遗存的故事。阿富汗局势复杂，访古行旅充满冒险和艰辛，而... ,刘拓,阿富汗&游记&旅行&考古&历史&随笔&文化&非虚构,北京大学出版社
https://book.douban.com/subject/35655681/,https://img9.doubanio.com/view/subject/s/public/s34044345.jpg,热土荒丘五十年,中亚考古回忆录,7.9,25人,（乌兹别克斯坦）瑞德维拉扎 / 陈杰军 / 广西师范大学出版社 | 我思Cogito / 2021-11 / 78,暂无,瑞德维拉扎,考古&中亚&历史&回忆录&考古学&传记&苏联&随笔,广西师范大学出版社
https://book.douban.com/subject/26782702/,https://img1.doubanio.com/view/subject/s/public/s28673568.jpg,何以中国,公元前2000年的中原图景,8.3,1227人,许宏 / 生活·读书·新知三联书店 / 2016-5 / 42,暂无,许宏,历史&考古&考古学&中国历史&中国&上古史&先秦史&先秦,生活·读书·新知三联书店
https://book.douban.com/subject/35637633/,https://img9.doubanio.com/view/subject/s/public/s34026066.jpg,穿越亚洲腹地（下卷）,与楼兰古城不期而遇,9.1,23人,[瑞典] 斯文·赫定 / 林晓云 / 后浪丨广东旅游出版社 / 2021-11 / 110.00元,暂无,斯文·赫定,旅行文学&考古&历史&后浪&纪实&中亚&人文&生活,后浪丨广东旅游出版社
https://book.douban.com/subject/34969964/,https://img3.doubanio.com/view/subject/s/public/s33657000.jpg,了不起的文明现场,跟着一线考古队长穿越历史,8.4,447人,李零、刘斌、许宏、唐际根、高大伦、伊弟利斯·阿不都热苏勒、段清波、杨军、刘瑞、崔勇、樊锦诗 / 生活·读书·新知三联书店 / 2020-5 / 88.00元,“上下五千年”早已刻入每一位中国人的基因，而考古学让我们看到另一个与古籍文献所载的中国相似又不同的华夏，也许难说二者谁更“真实”，但可以肯定的是，我们所能见... ,李零&刘斌&许宏&唐际根&高大伦&伊弟利斯·阿不都热苏勒&段清波&杨军&刘瑞&崔勇&樊锦诗,考古&历史&中国历史&文化&生活·读书·新知三联书店&李零&2020&樊锦诗,生活·读书·新知三联书店
https://book.douban.com/subject/27608078/,https://img1.doubanio.com/view/subject/s/public/s29643787.jpg,图说敦煌二五四窟, ,9.4,2065人,陈海涛、陈琦 / 生活·读书·新知三联书店 / 2017-11 / 96.00元,暂无,陈海涛&陈琦,艺术&敦煌&敦煌学&艺术史&文化&考古&佛教史&中国,生活·读书·新知三联书店
https://book.douban.com/subject/35310639/,https://img9.doubanio.com/view/subject/s/public/s33843355.jpg,寻蜀记,从考古看四川,8.1,310人,萧易 / 广西师范大学出版社 / 2021-4 / 78.00元,★《中国国家地理》《南方周末》知名专栏撰稿人萧易最新作品——但凡考古上有新的发现，萧易总会去现场一探究竟，而《中国国家地理》和《华夏地理》上但凡有和巴蜀地区... ,萧易,考古&四川&历史&考古学&文化&艺术&2021&中国,广西师范大学出版社
