书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1077528/,https://img9.doubanio.com/view/subject/s/public/s8879166.jpg,通往奴役之路, ,8.8,14834人,弗里德利希・冯・哈耶克 / 王明毅、冯兴元 / 中国社会科学出版社 / 1997-08-01 / 16.00,《通往奴役之路》一书在哈耶克的学术生涯中占有极其重要地位，这本书为他赢得广泛的注意，他的世界性声誉就是由此奠定的。他在这本书中论证道，当时正在计划中的福利国... ,弗里德利希・冯・哈耶克,哈耶克&自由主义&经济学&政治经济学&政治&哲学&经济&经典,中国社会科学出版社
https://book.douban.com/subject/27914655/,https://img2.doubanio.com/view/subject/s/public/s29792193.jpg,社会主义,经济学与社会学的分析,8.9,89人,[奥] 路德维希·冯·米塞斯 / 王建民、冯克利、崔树义 / 商务印书馆 / 2018-3 / 40.00,本书是米塞斯的代表作之一。作品秉持极端的自由主义立场，从经济、政治、历史、法律、科学、文化、婚姻家庭、对外关系等方面对马克思主义和社会主义做了全面评论，其中... ,路德维希·冯·米塞斯,社会主义&经济学&米塞斯&政治哲学&自由主义&奥地利学派&政治学&经济,商务印书馆
https://book.douban.com/subject/27013716/,https://img1.doubanio.com/view/subject/s/public/s29419068.jpg,沉默的大多数, ,8.9,15796人,王小波 / 北京十月文艺出版社 / 2017-4 / 35.00元,本书收录了王小波的杂文代表作，他以卓越的文采，众醉独醒的姿态对社会道德伦理、国学与新儒家、个体尊严以及小说、艺术等方面进行了酣畅淋漓的剖析，表达了有理有趣的... ,王小波,王小波&杂文&思想&自由主义&随笔&理性&中国文学&中国,北京十月文艺出版社
https://book.douban.com/subject/26712445/,https://img9.doubanio.com/view/subject/s/public/s33958034.jpg,西方政治传统,近代自由主义之发展,8.9,492人,[美]弗雷德里克·沃特金斯 / 李丰斌 / 理想国 | 广西师范大学出版社 / 2021-8 / 68,暂无,弗雷德里克·沃特金斯,政治学&自由主义&政治哲学&政治&思想史&理想国&历史&文化,理想国 | 广西师范大学出版社
https://book.douban.com/subject/35081726/,https://img2.doubanio.com/view/subject/s/public/s33728752.jpg,自由主义被遗忘的历史,从古罗马到21世纪,8.7,437人,[美]海伦娜·罗森布拉特 / 徐曦白 / 社会科学文献出版社 / 2020-10-1 / 65.00,暂无,海伦娜·罗森布拉特,自由主义&政治哲学&政治学&思想史&哲学&社科&政治&西方哲学,社会科学文献出版社
https://book.douban.com/subject/3074246/,https://img2.doubanio.com/view/subject/s/public/s7772111.jpg,无政府、国家和乌托邦, ,9.0,587人,[美]罗伯特·诺奇克 / 姚大志 / 中国社会科学出版社 / 2008-4-1 / 33.00元,本书是对当代政治哲学影响最大的外国伦理学名著，为当代自由主义的代表，属于极端自由主义。 全书共分三个部分，包括：自然状态理论，或如何自然地追溯出国家；超越最... ,罗伯特·诺奇克,政治哲学&自由主义&诺齐克&政治学&哲学&乌托邦&政治&伦理学,中国社会科学出版社
https://book.douban.com/subject/1070007/,https://img2.doubanio.com/view/subject/s/public/s4420841.jpg,致命的自负,社会主义的谬误,8.8,3510人,[英] 哈耶克 / 冯克利、胡晋华 / 中国社会科学出版社 / 2000-09 / 19.80,1978年，年届80高龄，与形形色色的社会主义战斗了一生的哈耶克，希望让这场论战有个了断。他设想举行一次正式的大辩论，地点很可能是在巴黎，让社会主义的主要理... ,哈耶克,哈耶克&自由主义&经济学&哲学&政治学&社会学&政治&经济,中国社会科学出版社
https://book.douban.com/subject/35600407/,https://img2.doubanio.com/view/subject/s/public/s34006262.jpg,商贸与文明,现代世界的诞生,8.2,188人,张笑宇 / 一頁folio | 广西师范大学出版社 / 2021-10-10 / 98.00,暂无,张笑宇,历史&文明史&世界史&商业&社会科学&历史学&政治学&文明,一頁folio | 广西师范大学出版社
https://book.douban.com/subject/27010229/,https://img9.doubanio.com/view/subject/s/public/s29415534.jpg,通向奴役之路, ,8.9,515人,[英] 哈耶克 / 滕維藻、朱宗風、張楚勇 / 商務印書館(香港)有限公司 / 2017-3-20 / HK$ 138.00,《通向奴役的道路》一书在哈耶克的学术生涯中占有极其重要地位，这本书为他赢得广泛的注意，他的世界性声誉就是由此奠定的。他在这本书中论证道，当时正在计划中的福利... ,哈耶克,哈耶克&自由主义&政治哲学&经济学&政治学&人文社科&西方哲学&经济,商務印書館(香港)有限公司
https://book.douban.com/subject/6052799/,https://img2.doubanio.com/view/subject/s/public/s28108911.jpg,自由论, ,9.2,835人,[英] 以赛亚·伯林 / 胡传胜 / 译林出版社 / 2011-3 / 38.00元,暂无,以赛亚·伯林,政治哲学&自由主义&以赛亚·伯林&哲学&自由&政治学&思想史&政治,译林出版社
https://book.douban.com/subject/26377205/,https://img1.doubanio.com/view/subject/s/public/s28059679.jpg,自由主义（第三版）, ,8.9,327人,李强 / 东方出版社 / 2015-6-1 / 42.00元,无论从国际还是从国内的角度看，自由主义都是当今备受争议的学说，本书从自由主义的概念、历史、复兴以及基本原则四部分，系统梳理了自由主义思想。在此过程中，作者凭... ,李强,自由主义&政治哲学&政治学&政治&思想史&哲学&思想,东方出版社
https://book.douban.com/subject/6397522/,https://img9.doubanio.com/view/subject/s/public/s6916856.jpg,论自由, ,9.3,4601人,[英] 约翰·穆勒 / 孟凡礼 / 广西师范大学出版社 / 2011-9 / 32.00元,约翰•穆勒的《论自由》一直是政治哲学乃至人文思想领域内享誉至高的作品，虽然篇幅不大，却是一部划时代的思想巨著，它深化了启蒙运动以来关于个人自由和政治自由的论... ,约翰·穆勒,哲学&自由主义&政治哲学&穆勒&自由&政治&政治学&思想史,广西师范大学出版社
https://book.douban.com/subject/1427824/,https://img1.doubanio.com/view/subject/s/public/s1441537.jpg,无政府、国家与乌托邦, ,8.8,331人,[美]罗伯特·诺齐克 / 何怀宏 / 中国社会科学出版社 / 1991-09-01 / 6.75,本书作者诺奇克1938年11月16日出生于纽约的布鲁克林。他很早就对哲学产生了浓厚的兴趣，在1963年于普林斯顿大学获得博士学位后，曾在普林斯顿大学和洛克菲... ,罗伯特·诺齐克,政治哲学&诺齐克&自由主义&哲学&政治学&政治&乌托邦&伦理学,中国社会科学出版社
https://book.douban.com/subject/1015748/,https://img1.doubanio.com/view/subject/s/public/s4688779.jpg,开放社会及其敌人（全二卷）, ,8.8,2697人,[英] 卡尔·波普尔 / 陆衡 等 / 中国社会科学出版社 / 1999-8 / 52.00元,正如哲学家德特马・马林所说话的那样，几乎不曾有过任何一部比《开放社会及其敌人》更为宏大的，反对那些二十世纪暴行之基础的思想作品。《开放社会及其敌人》初版为1... ,卡尔·波普尔,波普尔&哲学&自由主义&政治哲学&社会学&政治学&社会思想&政治,中国社会科学出版社
https://book.douban.com/subject/3003032/,https://img2.doubanio.com/view/subject/s/public/s3030362.jpg,浪漫主义的根源, ,9.3,4831人,[英] 以塞亚·伯林 / 吕梁、洪丽娟、孙易 / 译林出版社 / 2008-03 / 18.00元,暂无,以塞亚·伯林,浪漫主义&以赛亚·伯林&哲学&思想史&政治哲学&自由主义&美学&文学理论,译林出版社
https://book.douban.com/subject/6068432/,https://img9.doubanio.com/view/subject/s/public/s29448855.jpg,自由及其背叛,人类自由的六个敌人,9.2,1654人,[英国] 以赛亚·柏林 / 赵国新 / 译林出版社 / 2011-3 / 25.00元,暂无,以赛亚·柏林,以赛亚·伯林&政治哲学&自由主义&哲学&思想史&自由&政治学&社会学,译林出版社
https://book.douban.com/subject/35169174/,https://img9.doubanio.com/view/subject/s/public/s33742074.jpg,动情的理性,政治哲学作为道德实践,9.5,92人,钱永祥 / 南京大学出版社 / 2020-9 / 68.0,暂无,钱永祥,政治哲学&哲学&政治学&自由主义&政治&2020&2020新书&新书记,南京大学出版社
https://book.douban.com/subject/1400195/,https://img9.doubanio.com/view/subject/s/public/s2273454.jpg,论自由, ,8.7,4750人,[英] 约翰·密尔 / 许宝骙 / 商务印书馆 / 2005-1 / 14.00元,《论自由》是英国资产阶级哲学家、经济学家、自由主义的著名代表人物。书中论述资本主义制度下的公民自由权利，阐明“社会所能合法施用于个人的权力的性质和限度”，并... ,约翰·密尔,自由主义&哲学&政治哲学&密尔&政治学&政治&论自由&自由,商务印书馆
https://book.douban.com/subject/35221235/,https://img2.doubanio.com/view/subject/s/public/s33739572.jpg,发明个体,人在古典时代与中世纪的地位,8.5,125人,[英]拉里•西登托普（Larry Siedentop） / 贺晴川 / 广西师范大学出版社 / 2021-1 / 88.00元,一部思想史、心理史和精神史的杰出著作。作者引领我们走过一段两千年的旅途，始于古代城邦，终于文艺复兴。讲述了一个新的、平等的社会角色——个体是如何出现并逐渐取... ,拉里•西登托普,思想史&政治哲学&自由主义&历史&观念史&历史人类学&2020,广西师范大学出版社
