书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/3410718/,https://img2.doubanio.com/view/subject/s/public/s3893343.jpg,美的历程, ,9.2,24048人,李泽厚 / 生活·读书·新知三联书店 / 2009-1-1 / 43.00元,本书是中国美学的经典之作。凝聚了作者李泽厚先生多年研究，他把中国人古往今来对美的感觉玲珑剔透地展现在大家眼前，如斯感性，如斯亲切。今配以精美的插图，本书就更... ,李泽厚,美学&李泽厚&艺术&哲学&美的历程&人文&中国&艺术史,生活·读书·新知三联书店
https://book.douban.com/subject/3162991/,https://img2.doubanio.com/view/subject/s/public/s3219163.jpg,艺术的故事, ,9.6,20667人,[英] 贡布里希 (Sir E.H.Gombrich) / 范景中、杨成凯 / 广西美术出版社 / 2008-04 / 280.00,《艺术的故事》概括地叙述了从最早的洞窟绘画到当今的实验艺术的发展历程，以阐明艺术史是“各种传统不断迂回、不断改变的历史，每一件作品在这历史中都既回顾过去又导... ,贡布里希,艺术&艺术史&贡布里希&艺术的故事&美术学&文化&历史&经典,广西美术出版社
https://book.douban.com/subject/35331766/,https://img2.doubanio.com/view/subject/s/public/s33809923.jpg,森林、冰河与鲸, ,8.9,2551人,[日]星野道夫（Michio Hoshino） / 曹逸冰 / 广西师范大学出版社 / 2020-12 / 52.00元,暂无,星野道夫,摄影&星野道夫&旅行&自然&日本&随笔&艺术&理想国,广西师范大学出版社
https://book.douban.com/subject/26854318/,https://img9.doubanio.com/view/subject/s/public/s29417056.jpg,现代艺术150年,一个未完成的故事,9.1,10604人,[英] 威尔·贡培兹 / 王烁、王同乐 / 广西师范大学出版社 / 2017-3-1 / 65.00元,要掌握现代艺术的游戏规则，你需要知道些什么？——涵括近百位艺术家及其代表作，梳理二十多个现代艺术流派的渊源流变，勾勒现代艺术的发展历程。这一百五十年来艺术究... ,威尔·贡培兹,艺术&艺术史&现代艺术&艺术史书单&文化&理想国&英国&2017,广西师范大学出版社
https://book.douban.com/subject/35517022/,https://img2.doubanio.com/view/subject/s/public/s33968312.jpg,鹿川有许多粪, ,9.1,4263人,李沧东 / 春喜 / 武汉大学出版社 / 2021-8 / 58.00元,暂无,李沧东,李沧东&韩国文学&韩国&小说&韩国小说&社会&短篇小说集&文学,武汉大学出版社
https://book.douban.com/subject/1858513/,https://img1.doubanio.com/view/subject/s/public/s2659208.jpg,月亮和六便士, ,9.0,176692人,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,一个英国证券交易所的经纪人，本已有牢靠的职业和地位、美满的家庭，但却迷恋上绘画，像“被魔鬼附了体”，突然弃家出走，到巴黎去追求绘画的理想。他的行径没有人能够... ,毛姆,毛姆&月亮和六便士&小说&外国文学&英国&英国文学&毛姆：月亮和六便士&文学,上海译文出版社
https://book.douban.com/subject/35334622/,https://img1.doubanio.com/view/subject/s/public/s33858059.jpg,对立之美,西方艺术 500 年,8.5,889人,严伯钧 / 中信出版社 / 2021-4-1 / 168.00元,《对立之美：西方艺术 500 年》把以往深奥、晦涩的西方艺术史 “ 翻译 ” 成人人都能听得懂、记得住、用得上的知识资产。把艺术家、艺术品所处年代的社会背景... ,严伯钧,西方美术史&艺术&艺术史&绘画&戏剧&雕塑&舞蹈&2021,中信出版社
https://book.douban.com/subject/35571487/,https://img1.doubanio.com/view/subject/s/public/s33992869.jpg,世纪敦煌,跨越百年的莫高窟影像,9.0,219人,孙志军 / 中信出版社 / 2021-9 / 238.00元,公元366年，乐僔开始开凿莫高窟的第一个洞窟。此后的1500多年，莫高窟身处东西方文明的交汇之地，各民族和宗教的交叉点，兴荣交替直至被人彻底遗忘了几百年。从... ,孙志军,敦煌&艺术&历史&摄影&壁画&人文&美术史&雕塑,中信出版社
https://book.douban.com/subject/34922269/,https://img2.doubanio.com/view/subject/s/public/s33546871.jpg,Mondo电影海报艺术典藏, ,9.5,2172人,[美]Mondo公司 / 江汇、孙宝库 / 四川美术出版社 / 2019-12 / 398.00元,暂无,Mondo公司,艺术&电影&海报&设计&画册&画集&后浪&美国,四川美术出版社
https://book.douban.com/subject/35592650/,https://img9.doubanio.com/view/subject/s/public/s34005295.jpg,感知艺术,第11版 增值全彩版,9.0,72人,【美】丹尼斯·J.斯波勒 / 史梦阳 译 / 中国广播影视出版社 / 2021-10-1 / 99,单纯、真实、直接的观察与聆听，让艺术触手可及！超美的艺术入门经典图书，艺术理论、鉴赏与素养通识读本，绘画、雕塑、建筑、音乐、文学、戏剧、电影、舞蹈8大艺术门... ,丹尼斯·J.斯波勒,艺术&美学&人文&生活&艺术理论&艺术史&入门&工具书,中国广播影视出版社
https://book.douban.com/subject/35532018/,https://img9.doubanio.com/view/subject/s/public/s33949726.jpg,森林之花,玛格丽特·米的植物学笔记,9.3,134人,[英] 玛格丽特·米 / 李永学 / 浦睿文化·湖南美术出版社 / 2021-11-1 / 128元,暂无,玛格丽特·米,植物&植物图鉴&自然&花草&艺术&科普&博物&图鉴,浦睿文化·湖南美术出版社
