书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/3162991/,https://img2.doubanio.com/view/subject/s/public/s3219163.jpg,艺术的故事, ,9.6,20748人,[英] 贡布里希 (Sir E.H.Gombrich) / 范景中、杨成凯 / 广西美术出版社 / 2008-04 / 280.00,《艺术的故事》概括地叙述了从最早的洞窟绘画到当今的实验艺术的发展历程，以阐明艺术史是“各种传统不断迂回、不断改变的历史，每一件作品在这历史中都既回顾过去又导... ,贡布里希,艺术&艺术史&贡布里希&艺术的故事&美术学&文化&历史&经典,广西美术出版社
https://book.douban.com/subject/26854318/,https://img9.doubanio.com/view/subject/s/public/s29417056.jpg,现代艺术150年,一个未完成的故事,9.1,10692人,[英] 威尔·贡培兹 / 王烁、王同乐 / 广西师范大学出版社 / 2017-3-1 / 65.00元,要掌握现代艺术的游戏规则，你需要知道些什么？——涵括近百位艺术家及其代表作，梳理二十多个现代艺术流派的渊源流变，勾勒现代艺术的发展历程。这一百五十年来艺术究... ,威尔·贡培兹,艺术&艺术史&现代艺术&艺术史书单&文化&理想国&英国&2017,广西师范大学出版社
https://book.douban.com/subject/3410718/,https://img2.doubanio.com/view/subject/s/public/s3893343.jpg,美的历程, ,9.2,24216人,李泽厚 / 生活·读书·新知三联书店 / 2009-7 / 43.00元,本书是中国美学的经典之作。凝聚了作者李泽厚先生多年研究，他把中国人古往今来对美的感觉玲珑剔透地展现在大家眼前，如斯感性，如斯亲切。今配以精美的插图，本书就更... ,李泽厚,美学&李泽厚&艺术&哲学&美的历程&人文&中国&艺术史,生活·读书·新知三联书店
https://book.douban.com/subject/35334622/,https://img1.doubanio.com/view/subject/s/public/s33858059.jpg,对立之美,西方艺术 500 年,8.5,932人,严伯钧 / 中信出版社 / 2021-4-1 / 168.00元,《对立之美：西方艺术 500 年》把以往深奥、晦涩的西方艺术史 “ 翻译 ” 成人人都能听得懂、记得住、用得上的知识资产。把艺术家、艺术品所处年代的社会背景... ,严伯钧,西方美术史&艺术&艺术史&绘画&戏剧&雕塑&舞蹈&2021,中信出版社
https://book.douban.com/subject/35431246/,https://img9.doubanio.com/view/subject/s/public/s33927714.jpg,中世纪之美, ,8.5,517人,[意] 翁贝托·艾柯 / 刘慧宁 / 译林出版社 / 2021-8 / 168.00元,本书是艾柯论述中世纪美学理论、审美体验和艺术实践的作品。中世纪之美在艾柯笔下呈现出自成一体的活力，它继承了古希腊和古罗马的传统，在教条的思想环境中悄然演变，... ,翁贝托·艾柯,艺术史&中世纪&艺术&意大利&历史&文艺复兴&安伯托·艾柯&艾柯,译林出版社
https://book.douban.com/subject/35216533/,https://img2.doubanio.com/view/subject/s/public/s33766852.jpg,局部：伟大的工匠, ,9.2,482人,陈丹青 / 理想国 | 北京日报出版社 / 2020-12 / 138.00,暂无,陈丹青,陈丹青&艺术&艺术史&美术&理想国&意大利&2020&书架,理想国 | 北京日报出版社
https://book.douban.com/subject/35694442/,https://img9.doubanio.com/view/subject/s/public/s34079984.jpg,空间的敦煌,走近莫高窟,8.7,37人,巫鸿 / 生活·读书·新知三联书店 / 2022-1 / 149.00元,近一个世纪之前，陈寅恪先生在《陈垣敦煌劫余录序》中写道：“一时代之学术，必有其新材料与新问题。取用此材料，以研求问题，则为此时代学术之新潮流。”如果百年之前... ,巫鸿,巫鸿&艺术史&艺术&敦煌学&敦煌&历史&丝绸之路&艺术史书单,生活·读书·新知三联书店
https://book.douban.com/subject/35556950/,https://img2.doubanio.com/view/subject/s/public/s34060531.jpg,铁袈裟,艺术史中的毁灭与重生,9.9,29人,郑岩 / 生活·读书·新知三联书店 / 2022-1 / 88.00元,这是一次将艺术和历史打通的开放性、综合性研究的尝试。艺术史著作卷帙浩繁，博物馆更是包罗万象，对特定题材、风格、技术、流派的展示，井然有序，眉目清晰。我们几乎... ,郑岩,艺术史&艺术&人文&艺术/艺术史/美术/美术史&中国艺术史&中国&艺术理论&考古,生活·读书·新知三联书店
https://book.douban.com/subject/35592404/,https://img1.doubanio.com/view/subject/s/public/s33996888.jpg,艺术史导论, ,9.2,71人,[德]汉斯·贝尔廷、[德]海因里希·迪利、[德]沃尔夫冈·肯普 / 贺询 / 北京大学出版社 / 2021-9 / 105.00元,这是一本艺术史学科导论性质的著作，也是一本艺术史学习经典指南。此书对学科内最重要的基础知识进行了清晰而不流于表面的概述，其所关注的不是包含诸多艺术家姓名和风... ,汉斯·贝尔廷&海因里希·迪利&沃尔夫冈·肯普,艺术史&艺术&艺术理论&艺术史论&德国&导论&艺术学&学术,北京大学出版社
https://book.douban.com/subject/35635337/,https://img3.doubanio.com/view/subject/s/public/s34032180.jpg,从灵光殿到武梁祠,两汉之交帝国艺术的遗影,8.4,37人,缪哲 / 生活·读书·新知三联书店 / 2021-10 / 188,暂无,缪哲,艺术史&艺术&考古学&历史&秦汉史&艺术/艺术史/美术/美术史&汉代&魏晋南北朝,生活·读书·新知三联书店
