书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35313227/,https://img2.doubanio.com/view/subject/s/public/s33802981.jpg,刘擎西方现代思想讲义, ,9.1,14576人,刘擎 / 新星出版社 / 2021-1 / 79.00元,暂无,刘擎,哲学&西方哲学&思想史&刘擎&政治哲学&我想读这本书&2021&好书，值得一读,新星出版社
https://book.douban.com/subject/1004821/,https://img9.doubanio.com/view/subject/s/public/s1068535.jpg,理想国, ,8.8,29345人,[古希腊] 柏拉图 / 郭斌和、张竹明 / 商务印书馆 / 1986-8 / 28.00元,暂无,柏拉图,哲学&柏拉图&理想国&西方哲学&古希腊&经典&政治哲学&政治学,商务印书馆
https://book.douban.com/subject/3261600/,https://img9.doubanio.com/view/subject/s/public/s4619775.jpg,人生的智慧, ,9.2,25633人,(德)叔本华 / 韦启昌 / 上海人民 / 2008-10-01 / 28.00元,他于1850年写了《附录和补遗》一书，《人生的智慧》是该书中的一部分。在书中，他以优雅的文体，格言式的笔触阐述了自己对人生的看法。《人生的智慧》使沉寂多年的... ,叔本华,哲学&叔本华&人生的智慧&西方哲学&人生&思想&心理学&成长,上海人民
https://book.douban.com/subject/34447865/,https://img3.doubanio.com/view/subject/s/public/s33438650.jpg,西方哲学史（第9版）, ,9.4,1442人,(美) 撒穆尔·伊诺克·斯通普夫、(美) 詹姆斯·菲泽 / 邓晓芒、匡宏、等 / 后浪丨北京联合出版公司 / 2019-8 / 99.80元,暂无,撒穆尔·伊诺克·斯通普夫&詹姆斯·菲泽,哲学&西方哲学&哲学史&西方哲學&通识教育&历史&文化研究&经典,后浪丨北京联合出版公司
https://book.douban.com/subject/1012307/,https://img1.doubanio.com/view/subject/s/public/s2522397.jpg,规训与惩罚,监狱的诞生,9.2,8606人,[法] 米歇尔·福柯 / 刘北成、杨远婴 / 生活·读书·新知三联书店 / 2003-1 / 21.80元,本书旨在论述关于现代灵魂与一种新的审判权力之间相互关系的历史，论述现行的科学—法律综合体的系谱。在这种综合体中，惩罚权力获得了自身的基础、证明和规则，扩大了... ,米歇尔·福柯,福柯&社会学&哲学&规训与惩罚&西方哲学&法国&思想&监狱,生活·读书·新知三联书店
https://book.douban.com/subject/25939476/,https://img9.doubanio.com/view/subject/s/public/s27988236.jpg,存在与时间,（修订译本）,9.4,1057人,[德] 马丁·海德格尔 / 陈嘉映、王庆节 / 生活·读书·新知三联书店 / 2014-9-1 / 49.00,《存在与时间》是德国哲学家马丁·海德格尔的代表著作，1926年写就，翌年出版。它也是本世纪最重要的哲学著作之一，不仅影响了此后多种重要哲学流派和重要哲学家，... ,马丁·海德格尔,哲学&存在主义&海德格尔&西方哲学&现象学&德国&陈嘉映&Heidegger,生活·读书·新知三联书店
https://book.douban.com/subject/26107897/,https://img2.doubanio.com/view/subject/s/public/s28351633.jpg,存在与虚无, ,9.1,973人,让·保罗·萨特 / 陈宣良 等译、杜小真 校 / 生活·读书·新知三联书店 / 2014-9-1 / CNY 68.00,1943年《存在与虚无》一书的出版则宣告了作为哲学家的萨特的诞生，他开始运用自己独立的思想观点和哲学词语述说对世界的理解：人即自为的存在，具有超越的特性，他... ,让·保罗·萨特,存在主义&哲学&萨特&西方哲学&法国&存在&法国文学&思想,生活·读书·新知三联书店
https://book.douban.com/subject/2359052/,https://img9.doubanio.com/view/subject/s/public/s2857294.jpg,查拉图斯特拉如是说, ,8.9,10459人,[德] 尼采 / 钱春绮 / 生活·读书·新知三联书店 / 2007-12 / 27.00元,《查拉图斯特拉如是说》是尼采假借查拉图斯特拉之名说出他自己的哲学思想，也可以说是一本查拉图斯特拉的说教集或者说是查拉图斯特拉的行藏录，又有点像圣者传一类的书... ,尼采,尼采&哲学&查拉图斯特拉如是说&西方哲学&德国&经典&思想&生活·读书·新知三联书店,生活·读书·新知三联书店
https://book.douban.com/subject/25926462/,https://img2.doubanio.com/view/subject/s/public/s27574782.jpg,西方哲学史（修订版）,修订版,9.4,2041人,邓晓芒、赵林 / 高等教育出版社 / 2014-6 / 29.80元,《西方哲学史（修订版）》是一部系统讲解西方哲学史的大学教材。与国内现有的同类教材相比，《西方哲学史（修订版）》的最大特点就在于突出西方哲学思想发展演进的内在... ,邓晓芒&赵林,哲学&西方哲学史&西方哲学&哲学史&邓晓芒&西方哲學&通识类&赵林,高等教育出版社
https://book.douban.com/subject/1036541/,https://img1.doubanio.com/view/subject/s/public/s2522399.jpg,疯癫与文明,理性时代的疯癫史,8.8,8405人,米歇尔・福柯 / 刘北成、杨远婴 / 生活·读书·新知三联书店 / 2003-01 / 18.0,这部著作是对知识的清洗和质疑。 它把“自然”的一个片断交还给历史，改造了疯癫，即把我们当作医学现象的东西变成了一种文明现象。……实际上，福柯从未界定疯癫；疯... ,米歇尔・福柯,福柯&哲学&疯癫与文明&社会学&西方哲学&法国&文化理论&思想,生活·读书·新知三联书店
https://book.douban.com/subject/1004699/,https://img2.doubanio.com/view/subject/s/public/s1406661.jpg,作为意志和表象的世界, ,9.0,8151人,[德] 叔本华 / 石冲白 / 商务印书馆 / 1982-11 / 48.00元,叔本华（1788—1860），德国著名哲学家，哲学史上第一个公开反对理性主义哲学的人，唯意志论的创始人。叔本华认为世界是我的表象，但以意志取代康德哲学中不可... ,叔本华,叔本华&哲学&作为意志和表象的世界&西方哲学&德国&悲观主义&经典&思想,商务印书馆
https://book.douban.com/subject/35616014/,https://img9.doubanio.com/view/subject/s/public/s34016425.jpg,如何阅读福柯, ,9.1,142人,[芬]约翰娜· 奥克萨拉 / 王佳鹏 / 北京联合出版公司 / 2021-12 / 42.00,暂无,约翰娜· 奥克萨拉,福柯&哲学&西方哲学&社会理论&政治哲学&导读&社会科学&社科,北京联合出版公司
