书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1941558/,https://img2.doubanio.com/view/subject/s/public/s2165932.jpg,设计中的设计, ,8.6,32331人,[日] 原研哉 / 朱锷 / 山东人民出版社 / 2006-11 / 48.00元,设计到底是什么？作为一名从业二十余年并且具有世界影响的设计师，原研哉对自己提出了这样一个问题。为了给出自己的答案，他走了那么长的路，做了那么多的探索。“RE... ,原研哉,设计&原研哉&日本&设计中的设计&艺术&设计与文化&设计理论&Design,山东人民出版社
https://book.douban.com/subject/34922269/,https://img2.doubanio.com/view/subject/s/public/s33546871.jpg,Mondo电影海报艺术典藏, ,9.5,2175人,[美]Mondo公司 / 江汇、孙宝库 / 四川美术出版社 / 2019-12 / 398.00元,暂无,Mondo公司,艺术&电影&海报&设计&画册&画集&后浪&美国,四川美术出版社
https://book.douban.com/subject/26664522/,https://img1.doubanio.com/view/subject/s/public/s28340357.jpg,写给大家看的设计书（第4版）, ,8.6,2137人,Robin Williams / 苏金国、李盼 / 人民邮电出版社 / 2016-1 / 59.00元,暂无,Robin Williams,设计&入门&平面设计&设计思维&艺术&Design&科普&产品,人民邮电出版社
https://book.douban.com/subject/4230237/,https://img9.doubanio.com/view/subject/s/public/s4473054.jpg,设计中的设计 | 全本, ,9.1,8736人,[日] 原研哉 / 纪江红、朱锷 / 广西师范大学出版社 / 2010-09 / 98.00元,本书是对原研哉的设计理念以及作品的沿承、发展的归总。作为日本中生代设计师的中坚，原研哉的设计在某种程度上体现了现当代日本设计的精髓。他以一双无视外部世界飞速... ,原研哉,设计&原研哉&日本&艺术&设计学&Design&设计中的设计&藝術設計私生活,广西师范大学出版社
https://book.douban.com/subject/26775466/,https://img1.doubanio.com/view/subject/s/public/s28643319.jpg,小家，越住越大, ,8.4,15500人,逯薇 / 中信出版集团 / 2016-5 / 58.00元,房价高、面积小、东西多、收纳少；节奏快、压力大、时间紧、想法杂……这些是都市人生活普遍面临的问题。但是，即使只有有限的空间，也希望住得舒适、快乐， 纵然蜗居... ,逯薇,收纳&家居&生活&室内设计&装修&设计&绘本&我想读这本书,中信出版集团
https://book.douban.com/subject/3323633/,https://img9.doubanio.com/view/subject/s/public/s23486434.jpg,写给大家看的设计书（第3版）, ,8.6,12391人,[美] Robin Williams / 苏金国、刘亮 / 人民邮电出版社 / 2009-1 / 49.00元,这本书出自一位世界级设计师之手。复杂的设计原理在书中凝炼为亲密性、对齐、重复和对比4 个基本原则。作者以其简洁明快的风格，将优秀设计所必须遵循的这4 个基本... ,Robin Williams,设计&平面设计&艺术&Design&视觉&基础理论&计算机&Web,人民邮电出版社
https://book.douban.com/subject/35239668/,https://img1.doubanio.com/view/subject/s/public/s33750289.jpg,电影海报艺术史, ,8.6,131人,伊恩·海顿·史密斯、Ian Haydn Smith / 杜盈 / 中国画报出版社 / 2020-12 / 198.00元,《电影海报艺术史》以110个专题和579幅图片从创意和商业的角度介绍了海报的设计、风格的发展、政治和意识形态的影响，以及商业在电影海报发展中的作用等，按照时... ,伊恩·海顿·史密斯&Ian Haydn Smith,电影&海报&设计&艺术&艺术史&历史,中国画报出版社
https://book.douban.com/subject/26896124/,https://img1.doubanio.com/view/subject/s/public/s29105317.jpg,设计入门教室：设计的基本规则, ,9.1,546人,坂本伸二 / 刘庆 / 中信出版社 / 2016-9 / 58,暂无,坂本伸二,设计&平面设计&设计理论&艺术&日本&基础&Design&字体设计,中信出版社
https://book.douban.com/subject/25810506/,https://img2.doubanio.com/view/subject/s/public/s27207923.jpg,史蒂夫·乔布斯传（修订版）, ,9.1,6165人,[美] 沃尔特·艾萨克森 / 管延圻、魏群、余倩、赵萌萌、汤崧 / 中信出版社 / 2014-1 / 68.00元,暂无,沃尔特·艾萨克森,传记&史蒂夫·乔布斯&人物传记&苹果&乔布斯&商业&美国&经典,中信出版社
https://book.douban.com/subject/35166650/,https://img9.doubanio.com/view/subject/s/public/s33713736.jpg,中国传统色,故宫里的色彩美学,8.3,916人,郭浩、李健明 / 中信出版集团 / 2020-10-15 / 168,★《中国传统色》的两位作者查找中日色彩相关文献近400部，严谨考据384种中国传统色名；根据24节气72物候，在几十万件故宫文物中选取应时应节的96件，从文... ,郭浩&李健明,色彩&艺术&中国&设计&文化&传统&生活&我的想读书单,中信出版集团
https://book.douban.com/subject/35505843/,https://img3.doubanio.com/view/subject/s/public/s33986810.jpg,《色彩艺术》《造型基础》,伊顿经典基础设计教程,9.5,40人,[瑞士] 约翰内斯·伊顿 / 杨继梅 / 北京科学技术出版社 / 2021-7 / 298.00元,暂无,约翰内斯·伊顿,色彩&艺术&设计&设计理论&平面设计&工艺美术&艺术教育&造型,北京科学技术出版社
https://book.douban.com/subject/26806997/,https://img1.doubanio.com/view/subject/s/public/s29606159.jpg,平面设计中的网格系统,平面设计、字体编排和空间设计的视觉传达设计手册,8.5,1373人,约瑟夫·米勒-布罗克曼 / 徐宸熹、张鹏宇 / 上海人民美术出版社 / 2016-6-1 / CNY 78.00,暂无,约瑟夫·米勒-布罗克曼,设计&平面设计&版式设计&排版&艺术&版式&design&字体,上海人民美术出版社
https://book.douban.com/subject/30303814/,https://img3.doubanio.com/view/subject/s/public/s33685370.jpg,周末速写,一位《纽约客》视觉设计师的疯狂灵感图集,8.9,312人,[德] 克里斯托弗·尼曼 / 曾子婷 / 上海人民美术出版社 / 2018-8-1 / 158.00元,半部天马行空，半部现实人生。德国鬼才插画家克里斯托弗·尼曼在日常物体上涂鸦寥寥数笔，创作出令人捧腹的趣味画面，发掘寻常生活中的细微意趣；另一面，他将插画与文... ,克里斯托弗·尼曼,设计&插画&创意&艺术&灵感&绘本&绘画&生活,上海人民美术出版社
https://book.douban.com/subject/26102860/,https://img1.doubanio.com/view/subject/s/public/s28072517.jpg,设计心理学1,日常的设计,8.5,1829人,[美] 唐纳德•A•诺曼 / 小柯 / 中信出版社 / 2015-5-15 / 42.00元,如果在旅馆里弄不清楚怎么开水龙头，或者面对不熟悉的炉灶或电灯开关时，即使再聪明的人也会手足无措。唐纳德•A•诺曼大胆地指出，不是你太笨，而是物品的设计没有考... ,唐纳德•A•诺曼,设计&设计心理&心理学&用户体验&设计心理学&交互设计&艺术&好书，值得一读,中信出版社
