书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35325887/,https://img1.doubanio.com/view/subject/s/public/s33836089.jpg,切尔诺贝利的午夜, ,9.1,1606人,[英] 亚当·希金博特姆 / 鲁伊 / 广西师范大学出版社 / 2021-3 / 78.00元,暂无,亚当·希金博特姆,切尔诺贝利&历史&灾难&历史思考&苏联&非虚构&苏联史&近代史,广西师范大学出版社
https://book.douban.com/subject/25935941/,https://img9.doubanio.com/view/subject/s/public/s27685036.jpg,天朝的崩溃（修订版）,鸦片战争再研究,9.4,6907人,茅海建 / 生活·读书·新知三联书店 / 2014-10 / 59.00元,本书大量使用中国第一历史档案馆所藏清朝奏折，和英国所藏中英交涉文件、日本学者汇编资料集等等，详尽考订并重建了与战争相关的大量基本史实。作者抓住几个主要人物为... ,茅海建,历史&中国近代史&鸦片战争&近代史&茅海建&中国历史&中国&学术,生活·读书·新知三联书店
https://book.douban.com/subject/25912076/,https://img2.doubanio.com/view/subject/s/public/s28118682.jpg,叫魂,1768年中国妖术大恐慌,9.2,9910人,[美] 孔飞力 / 陈兼、刘昶 / 生活·读书·新知三联书店 上海三联书店 / 2014-6 / 38.00元,本书讲述的是一个关于“盛世妖术”的故事。在中国的千年帝制时代，乾隆皇帝可谓是空前绝后的一人。他建立并巩固起来的大清帝国达到了权力与威望的顶端。然而整个大清的... ,孔飞力,历史&孔飞力&中国历史&社会学&清史&海外中国研究&社会史&中国,生活·读书·新知三联书店 上海三联书店
https://book.douban.com/subject/26545308/,https://img9.doubanio.com/view/subject/s/public/s28297426.jpg,南京大屠杀,第二次世界大战中被遗忘的大浩劫,9.6,5268人,[美]张纯如（Iris Chang） / 谭春霞、焦国林 / 中信出版社 / 2015-8 / 49.00元,暂无,张纯如,南京大屠杀&历史&张纯如&二战&中国近现代史&中国&抗战&近代史,中信出版社
https://book.douban.com/subject/35659142/,https://img9.doubanio.com/view/subject/s/public/s34039825.jpg,法西斯谎言简史, ,7.4,149人,[阿根廷]费德里科·芬切尔斯坦 / 张见微 / 一頁丨辽宁人民出版社、广西师范大学出版社 / 2021-11 / 54,暂无,费德里科·芬切尔斯坦,历史&政治学&二战&政治&世界史&传播学&近代史&历史思考,一頁丨辽宁人民出版社
https://book.douban.com/subject/1675478/,https://img2.doubanio.com/view/subject/s/public/s1681072.jpg,天朝的崩溃,鸦片战争再研究,9.1,13003人,茅海建 / 生活·读书·新知三联书店 / 2005-7 / 32.00元,《天朝的崩溃》是作者系统研究鸦片战争十余年所得的成果。作者详尽考订了与战争相关的一系列重要史实，力图以当时的道德观念、思维方式与行为规范去理解历史，使许多在... ,茅海建,历史&鸦片战争&中国近代史&近代史&茅海建&中国历史&天朝的崩溃&晚清,生活·读书·新知三联书店
https://book.douban.com/subject/30147582/,https://img1.doubanio.com/view/subject/s/public/s29700939.jpg,近代中国社会的新陈代谢, ,9.1,2017人,陈旭麓 / 生活·读书·新知三联书店 / 2017-11 / 69.00元,《近代中国社会的新陈代谢》主要论说鸦片战争之后，中国社会开始越出传统运行轨迹而发生的一系列深刻变化。全书共20章，作者以总揽全局的气度和全新的史学视角，多层... ,陈旭麓,中国近代史&历史&陈旭麓&近代史&社会学&中国历史&中国&思想史,生活·读书·新知三联书店
https://book.douban.com/subject/5372471/,https://img3.doubanio.com/view/subject/s/public/s4630880.jpg,党员、党权与党争,1924-1949年中国国民党的组织形态,9.2,3598人,王奇生 / 华文出版社 / 2010-11 / 48.00元,《党员、党权与党争:1924—1949年中国国民党的组织形态》中讲述了国民党政权是中国历史上出现的第一个党治政权。它的建立，标志着中国政治形态在漫长的王朝帝... ,王奇生,国民党&中国近代史&历史&政治&王奇生&民国史&政治学&民国,华文出版社
https://book.douban.com/subject/35388636/,https://img9.doubanio.com/view/subject/s/public/s33845575.jpg,银、剑、石,拉丁美洲的三重烙印,9.1,290人,[美] 玛丽· 阿拉纳 / 林华 / 中信出版集团 / 2021-4-5 / 88.00元,暂无,玛丽· 阿拉纳,历史&拉丁美洲&世界史&拉美文学&拉美&非虚构&近代史&新思文化,中信出版集团
https://book.douban.com/subject/35245517/,https://img1.doubanio.com/view/subject/s/public/s34026678.jpg,义和团运动的起源, ,8.7,61人,[美] 周锡瑞 / 张俊义、王栋 / 江苏人民出版社 / 2021-11-1 / 98.00元,长期以来，有关义和团运动起源的问题一直扑朔迷离，众说纷纭。美国学者周锡瑞在本书中以详尽的史料、独特的视角和崭新的方法将这一问题的研究推到了新的高度。作者对1... ,周锡瑞,义和团&海外中国研究&历史&中国近代史&近代史&中国&清史&明清史,江苏人民出版社
https://book.douban.com/subject/30309611/,https://img1.doubanio.com/view/subject/s/public/s33626667.jpg,追寻现代中国,1600-1949,8.5,729人,[美]史景迁 / 温洽溢 / 四川人民出版社 / 2019-5 / 128.00,一个“现代”国家既可融汇一体，又能兼容并蓄，既有明确的自我认同，也能以平等的地位竞逐新市场、新技术、新观念。本书以16世纪末作为叙述的起点，展现了中国的社会... ,史景迁,历史&史景迁&中国近代史&海外中国研究&近代史&中国&现代中国&理想国,四川人民出版社
