书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/10590165/,https://img1.doubanio.com/view/subject/s/public/s9053208.jpg,聆听音乐, ,9.5,1806人,[美] 克雷格·莱特(Craig Wright) / 余志刚、李秀军 / 生活·读书·新知三联书店 / 2012-4-1 / 88.00元,《聆听音乐(第5版)》主要结构分三部分，音乐元素、音乐史和美国通俗音乐。在讨论任何音乐概念的同时都结合具体作品分析，并有一目了然的图表作必要辅助。存在于每一... ,克雷格·莱特,音乐&古典音乐&艺术&西方古典音乐&音乐欣赏&三联书店&美国&music,生活·读书·新知三联书店
https://book.douban.com/subject/35563781/,https://img1.doubanio.com/view/subject/s/public/s33969408.jpg,拉下百叶窗的午后, ,9.0,266人,[英]布雷特·安德森（Brett Anderson） / 王知夏 / 北京联合出版公司 / 2021-9-1 / 78.00元,暂无,布雷特·安德森,摇滚&音乐&传记&自传&英国&文学&社会学&未读,北京联合出版公司
https://book.douban.com/subject/35625594/,https://img9.doubanio.com/view/subject/s/public/s34017356.jpg,追逐那声音,莫里康内口述自传,8.6,56人,[意] 埃尼奥·莫里康内、[意] 亚历山德罗·德罗萨 / 邵思宁 / 后浪丨中国友谊出版公司 / 2021-9 / 90.00元,暂无,埃尼奥·莫里康内&亚历山德罗·德罗萨,音乐&传记&电影&意大利&艺术&后浪&随笔,后浪丨中国友谊出版公司
https://book.douban.com/subject/35503447/,https://img1.doubanio.com/view/subject/s/public/s33973829.jpg,地球上最伟大的一场演出, ,8.4,1043人,8字路口 / 新星出版社 / 2021-8-20 / 36.00,上世纪八十年代，非洲国家埃塞俄比亚由于天灾人祸，爆发了有史以来最大的人道主义灾难。无数人挣扎在死亡边缘。1985年7月13日，由英国歌手吉尔道夫发起，世界上... ,8字路口,读库&音乐&摇滚乐&音乐史&摇滚&2021&生命&随笔,新星出版社
https://book.douban.com/subject/34978358/,https://img1.doubanio.com/view/subject/s/public/s33596947.jpg,余下只有噪音,聆听20世纪,8.8,573人,(美) 亚历克斯·罗斯 / 郭建英 / 广西师范大学出版社 / 2020-3 / 158.00元,关于现代音乐的是非从未消失。在毕加索和波洛克的画作售价过亿的时候，自斯特拉文斯基的《春祭》以降，震撼人心的音乐作品仍在向听众传递不安的涟漪。现代音乐无处不在... ,亚历克斯·罗斯,音乐&艺术&西方音乐史&古典音乐&文化研究&历史&理想国&美国,广西师范大学出版社
https://book.douban.com/subject/27018089/,https://img3.doubanio.com/view/subject/s/public/s29423950.jpg,音乐即自由, ,8.5,3794人,[日] 坂本龙一 / 何启宏 / 中信出版集团/楚尘文化 / 2017-5-1 / 48.00元,本书是日本著名音乐大师坂本龙一唯一口述自传。幼时的坂本龙一，因为饲养小白兔而作的一曲《小兔之歌》，使他第一次强烈地体会到音乐带来的喜悦。青年时，他是一名彻头... ,坂本龙一,坂本龙一&音乐&传记&日本&自传&艺术&当代艺术&文化,中信出版集团
https://book.douban.com/subject/26939269/,https://img9.doubanio.com/view/subject/s/public/s29237454.jpg,只是孩子, ,9.0,4930人,[美] 帕蒂·史密斯 / 刘奕 / 广西师范大学出版社 / 2017-1 / 65.00元,暂无,帕蒂·史密斯,传记&帕蒂·史密斯&回忆录&艺术&PattiSmith&音乐&美国&理想国,广西师范大学出版社
https://book.douban.com/subject/25894807/,https://img1.doubanio.com/view/subject/s/public/s27468238.jpg,西方文明中的音乐, ,9.5,397人,[美]保罗•亨利•朗 / 张洪岛、杨燕迪、汤亚汀、杨燕迪 校 / 广西师范大学出版社 / 2014-6 / 198.00元,如书名所示，《西方文明中的音乐》旨在以“西方文明”为整体舞台，展示音乐艺术在近三千年（自古希腊至20世纪初）的漫长历程中所扮演的戏剧性角色。由此出发，《西方... ,保罗•亨利•朗,音乐&音乐史&古典音乐&艺术&西方文明&艺术史&历史&广西师范大学出版社,广西师范大学出版社
https://book.douban.com/subject/35090803/,https://img2.doubanio.com/view/subject/s/public/s33737431.jpg,爵士乐史, ,9.0,152人,［美］泰德·乔亚（Ted Gioia） / 李剑敏 译、李皖 校译 / 雅众文化/商务印书馆 / 2020-9 / 128.00,暂无,泰德·乔亚,音乐&爵士乐&Jazz&艺术&流行文化研究&美国&2020&@译本,雅众文化/商务印书馆
https://book.douban.com/subject/35638244/,https://img9.doubanio.com/view/subject/s/public/s34026485.jpg,古典乐的慰藉,从耳朵到心灵的聆赏入门,8.6,33人,韩嘉天 / 中信出版集团 / 2021-11 / 68,音乐是关乎心灵的艺术，有自己独特的语言表达方式。当面对一部作品时，很多人感觉到的只是扑面而来的“声音”，却不知如何聆听“音乐”。本书以音乐的节奏、旋律、情感... ,韩嘉天,古典音乐&音乐&艺术史&审美&图书&人文&2021&读书,中信出版集团
