书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/4913064/,https://img9.doubanio.com/view/subject/s/public/s27279654.jpg,活着, ,9.4,665551人,余华 / 作家出版社 / 2012-8-1 / 20.00元,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵... ,余华,余华&人性&人生&活着&中国文学&社会&经典&小说,作家出版社
https://book.douban.com/subject/35335514/,https://img1.doubanio.com/view/subject/s/public/s33834057.jpg,文城, ,7.8,31005人,余华 / 北京十月文艺出版社 / 2021-3 / 59.00元,暂无,余华,余华&小说&长篇小说&中国当代文学&中国文学&当代文学&文学&2021,北京十月文艺出版社
https://book.douban.com/subject/35005045/,https://img3.doubanio.com/view/subject/s/public/s33718940.jpg,夜晚的潜水艇, ,8.4,35671人,陈春成 / 上海三联书店 / 2020-9 / 52,暂无,陈春成,短篇小说&陈春成&小说&中国文学&中国现当代&文学&理想国&中国,上海三联书店
https://book.douban.com/subject/4760224/,https://img3.doubanio.com/view/subject/s/public/s24575140.jpg,许三观卖血记, ,9.0,94088人,余华 / 作家出版社 / 2012-9 / 24.00元,《许三观卖血记》是余华1995年创作的一部长篇小说。《许三观卖血记》以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述... ,余华,余华&人性&中国文学&那样的时代&小说&人生&生活&文学,作家出版社
https://book.douban.com/subject/1322455/,https://img1.doubanio.com/view/subject/s/public/s3073167.jpg,遥远的救世主, ,8.7,25833人,豆豆 / 作家出版社 / 2005-05-01 / 28.00,暂无,豆豆,遥远的救世主&文化属性&天道&小说&智慧&哲学&人生&豆豆,作家出版社
https://book.douban.com/subject/35496106/,https://img2.doubanio.com/view/subject/s/public/s33946803.jpg,一日三秋, ,8.4,6605人,刘震云 / 花城出版社 / 2021-7 / 58,暂无,刘震云,刘震云&小说&中国当代文学&中国文学&文学&人性&长篇小说&中国,花城出版社
https://book.douban.com/subject/35459915/,https://img1.doubanio.com/view/subject/s/public/s33939658.jpg,海边的房间, ,7.9,11060人,黄丽群 / 理想国｜河南文艺出版社 / 2021-8 / 56,台湾新生代小说家黄丽群的代表短篇小说集，十二个坏掉的人，十二个令人倒吸一口凉气的好故事。小说家熬制典雅细密的汉语，精巧布局，将人间悲欢斩落整齐，写出一个城市... ,黄丽群,台湾文学&短篇小说&台湾&短篇小说集&小说&理想国&文学&中国文学,理想国｜河南文艺出版社
https://book.douban.com/subject/6518605/,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,三体全集,地球往事三部曲,9.4,123422人,刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元,三体三部曲 (《三体》《三体Ⅱ·黑暗森林》《三体Ⅲ·死神永生》) ，原名“地球往事三部曲”，是中国著名科幻作家刘慈欣的首个长篇系列，由科幻世界杂志社策划制作... ,刘慈欣,刘慈欣&科幻&中国科幻&三体&科幻小说&硬科幻&经典&小说,重庆出版社
https://book.douban.com/subject/1200840/,https://img2.doubanio.com/view/subject/s/public/s1144911.jpg,平凡的世界（全三部）, ,9.0,291520人,路遥 / 人民文学出版社 / 2005-1 / 64.00元,《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广... ,路遥,平凡的世界&路遥&人生&中国文学&经典&小说&文学&成长,人民文学出版社
https://book.douban.com/subject/35587028/,https://img1.doubanio.com/view/subject/s/public/s34086258.jpg,生死疲劳, ,9.1,1844人,莫言 / 浙江文艺出版社 / 2022-1 / 69.90,暂无,莫言,莫言&中国文学&小说&文学&幽默&中国&短篇小说&好书，值得一读,浙江文艺出版社
https://book.douban.com/subject/1008145/,https://img2.doubanio.com/view/subject/s/public/s1070222.jpg,围城, ,8.9,415797人,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出... ,钱锺书,钱钟书&围城&中国文学&经典&小说&婚姻&现代文学&文学,人民文学出版社
https://book.douban.com/subject/20421947/,https://img2.doubanio.com/view/subject/s/public/s29032782.jpg,在细雨中呼喊, ,8.6,32095人,余华 / 作家出版社 / 2012-11-1 / 25.00元,《在细雨中呼喊》是二十世纪九十年代的经典文本，是余华的第一部长篇力作。小说描述了一位江南少年的成长经历和心灵历程。《在细雨中呼喊 》的结构来自于对时间的感受... ,余华,余华&中国文学&在细雨中呼喊&小说&人生&文学&60-80年代&中国,作家出版社
https://book.douban.com/subject/10517238/,https://img9.doubanio.com/view/subject/s/public/s8865866.jpg,平凡的世界, ,9.0,60024人,路遥 / 北京十月文艺出版社 / 2012-3-1 / CNY 79.80,《平凡的世界(套装共3册)》是一部现实主义小说，也是小说化的家族史。作家高度浓缩了中国西北农村的历史变迁过程，作品达到了思想性与艺术性的高度统一，特别是主人... ,路遥,平凡的世界&路遥&人生&经典&中国文学&励志&茅盾文学奖&农村,北京十月文艺出版社
https://book.douban.com/subject/11524204/,https://img1.doubanio.com/view/subject/s/public/s11276847.jpg,围城, ,9.3,80177人,钱锺书 / 人民文学出版社 / 1991-2-1 / 39.00元,《围城》是一幅栩栩如生的世井百态图，人生的酸甜苦辣千般滋味均在其中得到了淋漓尽致的体现。钱钟书先生将自己的语言天才并入极其渊博的知识，再添加上一些讽刺主义的... ,钱锺书,钱钟书&婚姻&经典&围城&人生&钱锺书&中国文学&中国现当代文学,人民文学出版社
https://book.douban.com/subject/1449351/,https://img2.doubanio.com/view/subject/s/public/s4696893.jpg,呐喊, ,9.0,129661人,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,《呐喊》收录作者1918年至1922年所作小说十四篇。1923年8月由北京新潮社出版，原收十五篇，列为该社《文艺丛书》之一。1924年5月第三次印刷时起，改... ,鲁迅,鲁迅&中国文学&呐喊&经典&杂文&小说&文学&中国,人民文学出版社
https://book.douban.com/subject/10564071/,https://img9.doubanio.com/view/subject/s/public/s28111905.jpg,白鹿原,20周年精装典藏版,9.2,78428人,陈忠实 / 人民文学出版社 / 2012-9 / 39.00元,在从清末民初到建国之初的半个世纪里，一阵阵狂风掠过了白鹿原上空，而每一次的变动都震荡着它的内在结构：打乱了再恢复，恢复了再打乱，细腻地反映出白姓和鹿姓两大家... ,陈忠实,陈忠实&白鹿原&中国文学&经典&茅盾文学奖&小说&现当代文学&社会,人民文学出版社
