书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/4913064/,https://img9.doubanio.com/view/subject/s/public/s27279654.jpg,活着, ,9.4,667009人,余华 / 作家出版社 / 2012-8-1 / 20.00元,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵... ,余华,余华&人性&人生&活着&中国文学&社会&经典&小说,作家出版社
https://book.douban.com/subject/35335514/,https://img1.doubanio.com/view/subject/s/public/s33834057.jpg,文城, ,7.8,31395人,余华 / 北京十月文艺出版社 / 2021-3 / 59.00元,暂无,余华,余华&小说&长篇小说&中国当代文学&中国文学&当代文学&文学&2021,北京十月文艺出版社
https://book.douban.com/subject/4760224/,https://img3.doubanio.com/view/subject/s/public/s24575140.jpg,许三观卖血记, ,9.0,94515人,余华 / 作家出版社 / 2012-9 / 24.00元,《许三观卖血记》是余华1995年创作的一部长篇小说。《许三观卖血记》以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述... ,余华,余华&人性&中国文学&那样的时代&小说&人生&生活&文学,作家出版社
https://book.douban.com/subject/20421947/,https://img2.doubanio.com/view/subject/s/public/s29032782.jpg,在细雨中呼喊, ,8.6,32374人,余华 / 作家出版社 / 2012-11-1 / 25.00元,《在细雨中呼喊》是二十世纪九十年代的经典文本，是余华的第一部长篇力作。小说描述了一位江南少年的成长经历和心灵历程。《在细雨中呼喊 》的结构来自于对时间的感受... ,余华,余华&中国文学&在细雨中呼喊&小说&人生&文学&60-80年代&中国,作家出版社
https://book.douban.com/subject/1029791/,https://img2.doubanio.com/view/subject/s/public/s1074291.jpg,许三观卖血记, ,8.8,221448人,余华 / 南海出版公司 / 1998-9 / 16.80元,《许三观卖血记》是余华1995年创作的一部长篇小说，它以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述了许三观靠着卖... ,余华,余华&许三观卖血记&人性&小说&人生&中国文学&当代&文学,南海出版公司
https://book.douban.com/subject/20441957/,https://img1.doubanio.com/view/subject/s/public/s24936189.jpg,兄弟, ,8.5,47093人,余华 / 作家出版社 / 2012-9-1 / 43.00元,《余华作品:兄弟》是余华作品。《余华作品:兄弟》讲述了这是两个时代相遇以后出生的小说，前一个是文革中的故事，那是一个精神狂热、本能压抑和命运惨烈的时代，相当... ,余华,余华&文革&兄弟&中国文学&小说&哭了&欲望&当代文学,作家出版社
https://book.douban.com/subject/30259153/,https://img2.doubanio.com/view/subject/s/public/s33747401.jpg,第七天, ,7.8,15412人,余华 / 新星出版社 / 2018-8 / 39.5,暂无,余华,余华&讽刺&人性&批判&人生&真实&小说&中国文学,新星出版社
https://book.douban.com/subject/27064488/,https://img1.doubanio.com/view/subject/s/public/s29652928.jpg,活着, ,9.4,21449人,余华 / 北京十月文艺出版社 / 2017-6-1 / 35.00元,暂无,余华,余华&活着&经典&好书，值得一读&中国文学&当代文学&小说&文学,北京十月文艺出版社
https://book.douban.com/subject/20406553/,https://img2.doubanio.com/view/subject/s/public/s24641371.jpg,现实一种, ,8.2,6705人,余华 / 作家出版社 / 2008-5 / 17.00元,《现实一种》是注重从1986年到1998年的写作旅程，十多年的漫漫长夜和那些晴朗或者阴沉的白昼过去之后，岁月留下了什么？书里的这些中短篇小说所记录下来的，就... ,余华,余华&残酷&小说&现实一种&中国文学&当代文学&短篇&中国当代文学,作家出版社
https://book.douban.com/subject/27141102/,https://img9.doubanio.com/view/subject/s/public/s29544766.jpg,许三观卖血记, ,9.1,5174人,余华 / 北京十月文艺出版社 / 2017-10 / 39.50元,《许三观卖血记》是余华于1995年创作的一部长篇小说，故事发生在五六十年代的中国。讲述了丝厂工人许三观的卖血经历。他卖血是为了娶亲，是为了救治重病的儿子，是... ,余华,余华&人性&中国文学&经典&小说&文学&中国&长篇小说,北京十月文艺出版社
https://book.douban.com/subject/5350303/,https://img9.doubanio.com/view/subject/s/public/s4547666.jpg,活着, ,9.3,28537人,余华 / 作家出版社 / 2010-10 / 15.00元,《活着》简介：地主少爷福贵嗜赌成性，终于赌光了家业，一贫如洗。穷困之中的福贵因为母亲生病前去求医，没想到半路上被国民党部队抓了壮丁，后被解放军所俘虏，回到家... ,余华,余华&小说&活着&人生&中国文学&经典&平民&中国,作家出版社
https://book.douban.com/subject/20397280/,https://img9.doubanio.com/view/subject/s/public/s24940796.jpg,黄昏里的男孩, ,8.2,5251人,余华 / 作家出版社 / 2012-9 / 18.00元,暂无,余华,余华&短篇小说集&中国文学&短篇&小说&当代文学&文学&中国,作家出版社
https://book.douban.com/subject/2237621/,https://img9.doubanio.com/view/subject/s/public/s29846754.jpg,十八岁出门远行, ,8.6,5378人,余华 / 作家出版社 / 1989 / 3.90,暂无,余华,余华&小说&中国文学&青春&当代文学&文学&中国&成长,作家出版社
https://book.douban.com/subject/24540864/,https://img1.doubanio.com/view/subject/s/public/s26710519.jpg,第七天, ,6.9,61042人,余华 / 新星出版社 / 2013-6 / 29.50元,“浓雾弥漫之时，我走出了出租屋，在空虚混沌的城市里孑孓而行。我要去的地方名叫殡仪馆，这是它现在的名字，它过去的名字叫火葬场。我得到一个通知，让我早晨九点之前... ,余华,余华&小说&第七天&中国文学&现实&中国当代文学&中国现当代文学&社会,新星出版社
https://book.douban.com/subject/1082138/,https://img2.doubanio.com/view/subject/s/public/s1336441.jpg,在细雨中呼喊, ,8.4,28844人,余华 / 南海出版公司 / 1999-1 / 18.00元,作者以第一人称讲述了一个家庭的欢乐和苦痛，细腻地刻画了柔弱的母亲如何完成了自己忍受的一生，她唯一爆发出来的愤怒是在弥留之际；名叫孙广财的父亲又是如何骄傲地将... ,余华,余华&小说&在细雨中呼喊&中国文学&当代文学&人生&文学&中国,南海出版公司
https://book.douban.com/subject/26291216/,https://img3.doubanio.com/view/subject/s/public/s27999290.jpg,我们生活在巨大的差距里, ,6.5,6451人,余华 / 北京十月文艺出版社 / 2015-2 / 35.00元,暂无,余华,余华&随笔&杂文&散文随笔&中国现当代文学&中国文学&中国&文学,北京十月文艺出版社
