书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1007914/,https://img2.doubanio.com/view/subject/s/public/s1067911.jpg,窗边的小豆豆, ,8.7,186853人,[日] 黑柳彻子 著、岩崎千弘 图 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,《窗边的小豆豆》讲述了作者上小学时的一段真实的故事。作者因淘气被原学校退学后，来到巴学园。在小林校长的爱护和引导下，让一般人眼里“怪怪”的小豆豆逐渐成了一个... ,黑柳彻子 著&岩崎千弘 图,窗边的小豆豆&儿童文学&黑柳彻子&教育&日本&童年&日本文学&儿童,南海出版公司
https://book.douban.com/subject/35096293/,https://img1.doubanio.com/view/subject/s/public/s34060508.jpg,平安小猪, ,8.5,624人,[英] J.K.罗琳 著、[英] 吉姆·菲尔德 绘 / 王梦达 / 新星出版社 / 2021-12-1 / 68,男孩杰克有一个心爱的伙伴——玩偶小猪嘟嘟。嘟嘟和杰克有数不清的开心回忆，更重要的是，嘟嘟陪伴他度过了那些难熬的伤心时刻，懂得杰克说不出口的每一个烦恼。然而意... ,J.K.罗琳 著&吉姆·菲尔德 绘,儿童文学&英国&治愈&圣诞&小说&J.K.罗琳&哈利波特&爱心树童书,新星出版社
https://book.douban.com/subject/1254588/,https://img1.doubanio.com/view/subject/s/public/s2654869.jpg,城南旧事,纪念普及版,9.0,129910人,林海音 文、关维兴 图 / 中国青年出版社 / 2003-7 / 16.00元,多少年来，《城南旧事》感动了一代又一代的读者，除了再版无数次的小说版外，1985年，本书在中国大陆搬上银幕，电影“城南旧事”获得“中国电影金鸡奖”、第二届“... ,林海音 文&关维兴 图,林海音&城南旧事&童年&中国文学&成长&儿童文学&小说&小时候,中国青年出版社
https://book.douban.com/subject/1046209/,https://img2.doubanio.com/view/subject/s/public/s1034062.jpg,安徒生童话故事集, ,9.2,111688人,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,暂无,安徒生,童话&安徒生&经典&儿童文学&外国文学&安徒生童话&安徒生童话故事集&名著,人民文学出版社
https://book.douban.com/subject/35200619/,https://img3.doubanio.com/view/subject/s/public/s33898350.jpg,柳林风声, ,9.3,655人,[英] 肯尼思·格雷厄姆、[英]E.H.谢泼德 / 任溶溶 / 上海译文出版社 / 2021-5 / 78,《柳林风声》是英国作家肯尼思•格雷厄姆（1859—1932）的代表作，以他讲给天生患有眼疾的儿子的故事为基础创作而成。自1908年出版以来，《柳林风声》收获... ,肯尼思·格雷厄姆&E.H.谢泼德,儿童文学&童话&英国文学&外国文学&英国&格雷厄姆&文学&绘本,上海译文出版社
https://book.douban.com/subject/1052990/,https://img3.doubanio.com/view/subject/s/public/s2652540.jpg,草房子, ,9.0,38218人,曹文轩 / 江苏少年儿童出版社 / 2009-6 / 18.00元,暂无,曹文轩,曹文轩&儿童文学&童年&草房子&成长&小说&中国文学&浪漫主义小说,江苏少年儿童出版社
https://book.douban.com/subject/3576486/,https://img2.doubanio.com/view/subject/s/public/s6530133.jpg,小狗钱钱,"引导孩子正确认识财富、创造财富的“金钱童话""",9.1,48442人,[德] 博多·舍费尔 / 王钟欣、余茜 / 南海出版公司 / 2009-2-1 / 20.00元,《小狗钱钱》主要内容：吉娅是一个普通的12岁女孩，一次偶然的机会，她救助了一只受伤的小狗，并给它取名叫“钱钱”。没想到，钱钱居然是一位深藏不露的理财高手，它... ,博多·舍费尔,理财&投资理财&教育&投资&经济&儿童文学&财商&要发财，先理财,南海出版公司
https://book.douban.com/subject/1064841/,https://img1.doubanio.com/view/subject/s/public/s1050548.jpg,绿山墙的安妮, ,9.1,13680人,[加] 露西·莫德·蒙哥玛利 / 马爱农 / 浙江文艺出版社 / 2003-01 / 15.00元,一部最甜蜜的描写儿童生活的小说。安妮是个身世凄凉的小女孩，出生不久即父母双亡，成了孤儿。好心的邻居把她养到六岁之后她又到另一户人家看孩子，后来被送到了孤儿院... ,露西·莫德·蒙哥玛利,绿山墙的安妮&儿童文学&外国文学&成长&经典&加拿大&童话&小说,浙江文艺出版社
https://book.douban.com/subject/1043008/,https://img9.doubanio.com/view/subject/s/public/s1043975.jpg,格林童话全集, ,9.0,83770人,[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,"《格林童话全集》是德国民间故事集。由德国的雅各・格林和威廉・格林兄弟根据民间口述材料改写而成。他们搜集、整理、出版这些民间童话的目的，正如威廉所说，是""希望... ",格林兄弟,童话&格林童话&外国文学&童年&经典&格林兄弟&儿童文学&德国,人民文学出版社
https://book.douban.com/subject/35659448/,https://img1.doubanio.com/view/subject/s/public/s34062629.jpg,柳林风声诺顿注释本, ,9.2,66人,[英]肯尼斯·格雷厄姆 著、[美] 安妮·高杰 编著 / 康华 / 湖南文艺出版社·浦睿文化 / 2022-1 / 98,暂无,肯尼斯·格雷厄姆 著&安妮·高杰 编著,儿童文学&童话&英国文学&英国&文学&外国文学&浦睿文化&小说,湖南文艺出版社
https://book.douban.com/subject/1036274/,https://img1.doubanio.com/view/subject/s/public/s1120437.jpg,夏洛的网, ,8.6,62203人,[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元,暂无,E.B.怀特,童话&夏洛的网&儿童文学&E・B・怀特&外国文学&童心&美国&小说,上海译文出版社
https://book.douban.com/subject/4826530/,https://img1.doubanio.com/view/subject/s/public/s4386309.jpg,我亲爱的甜橙树, ,9.1,9293人,(巴西)若泽•毛罗•德瓦斯康塞洛斯 / 蔚玲 / 天天出版社 / 2010-6 / 19.90元,暂无,若泽•毛罗•德瓦斯康塞洛斯,儿童文学&温柔&巴西&爱&外国文学&童年&成长&小说,天天出版社
