书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1007305/,https://img1.doubanio.com/view/subject/s/public/s1070959.jpg,红楼梦, ,9.6,361691人,[清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元,《红楼梦》是一部百科全书式的长篇小说。以宝黛爱情悲剧为主线，以四大家族的荣辱兴衰为背景，描绘出18世纪中国封建社会的方方面面，以及封建专制下新兴资本主义民主... ,曹雪芹 著&高鹗 续,红楼梦&古典文学&曹雪芹&经典&古典名著&名著&四大名著&小说,人民文学出版社
https://book.douban.com/subject/1019568/,https://img2.doubanio.com/view/subject/s/public/s1076932.jpg,三国演义（全二册）, ,9.3,146411人,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,《三国演义》又名《三国志演义》、《三国志通俗演义》，是我国小说史上最著名最杰出的长篇章回体历史小说。 《三国演义》的作者是元末明初人罗贯中，由毛纶，毛宗岗父... ,罗贯中,三国演义&古典文学&古典名著&罗贯中&小说&历史&名著&四大名著,人民文学出版社
https://book.douban.com/subject/1088581/,https://img9.doubanio.com/view/subject/s/public/s2280094.jpg,浮生六记, ,8.8,61425人,（清）沈复 / 人民文学出版社 / 1999-1 / 38,这是一部自传体文学的作品，原书六卷，已逸其二，现仅存四卷（有所谓“足本”者，后二记系伪作。书中记叙了作者夫妇间平凡的家居生活，坎坷际遇，和各地浪游闻见。文辞... ,沈复,浮生六记&古典文学&沈复&随笔&散文&古典&文学&爱情,人民文学出版社
https://book.douban.com/subject/1029553/,https://img9.doubanio.com/view/subject/s/public/s1627374.jpg,西游记（全二册）, ,8.9,72552人,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,《西游记》主要描写的是孙悟空保唐僧西天取经，历经九九八十一难的故事。唐僧取经是历史上一件真实的事。大约距今一千三百多年前，即唐太宗贞观元年（627），年仅2... ,吴承恩,古典文学&西游记&古典名著&小说&四大名著&经典&中国文学&名著,人民文学出版社
https://book.douban.com/subject/35502692/,https://img9.doubanio.com/view/subject/s/public/s33960304.jpg,金瓶梅的艺术,凡夫俗子的宝卷,8.7,965人,孙述宇 / 民主与建设出版社 / 2021-8 / 68.00元,暂无,孙述宇,金瓶梅&古典文学&文化&古代文学&比较文学&历史&后浪&读书,民主与建设出版社
https://book.douban.com/subject/26877943/,https://img2.doubanio.com/view/subject/s/public/s29052993.jpg,金瓶梅, ,9.3,776人,兰陵笑笑生 / 南洋出版社 / 2016-1,全球首套简体中文完整版双版本《金瓶梅》（一字不删），包括拥有最充分原始信息、最具可读性的“崇祯本”全部内容（该版本曾面向中国高级领导干部和学者及大型图书馆少... ,兰陵笑笑生,金瓶梅&中国古典文学&兰陵笑笑生&古典文学&小说&2020&中国文学,南洋出版社
https://book.douban.com/subject/1008357/,https://img1.doubanio.com/view/subject/s/public/s1436519.jpg,水浒传（全二册）, ,8.6,67823人,[明] 施耐庵、罗贯中 / 人民文学出版社 / 1997-1 / 50.60元,《水浒传》是我国第一部以农民起义为题材的长篇章回小说，是我国文学史上一座巍然屹立的丰碑，也是世界文学宝库中一颗光彩夺目的明珠。数百年来，它一直深受我国人民的... ,施耐庵&罗贯中,古典文学&四大名著&水浒传&小说&古典名著&经典&中国&名著,人民文学出版社
https://book.douban.com/subject/35661453/,https://img1.doubanio.com/view/subject/s/public/s34042157.jpg,水浒传的诞生,怎样的强盗书,8.1,185人,孙述宇 / 中国友谊出版公司 / 2021-11 / 82.00元,暂无,孙述宇,水浒&文学批评&文学&四大名著&古典文学&中国&文学史&2021,中国友谊出版公司
https://book.douban.com/subject/33411346/,https://img2.doubanio.com/view/subject/s/public/s32324813.jpg,苏轼十讲, ,9.3,1947人,朱刚 / 上海三联书店 / 2019-7 / 58.00元,触动我心灵的那些课，阅微讲堂，让生命打开。“阅微讲堂”系列丛书，专注于从全球范围内寻找那些既给予我们各种“新知”，更给予我们“智慧”，充满洞见与生命激情、触... ,朱刚,苏轼&苏东坡&古典文学&传记&文学&文学研究&中国文学&宋史,上海三联书店
https://book.douban.com/subject/1964774/,https://img9.doubanio.com/view/subject/s/public/s5804746.jpg,论语, ,9.1,19229人,刘胜利 / 中华书局 / 2006-12 / 9.80元,《论语》是一部语录体思想散文集。早在春秋后期孔子设坛讲学时期，其主体内容就已初始创成；孔子去世以后，他的辫子和再传弟子代代传授他的言论，并逐渐将这些口头记诵... ,刘胜利,国学&孔子&论语&哲学&经典&古典文学&思想&中国文学,中华书局
