书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/6082808/,https://img3.doubanio.com/view/subject/s/public/s27237850.jpg,百年孤独, ,9.3,365207人,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。... ,加西亚·马尔克斯,百年孤独&加西亚·马尔克斯&魔幻现实主义&经典&拉美文学&外国文学&小说&文学,南海出版公司
https://book.douban.com/subject/1007305/,https://img1.doubanio.com/view/subject/s/public/s1070959.jpg,红楼梦, ,9.6,361690人,[清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元,《红楼梦》是一部百科全书式的长篇小说。以宝黛爱情悲剧为主线，以四大家族的荣辱兴衰为背景，描绘出18世纪中国封建社会的方方面面，以及封建专制下新兴资本主义民主... ,曹雪芹 著&高鹗 续,红楼梦&古典文学&曹雪芹&经典&古典名著&名著&四大名著&小说,人民文学出版社
https://book.douban.com/subject/25897678/,https://img2.doubanio.com/view/subject/s/public/s29820803.jpg,包法利夫人, ,9.0,11279人,福楼拜 / 李健吾 / 人民文学出版社 / 2003-1-1 / CNY 28.00,《包法利夫人》于1856-1857年间在《巴黎杂志》上连载，轰动文坛，在社会上引起轩然大波。法当局对作者提起公诉，指控小说“伤风败俗、亵渎宗教”，并传唤作者... ,福楼拜,福楼拜&法国文学&包法利夫人&外国文学&法国&名著&小说&爱情,人民文学出版社
https://book.douban.com/subject/1068920/,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,飘, ,9.3,189369人,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环... ,玛格丽特·米切尔,飘&经典&外国文学&爱情&外国名著&小说&美国&名著,译林出版社
https://book.douban.com/subject/35482123/,https://img2.doubanio.com/view/subject/s/public/s33990793.jpg,鄙视, ,8.0,9340人,[意] 阿尔贝托·莫拉维亚 / 沈萼梅、刘锡荣 / 江苏凤凰文艺出版社 / 2021-7 / 62.00,婚后两年，丈夫在工作、金钱和理想面前节节败退，妻子的鄙视成了对他而言最大的惩罚。他时时揣摩自己为什么被妻子鄙视，却把妻子越推越远，一桩原本幸福的婚姻即将轰然... ,阿尔贝托·莫拉维亚,婚姻&意大利文学&小说&家庭&意大利&外国文学&文学&经典,江苏凤凰文艺出版社
https://book.douban.com/subject/1858513/,https://img1.doubanio.com/view/subject/s/public/s2659208.jpg,月亮和六便士, ,9.0,178557人,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,一个英国证券交易所的经纪人，本已有牢靠的职业和地位、美满的家庭，但却迷恋上绘画，像“被魔鬼附了体”，突然弃家出走，到巴黎去追求绘画的理想。他的行径没有人能够... ,毛姆,毛姆&月亮和六便士&小说&外国文学&英国&英国文学&毛姆：月亮和六便士&文学,上海译文出版社
https://book.douban.com/subject/1449351/,https://img2.doubanio.com/view/subject/s/public/s4696893.jpg,呐喊, ,9.0,129848人,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,《呐喊》收录作者1918年至1922年所作小说十四篇。1923年8月由北京新潮社出版，原收十五篇，列为该社《文艺丛书》之一。1924年5月第三次印刷时起，改... ,鲁迅,鲁迅&中国文学&呐喊&经典&杂文&小说&文学&中国,人民文学出版社
https://book.douban.com/subject/1449352/,https://img2.doubanio.com/view/subject/s/public/s2875823.jpg,朝花夕拾, ,8.9,125129人,鲁迅 / 人民文学出版社 / 1972-4 / 0.25元,本书收作者1926年所作回忆散文十篇。1928年9月由北平未名社初版，列为作者所编的《未名新集》之一。1932年8月改由上海北新书局出版。作者生前共印行七版... ,鲁迅,鲁迅&散文&朝花夕拾&中国文学&经典&文学&现代文学&中国,人民文学出版社
https://book.douban.com/subject/1858568/,https://img9.doubanio.com/view/subject/s/public/s1790246.jpg,罪与罚, ,9.2,24525人,[俄] 陀思妥耶夫斯基 / 岳麟 / 上海译文出版社 / 2006-8 / 23.00元,《罪与罚》系19世纪俄国大文豪陀思妥耶夫斯基的代表作之一。小说描写一心想成为拿破仑式的人物、认定自己是个超人的穷大学生拉斯柯尔尼科夫，受无政府主义思想毒害，... ,陀思妥耶夫斯基,陀思妥耶夫斯基&俄罗斯文学&罪与罚&小说&俄罗斯&外国文学&经典&文学,上海译文出版社
https://book.douban.com/subject/1043815/,https://img3.doubanio.com/view/subject/s/public/s1146040.jpg,骆驼祥子, ,8.4,181037人,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,《骆驼祥子》是老舍用同情的笔触描绘的一幕悲剧：二十年代的北京，一个勤劳、壮实的底层社会小人物怀着发家、奋斗的美好梦想，却最终为黑暗的暴风雨所吞噬。它揭示了当... ,老舍,老舍&骆驼祥子&中国文学&社会&经典&小说&名著&人生,人民文学出版社
https://book.douban.com/subject/1019568/,https://img2.doubanio.com/view/subject/s/public/s1076932.jpg,三国演义（全二册）, ,9.3,146410人,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,《三国演义》又名《三国志演义》、《三国志通俗演义》，是我国小说史上最著名最杰出的长篇章回体历史小说。 《三国演义》的作者是元末明初人罗贯中，由毛纶，毛宗岗父... ,罗贯中,三国演义&古典文学&古典名著&罗贯中&小说&历史&名著&四大名著,人民文学出版社
https://book.douban.com/subject/1083428/,https://img2.doubanio.com/view/subject/s/public/s4250062.jpg,傲慢与偏见, ,8.9,213434人,[英] 奥斯丁 / 张玲、张扬 / 人民文学出版社 / 1993-7 / 13.00元,《傲慢与偏见》是简·奥斯汀的代表作，是一部描写爱情与婚姻的经典小说。作品以男女主人公达西和伊丽莎白由于傲慢和偏见而产生的爱情纠葛为线索，共写了四起姻缘：伊丽... ,奥斯丁,傲慢与偏见&爱情&奥斯丁&外国文学&经典&外国名著&英国&小说,人民文学出版社
https://book.douban.com/subject/1064275/,https://img2.doubanio.com/view/subject/s/public/s1050021.jpg,老人与海, ,8.4,177045人,[美]海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,本书讲述了一个渔夫的故事。古巴老渔夫圣地亚哥在连续八十四天没捕到鱼的情况下，终于独自钓上了一条大马林鱼，但这鱼实在大，把他的小船在海上拖了三天才筋疲力尽，被... ,海明威,海明威&老人与海&外国文学&经典&励志&小说&名著&美国,上海译文出版社
https://book.douban.com/subject/2253379/,https://img1.doubanio.com/view/subject/s/public/s33473798.jpg,简爱, ,8.5,29838人,[英] 夏洛蒂·勃朗特 / 宋兆霖 / 上海文艺出版社 / 2007-8-1 / 27.00元,《简爱》讲述了这样一个故事：简•爱自幼父母双亡，投靠冷酷的舅母，但舅母无情地抛弃了她。她在一所慈善学校做了六年的学生和两年的教师。十八岁时，简•爱受聘到桑菲... ,夏洛蒂·勃朗特,夏洛蒂·勃朗特&爱情&女性&外国文学&经典&简·爱&小说&名著,上海文艺出版社
https://book.douban.com/subject/3183775/,https://img1.doubanio.com/view/subject/s/public/s3228699.jpg,四世同堂, ,9.3,27985人,老舍 / 北京十月文艺出版社 / 2008-07 / 36.00元,值得每一代中国人阅读的文学经典，值得每一个中国人珍藏的民族记忆。老舍：它是我从事写作以来最长的、可能也是最好的一本书。入选《亚洲周刊》“二十世纪中文小说一百... ,老舍,老舍&中国文学&抗日战争&经典&小说&现代文学&名著&文学,北京十月文艺出版社
https://book.douban.com/subject/1085470/,https://img9.doubanio.com/view/subject/s/public/s1817666.jpg,海底两万里, ,8.5,95999人,[法国] 儒尔·凡尔纳 / 沈国华、钱培鑫、曹德明 / 译林出版社 / 2002-9 / 19.50元,暂无,儒尔·凡尔纳,科幻&海底两万里&科幻小说&凡尔纳&儒勒·凡尔纳&外国文学&小说&法国,译林出版社
https://book.douban.com/subject/1046209/,https://img2.doubanio.com/view/subject/s/public/s1034062.jpg,安徒生童话故事集, ,9.2,111688人,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,暂无,安徒生,童话&安徒生&经典&儿童文学&外国文学&安徒生童话&安徒生童话故事集&名著,人民文学出版社
https://book.douban.com/subject/25897657/,https://img3.doubanio.com/view/subject/s/public/s29841680.jpg,悲惨世界, ,9.5,11489人,[法] 雨果 / 李丹、方于 / 人民文学出版社 / 2015-6 / 110.00元,暂无,雨果,雨果&浪漫主义与现实主义&经典名著&悲惨世界&法国文学&外国文学&法国&名著,人民文学出版社
https://book.douban.com/subject/4881639/,https://img2.doubanio.com/view/subject/s/public/s4571103.jpg,傲慢与偏见, ,8.9,27035人,简•奥斯丁(Jane Austen) / 孙致礼 / 译林出版社 / 2010-6-1 / 18.50元,本书描写傲慢的单身青年达西与偏见的二小姐伊丽莎白、富裕的单身贵族彬格莱与贤淑的大小姐吉英之间的感情纠葛，充分表达了作者本人的婚姻观，强调经济利益对恋爱和婚姻... ,简•奥斯丁,简·奥斯汀&爱情&经典&外国文学&英国&名著&小说&女性,译林出版社
https://book.douban.com/subject/1119522/,https://img2.doubanio.com/view/subject/s/public/s1095383.jpg,呼啸山庄, ,8.4,111752人,艾米莉·勃朗特 / 张扬、张玲 / 人民文学出版社 / 1999-01-01 / 27.30元,夏洛蒂和传记作者告诉我们，爱米丽生性独立、豁达、纯真、刚毅、热情而又内向。她颇有男儿气概，酷爱自己生长其间的荒原，平素在离群索居中，除去手足情谊，最喜与大自... ,艾米莉·勃朗特,呼啸山庄&外国文学&爱情&经典&小说&英国&名著&外国名著,人民文学出版社
https://book.douban.com/subject/1029553/,https://img9.doubanio.com/view/subject/s/public/s1627374.jpg,西游记（全二册）, ,8.9,72552人,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,《西游记》主要描写的是孙悟空保唐僧西天取经，历经九九八十一难的故事。唐僧取经是历史上一件真实的事。大约距今一千三百多年前，即唐太宗贞观元年（627），年仅2... ,吴承恩,古典文学&西游记&古典名著&小说&四大名著&经典&中国文学&名著,人民文学出版社
