书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/4913064/,https://img9.doubanio.com/view/subject/s/public/s27279654.jpg,活着, ,9.4,665440人,余华 / 作家出版社 / 2012-8-1 / 20.00元,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵... ,余华,余华&人性&人生&活着&中国文学&社会&经典&小说,作家出版社
https://book.douban.com/subject/35315153/,https://img9.doubanio.com/view/subject/s/public/s33821754.jpg,克拉拉与太阳, ,8.2,26072人,[英] 石黑一雄 / 宋佥 / 上海译文出版社 / 2021-3 / 68.00,暂无,石黑一雄,石黑一雄&人工智能&小说&日本&外国文学&2021&英国文学&世界文学,上海译文出版社
https://book.douban.com/subject/35534519/,https://img2.doubanio.com/view/subject/s/public/s33956462.jpg,素食者, ,8.0,16511人,[韩] 韩江 / 胡椒筒 / 四川文艺出版社 / 2021-9 / 48,暂无,韩江,女性&韩国文学&韩国&心理&小说&文学&奇怪的东西&外国文学,四川文艺出版社
https://book.douban.com/subject/35517022/,https://img2.doubanio.com/view/subject/s/public/s33968312.jpg,鹿川有许多粪, ,9.0,5856人,李沧东 / 春喜 / 武汉大学出版社 / 2021-8 / 58.00元,暂无,李沧东,李沧东&韩国文学&韩国&小说&韩国小说&社会&文学&短篇小说集,武汉大学出版社
https://book.douban.com/subject/35482123/,https://img2.doubanio.com/view/subject/s/public/s33990793.jpg,鄙视, ,8.0,9141人,[意] 阿尔贝托·莫拉维亚 / 沈萼梅、刘锡荣 / 江苏凤凰文艺出版社 / 2021-7 / 62.00,婚后两年，丈夫在工作、金钱和理想面前节节败退，妻子的鄙视成了对他而言最大的惩罚。他时时揣摩自己为什么被妻子鄙视，却把妻子越推越远，一桩原本幸福的婚姻即将轰然... ,阿尔贝托·莫拉维亚,婚姻&意大利文学&小说&家庭&意大利&外国文学&文学&经典,江苏凤凰文艺出版社
https://book.douban.com/subject/35143790/,https://img1.doubanio.com/view/subject/s/public/s33941998.jpg,蛤蟆先生去看心理医生, ,8.5,75104人,【英】罗伯特·戴博德 / 陈赢 / 天津人民出版社 / 2020-8-1 / 38.00元,蛤蟆先生一向爱笑爱闹，如今却一反常态地郁郁寡欢，他一个人躲在屋里，连起床梳洗的力气都没有。朋友们非常担心他，建议他去做心理咨询。在10次心理咨询中，蛤蟆在咨... ,罗伯特·戴博德,心理学&治愈&心理咨询类入门图书&心理咨询&情绪&抑郁&童年&英国,天津人民出版社
https://book.douban.com/subject/35335514/,https://img1.doubanio.com/view/subject/s/public/s33834057.jpg,文城, ,7.8,30973人,余华 / 北京十月文艺出版社 / 2021-3 / 59.00元,暂无,余华,余华&小说&长篇小说&中国当代文学&中国文学&当代文学&文学&2021,北京十月文艺出版社
https://book.douban.com/subject/26362836/,https://img3.doubanio.com/view/subject/s/public/s28050760.jpg,献给阿尔吉侬的花束, ,9.1,48708人,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,声称能改造智能的科学实验在白老鼠阿尔吉侬身上获得了突破性的进展，下一步急需进行人体实验。个性和善、学习态度积极的心智障碍者查理·高登成为最佳人选。手术成功后... ,丹尼尔·凯斯,人性&科幻&心理&科幻小说&小说&丹尼尔·凯斯&心理学&外国文学,广西师范大学出版社
https://book.douban.com/subject/35031587/,https://img2.doubanio.com/view/subject/s/public/s33685372.jpg,绝叫, ,8.7,33720人,[日] 叶真中显 / 林佩瑾 / 北京联合出版公司 / 2020-7 / 58.00元,暂无,叶真中显,社会派&日本&推理&悬疑&日系推理&推理小说&犯罪&小说,北京联合出版公司
https://book.douban.com/subject/35005045/,https://img3.doubanio.com/view/subject/s/public/s33718940.jpg,夜晚的潜水艇, ,8.4,35637人,陈春成 / 上海三联书店 / 2020-9 / 52,暂无,陈春成,短篇小说&陈春成&小说&中国文学&中国现当代&文学&理想国&中国,上海三联书店
