书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/10757940/,https://img2.doubanio.com/view/subject/s/public/s10205753.jpg,倾城之恋,张爱玲全集01——小说,8.8,31673人,张爱玲 / 北京十月文艺出版社 / 2012-6-1 / 29.80元,暂无,张爱玲,张爱玲&爱情&女性&小说&倾城之恋&中国文学&经典&民国,北京十月文艺出版社
https://book.douban.com/subject/10757938/,https://img1.doubanio.com/view/subject/s/public/s10199588.jpg,半生缘,张爱玲全集04——小说,9.1,21297人,张爱玲 / 北京十月文艺出版社 / 2012-6-1 / 29.60元,《半生缘》讲的是三十年代上海的一个悲惨的爱情故事。女主人公顾曼桢家境贫寒，自幼丧父，老小七人全靠姐姐曼璐做舞女养活。曼桢毕业后在一家公司工作，与来自南京的沈... ,张爱玲,张爱玲&爱情&小说&半生缘&民国&中国文学&文学&经典,北京十月文艺出版社
https://book.douban.com/subject/1082162/,https://img1.doubanio.com/view/subject/s/public/s1077099.jpg,第一炉香, ,8.4,44943人,张爱玲 / 花城出版社 / 1997-3 / 11.5,沉香屑---第一炉香  沉香屑---第二炉香  茉莉香片  心经  封锁  琉璃瓦  年轻的时候  花凋   中国的日夜 ,张爱玲,张爱玲&第一炉香&小说&女性&爱情&中国文学&張愛玲&经典,花城出版社
https://book.douban.com/subject/10757939/,https://img2.doubanio.com/view/subject/s/public/s10199551.jpg,红玫瑰与白玫瑰,张爱玲全集02——小说,8.8,22146人,张爱玲 / 北京十月文艺出版社 / 2012-6 / 28.00元,《红玫瑰与白玫瑰》收录了张爱玲1944年的中短篇小说作品。“也许每一个男子全都有过这样的两个女人，至少两个。娶了红玫瑰，久而久之，红的变了墙上的一抹蚊子血，... ,张爱玲,张爱玲&红玫瑰与白玫瑰&女性&爱情&小说&中国文学&文学&如人饮水，冷暖自知,北京十月文艺出版社
https://book.douban.com/subject/30294357/,https://img9.doubanio.com/view/subject/s/public/s30007166.jpg,倾城之恋,张爱玲全集01,9.1,5315人,张爱玲 / 北京十月文艺出版社 / 2019-3 / 49.50元,◑张爱玲中短篇小说集。收录创作于1943年至1944年创作的中短篇小说《第一炉香》《第二炉香》《茉莉香片》《心经》《封锁》《倾城之恋》《琉璃瓦》《金锁记》《... ,张爱玲,张爱玲&女性&爱情&小说&中国文学&文学&经典&现当代文学,北京十月文艺出版社
https://book.douban.com/subject/3017857/,https://img9.doubanio.com/view/subject/s/public/s2976745.jpg,金锁记, ,8.6,56846人,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,《金锁记》写于1943年，小说描写了一个小商人家庭出身的女子曹七巧的心灵变迁历程。七巧做过残疾人的妻子，欲爱而不能爱，几乎像疯子一样在姜家过了30年。在财欲... ,张爱玲,张爱玲&金锁记&小说&中国文学&女性&爱情&经典&張愛玲,哈尔滨出版社
https://book.douban.com/subject/1985223/,https://img3.doubanio.com/view/subject/s/public/s4638950.jpg,倾城之恋, ,8.7,46227人,张爱玲 / 北京十月文艺出版社 / 2006-12 / 29.80元,一九四四年八月十五日，张爱玲的小说集《传奇》由上海杂志社出版，书中收入中短篇小说《金锁记》、《倾城之恋》、《茉莉香片》、《沉香屑：第一炉香》、《沉香屑：第二... ,张爱玲,张爱玲&倾城之恋&小说&爱情&中国文学&经典&文学&现代文学,北京十月文艺出版社
https://book.douban.com/subject/1963684/,https://img1.doubanio.com/view/subject/s/public/s2838737.jpg,半生缘, ,8.6,77700人,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,他和曼桢认识，已经是多年前的事了。算起来倒已经有十四年了——真吓人一跳！马上使他连带地觉得自己已老了许多。日子过得真快，尤其对于中年以后的人，十年八年都好像... ,张爱玲,张爱玲&半生缘&爱情&小说&中国文学&女性&文学经典&文学,北京十月文艺出版社
https://book.douban.com/subject/1090043/,https://img2.doubanio.com/view/subject/s/public/s1077102.jpg,倾城之恋, ,8.5,151068人,张爱玲 / 花城出版社 / 1997-3-1 / 11.00,一对现实庸俗的男女，在战争的兵荒马乱之中被命运掷骰子般地掷到了一起，于“一刹那”体会到了“一对平凡的夫妻”之间的“一点真心”⋯⋯张爱玲是作为中国现代文学史上... ,张爱玲,张爱玲&倾城之恋&爱情&小说&中国文学&经典&張愛玲&文学,花城出版社
https://book.douban.com/subject/11614508/,https://img3.doubanio.com/view/subject/s/public/s11194180.jpg,流言, ,9.0,4275人,张爱玲 / 北京十月文艺出版社 / 2012-9 / 29.50元,暂无,张爱玲,张爱玲&散文&中国文学&散文随笔&文学&散文杂文随笔&随笔&中国,北京十月文艺出版社
https://book.douban.com/subject/30294358/,https://img2.doubanio.com/view/subject/s/public/s30007263.jpg,红玫瑰与白玫瑰,张爱玲全集02,8.8,2871人,张爱玲 / 北京十月文艺出版社 / 2019-3 / 49.50元,◑张爱玲中短篇小说集。收录创作于1944年至1947年创作的中短篇小说，包括《年轻的时候》《花凋》《鸿鸾禧》《红玫瑰与白玫瑰》《散戏》《殷宝滟送花楼会》《桂... ,张爱玲,张爱玲&红玫瑰与白玫瑰&短篇小说&小说&中国文学&文学&小说集&现当代文学,北京十月文艺出版社
https://book.douban.com/subject/35498437/,https://img1.doubanio.com/view/subject/s/public/s33925259.jpg,传奇, ,9.1,362人,张爱玲 / 北京十月文艺出版社 / 2021-6 / 49.00,暂无,张爱玲,张爱玲&中国文学&小说&短篇&中国&新经典文库&传奇&2021,北京十月文艺出版社
https://book.douban.com/subject/30294360/,https://img2.doubanio.com/view/subject/s/public/s30007391.jpg,小团圆,张爱玲全集05,8.6,1611人,张爱玲 / 北京十月文艺出版社 / 2019-3 / 49.00元,◑张爱玲长篇小说代表作，据张爱玲手稿整理出版。原稿共619页，1976年完成后，张爱玲寄给香港的好友宋淇邝文美夫妇，后因各方原因未能发表；2009年2月，经... ,张爱玲,张爱玲&小说&自传体小说&中国文学&现当代文学&文学&长篇&中国,北京十月文艺出版社
https://book.douban.com/subject/1014278/,https://img2.doubanio.com/view/subject/s/public/s3695882.jpg,红玫瑰与白玫瑰, ,8.4,82613人,张爱玲 / 花城出版社 / 1996-06 / 12.80元,"“也许每一个男子全都有过这样的两个女人，至少两个。娶了红玫瑰，久而久之，红的变了墙上的一抹蚊子血，白的还是""床前明月光""；娶了白玫瑰，白的便是衣服上沾的一粒... ",张爱玲,张爱玲&红玫瑰与白玫瑰&爱情&小说&中国文学&張愛玲&经典&文学,花城出版社
https://book.douban.com/subject/10757942/,https://img9.doubanio.com/view/subject/s/public/s10199576.jpg,怨女,张爱玲全集03——小说,8.4,7156人,张爱玲 / 北京十月文艺出版社 / 2012-6 / 29.60元,暂无,张爱玲,张爱玲&小说&怨女&女性&爱情&中国文学&文学&中国,北京十月文艺出版社
https://book.douban.com/subject/1024468/,https://img1.doubanio.com/view/subject/s/public/s1441609.jpg,金锁记, ,9.1,4059人,张爱玲 / 哈尔滨出版社 / 2005-6 / 19.80元,暂无,张爱玲,张爱玲&女性文学&小说&金锁记&中国文学&張愛玲&文学&经典,哈尔滨出版社
https://book.douban.com/subject/30294355/,https://img2.doubanio.com/view/subject/s/public/s30007351.jpg,半生缘,张爱玲全集04,9.1,2796人,张爱玲 / 北京十月文艺出版社 / 2019-3 / 55.00元,◑张爱玲长篇小说代表作。初载1950.4.25至1951.2.11《亦报》，题为《十八春》，1951年11月由上海亦报社出版单行本；后经张爱玲改写，以《惘然... ,张爱玲,张爱玲&爱情&張愛玲&小说&中国文学&长篇小说&现当代文学&文学,北京十月文艺出版社
https://book.douban.com/subject/35506127/,https://img3.doubanio.com/view/subject/s/public/s33928990.jpg,流言, ,8.9,327人,张爱玲 / 北京十月文艺出版社 / 2021-6 / 39,暂无,张爱玲,张爱玲&中国文学&散文&随笔&文学&中国&散文随笔&2021,北京十月文艺出版社
