书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/4913064/,https://img9.doubanio.com/view/subject/s/public/s27279654.jpg,活着, ,9.4,667017人,余华 / 作家出版社 / 2012-8-1 / 20.00元,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵... ,余华,余华&人性&人生&活着&中国文学&社会&经典&小说,作家出版社
https://book.douban.com/subject/35335514/,https://img1.doubanio.com/view/subject/s/public/s33834057.jpg,文城, ,7.8,31398人,余华 / 北京十月文艺出版社 / 2021-3 / 59.00元,暂无,余华,余华&小说&长篇小说&中国当代文学&中国文学&当代文学&文学&2021,北京十月文艺出版社
https://book.douban.com/subject/35025453/,https://img1.doubanio.com/view/subject/s/public/s33660509.jpg,失落的卫星,深入中亚大陆的旅程,8.8,12259人,刘子超 / 文汇出版社 / 2020-7 / 69.00元,暂无,刘子超,旅行文学&中亚&游记&旅行&刘子超&文学&当代文学&大陆文学,文汇出版社
https://book.douban.com/subject/3633461/,https://img1.doubanio.com/view/subject/s/public/s6916838.jpg,一句顶一万句, ,8.7,52537人,刘震云 / 长江文艺出版社 / 2009-3 / 29.80,《一句顶一万句》的故事很简单，小说的前半部写的是过去：孤独无助的吴摩西失去唯一能够“说得上话”的养女，为了寻找，走出延津；小说的后半部写的是现在：吴摩西养女... ,刘震云,刘震云&小说&一句顶一万句&当代文学&中国文学&茅盾文学奖&中国当代小说&人生,长江文艺出版社
https://book.douban.com/subject/35653884/,https://img9.doubanio.com/view/subject/s/public/s34035255.jpg,潮汐图, ,8.4,566人,林棹 / 上海文艺出版社 / 2022-1 / 58.00,这真是一部让人期待已久的南方叙事，一座早该由广东人吐露成型的海市蜃楼。我需要再三重读，好看清林棹如何放荡她那肆无忌惮的想象力，从珠江江底泥层疍艇的尸身，打捞... ,林棹,小说&中国当代文学&当代文学&中国文学&广州&文学&长篇小说&中国,上海文艺出版社
https://book.douban.com/subject/20441957/,https://img1.doubanio.com/view/subject/s/public/s24936189.jpg,兄弟, ,8.5,47094人,余华 / 作家出版社 / 2012-9-1 / 43.00元,《余华作品:兄弟》是余华作品。《余华作品:兄弟》讲述了这是两个时代相遇以后出生的小说，前一个是文革中的故事，那是一个精神狂热、本能压抑和命运惨烈的时代，相当... ,余华,余华&文革&兄弟&中国文学&小说&哭了&欲望&当代文学,作家出版社
https://book.douban.com/subject/35512889/,https://img9.doubanio.com/view/subject/s/public/s33951105.jpg,迷路员, ,7.8,2066人,沈大成 / 台海出版社 / 2021-7 / 52,“你看着友邻，大家都一样，清洁、独立并光明。你们的历史已成碎片，此时散落在新的历史中，陈列在新的历史中，供新历史中的小个子人类去谈论。你如此被展出。你看不见... ,沈大成,沈大成&短篇小说&小说&当代文学&理想国&文学&生活&批判性思维,台海出版社
https://book.douban.com/subject/27064488/,https://img1.doubanio.com/view/subject/s/public/s29652928.jpg,活着, ,9.4,21449人,余华 / 北京十月文艺出版社 / 2017-6-1 / 35.00元,暂无,余华,余华&活着&经典&好书，值得一读&中国文学&当代文学&小说&文学,北京十月文艺出版社
https://book.douban.com/subject/26803179/,https://img1.doubanio.com/view/subject/s/public/s28810239.jpg,平原上的摩西, ,8.2,25003人,双雪涛 / 百花文艺出版社 / 2016-6 / 39.50元,本书是双雪涛的第一部中短篇小说集，书中收录了10篇作品，小说风格不一，题材有校园成长类，奇人故事类，侦探悬疑类，作者的笔调朴素，冷峻又有文字表面按捺不住的恣... ,双雪涛,双雪涛&小说&当代文学&短篇小说&中国文学&短篇小说集&中国&中国当代文学,百花文艺出版社
https://book.douban.com/subject/35498378/,https://img2.doubanio.com/view/subject/s/public/s33923642.jpg,活着就是冲天一喊, ,8.2,1088人,陈年喜 / 台海出版社 / 2021-6-25 / 56,暂无,陈年喜,非虚构&纪实文学&纪实&当代文学&生活&文学&诗人&散文,台海出版社
https://book.douban.com/subject/3803820/,https://img2.doubanio.com/view/subject/s/public/s3847911.jpg,人生, ,8.5,63487人,路遥 / 北京十月文艺出版社 / 2009-5 / 20.00元,《人生》是路遥的一部中篇小说，发表于1982年，它以改革时期陕北高原的城乡生活为时空背景，叙述了高中毕业生高加林回到土地又离开土地，再回到土地这样人生的变化... ,路遥,路遥&人生&命运&小说&中国文学&成长&当代文学&经典,北京十月文艺出版社
