书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1060068/,https://img2.doubanio.com/view/subject/s/public/s1369343.jpg,撒哈拉的故事, ,9.2,132342人,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,三毛作品中最脍炙人口的《撒哈拉的故事》，由12篇精彩动人的散文结合而成，其中《沙漠中的饭店》，是三毛适应荒凉单调的沙漠生活后，重新拾笔的第一篇文字，自此之后... ,三毛,三毛&撒哈拉的故事&随笔&散文&游记&旅行&爱情&文学,哈尔滨出版社
https://book.douban.com/subject/1023045/,https://img2.doubanio.com/view/subject/s/public/s1015872.jpg,我们仨, ,8.7,281108人,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨... ,杨绛,杨绛&回忆录&我们仨&亲情&钱钟书&回忆&随笔&散文,生活·读书·新知三联书店
https://book.douban.com/subject/1209899/,https://img1.doubanio.com/view/subject/s/public/s1151479.jpg,我与地坛,史铁生代表作,9.1,81655人,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,收有“午餐半小时”、“我的遥远的清平湾”、“命若琴弦”、“第一人称”、“两个故事”等15篇史铁生的代表作。 ,史铁生,史铁生&散文&我与地坛&人生&随笔&中国文学&中国当代文学&文学,春风文艺出版社
https://book.douban.com/subject/1449352/,https://img2.doubanio.com/view/subject/s/public/s2875823.jpg,朝花夕拾, ,8.9,125123人,鲁迅 / 人民文学出版社 / 1972-4 / 0.25元,本书收作者1926年所作回忆散文十篇。1928年9月由北平未名社初版，列为作者所编的《未名新集》之一。1932年8月改由上海北新书局出版。作者生前共印行七版... ,鲁迅,鲁迅&散文&朝花夕拾&中国文学&经典&文学&现代文学&中国,人民文学出版社
https://book.douban.com/subject/27184303/,https://img3.doubanio.com/view/subject/s/public/s29878650.jpg,遥远的向日葵地, ,9.0,15115人,李娟 / 花城出版社 / 2017-11 / 38.00元,暂无,李娟,李娟&散文&新疆&散文随笔&中国文学&随笔&生活&中国,花城出版社
https://book.douban.com/subject/35641564/,https://img2.doubanio.com/view/subject/s/public/s34031041.jpg,一切境, ,7.8,1146人,庆山 / 人民文学出版社 / 2021-11-2 / 66.00,庆山（安妮宝贝）2021年全新散文集。《一切境》留下了庆山近几年生命活动的痕迹与标记。伴随作者数年的日常观察、旅行、阅读和思考，作三言两语的灵光一现的直觉式... ,庆山,庆山&散文&安妮宝贝&随笔&散文随笔&随笔集&治愈&中国文学,人民文学出版社
https://book.douban.com/subject/35367135/,https://img9.doubanio.com/view/subject/s/public/s33833856.jpg,太多值得思考的事物：索尔•贝娄散文选1940-2000,索尔·贝娄散文选，1940—2000,9.3,374人,[美]索尔•贝娄 / 李纯一、索马里 / 人民文学出版社 / 2021-3 / 99.00元,暂无,索尔•贝娄,索尔·贝娄&散文&美国文学&文学&随笔&随笔集&外国文学&美国,人民文学出版社
https://book.douban.com/subject/35608319/,https://img9.doubanio.com/view/subject/s/public/s34006244.jpg,俗女养成记, ,8.2,1772人,江鹅 / 北京日报出版社 / 2021-10 / 48.00元,暂无,江鹅,女性&台湾&随笔集&小说&理想国&散文&中国当代文学&文学,北京日报出版社
https://book.douban.com/subject/10522856/,https://img2.doubanio.com/view/subject/s/public/s8958901.jpg,冬牧场, ,9.0,26118人,李娟 / 新星出版社 / 2012-6 / 29.80元,暂无,李娟,李娟&散文&新疆&阿勒泰&自然&随笔&散文随笔&纪实,新星出版社
https://book.douban.com/subject/27183690/,https://img3.doubanio.com/view/subject/s/public/s33667700.jpg,我想做一个能在你的葬礼上描述你一生的人, ,8.2,4105人,贾平凹、史铁生、沈从文 / 台海出版社 / 2017-10 / 36.80,我想做一个能在你的葬礼上描述你一生的人，没有壮阔的海誓山盟，也没有似水柔情的情话，只是这样一句凝重但又温馨动人的描述，却足以打动人心。看到这句话，有一种感觉... ,贾平凹&史铁生&沈从文,散文&随笔&文学&杂文&美好生活&好书，值得一读,台海出版社
https://book.douban.com/subject/1054685/,https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,沉默的大多数,王小波杂文随笔全编,9.1,129379人,王小波 / 中国青年出版社 / 1997-10 / 27.00元,这本杂文随笔集包括思想文化方面的文章，涉及知识分子的处境及思考，社会道德伦理，文化论争，国学与新儒家，民族主义等问题；包括从日常生活中发掘出来的各种真知灼见... ,王小波,王小波&杂文&沉默的大多数&思想&随笔&中国文学&文学&中国,中国青年出版社
https://book.douban.com/subject/1253310/,https://img3.doubanio.com/view/subject/s/public/s1201610.jpg,人间草木, ,9.1,24082人,汪曾祺 / 江苏文艺出版社 / 2005-01 / 20.00元,"《人间草木》(汪曾祺著)是汪曾祺优秀的散文集。当代文坛上,能同时在小说和散文两块田地里经营,且自成一家的并不多,汪曾祺先生算是其中的一个。汪曾祺先生是公认的... ",汪曾祺,汪曾祺&散文&人间草木&散文随笔&随笔&中国文学&闲淡&文学,江苏文艺出版社
https://book.douban.com/subject/1088581/,https://img9.doubanio.com/view/subject/s/public/s2280094.jpg,浮生六记, ,8.8,61422人,（清）沈复 / 人民文学出版社 / 1999-1 / 38,这是一部自传体文学的作品，原书六卷，已逸其二，现仅存四卷（有所谓“足本”者，后二记系伪作。书中记叙了作者夫妇间平凡的家居生活，坎坷际遇，和各地浪游闻见。文辞... ,沈复,浮生六记&古典文学&沈复&随笔&散文&古典&文学&爱情,人民文学出版社
https://book.douban.com/subject/30259726/,https://img3.doubanio.com/view/subject/s/public/s33678980.jpg,我的阿勒泰, ,8.6,5015人,李娟 / 长江文艺出版社 / 2018-8 / 36.80,李娟的散文成名作和代表作之一。原生态记录了作者在疆北阿勒泰地区生活的点点滴滴，包括人与事的记忆和感悟。全书文字明净，质地纯粹，原生态地再现了疆北风物人情，充... ,李娟,李娟&新疆&散文&阿勒泰&散文随笔&自然&温情&随笔,长江文艺出版社
https://book.douban.com/subject/35277887/,https://img3.doubanio.com/view/subject/s/public/s33783660.jpg,弃猫,当我谈起父亲时,7.4,13848人,[日] 村上春树 / 烨伊 / 花城出版社 / 2021-1 / 48.00,暂无,村上春树,村上春树&日本文学&日本&散文&文学&非虚构&2021&2020,花城出版社
https://book.douban.com/subject/35582002/,https://img2.doubanio.com/view/subject/s/public/s33983731.jpg,我的灵魂骑在纸背上, ,8.6,928人,三毛 / 南海出版公司 / 2021-10 / 49.00,暂无,三毛,三毛&书信&随笔&散文&文学&中国文学&现当代文学&新经典,南海出版公司
https://book.douban.com/subject/4881850/,https://img3.doubanio.com/view/subject/s/public/s6185540.jpg,阿勒泰的角落, ,9.1,16320人,李娟 / 万卷出版公司 / 2010-6 / 25.00元,《阿勒泰的角落》是关于新疆的最美丽文字，这是现代版《呼兰河传》。由作者1998-2003年之间陆续完成并在《文汇报》、《南方周末》等发表的短篇散文集结成册。... ,李娟,李娟&散文&新疆&阿勒泰&随笔&生活&中国文学&旅行,万卷出版公司
https://book.douban.com/subject/35015980/,https://img1.doubanio.com/view/subject/s/public/s33758847.jpg,瓦尔登湖, ,9.0,1423人,[美] 亨利·戴维·梭罗  (Henry David Thoreau) / 仲泽 / 译林出版社 / 2020-10 / 85.00元,暂无,亨利·戴维·梭罗,瓦尔登湖&梭罗&自然文学&自然&外国文学&随笔&散文&文学,译林出版社
https://book.douban.com/subject/35479662/,https://img9.doubanio.com/view/subject/s/public/s33921954.jpg,浮木, ,8.5,2779人,杨本芬 / 北京联合出版公司 / 2021-7-2 / 39.80,《浮木》是《秋园》的续集。一位八旬奶奶讲述她和妈妈，以及中南腹地那些家人、亲戚、乡亲们的故事，在那样的年代里，人们像水中的浮木般起起伏伏、随波逐流、挣扎求生... ,杨本芬,女性&回忆录&中国文学&中国&文学&口述史&传记&小说,北京联合出版公司
