书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35094680/,https://img1.doubanio.com/view/subject/s/public/s33805848.jpg,桶川跟踪狂杀人事件, ,9.0,17247人,[日] 清水洁 / 王华懋 / 四川人民出版社 / 2021-2 / 45.00元,暂无,清水洁,纪实&日本&非虚构&日本文学&推理小说&日系推理&推理&小说,四川人民出版社
https://book.douban.com/subject/35571598/,https://img9.doubanio.com/view/subject/s/public/s34037354.jpg,第一人称单数, ,7.4,6806人,[日]村上春树 / 烨伊 / 文治图书·花城出版社 / 2021-11 / 56.00,暂无,村上春树,村上春树&日本文学&日本&短篇小说&小说&2021&短篇集&文学,文治图书·花城出版社
https://book.douban.com/subject/10554308/,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,白夜行, ,9.1,379383人,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,暂无,东野圭吾,东野圭吾&悬疑推理&日系推理&推理&日本文学&日本&模糊式爱情&小说,南海出版公司
https://book.douban.com/subject/34996429/,https://img1.doubanio.com/view/subject/s/public/s34070178.jpg,消失的13级台阶, ,8.7,50451人,[日] 高野和明 / 赵建勋 / 上海文艺出版社 / 2020-5-15 / 42.00元,暂无,高野和明,推理&推理小说&日本&日本推理&江户川乱步奖&日系推理&高野和明&侦探推理,上海文艺出版社
https://book.douban.com/subject/3259440/,https://img2.doubanio.com/view/subject/s/public/s4610502.jpg,白夜行, ,9.1,489465人,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,“只希望能手牵手在太阳下散步”，这个象征故事内核的绝望念想，有如一个美丽的幌子，随着无数凌乱、压抑、悲凉的故事片段像纪录片一样一一还原：没有痴痴相思，没有海... ,东野圭吾,东野圭吾&東野圭吾&推理&悬疑&日本&推理小说&人性&日本文学,南海出版公司
https://book.douban.com/subject/25862578/,https://img2.doubanio.com/view/subject/s/public/s27264181.jpg,解忧杂货店, ,8.5,709269人,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,暂无,东野圭吾,东野圭吾&治愈&温暖&小说&日本&日本文学&東野圭吾&推理,南海出版公司
https://book.douban.com/subject/34933208/,https://img9.doubanio.com/view/subject/s/public/s33939696.jpg,东京贫困女子, ,8.3,5274人,[日]中村淳彦 / 傅栩 / 人民文学出版社 / 2021-8 / 59.00元,暂无,中村淳彦,女性&纪实&日本&社会学&女性主义&日本文学&非虚构&文学,人民文学出版社
https://book.douban.com/subject/35390390/,https://img1.doubanio.com/view/subject/s/public/s33880929.jpg,字母表谜案, ,7.7,25297人,大山诚一郎 / 曹逸冰 / 河南文艺出版社 / 2021-5 / 42.00元,一座神秘的公寓，不定期举行推理合战。红茶、曲奇，搭配寒意逼人的谜案，与案件相关的字母似乎是重要线索。一群特殊的房客，联手组成侦探团，秘密追踪警视厅也难以锁定... ,大山诚一郎,悬疑推理&推理小说&大山诚一郎&推理&日系推理&日本&小说&短篇集,河南文艺出版社
https://book.douban.com/subject/28656614/,https://img2.doubanio.com/view/subject/s/public/s29707472.jpg,山茶文具店, ,8.3,37189人,[日] 小川糸 / 王蕴洁 / 湖南文艺出版社 / 2018-3 / 49.80,暂无,小川糸,治愈&温暖&日本文学&日本&温馨&生活&小川糸&成长,湖南文艺出版社
https://book.douban.com/subject/26864984/,https://img9.doubanio.com/view/subject/s/public/s29860726.jpg,金色梦乡, ,8.9,38458人,[日] 伊坂幸太郎 / 代珂 / 南海出版公司 / 2016-11 / 49.50元,《金色梦乡》是日本知名作家伊坂幸太郎的代表作，获第5届日本书店大奖、第21届山本周五郎奖，日文版销量突破114万册，堺雅人、竹内结子主演同名电影。对于《金色... ,伊坂幸太郎,伊坂幸太郎&日本文学&日本&推理&小说&文学&人生必读&外国文学,南海出版公司
