书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1054685/,https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,沉默的大多数,王小波杂文随笔全编,9.1,129409人,王小波 / 中国青年出版社 / 1997-10 / 27.00元,这本杂文随笔集包括思想文化方面的文章，涉及知识分子的处境及思考，社会道德伦理，文化论争，国学与新儒家，民族主义等问题；包括从日常生活中发掘出来的各种真知灼见... ,王小波,王小波&杂文&沉默的大多数&思想&随笔&中国文学&文学&中国,中国青年出版社
https://book.douban.com/subject/1449351/,https://img2.doubanio.com/view/subject/s/public/s4696893.jpg,呐喊, ,9.0,129877人,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,《呐喊》收录作者1918年至1922年所作小说十四篇。1923年8月由北京新潮社出版，原收十五篇，列为该社《文艺丛书》之一。1924年5月第三次印刷时起，改... ,鲁迅,鲁迅&中国文学&呐喊&经典&杂文&小说&文学&中国,人民文学出版社
https://book.douban.com/subject/35643307/,https://img1.doubanio.com/view/subject/s/public/s34036677.jpg,回到种子里去, ,8.7,233人,[哥伦比亚] 加西亚·马尔克斯 / 陶玉平 / 南海出版公司 / 2022-1 / 68.00元,暂无,加西亚·马尔克斯,加西亚·马尔克斯&马尔克斯&拉美文学&杂文&外国文学&文学&纪实&散文,南海出版公司
https://book.douban.com/subject/27013716/,https://img1.doubanio.com/view/subject/s/public/s29419068.jpg,沉默的大多数, ,8.9,15916人,王小波 / 北京十月文艺出版社 / 2017-4 / 35.00元,本书收录了王小波的杂文代表作，他以卓越的文采，众醉独醒的姿态对社会道德伦理、国学与新儒家、个体尊严以及小说、艺术等方面进行了酣畅淋漓的剖析，表达了有理有趣的... ,王小波,王小波&杂文&思想&自由主义&随笔&理性&中国文学&中国,北京十月文艺出版社
https://book.douban.com/subject/27013708/,https://img2.doubanio.com/view/subject/s/public/s29419061.jpg,一只特立独行的猪, ,8.6,15463人,王小波 / 北京十月文艺出版社 / 2017-4 / 35.00元,暂无,王小波,王小波&黑色幽默&杂文&随笔&中国文学&文学&中国&经典,北京十月文艺出版社
https://book.douban.com/subject/34950797/,https://img1.doubanio.com/view/subject/s/public/s33776287.jpg,一只特立独行的猪, ,9.1,815人,王小波 / 北京十月文艺出版社 / 2021-1-1 / 59.00,暂无,王小波,王小波&杂文&随笔&文学&中国&短篇&原创&北京十月文艺出版社,北京十月文艺出版社
https://book.douban.com/subject/1767945/,https://img2.doubanio.com/view/subject/s/public/s1670642.jpg,一只特立独行的猪, ,8.8,71147人,王小波 / 北方文艺出版社 / 2006-4 / 18.80元,这本书里除了文化杂文，还有给其他书写的序言与跋语。这些序言与跋语也表明了我的一些态度。除此之外，还有一些轻松的随笔。不管什么书，我都不希望它太严肃，这一本也... ,王小波,王小波&一只特立独行的猪&杂文&思想&中国文学&随笔&特立独行&文学,北方文艺出版社
https://book.douban.com/subject/35479455/,https://img9.doubanio.com/view/subject/s/public/s33990114.jpg,六神磊磊读金庸, ,7.5,1612人,六神磊磊 / 浙江文艺出版社 / 2021-9 / 68,我们读金庸，往往会沉浸在高深的武功和紧张刺激的情节中去。而有这样一个了不起的金庸粉丝，读懂了金庸先生烛照人性、洞察幽微的关怀，读出的是一代文豪对世人的“悲悯... ,六神磊磊,金庸&武侠&随笔&杂文&文学&散文杂文随笔&2021&经典,浙江文艺出版社
https://book.douban.com/subject/27183690/,https://img3.doubanio.com/view/subject/s/public/s33667700.jpg,我想做一个能在你的葬礼上描述你一生的人, ,8.2,4109人,贾平凹、史铁生、沈从文 / 台海出版社 / 2017-10 / 36.80,我想做一个能在你的葬礼上描述你一生的人，没有壮阔的海誓山盟，也没有似水柔情的情话，只是这样一句凝重但又温馨动人的描述，却足以打动人心。看到这句话，有一种感觉... ,贾平凹&史铁生&沈从文,散文&随笔&文学&杂文&美好生活&好书，值得一读,台海出版社
https://book.douban.com/subject/35058696/,https://img1.doubanio.com/view/subject/s/public/s33821797.jpg,声誉,我有关声誉、财富和权势的简单思索,8.4,643人,唐诺 / 广西师范大学出版社 / 2021-3 / 68.00元,人们在本雅明死后多年才一拥而来的那些赞誉和崇拜，要是能够分一点到他生前，本雅明就不必如此狼狈一生，也不用四十几岁就绝望自杀于法西边界的比利牛斯山区。当然，能... ,唐诺,唐诺&随笔&杂文&台湾&理想国&文学&广西师大出版社&2021,广西师范大学出版社
https://book.douban.com/subject/1974029/,https://img3.doubanio.com/view/subject/s/public/s2128420.jpg,坟, ,9.6,8490人,鲁迅 / 人民文学出版社 / 2006-12 / 16.00元,《坟》收作者1907年至1925年所作论文二十三篇。1927年3月由北京未名社初版，1929年3月第二次印刷时曾经作者校订。1930年4月第三次印刷改由上海... ,鲁迅,鲁迅&杂文&中国文学&思想&文学&经典&现当代文学&现代文学,人民文学出版社
https://book.douban.com/subject/26697791/,https://img9.doubanio.com/view/subject/s/public/s28373574.jpg,鲁迅杂文集,1918-1936精选,9.3,2365人,鲁迅 / 天津人民出版社 / 2015-12 / 32.00元,暂无,鲁迅,鲁迅&杂文&中国文学&经典&文学&随笔&中国,天津人民出版社
https://book.douban.com/subject/20425053/,https://img9.doubanio.com/view/subject/s/public/s24593535.jpg,我所理解的生活, ,7.6,26097人,韩寒 / 浙江文艺出版社 / 2013-1-8 / 29.00元,暂无,韩寒,韩寒&杂文&随笔&调侃&文学&散文随笔&中国文学&中国,浙江文艺出版社
https://book.douban.com/subject/1968084/,https://img2.doubanio.com/view/subject/s/public/s2364672.jpg,而已集, ,9.2,6111人,鲁迅 / 人民文学出版社 / 1973-5 / 0.34元,本书收作者一九二七年所作杂文二十九篇。附录一九二六年的一篇。鲁迅在本书《题粹》中说明了本书题名的用意：“这半年我又看见了许多泪，然而我只有杂感而已。……” ,鲁迅,鲁迅&杂文&中国文学&文学&中国&经典&现代文学,人民文学出版社
https://book.douban.com/subject/26738729/,https://img9.doubanio.com/view/subject/s/public/s28946925.jpg,沉默的大多数, ,9.2,3163人,王小波 / 湖南文艺出版社 / 2016-1-1 / CNY 38.00,《沉默的大多数》是当代作家王小波创作的杂文随笔集，收录了作者的杂文名篇。包括思想文化方面的文章，包括从日常生活中发掘出来的各种真知灼见，包括对社会科学研究的... ,王小波,王小波&杂文&随笔&中国现当代文学&中国文学&经典&文学&人文,湖南文艺出版社
https://book.douban.com/subject/1027247/,https://img1.doubanio.com/view/subject/s/public/s1135887.jpg,丑陋的中国人, ,7.8,19858人,柏杨 / 古吴轩出版社 / 2005-3 / 23.80元,暂无,柏杨,柏杨&丑陋的中国人&杂文&社会&人性&中国&文化&中国文学,古吴轩出版社
https://book.douban.com/subject/1014578/,https://img2.doubanio.com/view/subject/s/public/s1016763.jpg,我的精神家园,王小波杂文自选集,9.1,30340人,王小波 / 文化艺术出版社 / 1997 / 18.80元,一九九七年六月，王小波逝世两个月后，他的杂文自选集《我的精神家园》出版。这是第一版的封面。相比于2002版出版的《我的精神家园》纪念版来说，这一版本没有纪念... ,王小波,王小波&杂文&我的精神家园&随笔&思想&中国文学&文学&中国,文化艺术出版社
https://book.douban.com/subject/1974027/,https://img3.doubanio.com/view/subject/s/public/s2127990.jpg,热风, ,9.2,7658人,鲁迅 / 人民文学出版社 / 2006-12 / 9.00元,《热风》收作者1918年至1924年所作杂文四十一篇。1925年11月由北京北新书局初版。作者生前共印行十版次。鲁迅在《新青年》的《随感录》中做些短评，还在... ,鲁迅,鲁迅&杂文&中国文学&杂文随笔&文学&中国&中国现当代文学&人民文学出版社,人民文学出版社
https://book.douban.com/subject/26291216/,https://img3.doubanio.com/view/subject/s/public/s27999290.jpg,我们生活在巨大的差距里, ,6.5,6451人,余华 / 北京十月文艺出版社 / 2015-2 / 35.00元,暂无,余华,余华&随笔&杂文&散文随笔&中国现当代文学&中国文学&中国&文学,北京十月文艺出版社
https://book.douban.com/subject/30446684/,https://img9.doubanio.com/view/subject/s/public/s33322825.jpg,六里庄遗事, ,8.1,6135人,东东枪 / 上海三联书店 / 2019-2 / 78.00元,六里庄，是唐时国都长安以东六里许的普通村庄。《六里庄遗事》凡十二卷，包括近600则片断文字，大多是对六里庄内人物及相关人等事迹的钩沉杂忆。本书是作者东东枪酝... ,东东枪,杂文&东东枪&中国文学&随笔&笔记小说&文学&2019&***理想国***,上海三联书店
https://book.douban.com/subject/34830286/,https://img1.doubanio.com/view/subject/s/public/s33689859.jpg,夜航船, ,8.9,163人,(明) 张岱 纂、郑凌峰 点校、卿朝晖 审订 / 浙江古籍出版社 / 2020-7 / 128,本书为《张岱全集》之一，是一部百科全书式著作，也是张岱最有名的著作之一，其内容从天文地理到经史百家，从三教九流到神仙鬼怪，从政治人事到典章沿革，广采博收，共... ,张岱 纂&郑凌峰 点校&卿朝晖 审订,张岱&古典文学&百科全书&杂文&明清小品&中國文學&文学&待购,浙江古籍出版社
https://book.douban.com/subject/3344676/,https://img2.doubanio.com/view/subject/s/public/s3588323.jpg,常识, ,8.1,44671人,梁文道 / 广西师范大学出版社 / 2009-1 / 38.00,梁文道先生近两年来撰写的时评文字结集，谈及政治、民主、民族、教育、新闻自由、公民道德等社会诸多方面。文字风格犀利，文章主旨清晰、论述简洁有力，往往一针见血命... ,梁文道,梁文道&时评&随笔&社会&杂文&文化&常识&香港,广西师范大学出版社
https://book.douban.com/subject/27156834/,https://img2.doubanio.com/view/subject/s/public/s29609541.jpg,我的精神家园, ,9.0,3195人,王小波 / 北京十月文艺出版社 / 2017-10 / 39.00元,《我的精神家园》是王小波的一部杂文集。话题大多涉及他对生活方式、电影等媒体的看法以及国外见闻的思考。他从身边小事入手，以犀利的视角，为我们展示了一个理想的精... ,王小波,王小波&独立思考&黑色幽默&杂文&杂文随笔&中国文学&随笔&散文随笔,北京十月文艺出版社
https://book.douban.com/subject/2046933/,https://img9.doubanio.com/view/subject/s/public/s2364726.jpg,华盖集, ,9.2,6973人,鲁迅 / 人民文学出版社 / 1973-04-01 / 0.33元,《华盖集》收作者1925年所作杂文三十一篇。1926年6月由北京北新书局初版。作者生前印行九版次。《华盖集》的内容包括：通讯论辩的魂灵，牺牲谟，战士和苍蝇，... ,鲁迅,鲁迅&杂文&中国文学&中国&文学&现代文学&经典&随笔,人民文学出版社
https://book.douban.com/subject/30314033/,https://img2.doubanio.com/view/subject/s/public/s29872681.jpg,无所畏, ,7.0,6006人,冯唐 / 北京联合出版公司 / 2018-9 / 49.80元,暂无,冯唐,冯唐&随笔&杂文&散文&真实&真诚&通俗&2018,北京联合出版公司
https://book.douban.com/subject/25870310/,https://img9.doubanio.com/view/subject/s/public/s27276236.jpg,野火集,三十周年纪念版,8.7,5957人,龙应台 / 广西师范大学出版社 / 2014-5 / 39.80,历史从来没有终结这回事，它有体温，有呼吸……从“1984”开始，龙应台以一篇《中国人，你为什么不生气》点燃“野火”，接着，《生了梅毒的母亲》、《幼稚园大学》... ,龙应台,龙应台&台湾&社会&随笔&杂文&理想国&民主&政治,广西师范大学出版社
https://book.douban.com/subject/34974501/,https://img1.doubanio.com/view/subject/s/public/s33776758.jpg,沉默的大多数, ,9.0,1572人,王小波 / 北京十月文艺出版社 / 2021-1 / 59.00,暂无,王小波,王小波&社会学&中国文学&文学&社会&散文&中国&新经典文化,北京十月文艺出版社
https://book.douban.com/subject/1418180/,https://img1.doubanio.com/view/subject/s/public/s1430717.jpg,思维的乐趣, ,8.9,10497人,王小波 / 中国人民大学出版社 / 2005-7 / 16.80元,作为一个自由人文主义者，王小波终其一生思考着并快乐着，他以自身对“文化大革命”的记忆为重要矿藏，用杂文以独有的调侃的笔调完成了对自由与理性的反思与书写。由李... ,王小波,王小波&杂文&思维的乐趣&思想&思维&思考&中国文学&哲学,中国人民大学出版社
https://book.douban.com/subject/33438831/,https://img1.doubanio.com/view/subject/s/public/s33516227.jpg,梦的宇宙志, ,8.8,1029人,[日] 涩泽龙彦 / 蕾克 / 广西师范大学出版社 / 2019-11 / 54.00,暂无,涩泽龙彦,涩泽龙彦&奇幻&日本文学&日本&随笔&博物&文学&杂文,广西师范大学出版社
https://book.douban.com/subject/26294673/,https://img1.doubanio.com/view/subject/s/public/s27977148.jpg,自由在高处（增订版）, ,7.3,3001人,熊培云 / 新星出版社 / 2015-1 / 42.00元,《自由在高处（增订版）》旨在从个体角度探讨身处转型期的人们如何超越逆境，盘活自由，拓展生存，积极生活。自由与自救，是本书的方向与重点。出版四年来，累计加印三... ,熊培云,熊培云&随笔&社会&杂文&社会学&中国&评论&自由,新星出版社
https://book.douban.com/subject/6902639/,https://img2.doubanio.com/view/subject/s/public/s6987692.jpg,青春, ,7.8,25969人,韩寒 / 湖南人民出版社 / 2011-11 / 29.00元,暂无,韩寒,韩寒&杂文&青春&随笔&中国&中国文学&2011&中国内地,湖南人民出版社
https://book.douban.com/subject/30178336/,https://img9.doubanio.com/view/subject/s/public/s29832686.jpg,我只知道人是什么, ,7.0,1875人,余华 / 译林出版社 / 2018-7 / 48.00,暂无,余华,余华&随笔&杂文&中国文学&中国&中国现当代文学&文集&散文,译林出版社
https://book.douban.com/subject/35404908/,https://img2.doubanio.com/view/subject/s/public/s33857222.jpg,我的个天, ,6.9,760人,戴建业 / 上海文艺出版社 / 2021-4 / 59.80,暂无,戴建业,随笔&杂文&中国文学&文学&2021&中国&文论&散文随笔,上海文艺出版社
https://book.douban.com/subject/19965972/,https://img2.doubanio.com/view/subject/s/public/s24428402.jpg,我读书少，你可别骗我, ,7.5,8354人,马伯庸 / 浙江大学出版社 / 2012-12 / 29.80元,这里有一些胡思乱想。在这里你可以听到上亿个神经元在大脑皮质回沟里呼哧呼哧跑步的声音，也可以闻到将历史、悬疑、灵异、科幻、宗教之类的话题扔进搅拌器里哐当哐当混... ,马伯庸,马伯庸&小说&杂文&祥瑞御免&短篇小说&中国&中国文学&文学,浙江大学出版社
