书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35571598/,https://img9.doubanio.com/view/subject/s/public/s34037354.jpg,第一人称单数, ,7.4,6915人,[日]村上春树 / 烨伊 / 文治图书·花城出版社 / 2021-11 / 56.00,暂无,村上春树,村上春树&日本文学&日本&短篇小说&小说&2021&短篇集&文学,文治图书·花城出版社
https://book.douban.com/subject/1046265/,https://img3.doubanio.com/view/subject/s/public/s1221930.jpg,挪威的森林, ,8.0,337190人,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,这是一部动人心弦的、平缓舒雅的、略带感伤的恋爱小说。小说主人公渡边以第一人称展开他同两个女孩间的爱情纠葛。渡边的第一个恋人直子原是他高中要好同学木月的女友，... ,村上春树,村上春树&挪威的森林&日本文学&爱情&小说&日本&青春&外国文学,上海译文出版社
https://book.douban.com/subject/35277887/,https://img3.doubanio.com/view/subject/s/public/s33783660.jpg,弃猫,当我谈起父亲时,7.4,13849人,[日] 村上春树 / 烨伊 / 花城出版社 / 2021-1 / 48.00,暂无,村上春树,村上春树&日本文学&日本&散文&文学&非虚构&2021&2020,花城出版社
https://book.douban.com/subject/27200257/,https://img1.doubanio.com/view/subject/s/public/s32266828.jpg,挪威的森林, ,8.6,16884人,[日]村上春树 / 林少华 / 上海译文出版社 / 2018-3 / 38.00元,《挪威的森林》是日本作家村上春树所著的一部长篇爱情小说，影响了几代读者的青春名作。故事讲述主角渡边纠缠在情绪不稳定且患有精神疾病的直子和开朗活泼的小林绿子之... ,村上春树,村上春树&日本文学&青春&小说&日本&村上春樹&文学&林少华,上海译文出版社
https://book.douban.com/subject/3369600/,https://img3.doubanio.com/view/subject/s/public/s3507580.jpg,当我谈跑步时我谈些什么, ,8.2,88057人,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,暂无,村上春树,村上春树&跑步&随笔&日本&日本文学&生活&半自传&散文,南海出版公司
https://book.douban.com/subject/30144098/,https://img2.doubanio.com/view/subject/s/public/s33607561.jpg,且听风吟, ,7.6,7128人,[日]村上春树 / 林少华 / 上海译文出版社 / 2018-7 / 28,本书是村上春树的处女作，与后来的《1973年的弹子球》《寻羊冒险记》合称“鼠的三部曲”，描写一个少男在街上“拣”到一个喝醉的少女，把她领回家里，两人发生了一... ,村上春树,村上春树&日本文学&孤独&青春&日本&小说&文学&短篇,上海译文出版社
https://book.douban.com/subject/2159042/,https://img1.doubanio.com/view/subject/s/public/s27312538.jpg,挪威的森林, ,8.5,120372人,[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元,这是一部动人心弦的、平缓舒雅的、略带感伤的恋爱小说。小说主人公渡边以第一人称展开他同两个女孩间的爱情纠葛。渡边的第一个恋人直子原是他高中要好同学木月的女友，... ,村上春树,村上春树&日本文学&挪威的森林&日本&青春&小说&爱情&孤独,上海译文出版社
https://book.douban.com/subject/26286208/,https://img3.doubanio.com/view/subject/s/public/s28004680.jpg,没有女人的男人们, ,7.7,13103人,[日] 村上春树 / 竺家荣、姜建强、岳远坤、陆求实、林少华、毛丹青 / 上海译文出版社 / 2015-2 / 35.00元,1、《驾驶我的车》：最早发表于《文艺春秋》（2013年12月号）。舞台剧演员家福（60岁左右）明明知道同为演员的妻子和同剧男演员定期幽会，却假装不知，在世人... ,村上春树,村上春树&日本&日本文学&小说&短篇&短篇小说&文学&2015,上海译文出版社
https://book.douban.com/subject/1059419/,https://img2.doubanio.com/view/subject/s/public/s1068003.jpg,海边的卡夫卡, ,8.1,96810人,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元,小说的主人公是一位自称名叫田村卡夫卡——作者始终未交代其真名——的少年。他在十五岁生日前夜独自离家出走，乘坐夜行长途巴士远赴四国。出走的原因是为了逃避父亲所... ,村上春树,村上春树&海边的卡夫卡&日本文学&小说&日本&青春&文学&外国文学,上海译文出版社
https://book.douban.com/subject/30203786/,https://img1.doubanio.com/view/subject/s/public/s29782537.jpg,1Q84 BOOK1,4月-6月,8.7,2479人,[日]村上春树 / 施小炜 / 南海出版公司 / 2018-9-1 / 49.60元,暂无,村上春树,村上春树&日本文学&日本&小说&文学&新经典文库&施小炜&南海出版公司,南海出版公司
https://book.douban.com/subject/27199470/,https://img2.doubanio.com/view/subject/s/public/s29687411.jpg,刺杀骑士团长, ,7.5,30570人,[日] 村上春树 / 林少华 / 上海译文出版社 / 2018-3 / 98.00元,“我”，36岁，美术科班出身，原本爱好抽象画，多年来为了养家糊口成为专业肖像画画家。结婚六周年纪念日前，妻子毫无征兆地提出已有外遇，要求离婚，于是“我”独自... ,村上春树,村上春树&日本文学&村上春樹&日本&小说&林少华&2018&文学,上海译文出版社
