书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1400705/,https://img1.doubanio.com/view/subject/s/public/s1444578.jpg,情人, ,8.1,143058人,[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元,杜拉斯代表作之一，自传性质的小说，获一九八四年法国龚古尔文学奖。全书以法国殖民者在越南的生活为背景，描写贫穷的法国女孩与富有的中国少爷之间深沉而无望的爱情。... ,玛格丽特·杜拉斯,杜拉斯&情人&法国&小说&爱情&外国文学&玛格丽特·杜拉斯&玛格丽特・杜拉斯,上海译文出版社
https://book.douban.com/subject/3908240/,https://img1.doubanio.com/view/subject/s/public/s3943447.jpg,情人, ,7.7,14471人,（法）杜拉斯 / 王道乾、南山 / 上海译文出版社 / 2009-8-1 / 25.00元,一个与昆德拉、村上春树和张爱玲并列的小资读者、时尚标志的女作家，一个富有传奇人生经历、惊世骇俗叛逆性格、五色斑斓爱情的艺术家，一个堪称当代法国文化骄傲的作家... ,杜拉斯,玛格丽特·杜拉斯&法国文学&小说&爱情&杜拉斯&法国&外国文学&经典,上海译文出版社
https://book.douban.com/subject/25861387/,https://img1.doubanio.com/view/subject/s/public/s28091898.jpg,情人,情人,7.6,6511人,[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2014-5-1 / 25.00,作为一部自传性质的小说，《情人》是杜拉斯最负盛名的代表作，曾荣获获一九八四年法国龚古尔文学奖，同名电影的拍摄也加深了中国读者对它的了解。全书以法国殖民者在越... ,玛格丽特·杜拉斯,玛格丽特·杜拉斯&法国文学&爱情&杜拉斯&情人&小说&法国&王道乾,上海译文出版社
https://book.douban.com/subject/26879325/,https://img2.doubanio.com/view/subject/s/public/s29657123.jpg,杜拉斯谈杜拉斯,悬而未决的激情,8.3,526人,[意] 莉奥波迪娜·帕洛塔·德拉·托雷 访谈 / 缪咏华 / 广西师范大学出版社 / 2017-12 / 42.00,暂无,莉奥波迪娜·帕洛塔·德拉·托雷 访谈,玛格丽特·杜拉斯&杜拉斯&传记&法国&女性&法国文学&文学&访谈,广西师范大学出版社
https://book.douban.com/subject/1400707/,https://img2.doubanio.com/view/subject/s/public/s1560251.jpg,广岛之恋, ,8.1,15719人,[法] 玛格丽特・杜拉斯 / 谭立德 / 上海译文出版社 / 2005-7 / 23.00元,如果一定要为西方电影从古典时期转为现代时期寻找一部电影作为划时代的里程碑的话，那么这部电影无疑应当是《广岛之恋》。《广岛之恋》以其现代意义的题材，暧昧多义的... ,玛格丽特・杜拉斯,杜拉斯&广岛之恋&玛格丽特・杜拉斯&法国&小说&外国文学&玛格丽特·杜拉斯&爱情,上海译文出版社
https://book.douban.com/subject/1793713/,https://img9.doubanio.com/view/subject/s/public/s1756884.jpg,中国北方的情人, ,8.3,4742人,[法] 玛格丽特·杜拉斯 / 施康强 / 上海译文出版社 / 2006-5 / 28.00元,《中国北方的情人》是杜拉斯的代表作之一，是她得知初恋情人死去的消息以后，改写《情人》而成的。相对于《情人》，这部作品是更深情的描写，更缠绵的叙说，是杜拉斯的... ,玛格丽特·杜拉斯,玛格丽特・杜拉斯&杜拉斯&法国&小说&法国文学&爱情&外国文学&玛格丽特·杜拉斯,上海译文出版社
https://book.douban.com/subject/1400717/,https://img2.doubanio.com/view/subject/s/public/s1433211.jpg,写作, ,8.0,4048人,[法] 玛格丽特·杜拉斯 / 桂裕芳 / 上海译文出版社 / 2005-7 / 18.00元,杜拉斯晚年的一部随笔集，一九九三年出版。题名为“写作”，但并不局限于写作本身。作家的点滴回忆与感受：孤独、酒精、情人、独居的乡村别墅、电影、乃至对小哥的爱都... ,玛格丽特·杜拉斯,杜拉斯&玛格丽特・杜拉斯&写作&法国&随笔&玛格丽特·杜拉斯&外国文学&文学,上海译文出版社
https://book.douban.com/subject/1793721/,https://img1.doubanio.com/view/subject/s/public/s1774118.jpg,琴声如诉, ,7.9,4628人,[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2006-5 / 18.00元,安娜·戴巴莱斯特是外省某滨海城市一家企业的经理的年轻妻子。一天，楼下咖啡馆中发生了一桩情杀案，不知什么力量促使她第二天又到这家咖啡馆来，在那儿，她遇到一个蓝... ,玛格丽特·杜拉斯,杜拉斯&玛格丽特・杜拉斯&法国&小说&外国文学&玛格丽特·杜拉斯&法国文学&王道乾,上海译文出版社
https://book.douban.com/subject/1400703/,https://img9.doubanio.com/view/subject/s/public/s1433635.jpg,劳儿之劫, ,8.3,1855人,[法] 玛格丽特·杜拉斯 / 王东亮 / 上海译文出版社 / 2005-7 / 25.00元,劳儿被未婚夫抛弃，痛苦得难以自拔，失去了部分理智。另一个男子走近她，娶她为妻，带她到另一个地方生活，生儿育女。若干年以后，姑娘故地重游，偶然的事件唤起了她沉... ,玛格丽特·杜拉斯,杜拉斯&玛格丽特・杜拉斯&法国&小说&玛格丽特·杜拉斯&外国文学&法国文学&Duras,上海译文出版社
https://book.douban.com/subject/25862225/,https://img1.doubanio.com/view/subject/s/public/s28004417.jpg,劳儿之劫, ,8.7,57人,[法] 玛格丽特·杜拉斯 / 上海译文出版社 / 2014-5 / 30.00元,这本由玛格丽特·杜拉斯所著的《劳儿之劫》是一部奇特的小说，讲述的是：劳儿·瓦·施泰因结了婚，离开了故乡，有了三个孩子，看上去满足而幸福。十年的沉寂生活之后，... ,玛格丽特·杜拉斯,法国文学&玛格丽特・杜拉斯&法国&杜拉斯&小说&外国文学&集&*上海译文出版社*,上海译文出版社
