书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35451966/,https://img1.doubanio.com/view/subject/s/public/s33889309.jpg,破晓时分, ,8.4,707人,朱西甯 / 河南文艺出版社 / 2021-5 / 68.00,暂无,朱西甯,台湾文学&台湾&小说&中国文学&理想国&文学&2021&中国,河南文艺出版社
https://book.douban.com/subject/35543278/,https://img9.doubanio.com/view/subject/s/public/s33991406.jpg,重讀二十世紀中國小説, ,9.1,88人,許子東 / 香港商務印書館 / 2021-7 / HKD 378,暂无,許子東,许子东&现当代文学&文学评论&中国文学史&文學史&中国文学&小说研究&文学,香港商務印書館
https://book.douban.com/subject/35217317/,https://img2.doubanio.com/view/subject/s/public/s33732212.jpg,家園何處是,Home is Not Here,9.0,89人,王賡武 / 林纹沛 / 香港中文大學出版社 / 2020-9 / USD 27.00,海外华人史学大家王赓武在年近九旬之际写下自己「长年半游牧生涯」的故事。他的人生以殖民时代的东南亚为起点，历经殖民、战争、动乱、革命，大半生在三大洲间迁徙，构... ,王賡武,回忆录&传记&历史&回憶錄&港台&歷史&人物&人物研究,香港中文大學出版社
https://book.douban.com/subject/35706849/,https://img2.doubanio.com/view/subject/s/public/s34077151.jpg,菊花如何夜行軍, ,暂无,少于10人,鍾永豐 / 春山出版 / 2022-1,暂无,鍾永豐,港台&散文&台湾&台版&音樂&音乐&声音,春山出版
https://book.douban.com/subject/34973828/,https://img9.doubanio.com/view/subject/s/public/s33616225.jpg,秧歌, ,9.2,314人,張愛玲 / 皇冠 / 2020-2-17 / NTD 260,暂无,張愛玲,张爱玲&中国文学&小说&中国&港台&文学&Novel&已入,皇冠
https://book.douban.com/subject/30199974/,https://img2.doubanio.com/view/subject/s/public/s29745722.jpg,1949－1976：歲月滄桑,20世纪中国知识分子精神史三部曲之二,9.4,122人,钱理群 / 香港城市大学出版社 / 2017 / HK$198.00,暂无,钱理群,钱理群&知识分子&历史&共和国史&港版&政治&中国&港台,香港城市大学出版社
https://book.douban.com/subject/33449990/,https://img9.doubanio.com/view/subject/s/public/s33509576.jpg,戰國時代的古史記憶,虞夏之際篇,暂无,少于10人,古育安 / 萬卷樓圖書公司 / 2019-4-1 / NTD 600,本書的主題為「戰國時代的古史記憶」，旨在探討戰國時代的人對過去的記憶以及他們如何記憶過去等問題。此研究涉及傳世文獻與出土文獻，範圍甚廣。這方面研究的先驅是顧... ,古育安,历史&先秦史&文化&先秦&中国历史&历史记忆&2019&港台,萬卷樓圖書公司
https://book.douban.com/subject/35587118/,https://img1.doubanio.com/view/subject/s/public/s33987118.jpg,田野敲敲門,現地研究基本功,暂无,目前无人,洪伯邑   主編 / 臺大出版中心 / 2021-9 / 新台幣420元,暂无,洪伯邑   主編,人类学&方法论&社会学&研究方法&田野&港台&中国台湾&2021,臺大出版中心
https://book.douban.com/subject/35643446/,https://img3.doubanio.com/view/subject/s/public/s34064470.jpg,余英時談話錄, ,,64人,余英時 口述、李懷宇 整理 / 允晨文化 / 2021-11 / NT$ 350.00,這本《余英時談話錄》披沙揀金，把余老師對近代學術人物的觀察、個人的學思，及時代的見證，三方面有系統地整理出來。故本書價值甚高！於私而言，本書絕對是瞭解余老師... ,余英時 口述&李懷宇 整理,余英时&思想史&余英時&对话录&港台版&台版&学术史&台版书,允晨文化
https://book.douban.com/subject/34993320/,https://img1.doubanio.com/view/subject/s/public/s33607457.jpg,精神的複調,近代中國的催眠術與大眾科學,8.3,36人,張邦彥 / 聯經 / 2020-4 / NTD550,暂无,張邦彥,社会学&社会史&思想史&近现代史&科学&民国史&历史&@台版,聯經
