书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1054685/,https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,沉默的大多数,王小波杂文随笔全编,9.1,129405人,王小波 / 中国青年出版社 / 1997-10 / 27.00元,这本杂文随笔集包括思想文化方面的文章，涉及知识分子的处境及思考，社会道德伦理，文化论争，国学与新儒家，民族主义等问题；包括从日常生活中发掘出来的各种真知灼见... ,王小波,王小波&杂文&沉默的大多数&思想&随笔&中国文学&文学&中国,中国青年出版社
https://book.douban.com/subject/1089243/,https://img2.doubanio.com/view/subject/s/public/s1076372.jpg,黄金时代,时代三部曲,8.9,148184人,王小波 / 花城出版社 / 1999-3 / 19.00元,《黄金时代》是《时代三部曲》之一。  这是以文革时期为背景的系列作品构成的长篇。发生“文化大革命”的二十世纪六七十年代，正是我们国家和民族的灾难年代。那时，... ,王小波,王小波&黄金时代&小说&中国文学&经典&文学&文革&当代,花城出版社
https://book.douban.com/subject/3071717/,https://img2.doubanio.com/view/subject/s/public/s4661043.jpg,爱你就像爱生命, ,8.8,102150人,王小波、李银河 / 上海锦绣文章出版社 / 2008-5 / 18.00元,王小波书信均选自朝华出版社2004年4月第一版《爱你就像爱生命》，此书系王小波生前从未发表过的与李银河的“两地书”，也是迄今他们夫妇最完整和独立的一本书信集... ,王小波&李银河,王小波&爱你就像爱生命&爱情&李银河&情书&书信集&中国文学&散文,上海锦绣文章出版社
https://book.douban.com/subject/27013741/,https://img9.doubanio.com/view/subject/s/public/s29419096.jpg,黄金时代, ,8.8,17426人,王小波 / 北京十月文艺出版社 / 2017-4 / 35.00元,暂无,王小波,王小波&小说&中国文学&现代文学&文学&经典&中国&长篇小说,北京十月文艺出版社
https://book.douban.com/subject/30163860/,https://img1.doubanio.com/view/subject/s/public/s29774838.jpg,绿毛水怪, ,9.1,10802人,王小波 / 北京十月文艺出版社 / 2018-6 / 39.00元,王小波短篇小说集，其中同名小说《绿毛水怪》是王小波小说处女作，可以一窥作者创作的源头及其后的发展走向。小说中肆意的想象力、幽默的调侃以及人对自我意志的彰显，... ,王小波,王小波&短篇小说&小说&中国文学&文学&有趣&中国当代文学&青春,北京十月文艺出版社
https://book.douban.com/subject/27077957/,https://img9.doubanio.com/view/subject/s/public/s33953395.jpg,红拂夜奔, ,8.5,4361人,王小波 / 北京十月文艺出版社 / 2017-7 / 39.00,暂无,王小波,王小波&荒诞&小说&有趣&中国文学&文学&中国当代文学&中国,北京十月文艺出版社
https://book.douban.com/subject/27013716/,https://img1.doubanio.com/view/subject/s/public/s29419068.jpg,沉默的大多数, ,8.9,15916人,王小波 / 北京十月文艺出版社 / 2017-4 / 35.00元,本书收录了王小波的杂文代表作，他以卓越的文采，众醉独醒的姿态对社会道德伦理、国学与新儒家、个体尊严以及小说、艺术等方面进行了酣畅淋漓的剖析，表达了有理有趣的... ,王小波,王小波&杂文&思想&自由主义&随笔&理性&中国文学&中国,北京十月文艺出版社
https://book.douban.com/subject/34974501/,https://img1.doubanio.com/view/subject/s/public/s33776758.jpg,沉默的大多数, ,9.0,1572人,王小波 / 北京十月文艺出版社 / 2021-1 / 59.00,暂无,王小波,王小波&社会学&中国文学&文学&社会&散文&中国&新经典文化,北京十月文艺出版社
https://book.douban.com/subject/3518332/,https://img9.doubanio.com/view/subject/s/public/s3675595.jpg,绿毛水怪, ,9.0,20247人,王小波 / 时代文艺出版社 / 2009-1 / 30.00元,《绿毛水怪》作者王小波的作品一直盛行不衰，王小波的小说在世界文学之林中创造出属于他的美，这美就像一束强光，刺穿了时间的阻隔，启迪了一代又一代刚刚开始识字读书... ,王小波,王小波&绿毛水怪&浪漫的灵魂&小说&中国文学&文学&爱情&中国,时代文艺出版社
https://book.douban.com/subject/1767945/,https://img2.doubanio.com/view/subject/s/public/s1670642.jpg,一只特立独行的猪, ,8.8,71146人,王小波 / 北方文艺出版社 / 2006-4 / 18.80元,这本书里除了文化杂文，还有给其他书写的序言与跋语。这些序言与跋语也表明了我的一些态度。除此之外，还有一些轻松的随笔。不管什么书，我都不希望它太严肃，这一本也... ,王小波,王小波&一只特立独行的猪&杂文&思想&中国文学&随笔&特立独行&文学,北方文艺出版社
https://book.douban.com/subject/34947576/,https://img3.doubanio.com/view/subject/s/public/s33919730.jpg,黄金时代, ,9.2,754人,王小波 / 北京十月文艺出版社 / 2021-6 / 59.00元,暂无,王小波,王小波&中国文学&小说&文学&中国&社会&新经典文化&新经典文库,北京十月文艺出版社
https://book.douban.com/subject/34950797/,https://img1.doubanio.com/view/subject/s/public/s33776287.jpg,一只特立独行的猪, ,9.1,814人,王小波 / 北京十月文艺出版社 / 2021-1-1 / 59.00,暂无,王小波,王小波&杂文&随笔&文学&中国&短篇&原创&北京十月文艺出版社,北京十月文艺出版社
https://book.douban.com/subject/35571619/,https://img1.doubanio.com/view/subject/s/public/s34027457.jpg,我的阴阳两界, ,9.0,303人,王小波 / 北京十月文艺出版社 / 2021-10 / 49.00元,暂无,王小波,王小波&小说&中国文学&文学&中国&华语文学&中篇&2021,北京十月文艺出版社
https://book.douban.com/subject/27013708/,https://img2.doubanio.com/view/subject/s/public/s29419061.jpg,一只特立独行的猪, ,8.6,15462人,王小波 / 北京十月文艺出版社 / 2017-4 / 35.00元,暂无,王小波,王小波&黑色幽默&杂文&随笔&中国文学&文学&中国&经典,北京十月文艺出版社
https://book.douban.com/subject/1082150/,https://img3.doubanio.com/view/subject/s/public/s1072540.jpg,白银时代,时代三部曲,8.4,31351人,王小波 / 花城出版社 / 1997-5 / 10.00元,《白银时代》是《时代三部曲》之二。这是由一组虚拟时空的作品构成的长篇。这组作品写的是本世纪长大而活到下世纪的知识分子，在跨世纪的生存过程中，回忆他们的上辈、... ,王小波,王小波&白银时代&小说&中国文学&黑色幽默&文学&当代&中国,花城出版社
https://book.douban.com/subject/27111096/,https://img1.doubanio.com/view/subject/s/public/s29520509.jpg,爱你就像爱生命, ,8.5,8325人,王小波 / 北京十月文艺出版社 / 2017-9 / 35.00元,暂无,王小波,王小波&爱情&书信&李银河&散文&中国文学&中国&纪实,北京十月文艺出版社
https://book.douban.com/subject/27156834/,https://img2.doubanio.com/view/subject/s/public/s29609541.jpg,我的精神家园, ,9.0,3194人,王小波 / 北京十月文艺出版社 / 2017-10 / 39.00元,《我的精神家园》是王小波的一部杂文集。话题大多涉及他对生活方式、电影等媒体的看法以及国外见闻的思考。他从身边小事入手，以犀利的视角，为我们展示了一个理想的精... ,王小波,王小波&独立思考&黑色幽默&杂文&杂文随笔&中国文学&随笔&散文随笔,北京十月文艺出版社
https://book.douban.com/subject/1085883/,https://img2.doubanio.com/view/subject/s/public/s1072541.jpg,青铜时代,时代三部曲,8.7,24141人,王小波 / 花城出版社 / 1997-5 / 29.00元,《青铜时代》是“时代三部曲”之三。这是以中国古代唐朝为背景的三部作品构成的长篇。这组作品的主人公，是古代的知识分子和传奇人物。他们作为一群追求个性、热爱自由... ,王小波,王小波&青铜时代&小说&中国文学&文学&经典&当代&中国,花城出版社
https://book.douban.com/subject/1014578/,https://img2.doubanio.com/view/subject/s/public/s1016763.jpg,我的精神家园,王小波杂文自选集,9.1,30340人,王小波 / 文化艺术出版社 / 1997 / 18.80元,一九九七年六月，王小波逝世两个月后，他的杂文自选集《我的精神家园》出版。这是第一版的封面。相比于2002版出版的《我的精神家园》纪念版来说，这一版本没有纪念... ,王小波,王小波&杂文&我的精神家园&随笔&思想&中国文学&文学&中国,文化艺术出版社
https://book.douban.com/subject/1763806/,https://img1.doubanio.com/view/subject/s/public/s10033929.jpg,万寿寺, ,8.5,10804人,王小波 / 北方文艺出版社 / 2006-3 / 19.80元,暂无,王小波,王小波&小说&万寿寺&中国文学&文学&中国&中国当代文学,北方文艺出版社
https://book.douban.com/subject/3264665/,https://img1.doubanio.com/view/subject/s/public/s3463069.jpg,三十而立, ,8.7,8135人,王小波 / 上海锦绣文章出版社 / 2008-10 / 20.00元,暂无,王小波,王小波&小说&中国文学&王二&文学&中国&生活&当代文学,上海锦绣文章出版社
https://book.douban.com/subject/27036978/,https://img2.doubanio.com/view/subject/s/public/s29442761.jpg,寻找无双, ,8.7,1185人,王小波 / 北京十月文艺出版社 / 2017-5 / 32.00元,暂无,王小波,王小波&小说&黑色幽默&幽默&中国当代文学&中国文学&长篇小说&哲理,北京十月文艺出版社
https://book.douban.com/subject/2131426/,https://img9.doubanio.com/view/subject/s/public/s2738836.jpg,涅朵奇卡·涅茨瓦诺娃, ,9.0,1785人,[俄] 费奥多尔·陀思妥耶夫斯基 / 陈林、沈序 / 上海文艺出版社 / 1959.10 / 0.64,暂无,费奥多尔·陀思妥耶夫斯基,陀思妥耶夫斯基&王小波&俄国文学&小说&外国文学&俄国&俄罗斯&文学,上海文艺出版社
https://book.douban.com/subject/35010184/,https://img2.doubanio.com/view/subject/s/public/s33945512.jpg,爱你就像爱生命, ,9.3,250人,王小波 / 北京十月文艺出版社 / 2021-8 / 49.00元,暂无,王小波,爱情&王小波&书信&文学&中国&2021&传记&李银河,北京十月文艺出版社
