书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1084336/,https://img2.doubanio.com/view/subject/s/public/s1103152.jpg,小王子, ,9.0,675721人,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行... ,圣埃克苏佩里,小王子&童话&经典&成长&圣埃克苏佩里&哲学&外国文学&法国,人民文学出版社
https://book.douban.com/subject/1046209/,https://img2.doubanio.com/view/subject/s/public/s1034062.jpg,安徒生童话故事集, ,9.2,111688人,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,暂无,安徒生,童话&安徒生&经典&儿童文学&外国文学&安徒生童话&安徒生童话故事集&名著,人民文学出版社
https://book.douban.com/subject/3608208/,https://img1.doubanio.com/view/subject/s/public/s3668327.jpg,牧羊少年奇幻之旅, ,8.5,145228人,[巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,牧羊少年圣地亚哥接连两次做了同一个梦，梦见埃及金字塔附近藏有一批宝藏。少年卖掉羊群，历尽千辛万苦一路向南，跨海来到非洲，穿越“死亡之海”撒哈拉大沙漠……期间... ,保罗·柯艾略,牧羊少年奇幻之旅&与心沟通&外国文学&保罗柯艾略&小说&成长&童话&巴西,南海出版公司
https://book.douban.com/subject/26639657/,https://img9.doubanio.com/view/subject/s/public/s28480604.jpg,伤心书, ,9.1,296人,[英]迈克尔·罗森（Michael Rosen）文、[英]昆廷·布莱克（Quentin Blake）图 / 林良 / 北京联合出版公司 / 2016-1 / 39.80元,《伤心书》是我社出版的启发精选国际大师名作绘本系列之一，适合4岁以上儿童阅读。在这本《伤心书》中，罗森一改他惯常的搞笑、幽默形象，将一个更加深沉、广阔的自己... ,迈克尔·罗森[Michael Rosen]文&昆廷·布莱克[Quentin Blake]图,绘本&童话&英国&漫画&2016&北京联合出版公司,北京联合出版公司
https://book.douban.com/subject/1043008/,https://img9.doubanio.com/view/subject/s/public/s1043975.jpg,格林童话全集, ,9.0,83769人,[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,"《格林童话全集》是德国民间故事集。由德国的雅各・格林和威廉・格林兄弟根据民间口述材料改写而成。他们搜集、整理、出版这些民间童话的目的，正如威廉所说，是""希望... ",格林兄弟,童话&格林童话&外国文学&童年&经典&格林兄弟&儿童文学&德国,人民文学出版社
https://book.douban.com/subject/35200619/,https://img3.doubanio.com/view/subject/s/public/s33898350.jpg,柳林风声, ,9.3,655人,[英] 肯尼思·格雷厄姆、[英]E.H.谢泼德 / 任溶溶 / 上海译文出版社 / 2021-5 / 78,《柳林风声》是英国作家肯尼思•格雷厄姆（1859—1932）的代表作，以他讲给天生患有眼疾的儿子的故事为基础创作而成。自1908年出版以来，《柳林风声》收获... ,肯尼思·格雷厄姆&E.H.谢泼德,儿童文学&童话&英国文学&外国文学&英国&格雷厄姆&文学&绘本,上海译文出版社
https://book.douban.com/subject/34438689/,https://img2.doubanio.com/view/subject/s/public/s33496233.jpg,夜莺与玫瑰, ,9.0,1567人,[爱尔兰] 奥斯卡·王尔德 / 张乐 / 湖南文艺出版社 / 2019-9-15 / 45.00元,本书为王尔德的经典童话作品集，包括《夜莺与玫瑰》《快乐王子》《好朋友》《了不起的高筒炮》《少年国王》《西班牙公主的生日》《渔夫和灵魂》《星童》《自私的巨人》... ,奥斯卡·王尔德,童话&奥斯卡·王尔德&王尔德&外国文学&英国文学&爱&文学&英国,湖南文艺出版社
https://book.douban.com/subject/3693974/,https://img1.doubanio.com/view/subject/s/public/s3896478.jpg,小王子, ,9.4,17470人,[法]圣埃克絮佩里 / 周克希 / 上海译文出版社 / 2009-4 / 29.00元,&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;《小王子》是法国著名作家圣埃克絮佩里的一部享誉世界的畅销童话。本书是中、法、英三种语言对照的版本，采用彩色插... ,圣埃克絮佩里,小王子&童话&法国&圣埃克絮佩里&外国文学&法国文学&经典&文学,上海译文出版社
https://book.douban.com/subject/35659448/,https://img1.doubanio.com/view/subject/s/public/s34062629.jpg,柳林风声诺顿注释本, ,9.2,66人,[英]肯尼斯·格雷厄姆 著、[美] 安妮·高杰 编著 / 康华 / 湖南文艺出版社·浦睿文化 / 2022-1 / 98,暂无,肯尼斯·格雷厄姆 著&安妮·高杰 编著,儿童文学&童话&英国文学&英国&文学&外国文学&浦睿文化&小说,湖南文艺出版社
https://book.douban.com/subject/20443559/,https://img9.doubanio.com/view/subject/s/public/s28850934.jpg,小王子, ,7.7,35439人,安托万•德•圣埃克苏佩里 / 李继宏 / 天津人民出版社 / 2013-1 / 32.00,暂无,安托万•德•圣埃克苏佩里,小王子&童话&外国文学&成长&经典名著&法国&文学&经典,天津人民出版社
