书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1017143/,https://img1.doubanio.com/view/subject/s/public/s1091698.jpg,不能承受的生命之轻, ,8.5,211238人,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,《不能承受的生命之轻》是米兰·昆德拉最负盛名的作品。小说描写了托马斯与特丽莎、萨丽娜之间的感情生活。但它不是一个男人和两个女人的三角性爱故事，它是一部哲理小... ,米兰·昆德拉,米兰・昆德拉&不能承受的生命之轻&外国文学&哲学&小说&捷克&米兰·昆德拉&文学,上海译文出版社
https://book.douban.com/subject/25900384/,https://img1.doubanio.com/view/subject/s/public/s27471968.jpg,不能承受的生命之轻, ,9.1,7489人,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2014-6 / 46.00元,《不能承受的生命之轻》是米兰·昆德拉最负盛名的作品。小说描写了托马斯与特丽莎、萨丽娜之间的感情生活。但它不是一个男人和两个女人的三角性爱故事，它是一部哲理小... ,米兰·昆德拉,米兰·昆德拉&哲学&人生&爱情&外国文学&小说&米兰・昆德拉&文学,上海译文出版社
https://book.douban.com/subject/26877993/,https://img9.doubanio.com/view/subject/s/public/s29383984.jpg,不能承受的生命之轻, ,9.1,3917人,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2017-1-1 / CNY 39.00,暂无,米兰·昆德拉,米兰·昆德拉&外国文学&文学&小说&捷克&情感&现代文学&历史,上海译文出版社
https://book.douban.com/subject/25900388/,https://img9.doubanio.com/view/subject/s/public/s28784935.jpg,生活在别处, ,8.7,2660人,[捷克] 米兰·昆德拉 / 袁筱一 / 上海译文出版社 / 2014-6 / 45.00,《生活在别处》是一个年轻艺术家的肖像画。昆德拉以其独到的笔触塑造出雅罗米尔这样一个形象，描绘了这个年轻诗人充满激情而又短暂的一生，具有“发展小说”的许多特点... ,米兰·昆德拉,米兰·昆德拉&小说&米兰・昆德拉&外国文学&捷克&文学&上海译文出版社&法国文学,上海译文出版社
https://book.douban.com/subject/5918007/,https://img3.doubanio.com/view/subject/s/public/s6273530.jpg,好笑的爱, ,8.7,2304人,米兰·昆德拉 (Kundera M.) / 余中先、郭昌京 / 上海译文出版社 / 2011-1 / 29.00元,《好笑的爱》内容简介：在三十岁前，我写过好几类东西：主要是音乐，但也有诗歌，甚至有一部剧本。我在多个不同的领域工作·——寻找我的声音，我的风格，寻找我自己。... ,米兰·昆德拉,米兰·昆德拉&小说&米兰・昆德拉&捷克&外国文学&短篇小说&文学&捷克文学,上海译文出版社
https://book.douban.com/subject/4920007/,https://img2.doubanio.com/view/subject/s/public/s4421443.jpg,不能承受的生命之轻,中文全译本百万纪念版,8.8,39865人,米兰·昆德拉 / 许钧 / 上海译文出版社 / 2010-8 / 29.00元,暂无,米兰·昆德拉,米兰·昆德拉&不能承受的生命之轻&哲学&外国文学&小说&文学&捷克&人性,上海译文出版社
https://book.douban.com/subject/25902728/,https://img9.doubanio.com/view/subject/s/public/s28026904.jpg,不朽, ,9.1,1186人,[捷克] 米兰·昆德拉 / 王振孙、郑克鲁 / 上海译文出版社 / 2015-1-1 / 49.00元,《不朽》主人公阿涅丝，因为受到往事回忆的长久纠缠，陷于人生存在的无可奈何状态当中。故事通过一个在游泳池畔向游泳教练做手势打招呼的一个场景开始，精炼地体现了昆... ,米兰·昆德拉,米兰·昆德拉&米兰・昆德拉&小说&外国文学&捷克&法国文学&文学&法国,上海译文出版社
https://book.douban.com/subject/30338761/,https://img2.doubanio.com/view/subject/s/public/s32319142.jpg,庆祝无意义, ,7.3,657人,[法]米兰·昆德拉 / 马振骋 / 上海译文出版社 / 2019-5 / 36,☆ 米兰·昆德拉是当今世界在文学地位和作品销量上最有号召力的大师之一，也是历年诺奖得奖呼声很高的西方作家，《庆祝无意义》是昆德拉在长达十年的小说创作空白期之... ,米兰·昆德拉,米兰·昆德拉&小说&外国文学&法国文学&文学&散文&*上海译文出版社*&捷克,上海译文出版社
https://book.douban.com/subject/33296606/,https://img3.doubanio.com/view/subject/s/public/s32319140.jpg,小说的艺术, ,9.1,528人,[法]米兰·昆德拉 / 尉迟秀 / 上海译文出版社 / 2019-5 / 45,暂无,米兰·昆德拉,米兰·昆德拉&文学理论&文学研究&文学&外国文学&昆德拉&米兰・昆德拉&法国文学,上海译文出版社
https://book.douban.com/subject/1394427/,https://img3.doubanio.com/view/subject/s/public/s2722810.jpg,不朽, ,8.6,968人,(捷)米兰·昆德拉 / 宁敏 / 作家出版社 / 1991 / 4.75,“汽车的喇叭声响个不停，我听见愤怒的人群在吆喝呐喊。正是在这种情况下，阿格尼丝渴望买上一枝勿忘我，只要一枝；她希望把花举放在自己的眼前，作为美的最后的、不为... ,米兰·昆德拉,米兰·昆德拉&不朽&小说&米兰・昆德拉&外国文学&捷克&意识流&文学,作家出版社
