书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/4913064/,https://img9.doubanio.com/view/subject/s/public/s27279654.jpg,活着, ,9.4,665544人,余华 / 作家出版社 / 2012-8-1 / 20.00元,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵... ,余华,余华&人性&人生&活着&中国文学&社会&经典&小说,作家出版社
https://book.douban.com/subject/1084336/,https://img2.doubanio.com/view/subject/s/public/s1103152.jpg,小王子, ,9.0,674995人,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行... ,圣埃克苏佩里,小王子&童话&经典&成长&圣埃克苏佩里&哲学&外国文学&法国,人民文学出版社
https://book.douban.com/subject/6082808/,https://img3.doubanio.com/view/subject/s/public/s27237850.jpg,百年孤独, ,9.3,364723人,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。... ,加西亚·马尔克斯,百年孤独&加西亚·马尔克斯&魔幻现实主义&经典&拉美文学&外国文学&小说&文学,南海出版公司
https://book.douban.com/subject/1007305/,https://img1.doubanio.com/view/subject/s/public/s1070959.jpg,红楼梦, ,9.6,361320人,[清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元,《红楼梦》是一部百科全书式的长篇小说。以宝黛爱情悲剧为主线，以四大家族的荣辱兴衰为背景，描绘出18世纪中国封建社会的方方面面，以及封建专制下新兴资本主义民主... ,曹雪芹 著&高鹗 续,红楼梦&古典文学&曹雪芹&经典&古典名著&名著&四大名著&小说,人民文学出版社
https://book.douban.com/subject/4820710/,https://img1.doubanio.com/view/subject/s/public/s4371408.jpg,1984, ,9.4,204284人,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,暂无,乔治·奥威尔,反乌托邦&乔治·奥威尔&政治寓言&政治&1984&外国文学&小说&英国,北京十月文艺出版社
https://book.douban.com/subject/10594787/,https://img2.doubanio.com/view/subject/s/public/s11284102.jpg,霍乱时期的爱情, ,9.0,236268人,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,暂无,加西亚·马尔克斯,霍乱时期的爱情&爱情&加西亚-马尔克斯&加西亚·马尔克斯&拉美文学&小说&外国文学&文学,南海出版公司
https://book.douban.com/subject/6518605/,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,三体全集,地球往事三部曲,9.4,123421人,刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元,三体三部曲 (《三体》《三体Ⅱ·黑暗森林》《三体Ⅲ·死神永生》) ，原名“地球往事三部曲”，是中国著名科幻作家刘慈欣的首个长篇系列，由科幻世界杂志社策划制作... ,刘慈欣,刘慈欣&科幻&中国科幻&三体&科幻小说&硬科幻&经典&小说,重庆出版社
https://book.douban.com/subject/25887924/,https://img1.doubanio.com/view/subject/s/public/s28383857.jpg,卡拉马佐夫兄弟, ,9.7,13758人,陀思妥耶夫斯基 (Ф.М.Достоевский) / 荣如德 / 上海译文出版社 / 2015-2-1 / CNY 78.00,本书系俄国大作家陀思妥耶夫斯基代表作之一。小说通过一桩真实的弑父案，描写老卡拉马佐夫同三个儿子即两代人之间的尖锐冲突。老卡拉马佐夫贪婪好色，独占妻子留给儿子... ,陀思妥耶夫斯基,陀思妥耶夫斯基&俄国文学&经典&小说&外国文学&文学&俄罗斯&心理,上海译文出版社
https://book.douban.com/subject/1200840/,https://img2.doubanio.com/view/subject/s/public/s1144911.jpg,平凡的世界（全三部）, ,9.0,291520人,路遥 / 人民文学出版社 / 2005-1 / 64.00元,《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广... ,路遥,平凡的世界&路遥&人生&中国文学&经典&小说&文学&成长,人民文学出版社
https://book.douban.com/subject/4760224/,https://img3.doubanio.com/view/subject/s/public/s24575140.jpg,许三观卖血记, ,9.0,94082人,余华 / 作家出版社 / 2012-9 / 24.00元,《许三观卖血记》是余华1995年创作的一部长篇小说。《许三观卖血记》以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述... ,余华,余华&人性&中国文学&那样的时代&小说&人生&生活&文学,作家出版社
https://book.douban.com/subject/1008145/,https://img2.doubanio.com/view/subject/s/public/s1070222.jpg,围城, ,8.9,415796人,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出... ,钱锺书,钱钟书&围城&中国文学&经典&小说&婚姻&现代文学&文学,人民文学出版社
https://book.douban.com/subject/6781808/,https://img2.doubanio.com/view/subject/s/public/s23128183.jpg,杀死一只知更鸟, ,9.2,114774人,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的... ,哈珀·李,成长&杀死一只知更鸟&教育&经典&美国文学&小说&外国文学&正义,译林出版社
https://book.douban.com/subject/1068920/,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,飘, ,9.3,189185人,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环... ,玛格丽特·米切尔,飘&经典&外国文学&爱情&外国名著&小说&美国&名著,译林出版社
https://book.douban.com/subject/1322455/,https://img1.doubanio.com/view/subject/s/public/s3073167.jpg,遥远的救世主, ,8.7,25831人,豆豆 / 作家出版社 / 2005-05-01 / 28.00,暂无,豆豆,遥远的救世主&文化属性&天道&小说&智慧&哲学&人生&豆豆,作家出版社
https://book.douban.com/subject/11524204/,https://img1.doubanio.com/view/subject/s/public/s11276847.jpg,围城, ,9.3,80177人,钱锺书 / 人民文学出版社 / 1991-2-1 / 39.00元,《围城》是一幅栩栩如生的世井百态图，人生的酸甜苦辣千般滋味均在其中得到了淋漓尽致的体现。钱钟书先生将自己的语言天才并入极其渊博的知识，再添加上一些讽刺主义的... ,钱锺书,钱钟书&婚姻&经典&围城&人生&钱锺书&中国文学&中国现当代文学,人民文学出版社
https://book.douban.com/subject/35482123/,https://img2.doubanio.com/view/subject/s/public/s33990793.jpg,鄙视, ,8.0,9153人,[意] 阿尔贝托·莫拉维亚 / 沈萼梅、刘锡荣 / 江苏凤凰文艺出版社 / 2021-7 / 62.00,婚后两年，丈夫在工作、金钱和理想面前节节败退，妻子的鄙视成了对他而言最大的惩罚。他时时揣摩自己为什么被妻子鄙视，却把妻子越推越远，一桩原本幸福的婚姻即将轰然... ,阿尔贝托·莫拉维亚,婚姻&意大利文学&小说&家庭&意大利&外国文学&文学&经典,江苏凤凰文艺出版社
https://book.douban.com/subject/24531956/,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg,哈利·波特, ,9.7,64712人,J.K.罗琳 (J.K.Rowling) / 苏农、马爱农、马爱新 / 人民文学出版社 / 2008-12-1 / 498.00元,暂无,J.K.罗琳,魔法&哈利波特&J.K.罗琳&奇幻&经典&HarryPotter&成长&英国,人民文学出版社
https://book.douban.com/subject/26954760/,https://img1.doubanio.com/view/subject/s/public/s29634528.jpg,月亮与六便士, ,8.8,188622人,[英] 威廉·萨默塞特·毛姆 / 徐淳刚 / 浙江文艺出版社 / 2017-1-1 / 39.80元,暂无,威廉·萨默塞特·毛姆,月亮与六便士&毛姆&梦想&经典&人生&外国文学&小说&英国文学,浙江文艺出版社
https://book.douban.com/subject/10517238/,https://img9.doubanio.com/view/subject/s/public/s8865866.jpg,平凡的世界, ,9.0,60023人,路遥 / 北京十月文艺出版社 / 2012-3-1 / CNY 79.80,《平凡的世界(套装共3册)》是一部现实主义小说，也是小说化的家族史。作家高度浓缩了中国西北农村的历史变迁过程，作品达到了思想性与艺术性的高度统一，特别是主人... ,路遥,平凡的世界&路遥&人生&经典&中国文学&励志&茅盾文学奖&农村,北京十月文艺出版社
https://book.douban.com/subject/1139360/,https://img2.doubanio.com/view/subject/s/public/s1106951.jpg,毛泽东选集 第一卷, ,9.4,17650人,毛泽东 / 人民出版社 / 1991-5 / 40.00元,《毛泽东选集》第一卷包括了毛泽东同志在中国革命各个时期中的重要著作。几年前各地方曾经出过几种不同版本的《毛泽东选集》，都是没有经过著者审查的，体例颇为杂乱，... ,毛泽东,毛泽东&毛泽东选集&哲学&政治&毛选&思想&经典&革命,人民出版社
https://book.douban.com/subject/10564071/,https://img9.doubanio.com/view/subject/s/public/s28111905.jpg,白鹿原,20周年精装典藏版,9.2,78426人,陈忠实 / 人民文学出版社 / 2012-9 / 39.00元,在从清末民初到建国之初的半个世纪里，一阵阵狂风掠过了白鹿原上空，而每一次的变动都震荡着它的内在结构：打乱了再恢复，恢复了再打乱，细腻地反映出白姓和鹿姓两大家... ,陈忠实,陈忠实&白鹿原&中国文学&经典&茅盾文学奖&小说&现当代文学&社会,人民文学出版社
https://book.douban.com/subject/1449351/,https://img2.doubanio.com/view/subject/s/public/s4696893.jpg,呐喊, ,9.0,129660人,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,《呐喊》收录作者1918年至1922年所作小说十四篇。1923年8月由北京新潮社出版，原收十五篇，列为该社《文艺丛书》之一。1924年5月第三次印刷时起，改... ,鲁迅,鲁迅&中国文学&呐喊&经典&杂文&小说&文学&中国,人民文学出版社
https://book.douban.com/subject/1083428/,https://img2.doubanio.com/view/subject/s/public/s4250062.jpg,傲慢与偏见, ,8.9,213264人,[英] 奥斯丁 / 张玲、张扬 / 人民文学出版社 / 1993-7 / 13.00元,《傲慢与偏见》是简·奥斯汀的代表作，是一部描写爱情与婚姻的经典小说。作品以男女主人公达西和伊丽莎白由于傲慢和偏见而产生的爱情纠葛为线索，共写了四起姻缘：伊丽... ,奥斯丁,傲慢与偏见&爱情&奥斯丁&外国文学&经典&外国名著&英国&小说,人民文学出版社
https://book.douban.com/subject/1858568/,https://img9.doubanio.com/view/subject/s/public/s1790246.jpg,罪与罚, ,9.2,24442人,[俄] 陀思妥耶夫斯基 / 岳麟 / 上海译文出版社 / 2006-8 / 23.00元,《罪与罚》系19世纪俄国大文豪陀思妥耶夫斯基的代表作之一。小说描写一心想成为拿破仑式的人物、认定自己是个超人的穷大学生拉斯柯尔尼科夫，受无政府主义思想毒害，... ,陀思妥耶夫斯基,陀思妥耶夫斯基&俄罗斯文学&罪与罚&小说&俄罗斯&外国文学&经典&文学,上海译文出版社
https://book.douban.com/subject/1043815/,https://img3.doubanio.com/view/subject/s/public/s1146040.jpg,骆驼祥子, ,8.4,180807人,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,《骆驼祥子》是老舍用同情的笔触描绘的一幕悲剧：二十年代的北京，一个勤劳、壮实的底层社会小人物怀着发家、奋斗的美好梦想，却最终为黑暗的暴风雨所吞噬。它揭示了当... ,老舍,老舍&骆驼祥子&中国文学&社会&经典&小说&名著&人生,人民文学出版社
https://book.douban.com/subject/5363767/,https://img9.doubanio.com/view/subject/s/public/s26012674.jpg,三体Ⅲ,死神永生,9.2,242106人,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,与三体文明的战争使人类第一次看到了宇宙黑暗的真相，地球文明像一个恐惧的孩子，熄灭了寻友的篝火，在暗夜中发抖。自以为历经沧桑，其实刚刚蹒跚学步；自以为悟出了生... ,刘慈欣,刘慈欣&科幻&三体&中国科幻&科幻小说&硬科幻&小说&中国,重庆出版社
https://book.douban.com/subject/30286914/,https://img9.doubanio.com/view/subject/s/public/s29952174.jpg,基督山伯爵, ,9.3,2213人,[法]大仲马 / 周克希 / 译林出版社 / 2018-10 / 138,暂无,大仲马,大仲马&世界名著&经典&复仇&法国文学&文学&法国&西方文学,译林出版社
https://book.douban.com/subject/1795079/,https://img3.doubanio.com/view/subject/s/public/s1762210.jpg,乡土中国, ,9.2,61691人,费孝通 / 上海人民出版社 / 2006-04-01 / 38.00,著名社会学家费孝通教授，一生行行重行行，实地调查和考察总结中国农村经济发展的各种模式，写下了诸多不朽篇章。本书推出的是学界共认的中国乡土社会传统文化和社会结... ,费孝通,社会学&费孝通&乡土中国&中国社会&社会学　中国农村&文化&中国&社会,上海人民出版社
https://book.douban.com/subject/27002046/,https://img9.doubanio.com/view/subject/s/public/s29477615.jpg,美丽新世界, ,9.1,31802人,[英] 赫胥黎 / 陈超 / 上海译文出版社 / 2017-6 / 45.00元,出版于一九三二年的《美丽新世界》是奥尔德斯•赫胥黎最杰出的代表作，是二十世纪最著名的反乌托邦文学经典之一，与奥威尔的《一九八四》、扎米亚京的《我们》并称为“... ,赫胥黎,反乌托邦&奥尔德斯·赫胥黎&社会&赫胥黎&小说&英国文学&外国文学&经典,上海译文出版社
