书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/2154960/,https://img1.doubanio.com/view/subject/s/public/s2611329.jpg,一个陌生女人的来信, ,8.7,128805人,[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,暂无,斯蒂芬·茨威格,茨威格&一个陌生女人的来信&爱情&外国文学&小说&奥地利&经典&女性,上海译文出版社
https://book.douban.com/subject/27615361/,https://img9.doubanio.com/view/subject/s/public/s29786716.jpg,昨日的世界,一个欧洲人的回忆,9.4,5260人,[奥]茨威格 / 徐友敬等 / 上海译文出版社 / 2018-7 / 49.00元,"《昨日的世界》是奥地利作家斯特凡•茨威格创作的自传体文学作品,写于1939年至1941年间，是茨威格在临终前被迫流亡的日子里完成的。在茨威格离世以后，于19... ",茨威格,茨威格&回忆录&传记&欧洲史&历史&奥地利&文学&外国文学,上海译文出版社
https://book.douban.com/subject/34434342/,https://img1.doubanio.com/view/subject/s/public/s33300419.jpg,人类群星闪耀时,十四篇历史特写,8.3,9219人,[奥]斯蒂芬·茨威格 / 姜乙 / 上海文艺出版社 / 2019-7 / 49.00元,暂无,斯蒂芬·茨威格,历史&人物传记&斯蒂芬·茨威格&茨威格&外国文学&文学&有意思的书&纪实,上海文艺出版社
https://book.douban.com/subject/1083762/,https://img9.doubanio.com/view/subject/s/public/s1134166.jpg,人类的群星闪耀时, ,8.7,27655人,[奥] 斯蒂芬·茨威格 / 舒昌善 / 广西师范大学出版社 / 2004-8 / 18.00元,《人类群星闪耀时》由奥地利著名小说家创作。《人类群星闪耀时》内容：涌动着匪徒、探险家、叛乱者兼英雄血液的巴尔沃亚成为第一个看到太平洋的欧洲人；仅仅一秒钟的优... ,斯蒂芬·茨威格,茨威格&历史&传记&人物传记&外国文学&奥地利&文学&人物,广西师范大学出版社
https://book.douban.com/subject/34802708/,https://img9.doubanio.com/view/subject/s/public/s33492114.jpg,人类的群星闪耀时,十四篇历史特写,9.0,557人,(奥) 斯蒂芬·茨威格 / 舒昌善 / 生活·读书·新知三联书店 / 2019-9 / 35.00元,三联新版的《人类群星闪耀时》，将是国内迄今为止的最新版本，在广西师大版的基础上再增加两个章节，即将历史时刻特写从原来的12个增加到14个，所涉及的历史人物分... ,斯蒂芬·茨威格,茨威格&历史&传记&文学&传记与回忆录&启发&随笔&外国文学,生活·读书·新知三联书店
https://book.douban.com/subject/1062343/,https://img1.doubanio.com/view/subject/s/public/s1121598.jpg,昨日的世界,一个欧洲人的回忆,9.2,12772人,[奥] 斯蒂芬·茨威格 / 舒昌善、孙龙生、刘春华、戴奎生 / 广西师范大学出版社 / 2004-5-1 / 32.00元,作者以饱满真挚的感情、平实顺畅的文宇叙述了他所认识的特定时期的各种人物，他亲身经历的社会政治事件，他对那个动荡不安的时代的感受，记录了当时欧洲从一战前夜到二... ,斯蒂芬·茨威格,茨威格&回忆录&历史&斯蒂芬・茨威格&传记&外国文学&欧洲&奥地利,广西师范大学出版社
https://book.douban.com/subject/1036787/,https://img2.doubanio.com/view/subject/s/public/s1936751.jpg,昨日的世界,一个欧洲人的回忆,9.2,1563人,[奥地利] 斯蒂芬·茨威格 / 舒昌善 / 生活·读书·新知三联书店 / 1991-3 / 18.60元,几十年前，茨威格是在对他不利但又极具他们那个时代特征的环境下来写自己这些回忆的。因为在全世界国与国之间的邮路已经中断，或者说，由于检查制度而受到了阻碍。他们... ,斯蒂芬·茨威格,茨威格&回忆录&历史&传记&斯蒂芬・茨威格&外国文学&奥地利&文学,生活·读书·新知三联书店
https://book.douban.com/subject/33385476/,https://img1.doubanio.com/view/subject/s/public/s32299368.jpg,人类群星闪耀时, ,8.3,7352人,[奥地利] 斯蒂芬·茨威格 / 梁锡江 / 江苏凤凰文艺出版社 / 2019-4-1 / 69,暂无,斯蒂芬·茨威格,茨威格&好书，值得一读&历史&外国文学&经典&传记&我想读这本书&想读，一定很精彩！,江苏凤凰文艺出版社
https://book.douban.com/subject/5404162/,https://img1.doubanio.com/view/subject/s/public/s4570598.jpg,一个女人一生中的二十四小时, ,8.6,4270人,[奥]斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2010-12 / 18.00元,《一个女人一生中的二十四小时》是茨威格的代表作之一，与《一个陌生女人的来信》齐名。故事的女主人公是一位白发苍苍，举止高雅的老妇人，她在四十岁的时候，出于一种... ,斯台芬·茨威格,斯台芬·茨威格&茨威格&小说&外国文学&女性&奥地利&爱情&文学,上海译文出版社
https://book.douban.com/subject/26828753/,https://img9.doubanio.com/view/subject/s/public/s29114394.jpg,一个陌生女人的来信, ,8.7,2767人,[奥] 斯特凡·茨威格 / 韩耀成 / 上海译文出版社 / 2016-10 / 32.00,暂无,斯特凡·茨威格,茨威格&爱情&外国文学&小说&奥地利&文学&短篇集&上海译文出版社,上海译文出版社
https://book.douban.com/subject/4238162/,https://img9.doubanio.com/view/subject/s/public/s10327156.jpg,昨日的世界,一个欧洲人的回忆,9.4,5133人,[奥]斯蒂芬·茨威格 / 舒昌善 / 生活·读书·新知三联书店 / 2010-4 / 29.80元,暂无,斯蒂芬·茨威格,茨威格&传记&回忆录&历史&欧洲&斯蒂芬·茨威格&外国文学&奥地利,生活·读书·新知三联书店
https://book.douban.com/subject/26787222/,https://img1.doubanio.com/view/subject/s/public/s29195397.jpg,斯·茨威格中短篇小说选, ,9.3,600人,斯·茨威格 (Stefan Zweig) / 张玉书 / 人民文学出版社 / 2016-6-1 / CNY 36.00,该书收入奥地利著名作家茨威格具有代表性的中短篇小说16篇，其中《一个陌生女人的来信》、《一个女人一生中的二十四小时》、《马来狂人》、《象棋的故事》、《看不见... ,斯·茨威格,茨威格&小说&斯蒂芬·茨威格&短篇小说&奥地利&文学&外国文学&外国名著,人民文学出版社
https://book.douban.com/subject/27056404/,https://img2.doubanio.com/view/subject/s/public/s29650942.jpg,三作家传,卡萨诺瓦，司汤达，托尔斯泰,8.8,288人,[奥] 斯特凡·茨威格 / 关惠文 / 上海译文出版社 / 2017-11-30 / 38,暂无,斯特凡·茨威格,茨威格&传记&人物传记&文学&奥地利&外国文学&*上海译文出版社*&奥地利文学,上海译文出版社
https://book.douban.com/subject/1818583/,https://img1.doubanio.com/view/subject/s/public/s2059828.jpg,斯·茨威格中短篇小说选, ,9.1,3447人,斯·茨威格 / 张玉书 / 人民文学出版社 / 2006-6 / 24.00元,茨威格初登文坛时，是以抒情诗人的面貌出现的，接着又进行戏剧创作。奥地利作家，不少是诗人、小说家兼剧作家，施尼茨勒、霍夫曼斯塔尔和茨威格均是如此。早在大学时代... ,斯·茨威格,茨威格&小说&奥地利&外国文学&奥地利文学&经典&文学&名著,人民文学出版社
https://book.douban.com/subject/2158684/,https://img3.doubanio.com/view/subject/s/public/s2897060.jpg,象棋的故事, ,9.1,10934人,[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 23.00元,《象棋的故事》是茨威格生前发表的最后一部中篇小说。小说表面上讲述了一条从纽约开往南美的轮船上一位业余国际象棋手击败了国际象棋世界冠军的故事，实际上倾诉了纳粹... ,斯蒂芬·茨威格,茨威格&小说&奥地利&外国文学&斯蒂芬·茨威格&经典&文学&德语文学,上海译文出版社
https://book.douban.com/subject/27180719/,https://img9.doubanio.com/view/subject/s/public/s29590904.jpg,人类群星闪耀时, ,9.0,443人,斯蒂芬·茨威格 / 高中甫、潘子立 / 三辰影库音像出版社 / 2017-10 / 39.00元,暂无,斯蒂芬·茨威格,茨威格&外国文学&传记&历史&经典文学&经典&小说&很吸引人的书，想读！,三辰影库音像出版社
https://book.douban.com/subject/33805507/,https://img1.doubanio.com/view/subject/s/public/s33316317.jpg,一个陌生女人的来信, ,9.3,188人,斯·茨威格 / 张玉书 / 人民文学出版社 / 2019-6 / 42.00元,本书收入茨威格最代表性的中短篇小说七篇，包括《一个陌生女人的来信》《一个女人一生中的二十四小时》《马来狂人》《象棋的故事》《看不见的珍藏》《夜色朦胧》《旧书... ,斯·茨威格,茨威格&小说&文学&短篇小说&爱情&2021,人民文学出版社
https://book.douban.com/subject/26828752/,https://img3.doubanio.com/view/subject/s/public/s29114410.jpg,象棋的故事, ,8.9,1018人,[奥] 斯特凡·茨威格 / 韩耀成、关惠文 / 上海译文出版社 / 2016-10 / 32,茨威格中短篇小说集，收录《看不见的藏品》《一个女人一生中的二十四小时》《象棋的故事》等代表作。其中《象棋的故事》是茨威格生前发表的最后一部中篇小说。1939... ,斯特凡·茨威格,茨威格&短篇小说&小说&奥地利文学&奥地利&文学&外国文学,上海译文出版社
