书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35200649/,https://img1.doubanio.com/view/subject/s/public/s33786617.jpg,死亡赋格,保罗·策兰诗精选,8.7,998人,保罗·策兰 / 黄灿然 / 北京联合出版公司 / 2021-1 / 65.00元,暂无,保罗·策兰,诗歌&保罗·策兰&诗集&诗&德国&外国文学&文学&黄灿然,北京联合出版公司
https://book.douban.com/subject/35613253/,https://img1.doubanio.com/view/subject/s/public/s34036117.jpg,不要温顺地走进那个良宵,狄兰·托马斯诗合集1934-1952,8.2,187人,[英] 狄兰·托马斯 / 海岸 / 雅众文化|北京联合出版公司 / 2021-11 / 68.00,暂无,狄兰·托马斯,诗歌&英国文学&诗集&诗&英国&外国文学&文学&詩,雅众文化|北京联合出版公司
https://book.douban.com/subject/35188592/,https://img9.doubanio.com/view/subject/s/public/s33717946.jpg,月光落在左手上, ,8.6,2104人,余秀华 / 北京十月文艺出版社 / 2020-9 / 58,暂无,余秀华,余秀华&诗歌&诗集&诗&现当代文学&中国文学&中国当代文学&文学,北京十月文艺出版社
https://book.douban.com/subject/35430137/,https://img1.doubanio.com/view/subject/s/public/s33959398.jpg,我将宇宙随身携带：佩索阿诗集,佩索阿诗集,8.7,470人,[葡]费尔南多·佩索阿 / 程一身 / 雅众文化｜北京联合出版公司 / 2021-6 / 58.00,暂无,费尔南多·佩索阿,诗歌&费尔南多·佩索阿&诗&葡萄牙文学&葡萄牙&佩索阿&外国诗歌&外国文学,雅众文化｜北京联合出版公司
https://book.douban.com/subject/35324211/,https://img2.doubanio.com/view/subject/s/public/s33842441.jpg,张枣诗文集,（全五卷）,9.4,276人,张枣 / 四川文艺出版社 / 2021-3 / 218.00元,暂无,张枣,张枣&诗歌&现代诗&诗&中国文学&文学&当代文学&中国,四川文艺出版社
https://book.douban.com/subject/35422209/,https://img2.doubanio.com/view/subject/s/public/s33891922.jpg,数星星的夜,尹东柱的诗,8.2,1490人,尹东柱 / 全勇先、全明兰 / 江苏凤凰文艺出版社 / 2021-5-5 / 68.00,暂无,尹东柱,诗歌&文学&诗集&韩国文学&韩国&诗人&诗&闲书,江苏凤凰文艺出版社
https://book.douban.com/subject/35585201/,https://img9.doubanio.com/view/subject/s/public/s33985995.jpg,微尘, ,8.4,2748人,陈年喜 / 天津人民出版社 / 2021-5 / 58.00元,暂无,陈年喜,纪实&文学&非虚构&生活&散文随笔&中国&感动&诗歌,天津人民出版社
https://book.douban.com/subject/35314206/,https://img1.doubanio.com/view/subject/s/public/s34069449.jpg,灰烬的光辉,保罗·策兰诗选,9.2,356人,[德]保罗·策兰 / 王家新 / 广西师范大学出版社 / 2021-1 / 82.00,暂无,保罗·策兰,保罗·策兰&诗歌&德国&诗&外国文学&王家新&文学&书信,广西师范大学出版社
https://book.douban.com/subject/35390565/,https://img1.doubanio.com/view/subject/s/public/s33959907.jpg,大火 拒绝天堂：吉尔伯特诗集,吉尔伯特诗集,9.0,189人,杰克·吉尔伯特 / 柳向阳 / 北京联合出版公司 / 2021-5 / 62.00,暂无,杰克·吉尔伯特,诗歌&诗集&诗&美国&外国文学&文学&人物&@翻译诗,北京联合出版公司
https://book.douban.com/subject/35092842/,https://img1.doubanio.com/view/subject/s/public/s33685019.jpg,有只狐狸看月亮, ,9.4,350人,李田田 / 广东人民出版社 / 2020-6 / 52.00元,暂无,李田田,诗歌&女作家&童书&诗&治愈&大陆&2020&好书，值得一读,广东人民出版社
