书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1203426/,https://img9.doubanio.com/view/subject/s/public/s1146614.jpg,人间词话, ,9.0,48718人,王国维 / 上海古籍出版社 / 1998-12 / 9.80元,《人间词话》一书乃是王氏接受了西洋美学思想之洗礼后，以崭新的眼光对中国旧文学所作的评论，具有划时代的意义，向来极受学术界重视。本书并约请当今著名专家黄霖为之... ,王国维,王国维&人间词话&诗词&国学&文学&古文诗词&古典&经典,上海古籍出版社
https://book.douban.com/subject/34996974/,https://img2.doubanio.com/view/subject/s/public/s33620193.jpg,戴老师魔性诗词课, ,7.7,956人,戴建业 / 北京联合出版公司 / 2020-5 / 48.00元,戴建业老师目前最新作品——《戴老师魔性诗词课》。在这本书中，戴老师除了将他之前火遍全网的唐诗课的内容进行了更加系统的整理外，还增加了全新的内容和知识点，包含... ,戴建业,诗词&中国文学&李白&杜甫&古典文学&文学评论&2020&未知,北京联合出版公司
https://book.douban.com/subject/1013267/,https://img1.doubanio.com/view/subject/s/public/s1008848.jpg,唐诗三百首, ,9.4,21251人,蘅塘退士、陈婉俊 / 中华书局 / 1984-07-01 / 0.65,《唐诗三百首》的旧注本亦有许多种，其中以陈婉俊的补注本简明精当，流行最广。她的注解除简介作者生平外，比较注重语词名物的诠释，博引旁征，字梳句栉，对今天的读者... ,蘅塘退士&陈婉俊,唐诗三百首&诗歌&古典文学&诗词&唐诗&经典&中国&古典,中华书局
https://book.douban.com/subject/35632218/,https://img9.doubanio.com/view/subject/s/public/s34022054.jpg,再见那闪耀的群星,唐诗二十家,8.9,50人,景凯旋 / 南京大学出版社 / 2021-11 / 88,本书不是一部研究专著，而是一部诗歌随笔，是作者在唐诗中的一次游历。在谈及这二十位诗人时，尽量展示其最重要的作品，但并不做全面评价，而是对每位诗人采取不同的阐... ,景凯旋,唐诗&古典文学&诗词&诗歌&文学&中国古典&诗&中国,南京大学出版社
https://book.douban.com/subject/35685531/,https://img1.doubanio.com/view/subject/s/public/s34057179.jpg,李商隐诗选, ,9.4,22人,（日）川合康三 / 陆颖瑶 / 凤凰出版社 / 2021-12 / 68,暂无,川合康三,李商隐&诗歌&唐诗&文学&诗词&日本汉学&海外中国研究&古诗,凤凰出版社
https://book.douban.com/subject/35708113/,https://img1.doubanio.com/view/subject/s/public/s34073357.jpg,杜甫：超越忧愁的诗人, ,6.8,31人,[日] 兴膳宏 / 杨维公 / 生活·读书·新知三联书店 / 2022-2 / 39.00元,在杜甫的一生中，他的诗歌经历了不断的变革和成长，各个时期的诗歌都开创了新的诗境。要想理解杜甫，就要先破除“忧愁一生”这种标签化的解读，从杜甫人生的不同阶段的... ,兴膳宏,杜甫&传记&文学研究&诗歌&文学&古典文学&海外中国研究&诗词,生活·读书·新知三联书店
https://book.douban.com/subject/34942549/,https://img3.doubanio.com/view/subject/s/public/s33575900.jpg,鲜衣怒马少年时-唐宋诗人的诗酒江湖, ,7.2,1645人,少年怒马 著、博集天卷 出品 / 湖南文艺出版社 / 49元,唐诗里的梦想与远方，宋词里的风雅与深情，是中国人最美的记忆。我们自小就熟读很多诗词名篇，对它们的作者却知之甚少。有的诗人甚至像是只发了一条“朋友圈”，就消失... ,少年怒马 著&博集天卷 出品,诗词&幽默&唐诗&文学&古风&宋词&文化&创意,湖南文艺出版社
https://book.douban.com/subject/25793097/,https://img3.doubanio.com/view/subject/s/public/s28136110.jpg,唐诗鉴赏辞典（新一版）, ,9.7,662人,俞平伯 / 上海辞书出版社 / 2013-8 / 98.00元,《唐诗鉴赏辞典》是国内文艺类鉴赏辞典的发轫制作。它首创的融文学赏析和工具书于一体的编写体例，已成为中国文学鉴赏辞典的固有模式。《唐诗鉴赏辞典》第一版于198... ,俞平伯,唐诗&诗词&古典文学&诗歌&中国文学&工具书&鉴赏&文学,上海辞书出版社
https://book.douban.com/subject/35673941/,https://img3.doubanio.com/view/subject/s/public/s34050070.jpg,西南联大诗词课, ,9.5,32人,闻一多 等 / 天地出版社 / 2021-11-1 / 58.00元,西南联大的通识教育深刻地影响了中国的一代学者，为他们所创造的成就奠定了深厚的基础。本套图书力图通过在西南联大担任过教授的15位大师的优质文章，从多个角度呈现... ,闻一多 等,西南联大&诗词&文学&好书，值得一读&文学理论&我想读这本书&深度&很值得推荐的一本书,天地出版社
https://book.douban.com/subject/2005705/,https://img1.doubanio.com/view/subject/s/public/s2190377.jpg,唐宋词十七讲, ,9.1,3946人,叶嘉莹 / 北京大学出版社 / 2015-5-1 / CNY 62.00,暂无,叶嘉莹,叶嘉莹&诗词&古典文学&古典诗词&诗歌&文艺评论&文学&中国,北京大学出版社
