书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1008145/,https://img2.doubanio.com/view/subject/s/public/s1070222.jpg,围城, ,8.9,416159人,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出... ,钱锺书,钱钟书&围城&中国文学&经典&小说&婚姻&现代文学&文学,人民文学出版社
https://book.douban.com/subject/11524204/,https://img1.doubanio.com/view/subject/s/public/s11276847.jpg,围城, ,9.3,80432人,钱锺书 / 人民文学出版社 / 1991-2-1 / 39.00元,《围城》是一幅栩栩如生的世井百态图，人生的酸甜苦辣千般滋味均在其中得到了淋漓尽致的体现。钱钟书先生将自己的语言天才并入极其渊博的知识，再添加上一些讽刺主义的... ,钱锺书,钱钟书&婚姻&经典&围城&人生&钱锺书&中国文学&中国现当代文学,人民文学出版社
https://book.douban.com/subject/1023045/,https://img2.doubanio.com/view/subject/s/public/s1015872.jpg,我们仨, ,8.7,281199人,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨... ,杨绛,杨绛&回忆录&我们仨&亲情&钱钟书&回忆&随笔&散文,生活·读书·新知三联书店
https://book.douban.com/subject/1855364/,https://img2.doubanio.com/view/subject/s/public/s6941453.jpg,围城, ,9.2,29905人,钱锺书 / 人民文学出版社 / 2007-8 / 19.00元,《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出... ,钱锺书,钱钟书&围城&中国文学&小说&经典&人生&爱情&文学,人民文学出版社
https://book.douban.com/subject/27070488/,https://img2.doubanio.com/view/subject/s/public/s29907893.jpg,围城, ,9.3,8344人,钱锺书 / 人民文学出版社 / 2017-6 / 36.00,《围城》是钱钟书仅有的一部长篇小说，堪称中国现当代长篇小说的经典。小说塑造了抗战开初一类知识分子的群像，生动反映了在国家特定时期，特殊人群的行为操守、以及困... ,钱锺书,中国文学&钱钟书&婚姻&讽刺&小说&钱锺书&人性&文学,人民文学出版社
https://book.douban.com/subject/24745649/,https://img9.doubanio.com/view/subject/s/public/s29651636.jpg,围城, ,9.2,17684人,钱钟书 / 人民文学出版社 / 2013-6 / 28.00,《围城》三十年来横贯常销畅销小说之首。《围城》是钱钟书唯一的一部长篇小说，堪称中国现当代长篇小说的经典。小说塑造了抗战开初一类知识分子的群像，生动反映了在国... ,钱钟书,钱钟书&中国文学&婚姻&经典&小说&社会&文学&钱锺书,人民文学出版社
https://book.douban.com/subject/1061242/,https://img9.doubanio.com/view/subject/s/public/s1095105.jpg,写在人生边上, ,8.8,7379人,钱钟书 / 辽宁人民出版社/辽海出版社 / 2000-5-1 / 6.90元,暂无,钱钟书,钱钟书&散文&随笔&写在人生边上&中国文学&钱锺书&文学&杂文,辽宁人民出版社
https://book.douban.com/subject/30216767/,https://img9.doubanio.com/view/subject/s/public/s29827026.jpg,我们仨, ,9.1,2915人,杨绛 / 生活·读书·新知三联书店 / 2018-6-1 / CNY 28.00,《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨... ,杨绛,杨绛&回忆录&亲情&人生&家庭&生活&散文&随笔,生活·读书·新知三联书店
https://book.douban.com/subject/34846916/,https://img9.doubanio.com/view/subject/s/public/s33630686.jpg,管锥编, ,9.5,36人,钱锺书 / 生活·读书·新知三联书店 / 2019-10-1 / 228.00元,钱钟书先生（一九一〇-一九九八年）是当代中国著名的学者、作家。他的着述，如广为传播的《谈艺录》、《管锥编》、《围城》等，均已成为二十世纪重要的学术和文学经典... ,钱锺书,钱钟书&管锥编&钱锺书&文学&古典文学&文献学&经典&随笔,生活·读书·新知三联书店
https://book.douban.com/subject/1058679/,https://img2.doubanio.com/view/subject/s/public/s1069022.jpg,人·兽·鬼, ,8.7,10865人,钱锺书 / 生活·读书·新知三联书店 / 2002-5 / 10.00元,《人·兽·鬼》包括《上帝的梦》、《猫》、《灵感》、《纪念》四部短篇小说。 ,钱锺书,钱钟书&小说&钱锺书&中国文学&幽默&文学&短篇小说&中国,生活·读书·新知三联书店
