书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1060068/,https://img2.doubanio.com/view/subject/s/public/s1369343.jpg,撒哈拉的故事, ,9.2,132079人,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,三毛作品中最脍炙人口的《撒哈拉的故事》，由12篇精彩动人的散文结合而成，其中《沙漠中的饭店》，是三毛适应荒凉单调的沙漠生活后，重新拾笔的第一篇文字，自此之后... ,三毛,三毛&撒哈拉的故事&随笔&散文&游记&旅行&爱情&文学,哈尔滨出版社
https://book.douban.com/subject/1023045/,https://img2.doubanio.com/view/subject/s/public/s1015872.jpg,我们仨, ,8.7,280900人,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨... ,杨绛,杨绛&回忆录&我们仨&亲情&钱钟书&回忆&随笔&散文,生活·读书·新知三联书店
https://book.douban.com/subject/35331766/,https://img2.doubanio.com/view/subject/s/public/s33809923.jpg,森林、冰河与鲸, ,8.9,2806人,[日]星野道夫（Michio Hoshino） / 曹逸冰 / 广西师范大学出版社 / 2020-12 / 52.00元,暂无,星野道夫,摄影&星野道夫&旅行&自然&日本&随笔&艺术&理想国,广西师范大学出版社
https://book.douban.com/subject/35223102/,https://img2.doubanio.com/view/subject/s/public/s33747393.jpg,目光, ,8.8,12587人,陶勇 / 百花洲文艺出版社 / 2020-10 / 49.8,暂无,陶勇,陶勇&人生&医生&随笔&哲学&中国&2020&藏书,百花洲文艺出版社
https://book.douban.com/subject/34815132/,https://img9.doubanio.com/view/subject/s/public/s33544846.jpg,圆圈正义,作为自由前提的信念,8.1,6770人,罗翔 / 中国法制出版社 / 2019-8-26 / 46.00元,"《圆圈正义》一书共收录作者的49篇随笔文章,分为“圆圈正义”“何谓榜样”“道德谴责的打开方式”“身负权力 各自珍重”“法律人的理智和多数人的情感”“生命的尊... ",罗翔,罗翔&法律&法学&价值观&随笔&法治&正义,中国法制出版社
https://book.douban.com/subject/35317149/,https://img2.doubanio.com/view/subject/s/public/s33945521.jpg,在峡江的转弯处,陈行甲人生笔记,9.2,3237人,陈行甲 / 人民日报出版社 / 2021-1 / 48.00元,《在峡江的转弯处：陈行甲人生笔记》是陈行甲的自传体随笔，从童年岁月写起，写母亲，写爱人；写了从大学毕业到基层工作九年多的生活经历；回顾了作者在巴东任县委书记... ,陈行甲,传记&随笔&思考&真诚&官场&政治&励志&非虚构,人民日报出版社
https://book.douban.com/subject/1054685/,https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,沉默的大多数,王小波杂文随笔全编,9.1,129233人,王小波 / 中国青年出版社 / 1997-10 / 27.00元,这本杂文随笔集包括思想文化方面的文章，涉及知识分子的处境及思考，社会道德伦理，文化论争，国学与新儒家，民族主义等问题；包括从日常生活中发掘出来的各种真知灼见... ,王小波,王小波&杂文&沉默的大多数&思想&随笔&中国文学&文学&中国,中国青年出版社
https://book.douban.com/subject/20427187/,https://img1.doubanio.com/view/subject/s/public/s24514758.jpg,看见, ,8.8,311770人,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,《看见》是知名记者和主持人柴静讲述央视十年历程的自传性作品，既是柴静个人的成长告白书，某种程度上亦可视作中国社会十年变迁的备忘录。十年前她被选择成为国家电视... ,柴静,柴静&纪实&随笔&中国&看见&社会学&社会&传记,广西师范大学出版社
https://book.douban.com/subject/35503686/,https://img9.doubanio.com/view/subject/s/public/s33931196.jpg,书店四季,书店日记2,8.0,1080人,[英] 肖恩·白塞尔 / 顾真 / 北京日报出版社 / 2021-8 / 79.00元,暂无,肖恩·白塞尔,书店&随笔&肖恩·白塞尔&英国&英国文学&外国文学&文学&书话,北京日报出版社
https://book.douban.com/subject/4238362/,https://img1.doubanio.com/view/subject/s/public/s4243447.jpg,送你一颗子弹, ,8.6,136182人,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,这本书里记录的是作者2005—2009年左右(尤其是2006—2007年)生活里的点点滴滴。在这本书里，被“审视”的东西杂七杂八，有街上的疯老头，有同宿舍的... ,刘瑜,刘瑜&随笔&送你一颗子弹&杂七杂八&时评&文化&中国文学&中国,上海三联书店
