书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1449351/,https://img2.doubanio.com/view/subject/s/public/s4696893.jpg,呐喊, ,9.0,129910人,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,《呐喊》收录作者1918年至1922年所作小说十四篇。1923年8月由北京新潮社出版，原收十五篇，列为该社《文艺丛书》之一。1924年5月第三次印刷时起，改... ,鲁迅,鲁迅&中国文学&呐喊&经典&杂文&小说&文学&中国,人民文学出版社
https://book.douban.com/subject/1449352/,https://img2.doubanio.com/view/subject/s/public/s2875823.jpg,朝花夕拾, ,8.9,125188人,鲁迅 / 人民文学出版社 / 1972-4 / 0.25元,本书收作者1926年所作回忆散文十篇。1928年9月由北平未名社初版，列为作者所编的《未名新集》之一。1932年8月改由上海北新书局出版。作者生前共印行七版... ,鲁迅,鲁迅&散文&朝花夕拾&中国文学&经典&文学&现代文学&中国,人民文学出版社
https://book.douban.com/subject/2046909/,https://img9.doubanio.com/view/subject/s/public/s2364685.jpg,故事新编, ,9.4,28963人,鲁迅 / 人民文学出版社 / 1973-12-01 / 0.31 元,《故事新编》是鲁迅的一部短篇小说集，收录了鲁迅在1922年～1935年间创作的短篇小说八篇。1936年1月由上海文化生活出版社初版，列为巴金所编的《文学丛刊... ,鲁迅,鲁迅&小说&中国文学&故事新编&经典&短篇小说&文学&现代文学,人民文学出版社
https://book.douban.com/subject/1449348/,https://img9.doubanio.com/view/subject/s/public/s33500305.jpg,彷徨, ,9.1,48758人,鲁迅 / 人民文学出版社 / 1973-3 / 0.37元,《彷徨》收入鲁迅1924年至1925年所作的小说，首篇《祝福》写于1924年2月16日，末篇《离婚》写于1925年11月6日，实际的时间跨度是一年半多，19... ,鲁迅,鲁迅&中国文学&小说&经典&彷徨&现代文学&文学&中国,人民文学出版社
https://book.douban.com/subject/1915958/,https://img1.doubanio.com/view/subject/s/public/s2364689.jpg,野草, ,9.4,33347人,鲁迅 / 人民文学出版社 / 1973-3 / 0.20元,本书所收散文诗23篇〔包括一首打油诗和一出诗剧〕，最初都曾陆续发表于1924年12月至1926年1月的《语丝》周刊上，《题辞》最初也曾发表于1927年7月2... ,鲁迅,鲁迅&中国文学&散文&野草&散文诗&现代文学&文学&经典,人民文学出版社
https://book.douban.com/subject/1398395/,https://img1.doubanio.com/view/subject/s/public/s1426308.jpg,狂人日记, ,8.8,58716人,鲁迅 / 京华出版社 / 2006-3 / 39.80元,《狂人日记》是鲁迅1918年发表的第一篇白话短篇小说，当时正值“五四”运动的前夜。由于辛亥革命的半途而废，特别是帝国主义侵略的加剧，使社会各种矛盾更加复杂尖... ,鲁迅,鲁迅&狂人日记&中国文学&经典&小说&现代文学&文学&中国,京华出版社
https://book.douban.com/subject/35479545/,https://img9.doubanio.com/view/subject/s/public/s34069454.jpg,铸剑, ,9.1,854人,原著：鲁迅、编绘：昔酒 / 一頁folio | 广西师范大学出版社 / 2021-7 / 138,暂无,原著：鲁迅&编绘：昔酒,鲁迅&绘本&漫画&中国文学&画册&中国现当代&经典&中国,一頁folio | 广西师范大学出版社
https://book.douban.com/subject/35167966/,https://img3.doubanio.com/view/subject/s/public/s33804380.jpg,无法直面的人生,鲁迅传,8.5,733人,王晓明 / 生活·读书·新知三联书店 / 2021-1 / 79.00元,一部影响深远的鲁迅思想传记，代表了20世纪八九十年代知识界努力冲破启蒙话语，力图回到“鲁迅本身”，从个体生存的心理结构和思想困境的角度去重新解读鲁迅的重要尝... ,王晓明,鲁迅&传记&文学研究&思想史&现当代文学&传记回忆录&文学&*中国现代文学研究,生活·读书·新知三联书店
https://book.douban.com/subject/26710670/,https://img2.doubanio.com/view/subject/s/public/s28385441.jpg,呐喊,鲁迅短篇小说集,9.5,7587人,鲁迅 / 天津人民出版社 / 2016-1 / 32.00元,《呐喊》是鲁迅的第一本小说集。1918年，新文化运动正值高峰。鲁迅因为和老朋友“金心异”（钱玄同）的一场关于“铁屋子”的谈话，创作了第一篇白话小说《狂人日记... ,鲁迅,鲁迅&中国文学&经典&呐喊&小说&文学&短篇小说&中国,天津人民出版社
https://book.douban.com/subject/25898626/,https://img2.doubanio.com/view/subject/s/public/s33673242.jpg,鲁迅全集, ,9.7,2745人,鲁迅 / 同心出版社 / 2014-5-1 / 388.00元,暂无,鲁迅,鲁迅&鲁迅全集&中国文学&经典&文学&中国&作品集&文集,同心出版社
https://book.douban.com/subject/26710671/,https://img2.doubanio.com/view/subject/s/public/s28385442.jpg,彷徨, ,9.4,4567人,鲁迅 / 天津人民出版社 / 2016-1 / 32.00元,暂无,鲁迅,鲁迅&中国文学&经典&小说&文学&彷徨&中国&现代文学,天津人民出版社
https://book.douban.com/subject/1974027/,https://img3.doubanio.com/view/subject/s/public/s2127990.jpg,热风, ,9.2,7661人,鲁迅 / 人民文学出版社 / 2006-12 / 9.00元,《热风》收作者1918年至1924年所作杂文四十一篇。1925年11月由北京北新书局初版。作者生前共印行十版次。鲁迅在《新青年》的《随感录》中做些短评，还在... ,鲁迅,鲁迅&杂文&中国文学&杂文随笔&文学&中国&中国现当代文学&人民文学出版社,人民文学出版社
https://book.douban.com/subject/1088065/,https://img2.doubanio.com/view/subject/s/public/s1074811.jpg,阿Q正传, ,8.8,75959人,鲁迅 著、丰子恺 绘 / 上海书店出版社 / 2003-7 / 14.50元,《阿Q正传》讲述值此世纪末，衷心祈愿这里所议论的人物在下一世纪的中国现实生活中淡出；当然，作为光辉的典型人物，他将和哈姆雷特、唐·吉诃德等不朽的名字一样万古... ,鲁迅 著&丰子恺 绘,鲁迅&阿Q正传&中国文学&小说&经典&人性&现代文学&文学,上海书店出版社
https://book.douban.com/subject/35556972/,https://img3.doubanio.com/view/subject/s/public/s33964070.jpg,明暗之间,鲁迅传,7.7,512人,[日] 丸尾常喜 / 陈青庆 / 上海人民出版社·光启书局 / 2021-8 / 69.00,暂无,丸尾常喜,鲁迅&传记&日本&文学研究&文学&中国&历史&近代史,上海人民出版社
https://book.douban.com/subject/1974029/,https://img3.doubanio.com/view/subject/s/public/s2128420.jpg,坟, ,9.6,8496人,鲁迅 / 人民文学出版社 / 2006-12 / 16.00元,《坟》收作者1907年至1925年所作论文二十三篇。1927年3月由北京未名社初版，1929年3月第二次印刷时曾经作者校订。1930年4月第三次印刷改由上海... ,鲁迅,鲁迅&杂文&中国文学&思想&文学&经典&现当代文学&现代文学,人民文学出版社
https://book.douban.com/subject/1157014/,https://img1.doubanio.com/view/subject/s/public/s26366688.jpg,伤逝, ,8.8,7299人,鲁迅 / 中国青年出版社 / 2004-1-1 / 19.50元,暂无,鲁迅,鲁迅&爱情&中国文学&小说&经典&现代文学&文学&中国,中国青年出版社
https://book.douban.com/subject/26697791/,https://img9.doubanio.com/view/subject/s/public/s28373574.jpg,鲁迅杂文集,1918-1936精选,9.3,2366人,鲁迅 / 天津人民出版社 / 2015-12 / 32.00元,暂无,鲁迅,鲁迅&杂文&中国文学&经典&文学&随笔&中国,天津人民出版社
https://book.douban.com/subject/1203363/,https://img9.doubanio.com/view/subject/s/public/s9069944.jpg,中国小说史略, ,9.3,6377人,鲁迅 / 上海古籍出版社 / 1998-01-01 / 12.90,《中国小说史略》为鲁迅先生编撰的中国第一部小说史专著。《中国小说史略》共有二十八篇，叙述中国古代小说发生、发展、演变过程，始于神话与传说，迄于清末谴责小说。... ,鲁迅,鲁迅&小说史&文学史&文学研究&文艺理论&中国文学&文学&小说,上海古籍出版社
