书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/24531956/,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg,哈利·波特, ,9.7,64635人,J.K.罗琳 (J.K.Rowling) / 苏农、马爱农、马爱新 / 人民文学出版社 / 2008-12-1 / 498.00元,暂无,J.K.罗琳,魔法&哈利波特&J.K.罗琳&奇幻&经典&HarryPotter&成长&英国,人民文学出版社
https://book.douban.com/subject/1041007/,https://img2.doubanio.com/view/subject/s/public/s1557671.jpg,哈利·波特与魔法石, ,9.1,182311人,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,一岁的哈利・波特失去父母后，神秘地出现在姨父姨妈家的门前。哈利在姨父家饱受欺凌，度过十年极其痛苦的日子。姨父和姨妈好似凶神恶煞，他们那混世魔王儿子达力――一... ,J. K. 罗琳,J.K.罗琳&哈利波特&魔幻&小说&英国&哈利·波特&哈利・波特&外国文学,人民文学出版社
https://book.douban.com/subject/35096293/,https://img1.doubanio.com/view/subject/s/public/s34060508.jpg,平安小猪, ,8.5,601人,[英] J.K.罗琳 著、[英] 吉姆·菲尔德 绘 / 王梦达 / 新星出版社 / 2021-12-1 / 68,男孩杰克有一个心爱的伙伴——玩偶小猪嘟嘟。嘟嘟和杰克有数不清的开心回忆，更重要的是，嘟嘟陪伴他度过了那些难熬的伤心时刻，懂得杰克说不出口的每一个烦恼。然而意... ,J.K.罗琳 著&吉姆·菲尔德 绘,儿童文学&英国&治愈&圣诞&小说&J.K.罗琳&哈利波特&爱心树童书,新星出版社
https://book.douban.com/subject/2295163/,https://img1.doubanio.com/view/subject/s/public/s2752367.jpg,哈利·波特与死亡圣器, ,9.0,104471人,[英] J. K. 罗琳 / 马爱农、马爱新 / 人民文学出版社 / 2007-10 / 66.00元,暂无,J. K. 罗琳,哈利波特&J.K.罗琳&魔幻&小说&英国&HarryPotter&哈利·波特&外国文学,人民文学出版社
https://book.douban.com/subject/1009257/,https://img9.doubanio.com/view/subject/s/public/s1072746.jpg,哈利·波特与火焰杯, ,9.0,129388人,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元,暂无,J. K. 罗琳,哈利波特&J.K.罗琳&魔幻&小说&英国&哈利・波特&外国文学&HarryPotter,人民文学出版社
https://book.douban.com/subject/1071241/,https://img9.doubanio.com/view/subject/s/public/s1074376.jpg,哈利·波特与阿兹卡班的囚徒, ,9.0,134639人,[英] J. K. 罗琳 / 郑须弥 / 人民文学出版社 / 2000-9 / 26.50元,暂无,J. K. 罗琳,哈利波特&J.K.罗琳&魔幻&小说&英国&哈利·波特&外国文学&HarryPotter,人民文学出版社
https://book.douban.com/subject/1039487/,https://img2.doubanio.com/view/subject/s/public/s1557672.jpg,哈利·波特与密室, ,8.9,130523人,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2000-9 / 22.00元,暂无,J. K. 罗琳,哈利波特&J.K.罗琳&魔幻&小说&英国&哈利·波特&外国文学&HarryPotter,人民文学出版社
https://book.douban.com/subject/1432596/,https://img2.doubanio.com/view/subject/s/public/s1447381.jpg,哈利·波特与混血王子, ,8.9,112776人,[英] J. K. 罗琳 / 马爱农、马爱新 / 人民文学出版社 / 2005-10 / 58.00元,暂无,J. K. 罗琳,哈利波特&J.K.罗琳&魔幻&小说&英国&哈利·波特&哈利・波特&外国文学,人民文学出版社
https://book.douban.com/subject/1013129/,https://img2.doubanio.com/view/subject/s/public/s1822013.jpg,哈利·波特与凤凰社, ,8.7,109578人,[英] J. K. 罗琳 / 马爱农、马爱新、蔡文 / 人民文学出版社 / 2003-9 / 59.00元,暂无,J. K. 罗琳,哈利波特&J.K.罗琳&魔幻&小说&英国&哈利・波特&HarryPotter&外国文学,人民文学出版社
https://book.douban.com/subject/26871656/,https://img3.doubanio.com/view/subject/s/public/s29121750.jpg,哈利·波特与被诅咒的孩子, ,7.2,7361人,[英] 约翰·蒂法尼、杰克·索恩、J.K.罗琳 / 马爱农 / 人民文学出版社 / 2016-10 / 69.00元,身为“大难不死的男孩”，哈利•波特一直生活得很艰难。如今他是一个超负荷工作的魔法部雇员，一个已婚男人，三个学龄孩子的父亲，日子过得并不轻松，与小儿子阿不思之... ,约翰·蒂法尼&杰克·索恩&J.K.罗琳,哈利波特&J.K.罗琳&HarryPotter&英国&奇幻&剧本&小说&外国文学,人民文学出版社
https://book.douban.com/subject/34988624/,https://img3.doubanio.com/view/subject/s/public/s33590630.jpg,哈利•波特,15周年纪念版,9.3,266人,[英] J. K. 罗琳 / 苏农，马爱农，马爱新 / 人民文学出版社 / 2014-9 / 345,暂无,J. K. 罗琳,哈利波特&HarryPotter&魔法&英国&J.K.罗琳&想象&西方文学&纸书,人民文学出版社
https://book.douban.com/subject/26984868/,https://img9.doubanio.com/view/subject/s/public/s29443244.jpg,神奇动物在哪里, ,8.2,913人,[英] J. K. 罗琳 / 马爱农、马珈 / 人民文学出版社 / 2017-4 / 58,暂无,J. K. 罗琳,J.K.罗琳&剧本&HarryPotter&英国&奇幻&J.K.Rowling&英国文学&魔幻,人民文学出版社
https://book.douban.com/subject/27045883/,https://img9.doubanio.com/view/subject/s/public/s29619724.jpg,哈利·波特,典藏版,9.6,609人,J.K.罗琳 / 马爱农、马爱新、苏农 / 人民文学出版社 / 2017-9-1 / CNY 648.00,时隔九年，人民文学出版社隆重推出新版的精装《哈利·波特：典藏版》（全七册），此套典藏版《哈利·波特》采用了官方新版封面，由罗琳指定的英国新锐设计师奥利·莫斯... ,J.K.罗琳,哈利波特&J.K.罗琳&HarryPotter&奇幻&小说&外国文学&青春文学&英国,人民文学出版社
https://book.douban.com/subject/19898714/,https://img2.doubanio.com/view/subject/s/public/s23115131.jpg,偶发空缺, ,7.6,4953人,[英] J. K. 罗琳 / 任战、向丁丁 / 人民文学出版社 / 2012-10 / 57.00元,巴里•菲尔布拉泽在高尔夫俱乐部外的猝死掀起了帕格镇的轩然大波。以镇上第一家庭自居的莫里森家自然视空出来的议席为囊中物，可惜其他人并不这样想。整天在家里打老婆... ,J. K. 罗琳,J.K.罗琳&小说&英国文学&英国&外国文学&悬疑&2012&文学,人民文学出版社
https://book.douban.com/subject/26126497/,https://img1.doubanio.com/view/subject/s/public/s28939848.jpg,哈利·波特与密室, ,9.1,1280人,J.K.罗琳 (J.K.Rowling) / 马爱新 / 人民文学出版社 / 2000-9-1 / CNY 32.00,哈利在霍格沃茨魔法学校的第二个学年充满了新的苦恼和恐怖，包括一位极为自命不凡的新教授吉德罗·洛哈特；一个时常在女生盥洗室中出没的幽灵“哭泣的桃金娘”；还有他... ,J.K.罗琳,哈利·波特&J.K.罗琳&英国文学&魔幻&英国&小说&奇幻&奇幻小说,人民文学出版社
https://book.douban.com/subject/25697249/,https://img9.doubanio.com/view/subject/s/public/s27303174.jpg,哈利•波特电影魔法书, ,9.6,608人,布莱恩•西布利 (Brian Sibely) / 人民邮电出版社 / 2013-7-1 / CNY 198.00,把你自己沉浸在壮丽的《哈利·波特》系列电影的世界里，了解为什么圣诞舞会上的冰雕永不融化，真正是在哪里铸造的加隆、西可和纳特魔法币，怎样让一头鹰头马身有翼兽与... ,布莱恩•西布利,HarryPotter&哈利·波特&英国&哈利波特&电影&J.K.罗琳&外国文学&HP,人民邮电出版社
https://book.douban.com/subject/1028779/,https://img9.doubanio.com/view/subject/s/public/s1230936.jpg,神奇动物在哪里, ,8.1,3696人,[英] 纽特·斯卡曼 / 一目 / 人民文学出版社 / 2001-10 / 3.50元,在这个国家，几乎每一户巫师都有一本《神奇动物在哪里》。现在，麻瓜们也有机会弄清楚这样一些问题：五足怪生活在哪里？蒲绒绒吃什么东西？为什么最好不要把牛奶留在屋... ,纽特·斯卡曼,哈利波特&J.K.罗琳&英国&HarryPotter&魔幻&哈利・波特&奇幻&外国文学,人民文学出版社
https://book.douban.com/subject/30282484/,https://img9.doubanio.com/view/subject/s/public/s29827695.jpg,霍格沃茨不完全不靠谱指南, ,7.3,310人,[英] J. K. 罗琳 / Pottermore / 2016-12-9,“魔法部强烈地认为，要在伦敦市中心建造一个额外的巫师车站，此举只会强化麻瓜们刻意无视魔法的决心（原本就已经够臭名昭彰了），即便魔法现象在他们面前大量涌现也一... ,J. K. 罗琳,J.K.罗琳&哈利波特&哈利·波特&英国&魔幻&小说&魔法&英国文学,Pottermore
https://book.douban.com/subject/26126183/,https://img2.doubanio.com/view/subject/s/public/s28357551.jpg,哈利·波特与魔法石（纪念版）, ,9.2,2271人,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9-1 / CNY 29.00,暂无,J. K. 罗琳,哈利·波特&J.K.罗琳&英国文学&魔幻&奇幻&小说&奇幻小说&成长,人民文学出版社
https://book.douban.com/subject/1341752/,https://img9.doubanio.com/view/subject/s/public/s2352105.jpg,Harry Potter And The Chamber Of Secrets, ,9.2,3770人,J. K. Rowling / Scholastic Paperbacks / 2000-9-1 / USD 10.99,"In one of the most hotly anticipated sequels in memory,  J.K. Rowling takes up... ",J. K. Rowling,HarryPotter&英文原版&J.K.Rowling&小说&英国&魔幻&哈利波特&英文,Scholastic Paperbacks
https://book.douban.com/subject/26126139/,https://img2.doubanio.com/view/subject/s/public/s29552302.jpg,哈利·波特与火焰杯, ,9.3,1046人,J.K.罗琳 (J.K.Rowling) / 马爱新 / 人民文学出版社 / 2001-5-1 / CNY 56.00,哈利想要逃离恶毒的德思礼一家，还想和赫敏、罗恩还有韦斯莱一家去看魁地奇世界杯赛。他总是希望见到秋·张，一个他暗恋的女孩，渴望与她走进一个美丽的故事，他想搞清... ,J.K.罗琳,哈利·波特&J.K.罗琳&英国文学&英国&小说&魔幻&奇幻小说&奇幻,人民文学出版社
https://book.douban.com/subject/3338175/,https://img2.doubanio.com/view/subject/s/public/s3530102.jpg,诗翁彼豆故事集,赫敏·格兰杰译自如尼文,8.0,5544人,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2008-12 / 18.00元,《诗翁彼豆故事集》故事情节与《哈利·波特》紧密相关又独立成篇。它是《哈利·波特与死亡圣器》中霍格沃茨魔法学校校长邓布利多留给赫敏的一本书。这本故事集由《巫师... ,J. K. 罗琳,J.K.罗琳&HarryPotter&英国&童话&哈利波特&哈利·波特&魔幻&小说,人民文学出版社
https://book.douban.com/subject/26126545/,https://img2.doubanio.com/view/subject/s/public/s33452632.jpg,哈利·波特与死亡圣器, ,9.4,1140人,J.K.罗琳 (J.K.Rowling) / 马爱农、马爱新 / 人民文学出版社 / 2007-10-1 / CNY 66.00,暂无,J.K.罗琳,哈利·波特&J.K.罗琳&魔幻&英国&英国文学&奇幻小说&奇幻&小说,人民文学出版社
https://book.douban.com/subject/26260838/,https://img1.doubanio.com/view/subject/s/public/s27976688.jpg,Harry Potter and the Philosopher's Stone,1/7,9.5,749人,[英] J·K·罗琳 / Bloosbury Publishing Plc / 2014-9 / GBP 7.99,Harry Potter has never even heard of Hogwarts when the letters start dropping ... ,J·K·罗琳,英文原版&HarryPotter&J.K.罗琳&奇幻&小说&英国&哈利·波特&英语原版,Bloosbury Publishing Plc
https://book.douban.com/subject/1340758/,https://img9.doubanio.com/view/subject/s/public/s1815446.jpg,Harry Potter and the Sorcerer's Stone, ,9.3,6391人,J.K. Rowling / Scholastic Paperbacks / 1999-9 / USD 10.99,Harry Potter has never played a sport while flying on a broomstick. He's never... ,J.K. Rowling,HarryPotter&英文原版&小说&J.K.Rowling&英国&英文&魔幻&哈利波特,Scholastic Paperbacks
https://book.douban.com/subject/26126498/,https://img1.doubanio.com/view/subject/s/public/s29552298.jpg,哈利·波特与阿兹卡班囚徒, ,9.3,1147人,J.K.罗琳 (Rowling J.K.) / 马爱农、马爱新 / 人民文学出版社 / 2009-4-1 / CNY 36.00,十二年来，在令人恐惧的要塞阿兹卡班，一直关押着一个著名的囚犯，名叫小天狼星布莱克。他的罪名是用一句咒语杀害了十三个人，据说他还是伏地魔的忠实追随者，哈利的父... ,J.K.罗琳,哈利·波特&J.K.罗琳&英国&奇幻&英国文学&魔幻&小说&儿童文学,人民文学出版社
https://book.douban.com/subject/26126522/,https://img3.doubanio.com/view/subject/s/public/s29552300.jpg,"哈利·波特与""混血王子""", ,9.3,917人,J.K.罗琳 (J.K.Rowling) / 马爱农、马爱新 / 人民文学出版社 / 2005-10-1 / CNY 58.00,暂无,J.K.罗琳,哈利·波特&J.K.罗琳&魔幻&英国&小说&英国文学&奇幻小说&奇幻,人民文学出版社
https://book.douban.com/subject/25840545/,https://img2.doubanio.com/view/subject/s/public/s27264313.jpg,布谷鸟的呼唤, ,7.1,2892人,(英)罗伯特·加尔布雷思 / 梅静、楼武挺 / 人民文学出版社 / 2014-4-26 / 49.00元,暂无,罗伯特·加尔布雷思,推理&J.K.罗琳&英国&小说&悬疑-推理&悬疑&外国文学&英国文学,人民文学出版社
https://book.douban.com/subject/27594566/,https://img9.doubanio.com/view/subject/s/public/s29738405.jpg,诗翁彼豆故事集,插图版,8.9,347人,[英]J.K.罗琳 / 马爱农 / 人民文学出版社 / 2018-3,《诗翁彼豆故事集》是J.K.罗琳撰写的一本童话故事集，故事情节与小说“哈利·波特”系列紧密相关又独立成篇。它是《哈利·波特与死亡圣器》中霍格沃茨魔法学校校长... ,J.K.罗琳,哈利波特&J.K.罗琳&魔法&童话&英国&奇幻&魔幻&童书,人民文学出版社
