书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1060068/,https://img2.doubanio.com/view/subject/s/public/s1369343.jpg,撒哈拉的故事, ,9.2,131625人,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,三毛作品中最脍炙人口的《撒哈拉的故事》，由12篇精彩动人的散文结合而成，其中《沙漠中的饭店》，是三毛适应荒凉单调的沙漠生活后，重新拾笔的第一篇文字，自此之后... ,三毛,三毛&撒哈拉的故事&随笔&散文&游记&旅行&爱情&文学,哈尔滨出版社
https://book.douban.com/subject/35582002/,https://img2.doubanio.com/view/subject/s/public/s33983731.jpg,我的灵魂骑在纸背上, ,8.7,874人,三毛 / 南海出版公司 / 2021-10 / 49.00,暂无,三毛,三毛&书信&随笔&散文&文学&中国文学&现当代文学&新经典,南海出版公司
https://book.douban.com/subject/2070844/,https://img2.doubanio.com/view/subject/s/public/s2393243.jpg,梦里花落知多少, ,8.8,89609人,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,暂无,三毛,三毛&梦里花落知多少&散文&这样一个神奇女子&随笔&台湾&中国文学&文学,北京十月文艺出版社
https://book.douban.com/subject/26997048/,https://img3.doubanio.com/view/subject/s/public/s29401350.jpg,撒哈拉的故事, ,9.2,11609人,三毛 / 北京十月文艺出版社 / 2017-3 / 35.00元,暂无,三毛,三毛&自由&撒哈拉&旅行&随笔&爱情&女性&勇敢,北京十月文艺出版社
https://book.douban.com/subject/6710437/,https://img2.doubanio.com/view/subject/s/public/s6780941.jpg,撒哈拉的故事, ,9.3,59284人,三毛 / 北京十月文艺出版社 / 2011-1-7 / 24.00元,暂无,三毛,三毛&撒哈拉的故事&旅行&生活&沙漠&生命&散文&中国文学,北京十月文艺出版社
https://book.douban.com/subject/1029111/,https://img9.doubanio.com/view/subject/s/public/s1020454.jpg,哭泣的骆驼, ,8.9,52147人,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,在《哭泣的骆驼》中，三毛依然恋恋着墨沙漠生活周遭的人与事，《收魂记》、《搭车客》、《逍遥七岛游》、《一个陌生人的死》、《大胡子与我》等篇，情趣盎然；《沙巴军... ,三毛,三毛&哭泣的骆驼&散文&流浪&台湾&游记&沙漠&中国文学,哈尔滨出版社
https://book.douban.com/subject/1036490/,https://img2.doubanio.com/view/subject/s/public/s1099483.jpg,万水千山走遍, ,8.8,41191人,三毛 / 哈尔滨出版社 / 2003-08 / 13.80,大地啊，我来到你岸上时原是一个陌生人，住在你房子里时原是一个旅客，而今我离开你的门时却是一个朋友了。 当飞机降落在墨西哥首都的机场时，我的体力已经透支得几乎... ,三毛,三毛&万水千山走遍&旅行&散文&游记&随笔&流浪&台湾,哈尔滨出版社
https://book.douban.com/subject/2136140/,https://img1.doubanio.com/view/subject/s/public/s2563279.jpg,雨季不再来, ,8.7,49181人,三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元,《雨季不再来》以三毛的生命历程为主题，记录了三毛17岁到22岁的成长过程，真实呈现出三毛少女时代的成长感受，辍学、自闭、叛逆，游学西班牙、德国、美国后，渐渐... ,三毛,三毛&雨季不再来&散文&成长&随笔&青春&台湾&中国文学,北京十月文艺出版社
https://book.douban.com/subject/2068249/,https://img1.doubanio.com/view/subject/s/public/s2391798.jpg,温柔的夜, ,9.1,20176人,三毛 / 北京十月文艺出版社 / 2007-5 / 28.00元,《温柔的夜》记录了三毛在加纳利群岛的生活，共十四篇。 ,三毛,三毛&温柔的夜&散文&随笔&流浪&台湾&文学&中国文学,北京十月文艺出版社
https://book.douban.com/subject/1361264/,https://img2.doubanio.com/view/subject/s/public/s3563113.jpg,撒哈拉的故事, ,9.0,190658人,三毛 / 皇冠出版社 / 1976 / 160 TWD,暂无,三毛,三毛&撒哈拉的故事&旅行&随笔&散文&爱情&文学&生活,皇冠出版社
https://book.douban.com/subject/26995850/,https://img9.doubanio.com/view/subject/s/public/s29398175.jpg,雨季不再来, ,8.5,2780人,三毛 / 北京十月文艺出版社 / 2017-3 / 35,暂无,三毛,三毛&成长&散文&随笔&散文随笔&中国文学&台湾,北京十月文艺出版社
https://book.douban.com/subject/6558707/,https://img2.doubanio.com/view/subject/s/public/s6876752.jpg,梦里花落知多少, ,9.0,12831人,三毛 / 北京十月文艺出版社 / 2011-7-1 / 24.00元,书中先是记录了三毛与荷西在撒哈拉沙漠结婚，白手成家的生活，而此时她的文学创作生涯也随之开启；后来移居加纳利群岛后，三毛的生活渐趋安定，她的创作也达到了很高的... ,三毛,三毛&散文&梦里花落知多少&台湾&散文随笔杂文&随笔&中国文学&echo,北京十月文艺出版社
https://book.douban.com/subject/3607117/,https://img1.doubanio.com/view/subject/s/public/s3667048.jpg,稻草人手记, ,8.9,18173人,三毛 / 北京十月文艺出版社 / 2009-3 / 18.00元,暂无,三毛,三毛&散文&稻草人手记&随笔&台湾&中国文学&散文杂文随笔&文学,北京十月文艺出版社
https://book.douban.com/subject/26997185/,https://img1.doubanio.com/view/subject/s/public/s29401599.jpg,亲爱的三毛, ,8.9,1982人,三毛 / 北京十月文艺出版社 / 2017-3 / 32,暂无,三毛,三毛&书信&亲爱的三毛&随笔&散文&中国文学&态度&台湾,北京十月文艺出版社
https://book.douban.com/subject/26995854/,https://img9.doubanio.com/view/subject/s/public/s29398184.jpg,稻草人手记, ,8.6,1718人,三毛 / 北京十月文艺出版社 / 2017-3 / 32,暂无,三毛,三毛&随笔&散文&女性&文学&稻草人手记&成长&爱情,北京十月文艺出版社
https://book.douban.com/subject/26997095/,https://img2.doubanio.com/view/subject/s/public/s29401511.jpg,温柔的夜, ,8.7,1601人,三毛 / 北京十月文艺出版社 / 2017-3 / 35,暂无,三毛,三毛&散文&随笔&旅行&文学&女性&中国&台湾,北京十月文艺出版社
https://book.douban.com/subject/26997078/,https://img9.doubanio.com/view/subject/s/public/s29401475.jpg,梦里花落知多少, ,8.7,2373人,三毛 / 北京十月文艺出版社 / 2017-3 / 35.00元,暂无,三毛,三毛&散文&随笔&悲伤&心灵&爱情&中国文学&中国当代文学,北京十月文艺出版社
https://book.douban.com/subject/25803923/,https://img9.doubanio.com/view/subject/s/public/s27203704.jpg,你是我不及的梦, ,7.8,4955人,三毛 / 北京十月文艺出版社 / 2014-1 / 29.50元,暂无,三毛,三毛&散文随笔&散文&随笔&台湾&文学&中国文学&文集,北京十月文艺出版社
https://book.douban.com/subject/6558706/,https://img2.doubanio.com/view/subject/s/public/s27756542.jpg,温柔的夜, ,8.9,7104人,三毛 / 北京十月文艺出版社 / 2011-7-1 / 24.00元,暂无,三毛,三毛&散文&随笔&生活&台湾&游记&流浪&中国文学,北京十月文艺出版社
https://book.douban.com/subject/6558705/,https://img2.doubanio.com/view/subject/s/public/s6565841.jpg,雨季不再来, ,8.6,10530人,三毛 / 北京十月文艺出版社 / 2011-7-1 / 24.00元,当三毛还是二毛的时候，她写下了《雨季不再来》，这些在她17~22岁之间所发表的文字，真实地呈现出从青涩敏感的二毛，蜕变为智慧成熟的三毛的成长的过程。而《雨季... ,三毛,三毛&散文&随笔&雨季不再来&回忆&台湾&中国文学&散文随笔杂文,北京十月文艺出版社
https://book.douban.com/subject/6558708/,https://img9.doubanio.com/view/subject/s/public/s6565844.jpg,稻草人手记, ,8.9,7054人,三毛 / 北京十月文艺出版社 / 2011-7-1 / 22.00元,《稻草人手记》记录的是三毛定居加纳利岛后生活中的点点滴滴，语言朴实、简单，其中的情趣与无奈，朴实而谐趣，令人笑叹。也许，正是这样简简单单的生活，才给了三毛无... ,三毛,三毛&散文&随笔&生活&旅行&台湾&中国文学&文学,北京十月文艺出版社
https://book.douban.com/subject/26995855/,https://img1.doubanio.com/view/subject/s/public/s29398187.jpg,万水千山走遍, ,8.2,1220人,三毛 / 北京十月文艺出版社 / 2017-3 / 35,暂无,三毛,三毛&旅行&游记&散文&随笔&女性&中国文学&灵魂,北京十月文艺出版社
https://book.douban.com/subject/1082399/,https://img1.doubanio.com/view/subject/s/public/s2142139.jpg,闹学记, ,8.6,11673人,三毛 / 哈尔滨出版社 / 2003-08 / 16.60,如果你看过《雨季不再业》、《撒哈拉的故事》，以及《背影》这三个阶段的三毛，你必须再看一本属于“后三毛时期”的《闹学记》，三毛以最新的文风与对真实生活的见证，... ,三毛,三毛&闹学记&散文&台湾&随笔&中国文学&文学&小说,哈尔滨出版社
https://book.douban.com/subject/6815827/,https://img9.doubanio.com/view/subject/s/public/s24927565.jpg,我的宝贝, ,8.3,4355人,三毛 / 北京十月文艺出版社 / 2011-9 / 32.00元,《三毛全集:我的宝贝》收录三毛走遍万水千山收集的86件宝贝的来历故事及全部精美照片。这些宝贝的价格也许不能用金钱来衡量，但是作者却深深地爱着它们……所有宝贝... ,三毛,三毛&随笔&生活&台湾&旅行&散文&文学&博物,北京十月文艺出版社
https://book.douban.com/subject/6558709/,https://img2.doubanio.com/view/subject/s/public/s27400941.jpg,万水千山走遍, ,8.6,8286人,三毛 / 北京十月文艺出版社 / 2011-7-1 / 24.00元,主要记录了她在中南美洲和祖国大陆的游历见闻和感受，作为读者，我们不妨跟随她的脚步，也做一次纸上的旅行。书中叙写了墨西哥之行、洪都拉斯之行、巴拿马之行等等，旅... ,三毛,三毛&旅行&散文&随笔&游记&台湾&散文随笔杂文&人生,北京十月文艺出版社
https://book.douban.com/subject/3698398/,https://img1.doubanio.com/view/subject/s/public/s3752378.jpg,万水千山走遍, ,9.0,6654人,三毛 / 北京十月文艺出版社 / 2009-4 / 20.00元,《万水千山走遍》内容为：三毛一生足迹遍布世界各地，《万水千山走遍》主要记录了她在中南美洲和祖国大陆的游历见闻和感受，作为读者，我们不妨跟随她的脚步，也做一次... ,三毛,三毛&旅行&散文&万水千山走遍&随笔&台湾&中国文学&三毛echo,北京十月文艺出版社
