书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/10554308/,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,白夜行, ,9.1,378445人,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,暂无,东野圭吾,东野圭吾&悬疑推理&日系推理&推理&日本文学&日本&模糊式爱情&小说,南海出版公司
https://book.douban.com/subject/26877752/,https://img9.doubanio.com/view/subject/s/public/s29069735.jpg,恶意, ,8.7,72084人,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11-1 / 39.50元,《恶意》是东野圭吾挑战写作极限的长篇杰作，与《白夜行》《嫌疑人X的献身》《解忧杂货店》并称东野圭吾四大杰作。《恶意》深刻揭示人性，故事中无边的恶意深不见底，... ,东野圭吾,东野圭吾&推理&悬疑&日本推理&日本&悬疑推理&日本文学&小说,南海出版公司
https://book.douban.com/subject/25862578/,https://img2.doubanio.com/view/subject/s/public/s27264181.jpg,解忧杂货店, ,8.5,708200人,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,暂无,东野圭吾,东野圭吾&治愈&温暖&小说&日本&日本文学&東野圭吾&推理,南海出版公司
https://book.douban.com/subject/3259440/,https://img2.doubanio.com/view/subject/s/public/s4610502.jpg,白夜行, ,9.1,488391人,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,“只希望能手牵手在太阳下散步”，这个象征故事内核的绝望念想，有如一个美丽的幌子，随着无数凌乱、压抑、悲凉的故事片段像纪录片一样一一还原：没有痴痴相思，没有海... ,东野圭吾,东野圭吾&東野圭吾&推理&悬疑&日本&推理小说&人性&日本文学,南海出版公司
https://book.douban.com/subject/25924253/,https://img2.doubanio.com/view/subject/s/public/s27676061.jpg,嫌疑人X的献身, ,9.0,84360人,[日]东野圭吾 / 刘子倩 / 南海出版公司 / 2014-6-1 / 35.00元,暂无,东野圭吾,东野圭吾&推理&悬疑&嫌疑人X的献身&日本&爱情&日系推理&日本文学,南海出版公司
https://book.douban.com/subject/3211779/,https://img9.doubanio.com/view/subject/s/public/s3254244.jpg,嫌疑人X的献身, ,8.9,474116人,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,暂无,东野圭吾,东野圭吾&推理&推理小说&悬疑&日本&東野圭吾&日本文学&小说,南海出版公司
https://book.douban.com/subject/35479856/,https://img3.doubanio.com/view/subject/s/public/s33919720.jpg,无名之町, ,6.6,4005人,[日本] 东野圭吾 / 王小燕 / 南海出版公司 / 2021-7 / 59.00元,暂无,东野圭吾,东野圭吾&日系推理&悬疑推理&推理&日本&2021&小说&日本文学,南海出版公司
https://book.douban.com/subject/26639966/,https://img3.doubanio.com/view/subject/s/public/s28363320.jpg,新参者, ,8.2,38965人,[日] 东野圭吾 / 岳远坤 / 南海出版公司 / 2016-1 / 39.50,暂无,东野圭吾,东野圭吾&温暖&治愈&推理小说&推理&加贺恭一郎&日本&日本文学,南海出版公司
https://book.douban.com/subject/27102207/,https://img1.doubanio.com/view/subject/s/public/s29516909.jpg,放学后, ,7.4,16866人,[日]东野圭吾 / 赵峻 / 南海出版公司 / 2017-9 / 45,暂无,东野圭吾,东野圭吾&悬疑&推理&推理小说&日本&日本文学&小说&好书，值得一读,南海出版公司
https://book.douban.com/subject/26651926/,https://img1.doubanio.com/view/subject/s/public/s28373307.jpg,红手指, ,8.0,25020人,[日] 东野圭吾 / 于壮 / 南海出版公司 / 2015-1 / 39.50,暂无,东野圭吾,东野圭吾&亲情&加贺恭一郎&推理&日系推理&日本&犯罪&小说,南海出版公司
https://book.douban.com/subject/3646172/,https://img9.doubanio.com/view/subject/s/public/s3814606.jpg,恶意, ,8.5,225329人,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00,暂无,东野圭吾,东野圭吾&推理&日本&悬疑&推理小说&人性&東野圭吾&小说,南海出版公司
