书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/30214972/,https://img1.doubanio.com/view/subject/s/public/s29761168.jpg,流金岁月, ,7.8,2701人,亦舒 / 湖南文艺出版社 / 2018-4-1 / 43.80元,暂无,亦舒,亦舒&女性&小说&情感&文学&生活&香港&言情,湖南文艺出版社
https://book.douban.com/subject/2022979/,https://img1.doubanio.com/view/subject/s/public/s5813979.jpg,喜宝, ,7.9,68336人,亦舒 / 新世界出版社 / 2007-2 / 22.00元,读书就是这样好，无论心不在焉，板着长脸，只要考试及格，就是一个及格的人。你试着拉长脸到社会去试一试。这是一个卖笑的社会。除非能够找到高贵的职业，而高贵的职业... ,亦舒,亦舒&喜宝&小说&爱情&香港&金钱&成长&言情,新世界出版社
https://book.douban.com/subject/1046172/,https://img2.doubanio.com/view/subject/s/public/s1259751.jpg,流金岁月, ,8.3,13022人,（香港）亦舒 / 海天出版社 / 1998-06-01 / 9.80元,朱锁锁和蒋南孙是一对挚友。投入社会后，朱锁锁在红尘中起伏，凭着才智和相貌很快发达起来，蒋南孙则成为一个出色的白领丽人。人事沧桑，岁月无情，她们遍尝了生活的个... ,亦舒,亦舒&流金岁月&小说&友情&女性&香港&爱情&师太,海天出版社
https://book.douban.com/subject/2230208/,https://img1.doubanio.com/view/subject/s/public/s2720819.jpg,我的前半生, ,7.9,27620人,亦舒 / 新世界出版社 / 2007-8 / 22.00元,一个三十几岁的美丽女人子君，在家做全职家庭主妇。却被一个平凡女人夺走丈夫，一段婚姻的失败，让女主角不得不坚强，变得更美丽，有了事业，最终遇见一个更值得爱的男... ,亦舒,亦舒&我的前半生&小说&女性&爱情&香港&言情&成长,新世界出版社
https://book.douban.com/subject/2115040/,https://img1.doubanio.com/view/subject/s/public/s5821967.jpg,玫瑰的故事, ,7.9,14285人,亦舒 / 新世界出版社 / 2007-5 / 25.00元,黄玫瑰因美貌而追求者不断，并给她带来诸多烦恼。当她将自己的感情倾注于庄国栋时，庄却绝情而去。极度悲伤的玫瑰赴美留学，并与方协文结婚。十年后，玫瑰与丈夫离婚，... ,亦舒,亦舒&小说&玫瑰的故事&爱情&香港&言情&师太&女性,新世界出版社
https://book.douban.com/subject/4160236/,https://img1.doubanio.com/view/subject/s/public/s4375627.jpg,叹息桥, ,7.3,2227人,亦舒 / 中国妇女出版社 / 2009-11 / 20.00元,《叹息桥》由亦舒所著。《叹息桥》主要内容包括：人生就像一座桥，我们自彼处来，往那头去，一边走，一边不住叹息，因恨事太多。这是一座横跨于市政厅宫殿东侧与监狱之... ,亦舒,亦舒&小说&香港&爱情&师太&言情&中国文学&女性,中国妇女出版社
https://book.douban.com/subject/27084267/,https://img9.doubanio.com/view/subject/s/public/s29490264.jpg,喜宝, ,6.9,1957人,亦舒 / 湖南文艺出版社 / 2017-7 / 39.00元,亦舒“独家畅销·旧欢如梦辑”收录了亦舒ZUI经典、ZUI知名的5部作品，包括《喜宝》《我的前半生》《玫瑰的故事》《圆舞》《人淡如菊》。该套书经独家授权，进行... ,亦舒,亦舒&小说&香港&爱情&喜宝&情感&现代文学&情感小说,湖南文艺出版社
https://book.douban.com/subject/1470158/,https://img9.doubanio.com/view/subject/s/public/s1488134.jpg,圆舞, ,8.0,14268人,[加] 亦舒 / 南海出版公司 / 2002-10 / 17.00元,周承钰被父母抛弃后，傅于琛收其为义女，但两人间的感情却是微妙万千。傅一方面对承钰万分关注，一方面不停地结交女友，甚至两次结婚。承钰则牢记傅教给她的圆舞规则，... ,亦舒,亦舒&小说&圆舞&爱情&香港&言情&情感&师太,南海出版公司
https://book.douban.com/subject/3073494/,https://img2.doubanio.com/view/subject/s/public/s5901921.jpg,人淡如菊, ,7.4,11342人,[加] 亦舒 / 新世界出版社 / 2008-5 / 19.00元,暂无,亦舒,亦舒&人淡如菊&小说&香港&爱情&言情&师太&中国文学,新世界出版社
https://book.douban.com/subject/27084291/,https://img3.doubanio.com/view/subject/s/public/s29490290.jpg,圆舞, ,6.8,598人,亦舒 / 湖南文艺出版社 / 2017-7 / 39.00,亦舒“独家畅销 旧欢如梦辑”收录了亦舒ZUI经典、ZUI知名的5部作品，包括《喜宝》《我的前半生》《玫瑰的故事》《圆舞》《人淡如菊》。该套书经独家授权，进行... ,亦舒,亦舒&小说&爱情&情感&香港&言情小说&中国&2017,湖南文艺出版社
https://book.douban.com/subject/2284090/,https://img2.doubanio.com/view/subject/s/public/s2755962.jpg,开到荼蘼, ,7.5,12318人,亦舒 / 新世界出版社 / 2007-9 / 18.00元,人和本性，也许不会变，但观点、嗜好、习惯、品味，这些都随时日成熟，留于原地不长大是极其可怕的一件事。每一段感情都是一样，开头的时候，看表面情况，简直美得如天... ,亦舒,亦舒&小说&开到荼縻&香港&爱情&言情&中国文学&师太,新世界出版社
https://book.douban.com/subject/27084268/,https://img9.doubanio.com/view/subject/s/public/s29490265.jpg,幸运星, ,6.5,451人,亦舒 / 湖南文艺出版社 / 2017-7 / 38.00元,亦舒“大陆首次出版 有生之年辑”收录了亦舒首次在大陆出版的5部全新作品，包括《衷心笑》《幸运星》《承欢记》《悠悠我心》《某家的女儿》。该套书经独家授权，进行... ,亦舒,亦舒&小说&爱情&香港文学&香港&言情&2018&2017,湖南文艺出版社
