书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/19940743/,https://img1.doubanio.com/view/subject/s/public/s27226968.jpg,文化苦旅,余秋雨三十年散文自选集,8.1,26438人,余秋雨 / 长江文艺出版社 / 2014-2 / 38.00元,《文化苦旅》一书于1992年首次出版，是余秋雨先生1980年代在海内外讲学和考察途中写下的作品，是他的第一部文化散文集。全书主要包括两部分，一部分为历史、文... ,余秋雨,余秋雨&散文&文化苦旅&中国文学&文化&散文随笔&随笔&爱旅游，爱文化，必读,长江文艺出版社
https://book.douban.com/subject/34670250/,https://img9.doubanio.com/view/subject/s/public/s33440676.jpg,中国文化课, ,8.3,1159人,余秋雨 / 中国青年出版社 / 2019-8 / 128.00元,暂无,余秋雨,余秋雨&中国文化&文化&文化史&中国历史&人文&中国&好书，值得一读,中国青年出版社
https://book.douban.com/subject/35051018/,https://img2.doubanio.com/view/subject/s/public/s33633021.jpg,文化苦旅, ,9.5,330人,余秋雨 / 北京联合出版公司 / 2020-3 / 52.00元,《文化苦旅》是余秋雨首部文化散文集，由此开启了风靡一时的文化大散文热，至今畅销不衰。全书的主题是凭借山水风物以寻求文化灵魂和人生真谛，探索中国文化的脉络。翻... ,余秋雨,余秋雨&中国文学&文化&游记&文化史&散文&生活&中国,北京联合出版公司
https://book.douban.com/subject/1050339/,https://img3.doubanio.com/view/subject/s/public/s2166670.jpg,文化苦旅, ,7.7,79913人,余秋雨 / 东方出版中心 / 2001-4 / 22.00元,《文化苦旅》是余秋雨的第一部散文合集，所收作品主要包括两部分，一部分是历史、文化散文，散点论述，探寻文化；另一部分是回忆散文。 ,余秋雨,余秋雨&散文&文化苦旅&随笔&文化&中国文学&游记&旅行,东方出版中心
https://book.douban.com/subject/20383609/,https://img3.doubanio.com/view/subject/s/public/s25108120.jpg,行者无疆, ,8.0,1626人,余秋雨 / 长江文艺出版社 / 2012-11-1 / 32.00元,15年前余秋雨开始以长途旅行方式实地考察文化。他从国内走到国外，从中华文明走到了其他文明。这期间，他以《文化苦旅》和《山河之书》作为考察中华文明的记录，以《... ,余秋雨,余秋雨&旅行&文化&游记&随笔&人文&散文&中国文学,长江文艺出版社
https://book.douban.com/subject/1001204/,https://img9.doubanio.com/view/subject/s/public/s1080314.jpg,山居笔记, ,7.9,15789人,余秋雨 / 文汇出版社 / 2002-1 / 28.00,《山居笔记》是余秋雨在1992年至1994年间，全身心地用两年多的时间创作成的，共十一篇文章。写作期间，作者辞去了学院的职务，不再上班；同时写作又与考察联在... ,余秋雨,余秋雨&散文&文化&山居笔记&历史&随笔&中国文学&文学,文汇出版社
https://book.douban.com/subject/11444402/,https://img9.doubanio.com/view/subject/s/public/s11336426.jpg,千年一叹, ,8.1,479人,余秋雨 / 作家出版社 / 2012-6 / 36.00元,作者需要穿越很多恐怖主义蔓延的地区，例如北非、中东、南亚，而且还必须贴地穿越。对此，现在世界上没有一个政府、一个集团能作出安全的保证，包括美国和欧洲的几个发... ,余秋雨,余秋雨&文化&散文&历史&文明&随笔&文学&艺术,作家出版社
https://book.douban.com/subject/20383606/,https://img2.doubanio.com/view/subject/s/public/s24467093.jpg,中国文脉, ,8.0,3186人,余秋雨 / 长江文艺出版社 / 2012-11 / 38.00元,《中国文脉》是继《文化苦旅》之后，余秋雨教授最重要的作品，也是当今中国当代文史领域最重要的作品之一。余秋雨教授感叹当前“文脉既隐，小丘称峰；健翅已远，残羽称... ,余秋雨,余秋雨&文化&中国文学&散文&文学&散文随笔&历史&中国,长江文艺出版社
https://book.douban.com/subject/1049215/,https://img9.doubanio.com/view/subject/s/public/s1042736.jpg,借我一生, ,7.5,11366人,余秋雨 / 作家出版社 / 2004-08 / 42.00元,暂无,余秋雨,余秋雨&借我一生&传记&散文&回忆&中国文学&文学&散文随笔,作家出版社
https://book.douban.com/subject/20383607/,https://img2.doubanio.com/view/subject/s/public/s25494903.jpg,千年一叹, ,8.0,2160人,余秋雨 / 长江文艺出版社 / 2012-11 / 35.00元,《千年一叹》记录了余秋雨先生在2000年穿越数万公里考察伊斯兰文明遗迹的经历。行迹遍布希腊、埃及、以色列、巴勒斯坦、约旦、伊拉克、伊朗、巴基斯坦、尼泊尔等。... ,余秋雨,余秋雨&游记&文化&历史&随笔&千年一叹&纪实&散文,长江文艺出版社
