书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1066462/,https://img3.doubanio.com/view/subject/s/public/s1557610.jpg,向左走·向右走, ,8.4,105196人,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,“她习惯向左走，他习惯向右走，他们始终不曾相遇。”《向左走·向右走》是几米首次表现男女感情的长篇图文创作。男女主角彼此在生活中的巧妙关系，构成了整个故事的设... ,幾米,几米&绘本&向左走向右走&幾米&漫画&爱情&台湾&繪本,生活·读书·新知三联书店
https://book.douban.com/subject/4237837/,https://img9.doubanio.com/view/subject/s/public/s4687105.jpg,月亮忘记了,The Moon Forgets,9.0,3010人,幾米 / 海豚出版社 / 2010-1 / 32.00元,《月亮忘记了》创作于1999年台湾9.21大地震前夕，在那样的时期，它曾经至于许多孤单的心。有如一车车微笑的月亮，运往每个哀伤的黑暗城市。但是，当城市外在的... ,幾米,绘本&幾米&几米&月亮忘记了&台湾&漫画&童话&爱,海豚出版社
https://book.douban.com/subject/10553760/,https://img9.doubanio.com/view/subject/s/public/s8988425.jpg,时光电影院, ,9.0,3494人,几米 / 海豚出版社 / 2012-4 / 45.00元,“爸爸，你为什么哭了？”“没事没事，只是因为这部电影的结局太感人了。”女孩的妈妈在她很小的时候就离开了，每次女孩哭着要找妈妈时，爸爸就会说：“走，我们去看电... ,几米,绘本&幾米&几米&台湾&人生&电影&梦想&漫画/绘本,海豚出版社
https://book.douban.com/subject/3665874/,https://img2.doubanio.com/view/subject/s/public/s4150073.jpg,星空, ,9.0,20301人,幾米 / 大塊文化 / 2009-5-1 / NT369,《星空》以一种年龄的视角，描绘了一类无法和世界沟通的孩子 ，从对社会的恐慌、逃避到逐步认识自我的过程。《星空》的画面精彩、震撼、美轮美奂，是几米目前最辉煌的... ,幾米,幾米&绘本&几米&星空&成长&心灵&漫画&台湾,大塊文化
https://book.douban.com/subject/1056733/,https://img2.doubanio.com/view/subject/s/public/s1672971.jpg,地下铁, ,8.3,51449人,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,暂无,幾米,几米&绘本&幾米&地下铁&漫画&台湾&繪本&童话,辽宁教育出版社
https://book.douban.com/subject/26117896/,https://img9.doubanio.com/view/subject/s/public/s27621484.jpg,故事的开始, ,8.1,870人,幾米 / 海豚出版社 / 2014-10 / 42.00元,暂无,幾米,幾米&绘本&随笔&几米&传记&台湾&漫画&amp;绘本&人生,海豚出版社
https://book.douban.com/subject/3770707/,https://img1.doubanio.com/view/subject/s/public/s6046827.jpg,恋之风景, ,8.3,3189人,几米 / 现代出版社 / 2009-7-1 / 28.00元,意外发生之后，她受了伤，他却永远离开这个世界。和他在一起做过的许多梦，现在都不可能实现了。她经常带着泪水入梦，总是梦到同样的风景：他们俩人站在树下﹐幸福地等... ,几米,绘本&幾米&几米&台湾&漫画&暖心&繪本&成长,现代出版社
https://book.douban.com/subject/3822879/,https://img1.doubanio.com/view/subject/s/public/s4014259.jpg,躲进世界的角落, ,8.8,6947人,幾米 / 人民文学出版社 / 2009-7 / 45.00元,《躲进世界的角落》内容简介：我心里有一个小孩，每当她觉得与世界格格不入，她就躲进角落。角落里有歌等着她唱，谜等着她解，有回忆等着她凝视，有梦想如落叶一般等着... ,幾米,绘本&幾米&几米&台湾&漫画&繪本&臺灣,人民文学出版社
https://book.douban.com/subject/25829338/,https://img9.doubanio.com/view/subject/s/public/s27220656.jpg,真的假的啊？, ,8.1,604人,幾米 / 海豚出版社 / 2014-1 / 32,“说谎的人，会被月亮割舌头喔！”“真的假的啊？” 从小我们就生活在真真假假的故事中，被各种泡泡般飘浮又易破的说法迷惑。小时候以为真的，长大后却发现是假的；年... ,幾米,幾米&绘本&几米&童话&台湾&漫画&励志,海豚出版社
https://book.douban.com/subject/1026411/,https://img9.doubanio.com/view/subject/s/public/s1099214.jpg,你们 我们 他们,幾米作品精选集08,8.2,8000人,幾米 / 辽宁教育出版社 / 2003-8 / 25.00,《你们我们他们》这本书，对于爱情的态度，却是质疑居多，虽然书中人物双双对对，但是幾米在复数的对称中却安排了矛盾，于是抒情的幾米不见了，小小甜蜜的爱情只是穿插... ,幾米,绘本&几米&幾米&你们我们他们&台湾&漫画&爱情&繪本,辽宁教育出版社
https://book.douban.com/subject/1358873/,https://img1.doubanio.com/view/subject/s/public/s1385508.jpg,月亮忘記了, ,8.6,46062人,幾米 / 格林 / 2000-2-1 / NT$ 299,暂无,幾米,几米&绘本&幾米&月亮忘记了&漫画&台湾&月亮忘記了&繪本,格林
https://book.douban.com/subject/1059937/,https://img9.doubanio.com/view/subject/s/public/s1046024.jpg,微笑的鱼, ,8.4,15075人,幾米 / 辽宁教育出版社 / 2004-7 / 20.00元,“我拥有一条像狗一样忠心，像猫一样贴心，像爱人一样深情的鱼。她始终带着微笑的表情……”几米绘出一个男子深泓如海一样的幽闭内心，这是献给全世界所有大人和孩子的... ,幾米,几米&绘本&幾米&微笑的鱼&台湾&漫画&繪本&童话,辽宁教育出版社
https://book.douban.com/subject/1049190/,https://img1.doubanio.com/view/subject/s/public/s1125369.jpg,森林里的秘密, ,8.1,6086人,几米 / 辽宁教育出版社 / 2004-07 / 18.00,暂无,几米,几米&绘本&幾米&台湾&漫画&繪本&童话&中国,辽宁教育出版社
https://book.douban.com/subject/30284432/,https://img9.doubanio.com/view/subject/s/public/s29829526.jpg,拥抱, ,7.5,45人,幾米 / 九州出版社 / 2018-10 / 48.00,红毛狮收到一份天上掉下来的怪礼物：一本书，书里满满都是各种动物与天真孩子的拥抱。一开始他受不了，恶心想吐，但慢慢地他也想尝尝美好温暖的滋味，可没有人敢和凶残... ,幾米,绘本&几米&台湾&2018&中国&治愈&幾米,九州出版社
https://book.douban.com/subject/6389906/,https://img9.doubanio.com/view/subject/s/public/s6567086.jpg,寂寞上场了, ,8.2,231人,几米 / 现代出版社 / 2011-5 / 35.00元,《失乐园1:寂寞上场了(新版)》内容简介：小樱子听不见，眼镜小乖看不见，漂亮的小天使娜娜不能说话，驴头妹家里很有钱却长得很丑……虽然他们都有无法摆脱的宿命和... ,几米,绘本&幾米&几米&漫画&台湾&心灵&童书&2012,现代出版社
https://book.douban.com/subject/1021847/,https://img9.doubanio.com/view/subject/s/public/s1150266.jpg,我的心中每天开出一朵花, ,8.5,23279人,幾米 / 辽宁教育出版社 / 2002-2 / 24.00元,《我的心中每天开出一朵花》是幾米“手绘图像”的梦想之作，每天都画下一朵花，象征着梦想与期望，更是一种生命力的展现。书中有一个男主角，并有一只小兔子、小女孩陪... ,幾米,几米&绘本&幾米&我的心中每天开出一朵花&漫画&台湾&繪本&童话,辽宁教育出版社
https://book.douban.com/subject/3168028/,https://img3.doubanio.com/view/subject/s/public/s6489850.jpg,森林里的秘密, ,8.5,58人,幾米 / 玉山社 / 1998 / NT$199,幾米出版的第一部作品 ,幾米,绘本&幾米&几米&漫画&治愈系&台湾&繪本,玉山社
https://book.douban.com/subject/25848538/,https://img1.doubanio.com/view/subject/s/public/s27240479.jpg,星空, ,9.1,1131人,几米 / 现代出版社 / 2014-3-1 / 50.00元,《星空》，是风靡华人世界的畅销绘本画家几米2009年力作。描述了一个关于长大的故事：有个不爱说话的少女，认识了一个不爱说话的少年，他们都不是最快乐的孩子。 ... ,几米,绘本&几米&幾米&温暖&漫画&台湾&治愈系&青春,现代出版社
https://book.douban.com/subject/3699108/,https://img2.doubanio.com/view/subject/s/public/s6498081.jpg,我的错都是大人的错, ,8.6,12523人,幾米 绘 / 现代出版社 / 2009-5 / 29.00,暂无,幾米 绘,绘本&几米&幾米&我的错都是大人的错&成长&台湾&漫画&繪本,现代出版社
https://book.douban.com/subject/33428189/,https://img2.doubanio.com/view/subject/s/public/s32305522.jpg,时光电影院, ,8.4,72人,幾米 / 花山文艺出版社 / 2019-5 / 68.00元,女孩的妈妈在她很小的时候就离开了，每次女孩哭着要找妈妈时，爸爸就会说：“走，我们去看电影。因为妈妈最喜欢看电影了，也许有一天，我们可以在电影院里面遇见她。”... ,幾米,绘本&几米&电影&2019,花山文艺出版社
https://book.douban.com/subject/5299377/,https://img1.doubanio.com/view/subject/s/public/s6234797.jpg,听几米唱歌,2010新版,8.3,881人,幾米 / 海豚出版社 / 2010-10 / 28.00元,《听几米唱歌》内容简介：畿米早期的图文，有一种惬意。他抓到几个童话式的小小灵感，就能发展出新鲜有趣的对话，以及令人莞尔又惊喜的画面。种一棵开满紫色小花的树，... ,幾米,绘本&几米&幾米&台湾&漫画&温暖&绘本漫画&插畫．繪本．圖文書,海豚出版社
https://book.douban.com/subject/6854327/,https://img2.doubanio.com/view/subject/s/public/s8476651.jpg,月亮忘记了, ,9.1,307人,几米 绘 / 海豚出版社 / 2011-9 / 46.00元,《月亮忘记了》主要内容简介：曾经问身边的朋友和读者，最喜欢能几米哪一本书？每个人的前三名中，总有《月亮忘记了》。这个创作于“9•21”大地震前夕的故事，充满... ,几米 绘,绘本&幾米&几米&台湾&童话&繪本&中国&漫画,海豚出版社
https://book.douban.com/subject/30284404/,https://img9.doubanio.com/view/subject/s/public/s29829506.jpg,故事的开始, ,8.3,82人,幾米 / 九州出版社 / 2018-10 / 48.00,从1998年出版《森林里的秘密》和《微笑的鱼》开始到这本书的诞生，幾米耕耘了十年。十年间，他以惊人的创作能量，推出各种不同面貌的作品，红遍海内外。但他鲜少谈... ,幾米,绘本&台湾&几米&幾米&散文随笔&中国&ebook,九州出版社
https://book.douban.com/subject/26135620/,https://img9.doubanio.com/view/subject/s/public/s27654386.jpg,故事团团转, ,8.4,361人,幾米 / 海豚出版社 / 2014-10 / 42.00元,暂无,幾米,幾米&绘本&几米&台湾&漫画&amp;绘本&传记&漫画绘本&图画书与漫画,海豚出版社
https://book.douban.com/subject/20495116/,https://img1.doubanio.com/view/subject/s/public/s25674578.jpg,世界别为我担心, ,7.9,18人,幾米 编 / 北京：海豚出版社 / 2013-1 / 38.00元,《世界别为我担心(珍藏版)》讲述了我从小就是个很会担心的小孩。消防车往家的方向奔去，我就担心失火的是我家。老师说考试有人不及格，我就担心她说的一定是我。朋友... ,幾米 编,几米&绘本&台湾&幾米&画册&2014&手绘&童心,北京：海豚出版社
https://book.douban.com/subject/30264909/,https://img2.doubanio.com/view/subject/s/public/s29809982.jpg,忽远忽近, ,8.1,337人,幾米 / 中国大地出版社 / 2018-3 / 88.00,《忽远忽近》描绘了一对自小相识、要好的女孩男孩，他们彼此相知彼此依靠，但总是错过一次又一次的机会。流浪寻觅不同的对象，但心里总是有一个人占了那个位置，只是彼... ,幾米,绘本&几米&台湾&漫画绘本&爱情&中国&成长&2018,中国大地出版社
https://book.douban.com/subject/1358413/,https://img1.doubanio.com/view/subject/s/public/s4407669.jpg,我只能為你畫一張小卡片,Love in the cards,8.5,18396人,幾米 / 大塊文化出版股份有限公司 / 2002-2-4 / TWD 350,暂无,幾米,几米&绘本&幾米&我只能為你畫一張小卡片&台湾&我只能为你画一张小卡片&漫画&繪本,大塊文化出版股份有限公司
https://book.douban.com/subject/4012128/,https://img1.doubanio.com/view/subject/s/public/s3987987.jpg,星空,The Starry Starry Night,9.0,4236人,幾米 / 现代出版社 / 2009-10 / 48.00元,《星空》，是风靡华人世界的畅销绘本画家几米2009年最新力作。描述了一个关于长大的故事：有个不爱说话的少女，认识了一个不爱说话的少年，他们都不是最快乐的孩子... ,幾米,绘本&幾米&几米&台湾&星空&漫画&感动&繪本,现代出版社
https://book.douban.com/subject/6507880/,https://img2.doubanio.com/view/subject/s/public/s6986651.jpg,不睡觉世界冠军, ,8.7,731人,幾米 绘、(英)西恩·泰勒 著 / 柯倩华 / 新星出版社 / 2011-11 / 32.00元,睡觉时间到了，可是黛拉的玩具伙伴们樱桃猪、霹雳鼠、豆豆蛙还都很清醒呢。他们一点儿都不想睡觉！黛拉怎么才能让他们变成最快睡觉的世界冠军？！这是一本生动有趣、意... ,幾米 绘&西恩·泰勒 著,绘本&幾米&几米&台湾&童书&英国&童话&儿童文学,新星出版社
https://book.douban.com/subject/34942582/,https://img9.doubanio.com/view/subject/s/public/s33556044.jpg,但愿有一天你会懂, ,8.5,90人,幾米 / 花山文艺出版社 / 2020-1 / 58.00元,暂无,幾米,几米&绘本&漫画&幾米&成长&亲情&香港&治愈,花山文艺出版社
https://book.douban.com/subject/1061367/,https://img9.doubanio.com/view/subject/s/public/s1047304.jpg,幸运儿, ,8.4,11877人,幾米 / 辽宁教育出版社 / 2003-04 / 36.00,暂无,幾米,绘本&几米&幾米&幸运儿&台湾&漫画&繪本&jimmy,辽宁教育出版社
https://book.douban.com/subject/30284415/,https://img9.doubanio.com/view/subject/s/public/s29829515.jpg,不爱读书不是你的错, ,8.9,677人,幾米 / 九州出版社 / 2018-10 / 48.00,街上的书店渐渐没有人去注意它了，以往爱到书店里面晃荡的人们，越来越少出现了。热爱阅读的书店老板，让他的小孩召集以往爱在书店晃荡的朋友们一起讨论，到底大家还爱... ,幾米,绘本&幾米&几米&温暖&好书，值得一读&插画&手绘&阅读,九州出版社
https://book.douban.com/subject/30284447/,https://img2.doubanio.com/view/subject/s/public/s29829541.jpg,世界别为我担心, ,7.8,64人,幾米 / 九州出版社 / 2018-10 / 48.00,《世界别为我担心》以孩子的角度来看世界，充满好奇、纯真又有力量，给予读者无限的正能量。面对这个多彩又奇怪的世界，孩子们怀着好奇心，小心而又大胆地探索着；他们... ,幾米,绘本&几米&幾米&治愈&2018&台湾&礼物,九州出版社
https://book.douban.com/subject/1782016/,https://img2.doubanio.com/view/subject/s/public/s2521322.jpg,飞鸟与鱼,A Beautiful Fairy Tale,7.9,574人,几米 / 台海出版社 / 2003 / 26.8,向左走，向右走的飞鸟与鱼版本 ,几米,几米&绘本&幾米&漫画&爱情&台湾&繪本&jimmy,台海出版社
https://book.douban.com/subject/26610688/,https://img9.doubanio.com/view/subject/s/public/s28296896.jpg,忘记亲一下, ,8.2,623人,幾米 / 现代出版社 / 2015-9 / 45,暂无,幾米,绘本&几米&幾米&温暖&治愈&爱&台湾&我想读这本书,现代出版社
https://book.douban.com/subject/1041666/,https://img2.doubanio.com/view/subject/s/public/s1341051.jpg,森林唱游, ,7.9,606人,幾米 / 生活·读书·新知三联书店 / 2002-8 / 15.00元,收录1999年3月到2002年2月在《自由时报》“花边新闻”发表的“听幾米唱歌”专栏作品。 ,幾米,绘本&几米&幾米&台湾&漫画&繪本&漫畫,生活·读书·新知三联书店
https://book.douban.com/subject/5243268/,https://img9.doubanio.com/view/subject/s/public/s4490005.jpg,走向春天的下午, ,8.6,5579人,幾米 / 现代出版社 / 2010 / 45.00元,暂无,幾米,绘本&几米&幾米&漫画&台湾&爱&Jimmy&台灣,现代出版社
https://book.douban.com/subject/6007431/,https://img3.doubanio.com/view/subject/s/public/s4661660.jpg,我不是完美小孩, ,8.4,6510人,幾米 / 海豚出版社 / 2011-4 / 38.00元,本书描述了一个三年级小女生郝完美在学习、生活，尤其是与大人相处中的困惑与烦恼。大人从长大的那一天起就开始留恋和怀念童年的美好，幻想能再次回到童年，经历了生活... ,幾米,幾米&绘本&我不是完美小孩&几米&童心&成长&漫画&台湾,海豚出版社
https://book.douban.com/subject/1887754/,https://img2.doubanio.com/view/subject/s/public/s1830092.jpg,失乐园1,寂寞上场了,8.3,6210人,幾米 / 现代出版社 / 2006-10 / 26.00元,幾米在《失乐园》里创造了数十位小朋友，以各种独特的方式为受伤的心发声。这些角色中，有的害羞寂寞，有的世故早熟，有的遗失了童年，有的终日寻求不可知的答案……他... ,幾米,绘本&几米&幾米&失乐园&台湾&漫画&繪本&jimmy,现代出版社
https://book.douban.com/subject/10553751/,https://img2.doubanio.com/view/subject/s/public/s9053132.jpg,时光电影院, ,9.1,779人,幾米 绘 / 海豚出版社 / 2012-4 / 59.00元,“爸爸，你为什么哭了？”“没事没事，只是因为这部电影的结局太感人了。”女孩的妈妈在她很小的时候就离开了，每次女孩哭着要找妈妈时，爸爸就会说：“走，我们去看电... ,幾米 绘,绘本&幾米&几米&台湾&人生&美术&台湾漫画,海豚出版社
