书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1422833/,https://img1.doubanio.com/view/subject/s/public/s1641357.jpg,多情剑客无情剑(上、中、下), ,8.7,21050人,古龙 / 海天出版社 / 1991-12-01 / 49.8,《小李飞刀:多情剑客无情剑》一直被公认为古龙武侠作品的巅峰之作和最高成就。它不仅是一部阐明武学真谛的作品，还是一部写尽人间世态炎凉的人情历史画，更是一部触动... ,古龙,古龙&武侠&小李飞刀&武侠小说&小说&多情剑客无情剑&李寻欢&中国,海天出版社
https://book.douban.com/subject/1264579/,https://img1.doubanio.com/view/subject/s/public/s2508587.jpg,欢乐英雄, ,8.8,15470人,古龙 / 珠海出版社 / 2005-8 / 28.00元,成书于1971年。当时是古龙巅峰时期，是古龙个人最爱的作品。但因为小说与一般传统的武侠小说有着许多不同，叙述也是采用了散文化的笔法，因此在一些读者中间并未得... ,古龙,古龙&武侠&小说&欢乐英雄&武侠小说&经典&成人童话&中国,珠海出版社
https://book.douban.com/subject/1089512/,https://img9.doubanio.com/view/subject/s/public/s10169596.jpg,陆小凤传奇, ,8.7,19362人,古龙 / 珠海出版社 / 2005-8 / 94.00元,本书为新版古龙作品集绘图珍藏本之51-55，古龙为从1960年创作《苍穹神剑》始，一生共写了近70部武侠小说，在小说中，他直接地或者通过人物的口，肆无忌惮地... ,古龙,古龙&武侠&陆小凤传奇&武侠小说&小说&陆小凤&经典&中国,珠海出版社
https://book.douban.com/subject/20397330/,https://img9.doubanio.com/view/subject/s/public/s25814085.jpg,小李飞刀1：多情剑客无情剑（上中下）, ,8.7,5960人,古龙 / 河南文艺出版社 / 2013-4-1 / 96.00元,《小李飞刀:多情剑客无情剑》一直被公认为古龙武侠作品的巅峰之作和最高成就。它不仅是一部阐明武学真谛的作品，还是一部写尽人间世态炎凉的人情历史画，更是一部触动... ,古龙,古龙&武侠&小说&武侠小说&小李飞刀&经典&李寻欢&中国,河南文艺出版社
https://book.douban.com/subject/20516999/,https://img2.doubanio.com/view/subject/s/public/s26681971.jpg,陆小凤传奇1：金鹏王朝, ,8.0,3227人,古龙 / 河南文艺出版社 / 2013-5-1 / 32.00元,大金鹏王请求陆小凤向昔日的三个叛臣，也是当今江湖中最有权、最有钱和武功最高的三个人讨还血债。为了这不可能完成的任务，陆小凤只得请好友花满楼和剑神西门吹雪出手... ,古龙,古龙&武侠&陆小凤&小说&武侠小说&中国&经典&中国文学,河南文艺出版社
https://book.douban.com/subject/20516998/,https://img2.doubanio.com/view/subject/s/public/s26307052.jpg,陆小凤传奇2：绣花大盗, ,8.1,2671人,古龙 / 河南文艺出版社 / 2013-5-1 / 26.00元,把守严密、连陆小凤都无法突破的王府金库被人堂而皇之地侵入，将这些价值连城的宝物盗走的大盗，却是个绣着花的络腮胡大汉。在这背后究竟隐藏着怎样的阴谋？又包含着谁... ,古龙,古龙&武侠&陆小凤&小说&武侠小说&中国&台湾&经典,河南文艺出版社
https://book.douban.com/subject/1704006/,https://img1.doubanio.com/view/subject/s/public/s2991239.jpg,边城浪子（上下）, ,8.0,8911人,古龙 / 珠海出版社 / 2005-8 / 32.00元,《边城浪子(绘图珍藏本)(套装上下册)》为古龙作品集绘图珍藏本之57，增加了一些精彩绘图，读来更生动、更引人入胜。古龙小说最注重的是人性的体验，他常用细腻的... ,古龙,古龙&武侠&小说&武侠小说&中国&台湾&中国文学,珠海出版社
https://book.douban.com/subject/24743902/,https://img3.doubanio.com/view/subject/s/public/s26723000.jpg,欢乐英雄（上下）, ,8.6,1662人,古龙 / 河南文艺出版社 / 2013-7-1 / CNY 64.00,脑子似乎少根筋的郭大路！有一肚子秘密的燕七！穷得一分钱都没 有，却仍然很好客的王动！第一次闯江湖的大少爷林太平！他们穷得要命，又慷慨得要命；他们不知道明天做... ,古龙,古龙&武侠&小说&武侠小说&欢乐英雄&中国&中国文学&台湾,河南文艺出版社
https://book.douban.com/subject/1089521/,https://img1.doubanio.com/view/subject/s/public/s2415159.jpg,楚留香传奇, ,8.4,15050人,古龙 / 珠海出版社 / 2005-8 / 100.00元,“香帅系列”的作品，显然是古龙最意气风发时的作品，机智聪敏、正义凛然、风流潇洒的“盗帅楚留香”，无疑是古龙自身的写照(尽管过于美化了)，以风流侠盗为书中主角... ,古龙,古龙&武侠&小说&楚留香传奇&武侠小说&楚留香&台湾&中国,珠海出版社
https://book.douban.com/subject/24872480/,https://img2.doubanio.com/view/subject/s/public/s27424013.jpg,绝代双骄, ,8.1,1177人,古龙 / 河南文艺出版社 / 2013-8 / 132.00元,《绝代双骄》为古龙中期成熟作品，笔法渐成自我一派，想象丰富，人物丰满，为其经典代表作之一。书中栩栩如生刻画出小鱼儿、花无缺、铁心兰、江玉郎、燕南天、江别鹤、... ,古龙,古龙&武侠&武侠小说&小说&中国&绝代双骄&中国文学&台湾,河南文艺出版社
https://book.douban.com/subject/20516997/,https://img2.doubanio.com/view/subject/s/public/s26306511.jpg,陆小凤传奇4：银钩赌坊, ,7.3,2150人,古龙 / 河南文艺出版社 / 2013-5-1 / 29.00元,陆小凤被“银钩赌坊”的老板娘诱入圈套，被人诬陷杀了罗刹教主的儿子，为了洗清自己的嫌疑，他要到冰天雪地的拉哈苏，去寻找四个奇怪的女人……这场豪赌，究竟谁是庄家... ,古龙,古龙&武侠&小说&陆小凤&武侠小说&中国&台湾&推理,河南文艺出版社
https://book.douban.com/subject/1480630/,https://img9.doubanio.com/view/subject/s/public/s6115256.jpg,天涯·明月·刀, ,7.9,7925人,古龙 / 珠海出版社 / 2005-8 / 22.00元,《天涯·明月·刀》的故事是古龙另一作品《边城浪子》的外传，书中的主角傅红雪已是中年人。故事讲述了一个在江湖中占有着巨大财富和无上权威的名侠，同时也是武林之首... ,古龙,古龙&武侠&小说&武侠小说&台湾&中国&中国文学&文学,珠海出版社
https://book.douban.com/subject/1089517/,https://img2.doubanio.com/view/subject/s/public/s2157322.jpg,绝代双骄（全三册）, ,8.4,16449人,古龙 / 珠海出版社 / 2005-8 / 56.00元,世家子弟江枫和移花宫的花月奴私奔，在路上诞下一对双胞胎，但江枫和花月奴却被移花宫主杀死。移花宫主为了报仇，决定把这对兄弟分开抚养，授以武功，等他们长大后自相... ,古龙,古龙&武侠&小说&武侠小说&绝代双骄&中国&台湾&文学,珠海出版社
https://book.douban.com/subject/1089510/,https://img9.doubanio.com/view/subject/s/public/s2991344.jpg,流星·蝴蝶·剑, ,7.8,9972人,古龙 / 珠海出版社 / 2005-8 / 25.00元,暂无,古龙,古龙&武侠&小说&武侠小说&台湾&中国&中国文学&文学,珠海出版社
https://book.douban.com/subject/21778097/,https://img1.doubanio.com/view/subject/s/public/s26355468.jpg,七种武器 1：长生剑·孔雀翎, ,8.2,1231人,古龙 / 河南文艺出版社 / 2013-5 / 29.00元,暂无,古龙,古龙&武侠&小说&武侠小说&七种武器&中国&台湾&中国文学,河南文艺出版社
https://book.douban.com/subject/20516992/,https://img9.doubanio.com/view/subject/s/public/s26306525.jpg,陆小凤传奇5：幽灵山庄, ,8.1,2044人,古龙 / 河南文艺出版社 / 2013-5-1 / 32.00元,西门吹雪撞破自己的妻子和陆小凤有染，一路追杀陆小凤。陆小凤身负重伤，走投无路之下，误入一个奇怪的世界——幽灵山庄。幽灵山庄是老刀把子经营了十多年的秘密所在，... ,古龙,古龙&武侠&小说&陆小凤&武侠小说&中国&台湾&中国文学,河南文艺出版社
https://book.douban.com/subject/1136998/,https://img3.doubanio.com/view/subject/s/public/s3151680.jpg,楚留香传奇系列,全四册,8.7,3098人,古龙著 / 太白文艺出版社 / 2001-10-1 / 88.0,暂无,古龙著,古龙&武侠&楚留香传奇&武侠小说&小说&楚留香&经典&中国文学,太白文艺出版社
