书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/24531956/,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg,哈利·波特, ,9.7,64237人,J.K.罗琳 (J.K.Rowling) / 苏农、马爱农、马爱新 / 人民文学出版社 / 2008-12-1 / 498.00元,暂无,J.K.罗琳,魔法&哈利波特&J.K.罗琳&奇幻&经典&HarryPotter&成长&英国,人民文学出版社
https://book.douban.com/subject/35662837/,https://img1.doubanio.com/view/subject/s/public/s34043729.jpg,山魈考残编, ,7.9,278人,黎幺 / 四川文艺出版社 / 2021-12 / 60.00,暂无,黎幺,奇幻&小说&中国文学&文学&中国&后浪&2021&社会学,四川文艺出版社
https://book.douban.com/subject/33424453/,https://img9.doubanio.com/view/subject/s/public/s33619186.jpg,诡秘之主, ,8.6,6461人,爱潜水的乌贼 / 江苏凤凰文艺出版社 / 36.80元,暂无,爱潜水的乌贼,克苏鲁&蒸汽朋克&网络小说&奇幻&魔幻&◆小説,江苏凤凰文艺出版社
https://book.douban.com/subject/1041007/,https://img2.doubanio.com/view/subject/s/public/s1557671.jpg,哈利·波特与魔法石, ,9.1,182244人,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,一岁的哈利・波特失去父母后，神秘地出现在姨父姨妈家的门前。哈利在姨父家饱受欺凌，度过十年极其痛苦的日子。姨父和姨妈好似凶神恶煞，他们那混世魔王儿子达力――一... ,J. K. 罗琳,J.K.罗琳&哈利波特&魔幻&小说&英国&哈利·波特&哈利・波特&外国文学,人民文学出版社
https://book.douban.com/subject/30259677/,https://img3.doubanio.com/view/subject/s/public/s30022290.jpg,焚舟纪, ,8.9,1825人,[英] 安吉拉·卡特 / 严韵 / 南京大学出版社 / 2019-6 / 120,暂无,安吉拉·卡特,安吉拉·卡特&奇幻&英国文学&小说&短篇小说&英国&短篇集&文学,南京大学出版社
https://book.douban.com/subject/25826936/,https://img9.doubanio.com/view/subject/s/public/s27218035.jpg,冰与火之歌,（1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂,9.5,13577人,[美]乔治·R.R.马丁 / 谭光磊、屈畅、胡绍晏 / 重庆出版社 / 2013-10-1 / 330.00元,《冰与火之歌》（A Song of Ice and Fire）是由美国著名科幻奇幻小说家乔治·R·R·马丁（George R.R. Martin）所著的史诗... ,乔治·R.R.马丁,冰与火之歌&史诗&奇幻&魔幻小说&乔治·马丁&外国文学&魔幻&小说,重庆出版社
https://book.douban.com/subject/6016234/,https://img2.doubanio.com/view/subject/s/public/s8982932.jpg,奇风岁月, ,8.9,9375人,[美国] 罗伯特·麦卡蒙 / 陈宗琛 / 译林出版社 / 2011-5 / 36.00元,奇风镇是一座宁静的南方小镇。十二岁的科里最亲的兄弟是一只叫“叛徒”的小狗。而他形影不离的伙伴，是一辆叫“火箭”的脚踏车。每到夏季开始的那一天，他总是骑着“火... ,罗伯特·麦卡蒙,成长&小说&美国&悬疑&罗伯特·麦卡蒙&奇幻&美国文学&外国文学,译林出版社
https://book.douban.com/subject/35611305/,https://img2.doubanio.com/view/subject/s/public/s34007882.jpg,阮途记,飞廉的江湖奇谈,7.7,219人,舒飞廉 / 上海文艺出版社 / 2021-10 / 65,暂无,舒飞廉,武侠&武侠小说&小说&奇幻&中国文学&北宋&文&金庸,上海文艺出版社
https://book.douban.com/subject/21979017/,https://img1.doubanio.com/view/subject/s/public/s27063429.jpg,魔戒, ,9.5,7436人,[英] J.R.R.托尔金 / 邓嘉宛、石中歌、杜蕴慈 / 上海人民出版社 / 2013-9 / 169.00元,暂无,J.R.R.托尔金,奇幻&J.R.R.托尔金&魔戒&小说&魔幻&外国文学&英国&托尔金,上海人民出版社
https://book.douban.com/subject/34954108/,https://img9.doubanio.com/view/subject/s/public/s33576576.jpg,坟场之书, ,8.2,5804人,[英] 尼尔·盖曼 / 李雅欣 / 江苏凤凰文艺出版社 / 2020-2-21 / 48,暂无,尼尔·盖曼,奇幻小说&奇幻&外国文学&尼尔盖曼&小说&英国&很期待&文学,江苏凤凰文艺出版社
https://book.douban.com/subject/35167864/,https://img2.doubanio.com/view/subject/s/public/s33857233.jpg,钢之色,法庭斗剑三部曲,8.6,244人,[英] K.J.帕克 / 叶林 / 四川科学技术出版社 / 2020-12 / 75.00元,佩里美狄亚，别称三重城，是海的新娘，文明世界的主妇。它自成一邦，屹立千年。巴达斯·洛雷登就住在下城贫民窟一个不起眼的角落。他的背景不难打听，他的过去没人关心... ,K.J.帕克,奇幻&科幻&小说&西方奇幻&英国文学&英国&幻想&奇幻小说,四川科学技术出版社
https://book.douban.com/subject/35316123/,https://img9.doubanio.com/view/subject/s/public/s33842435.jpg,烟与镜,尼尔·盖曼头皮发麻短篇集,6.8,4200人,[英] 尼尔·盖曼 / 王爽 / 江苏凤凰文艺出版社 / 2021-3 / 48,暂无,尼尔·盖曼,尼尔·盖曼&奇幻&短篇小说&小说&短篇&科幻&外国文学&英国文学,江苏凤凰文艺出版社
https://book.douban.com/subject/1291809/,https://img1.doubanio.com/view/subject/s/public/s1801057.jpg,世界尽头与冷酷仙境, ,8.6,41545人,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元,《世界尽头与冷酷仙境》是村上春树最重要的小说之一，与《挪威的森林》、《舞舞舞》合称为村上春树三大杰作。小说共40章，单数20章“冷酷仙境”，双数20章为“世... ,村上春树,村上春树&世界尽头与冷酷仙境&日本文学&小说&日本&村上春樹&文学&外国文学,上海译文出版社
https://book.douban.com/subject/35358050/,https://img2.doubanio.com/view/subject/s/public/s34000542.jpg,皮拉内西, ,8.8,108人,[英国] 苏珊娜·克拉克 / 王爽 / 湖南文艺出版社 / 2021-12 / 58.00元,暂无,苏珊娜·克拉克,小说&英国&英国文学&科幻&奇幻&幻想&文学&悬疑,湖南文艺出版社
https://book.douban.com/subject/35564364/,https://img2.doubanio.com/view/subject/s/public/s34027382.jpg,浴紫而生,K. J. 帕克短篇小说集Ⅱ,8.9,54人,[英]K.J.帕克 / 四川科学技术出版社 / 2021-11 / 74.00元,《浴紫而生》一共收录了九篇K.J.帕克的故事，它们之间相互独立，同时又共享一个世界设定，如果仔细看，就能发现千丝万缕的联系。这是作家才能提供的阅读体验：一边... ,K.J.帕克,奇幻&短篇集&科幻&小说&文学&英国&英国文学&Novel,四川科学技术出版社
https://book.douban.com/subject/2295163/,https://img1.doubanio.com/view/subject/s/public/s2752367.jpg,哈利·波特与死亡圣器, ,9.0,104410人,[英] J. K. 罗琳 / 马爱农、马爱新 / 人民文学出版社 / 2007-10 / 66.00元,暂无,J. K. 罗琳,哈利波特&J.K.罗琳&魔幻&小说&英国&HarryPotter&哈利·波特&外国文学,人民文学出版社
